s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.4,0.4,0.4,0.4,592
ok,2024-01-02 09:30:00,0.42,0.42,0.41,0.42,1653
ok,2024-01-02 10:00:00,0.42,0.42,0.4,0.42,1998
ok,2024-01-02 10:30:00,0.41,0.41,0.41,0.41,1100
ok,2024-01-02 11:30:00,0.4,0.41,0.4,0.41,1169
ok,2024-01-02 12:30:00,0.4,0.41,0.4,0.41,1455
ok,2024-01-02 13:00:00,0.4,0.41,0.4,0.41,4674
ok,2024-01-02 13:30:00,0.41,0.41,0.4,0.4,14319
ok,2024-01-02 15:00:00,0.4,0.41,0.4,0.4,6003
ok,2024-01-03 08:00:00,0.4,0.4,0.4,0.4,170
ok,2024-01-03 09:30:00,0.4,0.4,0.38,0.38,1680
ok,2024-01-03 12:30:00,0.42,0.42,0.4,0.4,400
ok,2024-01-03 15:00:00,0.39,0.39,0.39,0.39,2788
ok,2024-01-03 15:30:00,0.39,0.39,0.39,0.39,12106
ok,2024-01-03 16:00:00,0.38,0.38,0.38,0.38,115
ok,2024-01-03 18:00:00,0.38,0.38,0.38,0.38,200
ok,2024-01-04 11:00:00,0.4,0.4,0.4,0.4,2000
ok,2024-01-04 13:00:00,0.38,0.38,0.38,0.38,396
ok,2024-01-05 11:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-05 13:00:00,0.37,0.37,0.37,0.37,705
ok,2024-01-05 15:30:00,0.39,0.39,0.39,0.39,100
ok,2024-01-05 17:00:00,0.38,0.38,0.38,0.38,368
ok,2024-01-08 09:30:00,0.37,0.37,0.37,0.37,453
ok,2024-01-08 10:00:00,0.37,0.38,0.37,0.38,2036
ok,2024-01-08 10:30:00,0.37,0.37,0.37,0.37,417
ok,2024-01-08 12:30:00,0.36,0.36,0.36,0.36,500
ok,2024-01-09 09:00:00,0.36,0.36,0.36,0.36,100
ok,2024-01-09 09:30:00,0.36,0.39,0.36,0.37,3197
ok,2024-01-09 12:30:00,0.36,0.39,0.36,0.36,12631
ok,2024-01-09 15:30:00,0.39,0.45,0.38,0.45,38898
ok,2024-01-09 16:00:00,0.44,0.44,0.44,0.44,600
ok,2024-01-09 16:30:00,0.43,0.43,0.43,0.43,250
ok,2024-01-10 08:30:00,0.42,0.42,0.42,0.42,285
ok,2024-01-10 09:30:00,0.41,0.41,0.4,0.4,10000
ok,2024-01-10 10:00:00,0.41,0.41,0.41,0.41,600
ok,2024-01-10 13:30:00,0.42,0.42,0.42,0.42,500
ok,2024-01-10 14:00:00,0.4,0.4,0.4,0.4,290
ok,2024-01-10 15:30:00,0.4,0.42,0.4,0.42,5057
ok,2024-01-10 16:30:00,0.42,0.42,0.42,0.42,6955
ok,2024-01-11 08:30:00,0.41,0.45,0.41,0.44,5885
ok,2024-01-11 09:30:00,0.4,0.44,0.4,0.44,1531
ok,2024-01-11 11:00:00,0.41,0.41,0.41,0.41,1000
ok,2024-01-11 11:30:00,0.41,0.41,0.41,0.41,130
ok,2024-01-11 13:30:00,0.4,0.4,0.4,0.4,746
ok,2024-01-11 14:00:00,0.39,0.41,0.39,0.41,2400
ok,2024-01-11 15:00:00,0.41,0.41,0.4,0.41,4683
ok,2024-01-11 15:30:00,0.41,0.46,0.41,0.46,41940
ok,2024-01-11 19:30:00,0.47,0.47,0.47,0.47,3974
ok,2024-01-12 09:30:00,0.42,0.42,0.42,0.42,1025
ok,2024-01-12 10:00:00,0.42,0.42,0.42,0.42,2000
ok,2024-01-12 10:30:00,0.44,0.44,0.44,0.44,640
ok,2024-01-12 11:00:00,0.44,0.44,0.44,0.44,389
ok,2024-01-12 12:00:00,0.45,0.45,0.45,0.45,5000
ok,2024-01-12 13:00:00,0.43,0.43,0.43,0.43,113
ok,2024-01-12 14:30:00,0.44,0.44,0.4,0.4,3101
ok,2024-01-12 15:00:00,0.41,0.46,0.4,0.46,1444
ok,2024-01-12 15:30:00,0.44,0.44,0.44,0.44,100
ok,2024-01-16 10:00:00,0.42,0.42,0.39,0.39,6110
