s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.2,0.2,0.19,0.19,300
ok,2024-01-02 04:30:00,0.2,0.2,0.2,0.2,700
ok,2024-01-02 05:30:00,0.21,0.22,0.21,0.22,368
ok,2024-01-02 06:00:00,0.21,0.22,0.2,0.2,983
ok,2024-01-02 08:00:00,0.21,0.22,0.2,0.22,7425
ok,2024-01-02 09:30:00,0.2,0.2,0.2,0.2,20638
ok,2024-01-02 10:00:00,0.2,0.2,0.2,0.2,16330
ok,2024-01-02 10:30:00,0.2,0.2,0.2,0.2,882
ok,2024-01-02 11:00:00,0.2,0.2,0.2,0.2,10081
ok,2024-01-02 11:30:00,0.2,0.2,0.2,0.2,2468
ok,2024-01-02 12:00:00,0.2,0.2,0.2,0.2,12407
ok,2024-01-02 12:30:00,0.2,0.2,0.2,0.2,2124
ok,2024-01-02 13:00:00,0.2,0.2,0.2,0.2,1223
ok,2024-01-02 14:00:00,0.2,0.2,0.19,0.19,16835
ok,2024-01-02 14:30:00,0.2,0.2,0.2,0.2,2200
ok,2024-01-02 15:00:00,0.2,0.2,0.2,0.2,600
ok,2024-01-02 15:30:00,0.2,0.2,0.2,0.2,1000
ok,2024-01-02 16:00:00,0.19,0.19,0.19,0.19,200
ok,2024-01-02 17:30:00,0.2,0.2,0.2,0.2,100
ok,2024-01-02 18:30:00,0.2,0.2,0.2,0.2,1000
ok,2024-01-03 04:00:00,0.21,0.21,0.19,0.19,500
ok,2024-01-03 04:30:00,0.19,0.2,0.19,0.2,200
ok,2024-01-03 05:00:00,0.19,0.19,0.19,0.19,600
ok,2024-01-03 08:00:00,0.21,0.21,0.19,0.2,2395
ok,2024-01-03 09:00:00,0.19,0.2,0.19,0.2,500
ok,2024-01-03 09:30:00,0.2,0.2,0.2,0.2,20390
ok,2024-01-03 10:00:00,0.2,0.2,0.2,0.2,5329
ok,2024-01-03 10:30:00,0.2,0.2,0.2,0.2,14250
ok,2024-01-03 11:00:00,0.2,0.2,0.19,0.2,19473
ok,2024-01-03 11:30:00,0.2,0.2,0.19,0.2,2856
ok,2024-01-03 12:00:00,0.2,0.2,0.19,0.19,7112
ok,2024-01-03 12:30:00,0.19,0.19,0.19,0.19,30393
ok,2024-01-03 13:00:00,0.19,0.19,0.19,0.19,19505
ok,2024-01-03 13:30:00,0.19,0.2,0.19,0.2,2494
ok,2024-01-03 14:00:00,0.19,0.19,0.19,0.19,1200
ok,2024-01-03 15:00:00,0.2,0.2,0.2,0.2,3000
ok,2024-01-03 15:30:00,0.2,0.2,0.19,0.19,5374
ok,2024-01-03 16:00:00,0.19,0.2,0.19,0.2,657
ok,2024-01-03 17:00:00,0.2,0.2,0.2,0.2,100
ok,2024-01-03 18:30:00,0.19,0.19,0.19,0.19,500
ok,2024-01-03 19:00:00,0.2,0.2,0.2,0.2,100
ok,2024-01-04 04:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-04 05:30:00,0.19,0.19,0.19,0.19,196
ok,2024-01-04 07:30:00,0.19,0.19,0.19,0.19,182
ok,2024-01-04 08:30:00,0.19,0.19,0.18,0.18,6674
ok,2024-01-04 09:00:00,0.19,0.19,0.19,0.19,1250
ok,2024-01-04 09:30:00,0.2,0.2,0.19,0.19,26190
ok,2024-01-04 10:00:00,0.19,0.19,0.19,0.19,3506
ok,2024-01-04 10:30:00,0.19,0.19,0.19,0.19,9269
ok,2024-01-04 11:00:00,0.19,0.19,0.19,0.19,47655
ok,2024-01-04 11:30:00,0.19,0.19,0.19,0.19,280
ok,2024-01-04 12:00:00,0.19,0.19,0.19,0.19,9644
ok,2024-01-04 12:30:00,0.19,0.19,0.19,0.19,472
ok,2024-01-04 14:00:00,0.19,0.19,0.19,0.19,3745
ok,2024-01-04 14:30:00,0.19,0.19,0.19,0.19,12000
ok,2024-01-04 15:00:00,0.19,0.19,0.19,0.19,6877
ok,2024-01-04 15:30:00,0.19,0.19,0.19,0.19,847
ok,2024-01-04 16:30:00,0.19,0.19,0.19,0.19,101
ok,2024-01-04 17:00:00,0.19,0.19,0.19,0.19,2000
ok,2024-01-04 18:00:00,0.19,0.19,0.19,0.19,299
ok,2024-01-05 04:00:00,0.18,0.18,0.18,0.18,1037
ok,2024-01-05 08:00:00,0.19,0.19,0.19,0.19,2548
ok,2024-01-05 09:00:00,0.19,0.2,0.19,0.2,688
ok,2024-01-05 09:30:00,0.2,0.2,0.19,0.19,20320
ok,2024-01-05 10:00:00,0.19,0.19,0.19,0.19,2770
ok,2024-01-05 10:30:00,0.19,0.19,0.19,0.19,2390
ok,2024-01-05 11:00:00,0.19,0.19,0.19,0.19,9415
ok,2024-01-05 11:30:00,0.19,0.19,0.19,0.19,5963
ok,2024-01-05 12:00:00,0.19,0.19,0.18,0.19,5909
ok,2024-01-05 12:30:00,0.19,0.19,0.19,0.19,10700
ok,2024-01-05 13:30:00,0.19,0.19,0.19,0.19,2442
ok,2024-01-05 14:00:00,0.19,0.19,0.19,0.19,19539
ok,2024-01-05 14:30:00,0.19,0.19,0.19,0.19,6811
ok,2024-01-05 15:00:00,0.19,0.19,0.18,0.19,11715
ok,2024-01-05 15:30:00,0.19,0.19,0.18,0.18,5008
ok,2024-01-05 16:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-05 16:30:00,0.18,0.18,0.18,0.18,301
ok,2024-01-05 17:00:00,0.18,0.18,0.18,0.18,2678
ok,2024-01-05 18:00:00,0.18,0.18,0.18,0.18,750
ok,2024-01-05 19:30:00,0.18,0.18,0.18,0.18,8622
ok,2024-01-08 05:30:00,0.18,0.18,0.18,0.18,1271
ok,2024-01-08 06:00:00,0.18,0.18,0.18,0.18,169
ok,2024-01-08 07:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-08 08:00:00,0.19,0.19,0.19,0.19,500
ok,2024-01-08 09:30:00,0.19,0.2,0.18,0.2,22766
ok,2024-01-08 10:00:00,0.2,0.2,0.18,0.2,27093
ok,2024-01-08 10:30:00,0.2,0.2,0.19,0.19,66709
ok,2024-01-08 11:00:00,0.19,0.2,0.18,0.2,5203
ok,2024-01-08 11:30:00,0.2,0.2,0.19,0.2,19769
ok,2024-01-08 12:00:00,0.21,0.21,0.2,0.2,2800
ok,2024-01-08 12:30:00,0.2,0.2,0.2,0.2,2039
ok,2024-01-08 13:00:00,0.2,0.2,0.2,0.2,36311
ok,2024-01-08 13:30:00,0.2,0.2,0.2,0.2,32252
ok,2024-01-08 14:00:00,0.2,0.2,0.2,0.2,2672
ok,2024-01-08 14:30:00,0.2,0.2,0.2,0.2,14634
ok,2024-01-08 15:00:00,0.2,0.2,0.19,0.2,8237
ok,2024-01-08 15:30:00,0.2,0.2,0.19,0.2,28424
ok,2024-01-08 16:30:00,0.19,0.19,0.19,0.19,2154
ok,2024-01-09 07:00:00,0.2,0.21,0.2,0.21,600
ok,2024-01-09 08:00:00,0.2,0.21,0.2,0.2,713
ok,2024-01-09 08:30:00,0.21,0.21,0.21,0.21,124
ok,2024-01-09 09:00:00,0.21,0.21,0.21,0.21,450
ok,2024-01-09 09:30:00,0.2,0.2,0.19,0.2,3832
ok,2024-01-09 10:00:00,0.2,0.2,0.2,0.2,4307
ok,2024-01-09 10:30:00,0.2,0.2,0.19,0.2,1390
ok,2024-01-09 11:00:00,0.2,0.2,0.19,0.19,3110
ok,2024-01-09 11:30:00,0.19,0.19,0.19,0.19,16815
ok,2024-01-09 12:00:00,0.19,0.2,0.19,0.2,13066
ok,2024-01-09 12:30:00,0.19,0.19,0.19,0.19,16583
ok,2024-01-09 13:00:00,0.19,0.2,0.19,0.2,14200
ok,2024-01-09 13:30:00,0.19,0.2,0.19,0.2,11556
ok,2024-01-09 14:00:00,0.2,0.2,0.2,0.2,249
ok,2024-01-09 15:00:00,0.19,0.19,0.19,0.19,11102
ok,2024-01-09 15:30:00,0.19,0.19,0.19,0.19,5115
ok,2024-01-09 16:00:00,0.19,0.19,0.19,0.19,1927
ok,2024-01-09 17:00:00,0.2,0.2,0.2,0.2,250
ok,2024-01-09 17:30:00,0.19,0.19,0.19,0.19,2000
ok,2024-01-09 18:00:00,0.19,0.19,0.19,0.19,100
ok,2024-01-09 19:00:00,0.19,0.19,0.19,0.19,6000
ok,2024-01-10 09:30:00,0.2,0.2,0.19,0.19,3845
ok,2024-01-10 10:00:00,0.19,0.2,0.19,0.19,15107
ok,2024-01-10 10:30:00,0.2,0.2,0.19,0.19,850
ok,2024-01-10 11:00:00,0.19,0.2,0.19,0.2,7000
ok,2024-01-10 11:30:00,0.2,0.2,0.2,0.2,692
ok,2024-01-10 12:00:00,0.19,0.19,0.19,0.19,3792
ok,2024-01-10 13:00:00,0.19,0.19,0.19,0.19,4000
ok,2024-01-10 13:30:00,0.19,0.19,0.19,0.19,100
ok,2024-01-10 14:00:00,0.19,0.19,0.19,0.19,553
ok,2024-01-10 14:30:00,0.19,0.19,0.19,0.19,8259
ok,2024-01-10 15:00:00,0.19,0.19,0.19,0.19,12286
ok,2024-01-10 15:30:00,0.19,0.19,0.18,0.19,12126
ok,2024-01-11 09:30:00,0.19,0.19,0.18,0.19,10531
ok,2024-01-11 10:00:00,0.19,0.19,0.19,0.19,2130
ok,2024-01-11 10:30:00,0.19,0.19,0.19,0.19,1606
ok,2024-01-11 11:00:00,0.19,0.19,0.19,0.19,28539
ok,2024-01-11 11:30:00,0.19,0.19,0.19,0.19,1288
ok,2024-01-11 12:00:00,0.19,0.19,0.19,0.19,100
ok,2024-01-11 12:30:00,0.19,0.19,0.18,0.18,1044
ok,2024-01-11 13:00:00,0.19,0.19,0.19,0.19,500
ok,2024-01-11 13:30:00,0.18,0.19,0.18,0.18,631
ok,2024-01-11 14:00:00,0.19,0.19,0.19,0.19,7578
ok,2024-01-11 14:30:00,0.19,0.19,0.19,0.19,1000
ok,2024-01-11 15:00:00,0.19,0.19,0.19,0.19,1000
ok,2024-01-11 15:30:00,0.19,0.19,0.19,0.19,695
ok,2024-01-11 16:30:00,0.19,0.19,0.18,0.18,848
ok,2024-01-11 17:30:00,0.18,0.19,0.18,0.19,1000
ok,2024-01-12 09:00:00,0.18,0.18,0.18,0.18,200
ok,2024-01-12 09:30:00,0.18,0.19,0.18,0.19,19510
ok,2024-01-12 10:00:00,0.19,0.19,0.18,0.18,750
ok,2024-01-12 10:30:00,0.18,0.18,0.18,0.18,15021
ok,2024-01-12 11:00:00,0.18,0.18,0.18,0.18,42155
ok,2024-01-12 11:30:00,0.18,0.18,0.18,0.18,1500
ok,2024-01-12 12:00:00,0.18,0.18,0.18,0.18,2945
ok,2024-01-12 12:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-12 13:00:00,0.18,0.18,0.18,0.18,1995
ok,2024-01-12 14:00:00,0.18,0.18,0.18,0.18,1140
ok,2024-01-12 14:30:00,0.18,0.18,0.18,0.18,7927
ok,2024-01-12 15:00:00,0.18,0.18,0.18,0.18,49831
ok,2024-01-12 15:30:00,0.18,0.18,0.18,0.18,4665
ok,2024-01-12 16:30:00,0.18,0.18,0.18,0.18,1426
ok,2024-01-12 17:00:00,0.18,0.18,0.18,0.18,500
ok,2024-01-12 18:30:00,0.18,0.18,0.17,0.18,3100
ok,2024-01-12 19:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-16 05:30:00,0.2,0.2,0.2,0.2,1213
ok,2024-01-16 06:30:00,0.2,0.2,0.2,0.2,100
ok,2024-01-16 08:00:00,0.19,0.19,0.18,0.18,2104
ok,2024-01-16 09:00:00,0.19,0.19,0.19,0.19,1500
ok,2024-01-16 09:30:00,0.2,0.2,0.18,0.18,18173
ok,2024-01-16 10:00:00,0.18,0.18,0.18,0.18,12395
ok,2024-01-16 10:30:00,0.18,0.18,0.17,0.17,27591
ok,2024-01-16 11:00:00,0.17,0.18,0.17,0.18,1900
ok,2024-01-16 11:30:00,0.18,0.18,0.18,0.18,1743
ok,2024-01-16 12:00:00,0.18,0.18,0.17,0.17,9265
ok,2024-01-16 12:30:00,0.17,0.17,0.17,0.17,11370
ok,2024-01-16 13:00:00,0.17,0.18,0.17,0.18,14301
ok,2024-01-16 13:30:00,0.18,0.18,0.18,0.18,4825
ok,2024-01-16 14:00:00,0.17,0.17,0.17,0.17,300
ok,2024-01-16 14:30:00,0.17,0.17,0.17,0.17,11513
ok,2024-01-16 15:00:00,0.17,0.17,0.17,0.17,225
ok,2024-01-16 15:30:00,0.17,0.17,0.17,0.17,3092
ok,2024-01-16 16:00:00,0.17,0.17,0.17,0.17,1101
ok,2024-01-16 18:00:00,0.18,0.18,0.18,0.18,216
ok,2024-01-17 04:30:00,0.18,0.18,0.18,0.18,384
ok,2024-01-17 06:00:00,0.17,0.17,0.17,0.17,100
ok,2024-01-17 08:00:00,0.18,0.18,0.17,0.17,1204
ok,2024-01-17 08:30:00,0.17,0.17,0.17,0.17,690
ok,2024-01-17 09:00:00,0.17,0.18,0.17,0.18,3371
ok,2024-01-17 09:30:00,0.17,0.18,0.17,0.17,7066
ok,2024-01-17 10:00:00,0.17,0.17,0.17,0.17,23303
ok,2024-01-17 10:30:00,0.17,0.18,0.17,0.18,1755
ok,2024-01-17 11:00:00,0.17,0.18,0.17,0.17,9250
ok,2024-01-17 11:30:00,0.18,0.18,0.17,0.17,1568
ok,2024-01-17 12:00:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-17 13:00:00,0.18,0.18,0.18,0.18,2001
ok,2024-01-17 13:30:00,0.18,0.18,0.17,0.17,1504
ok,2024-01-17 14:30:00,0.17,0.17,0.17,0.17,30410
ok,2024-01-17 15:00:00,0.17,0.17,0.17,0.17,3579
ok,2024-01-17 15:30:00,0.17,0.17,0.17,0.17,5025
ok,2024-01-17 18:00:00,0.19,0.19,0.19,0.19,200
ok,2024-01-18 04:00:00,0.17,0.17,0.17,0.17,100
ok,2024-01-18 05:30:00,0.17,0.17,0.17,0.17,370
ok,2024-01-18 07:30:00,0.17,0.17,0.17,0.17,100
ok,2024-01-18 08:00:00,0.17,0.17,0.17,0.17,851
ok,2024-01-18 09:30:00,0.18,0.18,0.17,0.17,4480
ok,2024-01-18 10:00:00,0.17,0.17,0.17,0.17,1550
ok,2024-01-18 10:30:00,0.17,0.17,0.17,0.17,1939
ok,2024-01-18 11:00:00,0.17,0.17,0.17,0.17,6220
ok,2024-01-18 11:30:00,0.17,0.17,0.17,0.17,1200
ok,2024-01-18 12:00:00,0.17,0.17,0.17,0.17,1641
ok,2024-01-18 12:30:00,0.17,0.17,0.17,0.17,5300
ok,2024-01-18 13:00:00,0.17,0.17,0.17,0.17,6383
ok,2024-01-18 13:30:00,0.17,0.17,0.17,0.17,1214
ok,2024-01-18 14:00:00,0.17,0.17,0.17,0.17,1704
ok,2024-01-18 14:30:00,0.17,0.17,0.17,0.17,4295
ok,2024-01-18 15:00:00,0.17,0.17,0.17,0.17,2106
ok,2024-01-18 15:30:00,0.17,0.17,0.17,0.17,5152
ok,2024-01-18 16:00:00,0.17,0.17,0.17,0.17,600
ok,2024-01-18 19:30:00,0.17,0.18,0.17,0.17,622
ok,2024-01-19 06:00:00,0.17,0.17,0.17,0.17,100
ok,2024-01-19 08:00:00,0.17,0.17,0.17,0.17,400
ok,2024-01-19 08:30:00,0.17,0.17,0.17,0.17,6668
ok,2024-01-19 09:30:00,0.18,0.18,0.17,0.18,4010
ok,2024-01-19 10:00:00,0.17,0.18,0.17,0.17,3407
ok,2024-01-19 10:30:00,0.17,0.17,0.17,0.17,4100
ok,2024-01-19 12:30:00,0.17,0.17,0.17,0.17,100
ok,2024-01-19 13:00:00,0.17,0.17,0.17,0.17,18545
ok,2024-01-19 13:30:00,0.17,0.17,0.17,0.17,1120
ok,2024-01-19 14:00:00,0.17,0.17,0.17,0.17,6387
ok,2024-01-19 14:30:00,0.17,0.17,0.17,0.17,3564
ok,2024-01-19 15:30:00,0.17,0.17,0.17,0.17,10258
ok,2024-01-19 16:00:00,0.17,0.17,0.17,0.17,1762
ok,2024-01-19 18:00:00,0.17,0.17,0.17,0.17,100
ok,2024-01-19 19:30:00,0.18,0.18,0.18,0.18,150
ok,2024-01-22 09:00:00,0.17,0.17,0.17,0.17,450
ok,2024-01-22 09:30:00,0.16,0.17,0.16,0.16,10443
ok,2024-01-22 10:00:00,0.17,0.17,0.17,0.17,3351
ok,2024-01-22 10:30:00,0.17,0.17,0.17,0.17,710
ok,2024-01-22 11:00:00,0.17,0.17,0.17,0.17,359
ok,2024-01-22 11:30:00,0.17,0.17,0.17,0.17,863
ok,2024-01-22 12:00:00,0.17,0.17,0.17,0.17,13016
ok,2024-01-22 12:30:00,0.17,0.17,0.17,0.17,7420
ok,2024-01-22 13:00:00,0.17,0.17,0.17,0.17,6300
ok,2024-01-22 13:30:00,0.17,0.17,0.17,0.17,7830
ok,2024-01-22 14:00:00,0.17,0.17,0.17,0.17,469
ok,2024-01-22 14:30:00,0.17,0.17,0.17,0.17,2336
ok,2024-01-22 15:30:00,0.17,0.17,0.17,0.17,1325
ok,2024-01-22 16:00:00,0.17,0.17,0.17,0.17,250
ok,2024-01-22 17:00:00,0.17,0.17,0.17,0.17,451
ok,2024-01-22 18:00:00,0.17,0.17,0.17,0.17,2100
ok,2024-01-23 07:00:00,0.16,0.16,0.16,0.16,2012
ok,2024-01-23 07:30:00,0.17,0.17,0.17,0.17,329
ok,2024-01-23 08:00:00,0.17,0.17,0.17,0.17,110
ok,2024-01-23 09:00:00,0.17,0.17,0.17,0.17,108
ok,2024-01-23 09:30:00,0.17,0.17,0.17,0.17,2555
ok,2024-01-23 10:00:00,0.17,0.17,0.16,0.16,8114
ok,2024-01-23 10:30:00,0.16,0.17,0.16,0.17,1819
ok,2024-01-23 11:00:00,0.17,0.17,0.17,0.17,600
ok,2024-01-23 11:30:00,0.16,0.16,0.16,0.16,597
ok,2024-01-23 12:30:00,0.17,0.17,0.16,0.16,11658
ok,2024-01-23 13:00:00,0.16,0.16,0.16,0.16,13470
