s,t,o,h,l,c,v
ok,2024-01-02 05:00:00,0.72,0.72,0.72,0.72,1481
ok,2024-01-02 09:30:00,0.79,0.79,0.75,0.75,3054
ok,2024-01-02 10:00:00,0.78,0.78,0.78,0.78,507
ok,2024-01-02 10:30:00,0.77,0.77,0.75,0.76,2571
ok,2024-01-02 11:00:00,0.74,0.77,0.74,0.77,8142
ok,2024-01-02 11:30:00,0.75,0.75,0.74,0.74,835
ok,2024-01-02 12:30:00,0.75,0.75,0.74,0.74,712
ok,2024-01-02 13:00:00,0.75,0.75,0.74,0.74,1899
ok,2024-01-02 13:30:00,0.73,0.75,0.73,0.75,1141
ok,2024-01-02 14:30:00,0.75,0.75,0.75,0.75,150
ok,2024-01-02 15:00:00,0.75,0.75,0.73,0.73,5446
ok,2024-01-02 15:30:00,0.75,0.77,0.74,0.74,3193
ok,2024-01-02 16:00:00,0.74,0.74,0.74,0.74,850
ok,2024-01-03 08:00:00,0.75,0.75,0.75,0.75,100
ok,2024-01-03 08:30:00,0.74,0.79,0.74,0.79,430
ok,2024-01-03 09:30:00,0.78,0.94,0.78,0.89,158508
ok,2024-01-03 10:00:00,0.9,1.04,0.9,0.93,205638
ok,2024-01-03 10:30:00,0.92,0.97,0.9,0.92,40283
ok,2024-01-03 11:00:00,0.92,0.93,0.81,0.85,40793
ok,2024-01-03 11:30:00,0.84,0.85,0.8,0.81,25651
ok,2024-01-03 12:00:00,0.81,0.85,0.81,0.85,14279
ok,2024-01-03 12:30:00,0.8,0.84,0.8,0.83,9593
ok,2024-01-03 13:00:00,0.83,0.85,0.81,0.83,8708
ok,2024-01-03 13:30:00,0.85,0.86,0.83,0.83,6869
ok,2024-01-03 14:00:00,0.83,0.84,0.83,0.83,930
ok,2024-01-03 14:30:00,0.83,0.86,0.81,0.81,15453
ok,2024-01-03 15:00:00,0.81,0.81,0.78,0.81,11650
ok,2024-01-03 15:30:00,0.78,0.81,0.78,0.79,5065
ok,2024-01-03 16:30:00,0.8,0.8,0.79,0.79,458
ok,2024-01-04 04:00:00,0.77,0.77,0.77,0.77,100
ok,2024-01-04 04:30:00,0.77,0.79,0.76,0.76,1797
ok,2024-01-04 05:30:00,0.77,0.77,0.76,0.76,1457
ok,2024-01-04 06:30:00,0.74,0.74,0.74,0.74,100
ok,2024-01-04 07:30:00,0.73,0.76,0.73,0.74,3475
ok,2024-01-04 08:00:00,0.75,0.81,0.75,0.76,7886
ok,2024-01-04 08:30:00,0.81,0.81,0.8,0.8,2119
