s,t,o,h,l,c,v
ok,2024-01-02 06:00:00,0.43,0.43,0.43,0.43,100
ok,2024-01-02 06:30:00,0.44,0.44,0.43,0.43,300
ok,2024-01-02 08:00:00,0.42,0.44,0.42,0.42,1423
ok,2024-01-02 09:00:00,0.42,0.42,0.42,0.42,201
ok,2024-01-02 09:30:00,0.44,0.44,0.42,0.42,12090
ok,2024-01-02 10:00:00,0.42,0.43,0.42,0.42,20788
ok,2024-01-02 10:30:00,0.43,0.43,0.43,0.43,116
ok,2024-01-02 11:00:00,0.42,0.43,0.42,0.42,3446
ok,2024-01-02 11:30:00,0.42,0.43,0.42,0.43,6110
ok,2024-01-02 12:00:00,0.42,0.43,0.42,0.42,22928
ok,2024-01-02 12:30:00,0.42,0.43,0.42,0.43,10542
ok,2024-01-02 14:00:00,0.43,0.43,0.42,0.42,2447
ok,2024-01-02 15:00:00,0.43,0.43,0.42,0.42,5765
ok,2024-01-02 15:30:00,0.43,0.43,0.43,0.43,986
ok,2024-01-02 18:00:00,0.42,0.43,0.42,0.43,2510
ok,2024-01-03 07:30:00,0.43,0.43,0.43,0.43,101
ok,2024-01-03 08:00:00,0.43,0.43,0.43,0.43,1020
ok,2024-01-03 09:00:00,0.43,0.43,0.43,0.43,268
ok,2024-01-03 09:30:00,0.43,0.43,0.38,0.4,64437
ok,2024-01-03 10:00:00,0.39,0.41,0.39,0.4,40566
ok,2024-01-03 10:30:00,0.41,0.41,0.4,0.4,2952
ok,2024-01-03 11:00:00,0.4,0.41,0.4,0.41,7684
ok,2024-01-03 11:30:00,0.41,0.41,0.4,0.41,8329
ok,2024-01-03 12:00:00,0.41,0.41,0.41,0.41,320
ok,2024-01-03 12:30:00,0.41,0.41,0.41,0.41,10216
ok,2024-01-03 13:00:00,0.41,0.41,0.41,0.41,2200
ok,2024-01-03 13:30:00,0.41,0.42,0.41,0.42,4235
ok,2024-01-03 14:00:00,0.42,0.42,0.41,0.41,1351
ok,2024-01-03 14:30:00,0.41,0.41,0.41,0.41,800
ok,2024-01-03 15:00:00,0.41,0.41,0.41,0.41,2100
ok,2024-01-03 15:30:00,0.41,0.41,0.41,0.41,526
ok,2024-01-03 17:00:00,0.39,0.39,0.39,0.39,190
ok,2024-01-04 08:30:00,0.39,0.39,0.39,0.39,215
ok,2024-01-04 09:00:00,0.4,0.4,0.4,0.4,189
ok,2024-01-04 09:30:00,0.41,0.41,0.4,0.4,1600
ok,2024-01-04 10:00:00,0.4,0.42,0.4,0.4,8434
ok,2024-01-04 10:30:00,0.41,0.41,0.41,0.41,2000
ok,2024-01-04 11:00:00,0.41,0.42,0.41,0.41,20261
ok,2024-01-04 11:30:00,0.42,0.42,0.42,0.42,248
ok,2024-01-04 12:00:00,0.42,0.43,0.42,0.42,12756
ok,2024-01-04 13:00:00,0.42,0.42,0.41,0.42,900
ok,2024-01-04 13:30:00,0.42,0.42,0.41,0.42,3992
ok,2024-01-04 14:00:00,0.42,0.42,0.42,0.42,5100
ok,2024-01-04 14:30:00,0.42,0.42,0.41,0.42,6818
ok,2024-01-04 15:00:00,0.41,0.41,0.41,0.41,9100
