s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,0.33,0.33,0.33,0.33,13214
ok,2024-01-02 09:00:00,0.33,0.33,0.33,0.33,120
ok,2024-01-02 09:30:00,0.32,0.32,0.32,0.32,25636
ok,2024-01-02 10:00:00,0.32,0.32,0.32,0.32,5650
ok,2024-01-02 10:30:00,0.32,0.32,0.32,0.32,12130
ok,2024-01-02 11:00:00,0.33,0.33,0.32,0.32,13039
ok,2024-01-02 11:30:00,0.32,0.33,0.32,0.33,7863
ok,2024-01-02 12:00:00,0.32,0.32,0.32,0.32,19042
ok,2024-01-02 12:30:00,0.32,0.32,0.32,0.32,4119
ok,2024-01-02 13:00:00,0.32,0.32,0.32,0.32,6229
ok,2024-01-02 13:30:00,0.32,0.32,0.32,0.32,4492
ok,2024-01-02 14:00:00,0.32,0.32,0.32,0.32,6416
ok,2024-01-02 14:30:00,0.32,0.32,0.32,0.32,2621
ok,2024-01-02 15:00:00,0.32,0.32,0.32,0.32,7019
ok,2024-01-02 15:30:00,0.32,0.32,0.32,0.32,4554
ok,2024-01-02 16:00:00,0.32,0.32,0.32,0.32,190
ok,2024-01-02 18:30:00,0.32,0.32,0.32,0.32,775
ok,2024-01-03 07:00:00,0.32,0.33,0.32,0.32,804
ok,2024-01-03 08:00:00,0.33,0.33,0.32,0.32,1084
ok,2024-01-03 09:00:00,0.32,0.32,0.32,0.32,101
ok,2024-01-03 09:30:00,0.32,0.32,0.31,0.31,30454
ok,2024-01-03 10:00:00,0.31,0.32,0.31,0.31,14069
ok,2024-01-03 10:30:00,0.31,0.31,0.31,0.31,20678
ok,2024-01-03 11:00:00,0.31,0.31,0.31,0.31,7125
ok,2024-01-03 11:30:00,0.31,0.31,0.31,0.31,2680
ok,2024-01-03 12:00:00,0.31,0.31,0.31,0.31,4566
ok,2024-01-03 12:30:00,0.31,0.31,0.31,0.31,7919
ok,2024-01-03 13:00:00,0.31,0.31,0.31,0.31,541
ok,2024-01-03 13:30:00,0.31,0.31,0.31,0.31,5506
ok,2024-01-03 14:00:00,0.31,0.31,0.31,0.31,18182
ok,2024-01-03 14:30:00,0.31,0.31,0.31,0.31,2642
ok,2024-01-03 15:00:00,0.31,0.31,0.31,0.31,6125
ok,2024-01-03 15:30:00,0.31,0.31,0.31,0.31,31984
ok,2024-01-03 16:00:00,0.32,0.32,0.32,0.32,1000
ok,2024-01-03 16:30:00,0.32,0.32,0.31,0.31,2115
ok,2024-01-04 06:30:00,0.31,0.31,0.29,0.29,1500
ok,2024-01-04 08:00:00,0.32,0.32,0.32,0.32,100
ok,2024-01-04 09:00:00,0.32,0.32,0.32,0.32,200
