s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.5,0.5,0.5,0.5,199
ok,2024-01-02 08:30:00,0.49,0.49,0.49,0.49,155
ok,2024-01-02 09:00:00,0.49,0.49,0.47,0.47,1255
ok,2024-01-02 09:30:00,0.46,0.49,0.46,0.47,19131
ok,2024-01-02 10:00:00,0.47,0.49,0.47,0.49,4208
ok,2024-01-02 10:30:00,0.49,0.51,0.49,0.49,5938
ok,2024-01-02 11:00:00,0.5,0.5,0.49,0.5,2747
ok,2024-01-02 11:30:00,0.49,0.5,0.49,0.49,1671
ok,2024-01-02 12:00:00,0.49,0.5,0.49,0.49,1795
ok,2024-01-02 12:30:00,0.48,0.5,0.48,0.48,1400
ok,2024-01-02 13:00:00,0.48,0.49,0.48,0.48,1100
ok,2024-01-02 13:30:00,0.48,0.48,0.47,0.48,1500
ok,2024-01-02 14:00:00,0.47,0.51,0.47,0.5,3693
ok,2024-01-02 14:30:00,0.5,0.5,0.47,0.47,31778
ok,2024-01-02 15:00:00,0.48,0.5,0.48,0.5,12290
ok,2024-01-02 15:30:00,0.5,0.51,0.49,0.49,7556
ok,2024-01-03 09:00:00,0.49,0.49,0.48,0.48,1097
ok,2024-01-03 09:30:00,0.46,0.46,0.45,0.45,19144
ok,2024-01-03 10:00:00,0.45,0.45,0.45,0.45,1703
ok,2024-01-03 10:30:00,0.45,0.45,0.45,0.45,1800
ok,2024-01-03 11:00:00,0.45,0.45,0.45,0.45,3300
ok,2024-01-03 11:30:00,0.45,0.47,0.45,0.47,2123
ok,2024-01-03 12:00:00,0.47,0.47,0.46,0.46,2304
ok,2024-01-03 12:30:00,0.46,0.47,0.46,0.46,1216
ok,2024-01-03 13:00:00,0.46,0.47,0.46,0.46,1300
ok,2024-01-03 13:30:00,0.46,0.47,0.46,0.46,1600
ok,2024-01-03 14:00:00,0.46,0.47,0.46,0.46,1400
ok,2024-01-03 14:30:00,0.46,0.47,0.46,0.46,1400
ok,2024-01-03 15:00:00,0.46,0.5,0.46,0.5,8850
