s,t,o,h,l,c,v
ok,2024-01-02 05:30:00,0.4,0.4,0.4,0.4,166
ok,2024-01-02 06:30:00,0.4,0.4,0.4,0.4,550
ok,2024-01-02 07:30:00,0.4,0.42,0.4,0.4,7593
ok,2024-01-02 08:00:00,0.4,0.4,0.4,0.4,5154
ok,2024-01-02 08:30:00,0.42,0.42,0.41,0.42,2266
ok,2024-01-02 09:00:00,0.41,0.41,0.4,0.4,2324
ok,2024-01-02 09:30:00,0.4,0.43,0.4,0.41,115585
ok,2024-01-02 10:00:00,0.41,0.42,0.4,0.4,49989
ok,2024-01-02 10:30:00,0.41,0.41,0.4,0.4,40485
ok,2024-01-02 11:00:00,0.41,0.41,0.4,0.41,39932
ok,2024-01-02 11:30:00,0.4,0.41,0.4,0.41,19992
ok,2024-01-02 12:00:00,0.41,0.41,0.4,0.4,54417
ok,2024-01-02 12:30:00,0.4,0.41,0.4,0.4,24124
ok,2024-01-02 13:00:00,0.4,0.4,0.4,0.4,16560
ok,2024-01-02 13:30:00,0.4,0.4,0.4,0.4,32722
ok,2024-01-02 14:00:00,0.4,0.4,0.39,0.39,32015
ok,2024-01-02 14:30:00,0.39,0.4,0.39,0.4,13827
ok,2024-01-02 15:00:00,0.4,0.4,0.39,0.39,46556
ok,2024-01-02 15:30:00,0.39,0.4,0.39,0.39,112873
ok,2024-01-02 16:00:00,0.4,0.4,0.4,0.4,382
ok,2024-01-02 16:30:00,0.39,0.39,0.39,0.39,100
ok,2024-01-02 19:30:00,0.39,0.4,0.39,0.4,6691
ok,2024-01-03 04:00:00,0.4,0.4,0.4,0.4,234
ok,2024-01-03 06:00:00,0.4,0.4,0.4,0.4,264
ok,2024-01-03 07:30:00,0.39,0.39,0.39,0.39,198
ok,2024-01-03 08:00:00,0.4,0.4,0.39,0.39,5726
ok,2024-01-03 08:30:00,0.39,0.39,0.39,0.39,1094
ok,2024-01-03 09:00:00,0.39,0.39,0.39,0.39,996
ok,2024-01-03 09:30:00,0.39,0.4,0.39,0.4,116056
ok,2024-01-03 10:00:00,0.39,0.4,0.39,0.4,89910
ok,2024-01-03 10:30:00,0.4,0.4,0.39,0.4,240425
ok,2024-01-03 11:00:00,0.4,0.4,0.4,0.4,195227
ok,2024-01-03 11:30:00,0.4,0.4,0.4,0.4,44539
ok,2024-01-03 12:00:00,0.4,0.4,0.4,0.4,179022
ok,2024-01-03 12:30:00,0.4,0.4,0.4,0.4,103167
ok,2024-01-03 13:00:00,0.4,0.42,0.4,0.41,196028
ok,2024-01-03 13:30:00,0.41,0.42,0.4,0.41,385527
ok,2024-01-03 14:00:00,0.41,0.41,0.4,0.4,340530
ok,2024-01-03 14:30:00,0.4,0.42,0.4,0.41,122241
ok,2024-01-03 15:00:00,0.41,0.42,0.41,0.42,81048
ok,2024-01-03 15:30:00,0.42,0.42,0.41,0.42,536954
ok,2024-01-03 16:00:00,0.41,0.41,0.41,0.41,500
ok,2024-01-03 16:30:00,0.41,0.41,0.41,0.41,102
ok,2024-01-03 19:00:00,0.42,0.42,0.42,0.42,183
ok,2024-01-04 04:00:00,0.41,0.41,0.41,0.41,100
ok,2024-01-04 05:00:00,0.42,0.42,0.42,0.42,117
ok,2024-01-04 05:30:00,0.42,0.42,0.42,0.42,1410
ok,2024-01-04 06:00:00,0.42,0.42,0.42,0.42,500
ok,2024-01-04 06:30:00,0.4,0.4,0.4,0.4,417
ok,2024-01-04 07:00:00,0.41,0.42,0.41,0.42,400
ok,2024-01-04 07:30:00,0.42,0.42,0.42,0.42,316
ok,2024-01-04 08:00:00,0.42,0.42,0.41,0.42,1322
ok,2024-01-04 08:30:00,0.42,0.42,0.42,0.42,150
ok,2024-01-04 09:00:00,0.4,0.4,0.4,0.4,423
