s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.41,0.41,0.4,0.4,6898
ok,2024-01-02 08:00:00,0.4,0.4,0.39,0.4,5712
ok,2024-01-02 09:30:00,0.4,0.41,0.39,0.4,8209
ok,2024-01-02 10:00:00,0.39,0.39,0.39,0.39,6635
ok,2024-01-02 11:00:00,0.4,0.4,0.39,0.39,13925
ok,2024-01-02 12:00:00,0.39,0.39,0.38,0.38,9485
ok,2024-01-02 12:30:00,0.39,0.4,0.38,0.38,3759
ok,2024-01-02 13:00:00,0.39,0.4,0.38,0.4,9747
ok,2024-01-02 13:30:00,0.4,0.4,0.4,0.4,2714
ok,2024-01-02 14:00:00,0.39,0.4,0.39,0.4,3043
ok,2024-01-02 14:30:00,0.4,0.4,0.38,0.38,7641
ok,2024-01-02 15:00:00,0.38,0.39,0.38,0.38,2222
ok,2024-01-02 15:30:00,0.39,0.39,0.38,0.39,9909
ok,2024-01-03 08:30:00,0.4,0.4,0.4,0.4,410
ok,2024-01-03 09:30:00,0.4,0.42,0.39,0.42,4583
ok,2024-01-03 10:00:00,0.42,0.42,0.39,0.39,11751
ok,2024-01-03 10:30:00,0.39,0.39,0.39,0.39,2633
ok,2024-01-03 11:00:00,0.38,0.39,0.36,0.38,42305
ok,2024-01-03 11:30:00,0.39,0.39,0.39,0.39,196
ok,2024-01-03 12:00:00,0.39,0.39,0.38,0.38,3002
ok,2024-01-03 12:30:00,0.37,0.37,0.37,0.37,9790
ok,2024-01-03 13:00:00,0.37,0.38,0.36,0.38,30608
ok,2024-01-03 13:30:00,0.4,0.4,0.36,0.37,7019
ok,2024-01-03 14:00:00,0.37,0.39,0.37,0.38,963
ok,2024-01-03 15:00:00,0.38,0.39,0.38,0.39,14971
ok,2024-01-03 15:30:00,0.39,0.39,0.38,0.38,3923
ok,2024-01-03 16:00:00,0.38,0.38,0.38,0.38,706
ok,2024-01-03 17:00:00,0.37,0.37,0.37,0.37,505
ok,2024-01-03 17:30:00,0.39,0.39,0.39,0.39,375
ok,2024-01-03 19:00:00,0.39,0.39,0.39,0.39,175
ok,2024-01-04 09:30:00,0.39,0.42,0.39,0.42,3571
ok,2024-01-04 10:00:00,0.4,0.4,0.4,0.4,1932
ok,2024-01-04 10:30:00,0.39,0.39,0.36,0.37,15259
ok,2024-01-04 11:00:00,0.37,0.38,0.37,0.38,1592
ok,2024-01-04 11:30:00,0.37,0.37,0.37,0.37,121
ok,2024-01-04 12:00:00,0.37,0.37,0.36,0.36,9017
ok,2024-01-04 12:30:00,0.37,0.37,0.37,0.37,1146
ok,2024-01-04 13:00:00,0.37,0.37,0.37,0.37,2947
ok,2024-01-04 14:00:00,0.37,0.37,0.37,0.37,1265
ok,2024-01-04 14:30:00,0.37,0.37,0.36,0.36,6128
ok,2024-01-04 15:00:00,0.37,0.37,0.37,0.37,201
ok,2024-01-04 15:30:00,0.37,0.37,0.36,0.36,13832
ok,2024-01-04 16:00:00,0.39,0.39,0.36,0.38,2195
ok,2024-01-04 16:30:00,0.38,0.38,0.38,0.38,1577
ok,2024-01-04 17:00:00,0.38,0.38,0.38,0.38,200
ok,2024-01-05 08:00:00,0.4,0.4,0.4,0.4,123
ok,2024-01-05 08:30:00,0.37,0.37,0.37,0.37,100
ok,2024-01-05 09:30:00,0.38,0.39,0.37,0.38,7384
ok,2024-01-05 10:00:00,0.38,0.4,0.37,0.39,2152
ok,2024-01-05 10:30:00,0.39,0.39,0.39,0.39,1036
ok,2024-01-05 11:00:00,0.39,0.39,0.38,0.38,3964
ok,2024-01-05 11:30:00,0.39,0.39,0.39,0.39,150
ok,2024-01-05 12:00:00,0.38,0.39,0.37,0.37,7197
ok,2024-01-05 13:00:00,0.37,0.37,0.37,0.37,1704
ok,2024-01-05 13:30:00,0.37,0.37,0.37,0.37,534
ok,2024-01-05 14:00:00,0.37,0.37,0.37,0.37,841
ok,2024-01-05 14:30:00,0.37,0.37,0.37,0.37,2027
ok,2024-01-05 15:00:00,0.37,0.37,0.37,0.37,1700
ok,2024-01-05 15:30:00,0.37,0.37,0.37,0.37,9790
ok,2024-01-05 17:00:00,0.36,0.36,0.36,0.36,400
ok,2024-01-05 17:30:00,0.36,0.38,0.36,0.38,673
ok,2024-01-08 04:00:00,0.4,0.4,0.4,0.4,530
ok,2024-01-08 09:30:00,0.38,0.38,0.36,0.36,2757
ok,2024-01-08 10:00:00,0.37,0.37,0.36,0.36,8569
ok,2024-01-08 10:30:00,0.37,0.37,0.36,0.37,2856
ok,2024-01-08 11:00:00,0.36,0.36,0.36,0.36,3155
ok,2024-01-08 11:30:00,0.36,0.37,0.36,0.36,5954
ok,2024-01-08 12:00:00,0.37,0.38,0.36,0.36,5430
ok,2024-01-08 12:30:00,0.36,0.36,0.36,0.36,5759
ok,2024-01-08 13:00:00,0.36,0.36,0.36,0.36,6052
ok,2024-01-08 13:30:00,0.36,0.36,0.36,0.36,1156
ok,2024-01-08 14:00:00,0.36,0.36,0.36,0.36,294
ok,2024-01-08 14:30:00,0.36,0.36,0.36,0.36,11252
ok,2024-01-08 15:00:00,0.36,0.36,0.36,0.36,866
ok,2024-01-08 15:30:00,0.36,0.36,0.36,0.36,1706
ok,2024-01-08 16:00:00,0.36,0.36,0.36,0.36,300
ok,2024-01-08 19:30:00,0.38,0.38,0.38,0.38,100
ok,2024-01-09 07:30:00,0.38,0.38,0.38,0.38,100
ok,2024-01-09 08:00:00,0.39,0.39,0.39,0.39,349
ok,2024-01-09 08:30:00,0.38,0.38,0.38,0.38,300
ok,2024-01-09 09:30:00,0.38,0.38,0.36,0.36,24385
ok,2024-01-09 10:00:00,0.36,0.36,0.36,0.36,5510
ok,2024-01-09 10:30:00,0.36,0.36,0.35,0.36,11281
ok,2024-01-09 11:00:00,0.36,0.36,0.35,0.35,589
ok,2024-01-09 11:30:00,0.36,0.38,0.33,0.36,67200
ok,2024-01-09 12:00:00,0.35,0.36,0.35,0.35,5011
ok,2024-01-09 12:30:00,0.35,0.35,0.35,0.35,15582
ok,2024-01-09 13:00:00,0.34,0.35,0.33,0.35,2770
ok,2024-01-09 13:30:00,0.35,0.35,0.33,0.34,13217
ok,2024-01-09 14:00:00,0.36,0.36,0.32,0.33,24132
ok,2024-01-09 14:30:00,0.33,0.34,0.33,0.33,16450
ok,2024-01-09 15:00:00,0.34,0.34,0.33,0.33,1519
ok,2024-01-09 15:30:00,0.33,0.33,0.33,0.33,22830
ok,2024-01-09 17:00:00,0.34,0.34,0.34,0.34,1200
ok,2024-01-09 19:30:00,0.34,0.34,0.34,0.34,1428
ok,2024-01-10 07:30:00,0.34,0.34,0.34,0.34,1999
ok,2024-01-10 08:00:00,0.34,0.34,0.34,0.34,2950
ok,2024-01-10 09:30:00,0.34,0.34,0.32,0.33,10734
ok,2024-01-10 10:00:00,0.32,0.32,0.32,0.32,857
ok,2024-01-10 10:30:00,0.34,0.34,0.32,0.33,13473
ok,2024-01-10 11:00:00,0.32,0.33,0.31,0.32,26130
ok,2024-01-10 11:30:00,0.31,0.31,0.31,0.31,15306
ok,2024-01-10 12:00:00,0.31,0.32,0.31,0.31,21450
ok,2024-01-10 12:30:00,0.31,0.31,0.3,0.31,11448
ok,2024-01-10 13:00:00,0.31,0.31,0.31,0.31,3623
ok,2024-01-10 13:30:00,0.31,0.31,0.31,0.31,12238
