s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,0.59,0.59,0.58,0.58,987
ok,2024-01-02 06:00:00,0.59,0.6,0.59,0.6,265
ok,2024-01-02 07:00:00,0.61,0.61,0.58,0.58,3012
ok,2024-01-02 08:00:00,0.58,0.58,0.58,0.58,5406
ok,2024-01-02 08:30:00,0.58,0.58,0.58,0.58,1371
ok,2024-01-02 09:00:00,0.58,0.58,0.58,0.58,6637
ok,2024-01-02 09:30:00,0.58,0.59,0.57,0.58,20524
ok,2024-01-02 10:00:00,0.58,0.59,0.58,0.59,2526
ok,2024-01-02 10:30:00,0.58,0.59,0.57,0.59,11459
ok,2024-01-02 11:00:00,0.57,0.58,0.57,0.57,48623
ok,2024-01-02 11:30:00,0.57,0.58,0.57,0.57,31624
ok,2024-01-02 12:00:00,0.58,0.58,0.57,0.58,6157
ok,2024-01-02 12:30:00,0.58,0.58,0.58,0.58,1768
ok,2024-01-02 13:00:00,0.58,0.58,0.58,0.58,6090
ok,2024-01-02 13:30:00,0.58,0.58,0.57,0.57,6966
ok,2024-01-02 14:00:00,0.58,0.58,0.57,0.58,31961
ok,2024-01-02 14:30:00,0.58,0.58,0.57,0.57,95088
ok,2024-01-02 15:00:00,0.57,0.58,0.57,0.58,12963
ok,2024-01-02 15:30:00,0.58,0.58,0.58,0.58,15685
ok,2024-01-02 16:00:00,0.57,0.57,0.57,0.57,100
ok,2024-01-02 17:00:00,0.57,0.57,0.57,0.57,150
ok,2024-01-02 18:00:00,0.58,0.58,0.58,0.58,107
ok,2024-01-02 18:30:00,0.6,0.6,0.6,0.6,9500
ok,2024-01-02 19:00:00,0.6,0.6,0.6,0.6,200
ok,2024-01-03 07:00:00,0.58,0.58,0.58,0.58,100
ok,2024-01-03 09:00:00,0.58,0.58,0.58,0.58,219
ok,2024-01-03 09:30:00,0.57,0.59,0.57,0.57,25039
ok,2024-01-03 10:00:00,0.57,0.59,0.57,0.58,5064
ok,2024-01-03 10:30:00,0.59,0.59,0.58,0.58,2948
ok,2024-01-03 11:00:00,0.58,0.58,0.57,0.58,989
ok,2024-01-03 11:30:00,0.58,0.58,0.55,0.55,50252
ok,2024-01-03 12:00:00,0.56,0.56,0.55,0.55,32159
ok,2024-01-03 12:30:00,0.55,0.55,0.54,0.55,23816
ok,2024-01-03 13:00:00,0.55,0.55,0.54,0.54,11124
ok,2024-01-03 13:30:00,0.55,0.55,0.54,0.55,11242
ok,2024-01-03 14:00:00,0.54,0.56,0.54,0.56,3138
ok,2024-01-03 14:30:00,0.55,0.56,0.55,0.56,3297
ok,2024-01-03 15:00:00,0.55,0.56,0.55,0.55,21619
ok,2024-01-03 15:30:00,0.55,0.55,0.54,0.54,26055
ok,2024-01-03 16:30:00,0.54,0.54,0.54,0.54,100
ok,2024-01-03 17:00:00,0.56,0.56,0.56,0.56,1900
ok,2024-01-03 17:30:00,0.56,0.56,0.56,0.56,2000
ok,2024-01-03 19:30:00,0.56,0.56,0.56,0.56,200
ok,2024-01-04 04:30:00,0.56,0.56,0.55,0.56,509
ok,2024-01-04 07:00:00,0.55,0.55,0.55,0.55,101
ok,2024-01-04 08:00:00,0.55,0.55,0.55,0.55,1563
ok,2024-01-04 08:30:00,0.56,0.56,0.56,0.56,1949
ok,2024-01-04 09:00:00,0.54,0.54,0.54,0.54,564
ok,2024-01-04 09:30:00,0.55,0.56,0.55,0.55,7447
ok,2024-01-04 10:00:00,0.56,0.56,0.55,0.56,1167
ok,2024-01-04 10:30:00,0.55,0.55,0.55,0.55,23453
ok,2024-01-04 11:00:00,0.55,0.55,0.54,0.55,71475
ok,2024-01-04 11:30:00,0.55,0.55,0.55,0.55,6062
ok,2024-01-04 12:00:00,0.55,0.55,0.55,0.55,2148
ok,2024-01-04 12:30:00,0.55,0.55,0.55,0.55,12191
ok,2024-01-04 13:00:00,0.55,0.55,0.55,0.55,36154
ok,2024-01-04 13:30:00,0.55,0.55,0.55,0.55,1905
ok,2024-01-04 14:00:00,0.55,0.55,0.55,0.55,1500
ok,2024-01-04 14:30:00,0.55,0.55,0.55,0.55,600
ok,2024-01-04 15:00:00,0.55,0.55,0.55,0.55,3750
ok,2024-01-04 15:30:00,0.55,0.55,0.54,0.54,18608
ok,2024-01-04 16:00:00,0.55,0.55,0.55,0.55,100
ok,2024-01-04 16:30:00,0.54,0.54,0.54,0.54,2150
ok,2024-01-04 18:00:00,0.54,0.54,0.54,0.54,150
ok,2024-01-05 04:00:00,0.55,0.55,0.55,0.55,300
ok,2024-01-05 05:30:00,0.54,0.55,0.54,0.55,303
ok,2024-01-05 07:00:00,0.55,0.55,0.55,0.55,5265
ok,2024-01-05 07:30:00,0.55,0.55,0.55,0.55,532
ok,2024-01-05 08:00:00,0.54,0.56,0.54,0.55,4368
ok,2024-01-05 09:00:00,0.54,0.54,0.54,0.54,500
ok,2024-01-05 09:30:00,0.54,0.55,0.52,0.54,58492
ok,2024-01-05 10:00:00,0.54,0.55,0.52,0.53,8373
ok,2024-01-05 10:30:00,0.54,0.54,0.52,0.52,3404
ok,2024-01-05 11:00:00,0.53,0.55,0.53,0.55,7307
ok,2024-01-05 11:30:00,0.55,0.55,0.55,0.55,169
ok,2024-01-05 12:00:00,0.53,0.54,0.53,0.54,403
ok,2024-01-05 12:30:00,0.54,0.54,0.54,0.54,475
ok,2024-01-05 13:00:00,0.53,0.53,0.53,0.53,520
ok,2024-01-05 13:30:00,0.54,0.54,0.53,0.53,890
ok,2024-01-05 14:00:00,0.54,0.54,0.53,0.54,3640
ok,2024-01-05 14:30:00,0.53,0.54,0.53,0.54,4282
