s,t,o,h,l,c,v
ok,2024-01-26 04:00:00,5.1,5.1,3.48,3.49,3083
ok,2024-01-26 04:30:00,3.14,4.05,2.81,3.67,5035
ok,2024-01-26 05:00:00,3.94,3.94,3.89,3.94,722
ok,2024-01-26 07:00:00,3.75,3.75,3.75,3.75,284
ok,2024-01-26 09:00:00,3.41,3.9,3.41,3.78,1225
ok,2024-01-26 09:30:00,3.55,3.93,2.81,2.98,14753
ok,2024-01-26 10:00:00,3.26,3.26,2.48,2.51,21305
ok,2024-01-26 10:30:00,2.5,2.63,2.35,2.38,29353
ok,2024-01-26 11:00:00,2.31,2.4,2.05,2.14,45168
ok,2024-01-26 11:30:00,2.24,2.26,2.14,2.2,5520
ok,2024-01-26 12:00:00,2.23,2.27,2.21,2.27,6474
ok,2024-01-26 12:30:00,2.2,2.26,2.2,2.25,5850
ok,2024-01-26 13:00:00,2.28,2.3,2.25,2.28,3132
ok,2024-01-26 13:30:00,2.32,2.6,2.28,2.4,12972
ok,2024-01-26 14:00:00,2.36,2.48,2.28,2.48,9840
ok,2024-01-26 14:30:00,2.47,2.47,2.38,2.42,1591
ok,2024-01-26 15:00:00,2.32,2.46,2.32,2.46,3312
ok,2024-01-26 15:30:00,2.45,2.48,2.31,2.35,14982
ok,2024-01-26 16:00:00,2.39,2.39,2.33,2.33,1935
ok,2024-01-26 16:30:00,2.39,2.39,2.33,2.38,2776
ok,2024-01-26 17:00:00,2.33,2.39,2.3,2.39,1365
ok,2024-01-26 17:30:00,2.3,2.3,2.23,2.23,7900
ok,2024-01-26 18:30:00,2.28,2.28,2.26,2.26,600
ok,2024-01-26 19:00:00,2.21,2.21,2.21,2.21,308
ok,2024-01-26 19:30:00,2.31,2.31,2.2,2.2,734
ok,2024-01-29 04:00:00,2.22,2.24,2.22,2.24,533
ok,2024-01-29 04:30:00,2.24,2.24,2.1,2.12,1427
ok,2024-01-29 05:00:00,2.12,2.12,2.12,2.12,100
ok,2024-01-29 05:30:00,2.22,2.26,2.22,2.26,2940
ok,2024-01-29 06:00:00,2.25,2.25,2.25,2.25,709
ok,2024-01-29 06:30:00,2.25,2.25,2.25,2.25,600
ok,2024-01-29 07:00:00,2.3,2.36,2.19,2.19,3099
ok,2024-01-29 07:30:00,2.33,2.33,2.21,2.21,437
ok,2024-01-29 08:00:00,2.3,2.3,2.3,2.3,121
ok,2024-01-29 08:30:00,2.28,2.28,2.24,2.25,6420
ok,2024-01-29 09:00:00,2.25,2.25,2.24,2.24,980
ok,2024-01-29 09:30:00,2.21,2.34,2.15,2.24,7907
ok,2024-01-29 10:00:00,2.24,2.24,1.8,1.98,25435
ok,2024-01-29 10:30:00,1.93,2.03,1.9,1.93,3414
ok,2024-01-29 11:00:00,1.93,1.93,1.91,1.91,4048
ok,2024-01-29 11:30:00,1.92,2.0,1.89,2.0,5060
ok,2024-01-29 12:00:00,1.98,2.01,1.98,2.01,1100
ok,2024-01-29 12:30:00,2.01,2.03,2.01,2.02,2146
ok,2024-01-29 13:00:00,2.04,2.04,1.91,1.94,2668
ok,2024-01-29 13:30:00,1.99,2.03,1.95,1.96,2516
ok,2024-01-29 14:00:00,1.96,1.96,1.96,1.96,134
ok,2024-01-29 14:30:00,1.97,2.03,1.95,2.02,4120
ok,2024-01-29 15:00:00,2.01,2.02,1.96,1.96,4836
ok,2024-01-29 15:30:00,1.98,2.0,1.93,2.0,11127
ok,2024-01-29 16:00:00,2.04,2.1,2.04,2.1,1700
