s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.34,0.34,0.34,0.34,200
ok,2024-01-02 07:30:00,0.35,0.35,0.35,0.35,1500
ok,2024-01-02 08:00:00,0.37,0.37,0.35,0.37,5041
ok,2024-01-02 08:30:00,0.37,0.37,0.37,0.37,130
ok,2024-01-02 09:00:00,0.36,0.36,0.35,0.35,3000
ok,2024-01-02 09:30:00,0.36,0.36,0.35,0.36,65152
ok,2024-01-02 10:00:00,0.35,0.36,0.35,0.36,23927
ok,2024-01-02 10:30:00,0.36,0.36,0.36,0.36,16681
ok,2024-01-02 11:00:00,0.36,0.36,0.35,0.36,29772
ok,2024-01-02 11:30:00,0.36,0.36,0.36,0.36,5821
ok,2024-01-02 12:00:00,0.36,0.36,0.36,0.36,7571
ok,2024-01-02 12:30:00,0.36,0.36,0.36,0.36,13303
ok,2024-01-02 13:00:00,0.36,0.36,0.35,0.35,47113
ok,2024-01-02 13:30:00,0.36,0.36,0.35,0.35,7792
ok,2024-01-02 14:00:00,0.35,0.36,0.35,0.36,6180
ok,2024-01-02 14:30:00,0.36,0.36,0.35,0.35,3965
ok,2024-01-02 15:00:00,0.36,0.36,0.35,0.35,17745
ok,2024-01-02 15:30:00,0.36,0.37,0.35,0.35,8880
ok,2024-01-02 16:00:00,0.37,0.37,0.36,0.36,817
ok,2024-01-02 16:30:00,0.36,0.36,0.36,0.36,3169
ok,2024-01-02 17:30:00,0.37,0.37,0.37,0.37,15000
ok,2024-01-02 18:00:00,0.36,0.37,0.36,0.37,2706
ok,2024-01-02 19:30:00,0.37,0.37,0.37,0.37,1058
ok,2024-01-03 07:00:00,0.36,0.36,0.35,0.35,1892
ok,2024-01-03 08:00:00,0.37,0.38,0.36,0.37,4271
ok,2024-01-03 08:30:00,0.36,0.36,0.36,0.36,569
ok,2024-01-03 09:00:00,0.37,0.37,0.37,0.37,651
ok,2024-01-03 09:30:00,0.36,0.37,0.35,0.37,61541
ok,2024-01-03 10:00:00,0.37,0.37,0.36,0.36,5357
ok,2024-01-03 10:30:00,0.36,0.36,0.35,0.36,2860
ok,2024-01-03 11:00:00,0.35,0.36,0.35,0.35,32243
ok,2024-01-03 11:30:00,0.35,0.35,0.35,0.35,23700
ok,2024-01-03 12:00:00,0.35,0.35,0.34,0.34,29670
ok,2024-01-03 12:30:00,0.35,0.35,0.34,0.34,8899
ok,2024-01-03 13:00:00,0.35,0.35,0.34,0.34,6620
ok,2024-01-03 13:30:00,0.35,0.35,0.34,0.35,2800
ok,2024-01-03 14:00:00,0.34,0.37,0.34,0.37,19217
ok,2024-01-03 14:30:00,0.34,0.37,0.34,0.37,851
ok,2024-01-03 15:00:00,0.34,0.36,0.34,0.36,697
ok,2024-01-03 15:30:00,0.34,0.37,0.34,0.36,162431
ok,2024-01-03 16:30:00,0.36,0.36,0.36,0.36,500
ok,2024-01-03 19:00:00,0.36,0.36,0.35,0.35,273
ok,2024-01-03 19:30:00,0.37,0.38,0.37,0.38,2000
ok,2024-01-04 08:00:00,0.36,0.36,0.36,0.36,412
ok,2024-01-04 08:30:00,0.36,0.36,0.36,0.36,691
ok,2024-01-04 09:30:00,0.37,0.37,0.34,0.35,10175
ok,2024-01-04 10:00:00,0.35,0.35,0.34,0.35,33241
ok,2024-01-04 10:30:00,0.35,0.35,0.35,0.35,44651
ok,2024-01-04 11:00:00,0.35,0.35,0.34,0.35,25768
ok,2024-01-04 11:30:00,0.35,0.35,0.35,0.35,6583
ok,2024-01-04 12:00:00,0.35,0.36,0.35,0.36,4126
ok,2024-01-04 12:30:00,0.36,0.36,0.35,0.35,6324
ok,2024-01-04 13:00:00,0.36,0.36,0.35,0.35,797
ok,2024-01-04 13:30:00,0.35,0.35,0.34,0.35,4202
ok,2024-01-04 14:00:00,0.35,0.35,0.34,0.35,7679
ok,2024-01-04 14:30:00,0.34,0.35,0.33,0.35,44585
ok,2024-01-04 15:00:00,0.35,0.36,0.34,0.35,5933
ok,2024-01-04 15:30:00,0.35,0.35,0.34,0.34,6822
ok,2024-01-04 16:00:00,0.35,0.36,0.35,0.36,1155
ok,2024-01-05 06:00:00,0.35,0.35,0.35,0.35,143
ok,2024-01-05 09:30:00,0.34,0.35,0.34,0.34,2242
ok,2024-01-05 10:00:00,0.34,0.35,0.33,0.34,35053
ok,2024-01-05 10:30:00,0.34,0.34,0.34,0.34,100
ok,2024-01-05 11:00:00,0.34,0.34,0.34,0.34,13856
ok,2024-01-05 11:30:00,0.34,0.34,0.34,0.34,12240
ok,2024-01-05 12:00:00,0.34,0.34,0.33,0.33,10967
ok,2024-01-05 12:30:00,0.34,0.34,0.32,0.33,33865
ok,2024-01-05 13:00:00,0.33,0.33,0.32,0.33,19591
ok,2024-01-05 13:30:00,0.32,0.33,0.31,0.32,108654
ok,2024-01-05 14:00:00,0.32,0.32,0.31,0.31,91032
ok,2024-01-05 14:30:00,0.31,0.32,0.31,0.32,14790
ok,2024-01-05 15:00:00,0.32,0.32,0.31,0.32,14621
ok,2024-01-05 15:30:00,0.32,0.32,0.3,0.32,103466
ok,2024-01-05 16:30:00,0.34,0.34,0.32,0.32,260
ok,2024-01-05 17:30:00,0.32,0.32,0.32,0.32,770
ok,2024-01-05 18:00:00,0.32,0.32,0.32,0.32,210
ok,2024-01-05 18:30:00,0.34,0.34,0.34,0.34,100
ok,2024-01-08 04:00:00,0.32,0.32,0.32,0.32,100
ok,2024-01-08 07:00:00,0.33,0.33,0.33,0.33,195
ok,2024-01-08 08:00:00,0.34,0.34,0.34,0.34,139
ok,2024-01-08 09:00:00,0.32,0.32,0.32,0.32,206
ok,2024-01-08 09:30:00,0.31,0.32,0.31,0.31,72273
ok,2024-01-08 10:00:00,0.32,0.32,0.31,0.31,5449
ok,2024-01-08 10:30:00,0.31,0.31,0.3,0.31,9037
ok,2024-01-08 11:00:00,0.31,0.31,0.3,0.31,12490
ok,2024-01-08 11:30:00,0.31,0.32,0.31,0.32,21680
ok,2024-01-08 12:00:00,0.31,0.31,0.31,0.31,13105
ok,2024-01-08 12:30:00,0.31,0.31,0.31,0.31,6017
ok,2024-01-08 13:00:00,0.31,0.32,0.31,0.31,7895
ok,2024-01-08 13:30:00,0.31,0.32,0.31,0.31,14203
ok,2024-01-08 14:00:00,0.31,0.31,0.31,0.31,25837
ok,2024-01-08 14:30:00,0.32,0.32,0.31,0.32,18678
ok,2024-01-08 15:00:00,0.32,0.32,0.32,0.32,13743
ok,2024-01-08 15:30:00,0.32,0.32,0.31,0.32,22302
ok,2024-01-08 16:30:00,0.32,0.32,0.32,0.32,300
ok,2024-01-08 17:30:00,0.34,0.34,0.34,0.34,130
ok,2024-01-08 18:30:00,0.33,0.33,0.33,0.33,250
ok,2024-01-08 19:00:00,0.32,0.32,0.32,0.32,711
ok,2024-01-08 19:30:00,0.34,0.34,0.34,0.34,800
ok,2024-01-09 08:00:00,0.33,0.35,0.33,0.35,10602
ok,2024-01-09 08:30:00,0.35,0.35,0.35,0.35,100
ok,2024-01-09 09:00:00,0.35,0.35,0.35,0.35,2500
ok,2024-01-09 09:30:00,0.32,0.34,0.32,0.34,15057
ok,2024-01-09 10:00:00,0.33,0.33,0.32,0.33,47952
ok,2024-01-09 10:30:00,0.34,0.34,0.32,0.32,55762
ok,2024-01-09 11:00:00,0.32,0.32,0.31,0.31,29977
ok,2024-01-09 11:30:00,0.31,0.34,0.31,0.32,8495
ok,2024-01-09 12:00:00,0.32,0.32,0.32,0.32,300
ok,2024-01-09 12:30:00,0.32,0.34,0.32,0.33,3849
ok,2024-01-09 13:00:00,0.33,0.33,0.31,0.32,10464
ok,2024-01-09 13:30:00,0.32,0.32,0.32,0.32,5157
ok,2024-01-09 14:00:00,0.31,0.32,0.31,0.31,117778
ok,2024-01-09 14:30:00,0.31,0.31,0.31,0.31,961
ok,2024-01-09 15:00:00,0.31,0.32,0.31,0.31,1454
ok,2024-01-09 15:30:00,0.32,0.32,0.31,0.31,16077
ok,2024-01-09 16:00:00,0.32,0.32,0.32,0.32,2998
ok,2024-01-09 18:30:00,0.32,0.32,0.32,0.32,800
ok,2024-01-09 19:30:00,0.32,0.32,0.32,0.32,10200
ok,2024-01-10 04:30:00,0.31,0.31,0.31,0.31,539
ok,2024-01-10 08:00:00,0.33,0.33,0.32,0.32,514
ok,2024-01-10 08:30:00,0.31,0.31,0.3,0.3,66600
ok,2024-01-10 09:00:00,0.31,0.31,0.3,0.3,79750
ok,2024-01-10 09:30:00,0.31,0.33,0.3,0.31,10750
ok,2024-01-10 10:00:00,0.32,0.32,0.3,0.3,63579
ok,2024-01-10 10:30:00,0.31,0.31,0.3,0.3,9025
ok,2024-01-10 11:00:00,0.3,0.3,0.3,0.3,531
ok,2024-01-10 11:30:00,0.3,0.3,0.3,0.3,2500
ok,2024-01-10 12:00:00,0.31,0.31,0.31,0.31,1200
ok,2024-01-10 12:30:00,0.3,0.31,0.3,0.31,11663
ok,2024-01-10 13:00:00,0.3,0.31,0.3,0.31,9263
ok,2024-01-10 13:30:00,0.31,0.31,0.31,0.31,6127
ok,2024-01-10 14:00:00,0.31,0.31,0.3,0.31,3798
ok,2024-01-10 14:30:00,0.31,0.31,0.31,0.31,700
ok,2024-01-10 15:00:00,0.31,0.31,0.31,0.31,700
ok,2024-01-10 15:30:00,0.3,0.33,0.3,0.33,42997
ok,2024-01-10 16:00:00,0.33,0.33,0.3,0.31,3703
ok,2024-01-10 17:00:00,0.31,0.31,0.31,0.31,590
ok,2024-01-10 17:30:00,0.31,0.31,0.3,0.3,5000
ok,2024-01-10 19:00:00,0.32,0.32,0.32,0.32,500
ok,2024-01-10 19:30:00,0.3,0.3,0.3,0.3,100
ok,2024-01-11 08:00:00,0.31,0.33,0.31,0.33,200
ok,2024-01-11 08:30:00,0.33,0.33,0.33,0.33,100
ok,2024-01-11 09:00:00,0.33,0.33,0.31,0.31,1687
ok,2024-01-11 09:30:00,0.3,0.32,0.3,0.31,5206
ok,2024-01-11 10:00:00,0.31,0.31,0.31,0.31,500
ok,2024-01-11 10:30:00,0.32,0.32,0.32,0.32,500
ok,2024-01-11 11:00:00,0.32,0.32,0.3,0.31,19308
ok,2024-01-11 11:30:00,0.3,0.31,0.29,0.3,44251
ok,2024-01-11 12:00:00,0.3,0.3,0.29,0.3,5924
ok,2024-01-11 12:30:00,0.3,0.3,0.29,0.29,61832
ok,2024-01-11 13:00:00,0.3,0.3,0.29,0.3,2625
ok,2024-01-11 13:30:00,0.3,0.3,0.29,0.29,4238
ok,2024-01-11 14:00:00,0.29,0.3,0.28,0.29,47288
ok,2024-01-11 14:30:00,0.29,0.3,0.29,0.29,18179
ok,2024-01-11 15:00:00,0.29,0.29,0.28,0.28,61687
ok,2024-01-11 15:30:00,0.29,0.29,0.28,0.28,16534
ok,2024-01-11 16:30:00,0.29,0.29,0.29,0.29,250
ok,2024-01-11 17:30:00,0.3,0.3,0.3,0.3,504
ok,2024-01-11 18:00:00,0.3,0.3,0.3,0.3,2000
ok,2024-01-12 07:00:00,0.3,0.3,0.3,0.3,100
ok,2024-01-12 07:30:00,0.29,0.29,0.29,0.29,450
ok,2024-01-12 08:00:00,0.29,0.29,0.29,0.29,330
ok,2024-01-12 08:30:00,0.3,0.3,0.3,0.3,100
ok,2024-01-12 09:00:00,0.29,0.29,0.29,0.29,2254
ok,2024-01-12 09:30:00,0.28,0.3,0.28,0.29,6955
ok,2024-01-12 10:00:00,0.29,0.3,0.29,0.29,3689
ok,2024-01-12 10:30:00,0.28,0.29,0.28,0.29,24238
ok,2024-01-12 11:00:00,0.29,0.29,0.28,0.28,12691
ok,2024-01-12 11:30:00,0.29,0.29,0.28,0.28,18614
ok,2024-01-12 12:00:00,0.28,0.28,0.28,0.28,5389
ok,2024-01-12 12:30:00,0.28,0.28,0.28,0.28,28009
ok,2024-01-12 13:00:00,0.28,0.28,0.28,0.28,25439
ok,2024-01-12 13:30:00,0.28,0.28,0.28,0.28,6246
ok,2024-01-12 14:00:00,0.28,0.28,0.27,0.28,44886
ok,2024-01-12 14:30:00,0.28,0.28,0.27,0.28,15055
ok,2024-01-12 15:00:00,0.28,0.28,0.28,0.28,7000
ok,2024-01-12 15:30:00,0.27,0.28,0.26,0.26,92806
ok,2024-01-12 16:00:00,0.27,0.29,0.26,0.29,1210
ok,2024-01-12 16:30:00,0.27,0.29,0.27,0.29,401
ok,2024-01-12 18:30:00,0.27,0.27,0.27,0.27,2800
ok,2024-01-12 19:00:00,0.28,0.28,0.28,0.28,416
ok,2024-01-12 19:30:00,0.26,0.29,0.25,0.28,36641
ok,2024-01-16 04:00:00,0.26,0.26,0.26,0.26,100
ok,2024-01-16 07:00:00,0.26,0.26,0.26,0.26,179
ok,2024-01-16 08:00:00,0.26,0.27,0.26,0.27,229
ok,2024-01-16 09:00:00,0.26,0.26,0.25,0.25,5600
ok,2024-01-16 09:30:00,0.27,0.28,0.26,0.27,18992
ok,2024-01-16 10:00:00,0.27,0.28,0.27,0.28,7113
ok,2024-01-16 10:30:00,0.27,0.28,0.27,0.28,11587
ok,2024-01-16 11:00:00,0.28,0.28,0.27,0.28,1600
ok,2024-01-16 11:30:00,0.27,0.28,0.27,0.27,6305
ok,2024-01-16 12:00:00,0.27,0.27,0.27,0.27,1104
ok,2024-01-16 12:30:00,0.27,0.27,0.27,0.27,2432
ok,2024-01-16 13:00:00,0.27,0.27,0.27,0.27,6416
ok,2024-01-16 13:30:00,0.27,0.27,0.26,0.27,31406
ok,2024-01-16 14:00:00,0.27,0.27,0.26,0.26,6240
ok,2024-01-16 14:30:00,0.26,0.27,0.26,0.26,17257
ok,2024-01-16 15:00:00,0.26,0.26,0.26,0.26,31617
ok,2024-01-16 15:30:00,0.26,0.27,0.26,0.26,3740
ok,2024-01-16 16:00:00,0.26,0.26,0.26,0.26,400
ok,2024-01-16 16:30:00,0.26,0.26,0.26,0.26,4699
ok,2024-01-16 17:00:00,0.26,0.26,0.26,0.26,10000
ok,2024-01-16 18:30:00,0.26,0.28,0.26,0.28,200
ok,2024-01-17 05:00:00,0.31,0.31,0.31,0.31,272
ok,2024-01-17 06:00:00,0.31,0.31,0.25,0.26,4935
ok,2024-01-17 06:30:00,0.26,0.28,0.25,0.28,1184
ok,2024-01-17 07:30:00,0.26,0.28,0.26,0.28,2529
ok,2024-01-17 08:00:00,0.26,0.26,0.26,0.26,2529
ok,2024-01-17 09:00:00,0.29,0.29,0.28,0.28,837
ok,2024-01-17 09:30:00,0.25,0.26,0.25,0.26,12469
ok,2024-01-17 10:00:00,0.28,0.28,0.26,0.26,5000
ok,2024-01-17 10:30:00,0.26,0.29,0.26,0.27,34009
ok,2024-01-17 11:00:00,0.26,0.27,0.26,0.27,23180
ok,2024-01-17 11:30:00,0.27,0.27,0.27,0.27,5515
ok,2024-01-17 12:00:00,0.26,0.27,0.26,0.26,8440
ok,2024-01-17 13:00:00,0.27,0.27,0.27,0.27,532
ok,2024-01-17 13:30:00,0.27,0.27,0.27,0.27,2501
ok,2024-01-17 14:00:00,0.27,0.27,0.27,0.27,15769
ok,2024-01-17 14:30:00,0.27,0.28,0.27,0.28,6298
ok,2024-01-17 15:00:00,0.28,0.28,0.27,0.27,2430
ok,2024-01-17 15:30:00,0.27,0.28,0.27,0.27,58326
ok,2024-01-18 05:30:00,0.25,0.25,0.25,0.25,444
ok,2024-01-18 07:00:00,0.26,0.27,0.26,0.27,615
ok,2024-01-18 07:30:00,0.27,0.27,0.27,0.27,6622
ok,2024-01-18 08:00:00,0.28,0.28,0.2,0.21,228112
ok,2024-01-18 08:30:00,0.21,0.22,0.2,0.21,48717
ok,2024-01-18 09:00:00,0.21,0.21,0.19,0.2,61866
ok,2024-01-18 09:30:00,0.2,0.2,0.18,0.19,430990
ok,2024-01-18 10:00:00,0.19,0.2,0.18,0.2,280869
ok,2024-01-18 10:30:00,0.2,0.21,0.2,0.21,100551
ok,2024-01-18 11:00:00,0.21,0.21,0.2,0.21,74051
ok,2024-01-18 11:30:00,0.21,0.21,0.2,0.21,60816
ok,2024-01-18 12:00:00,0.21,0.21,0.2,0.2,349303
ok,2024-01-18 12:30:00,0.2,0.21,0.19,0.2,138496
ok,2024-01-18 13:00:00,0.2,0.21,0.19,0.21,155278
ok,2024-01-18 13:30:00,0.2,0.21,0.2,0.2,94695
ok,2024-01-18 14:00:00,0.2,0.21,0.2,0.2,42783
ok,2024-01-18 14:30:00,0.2,0.21,0.2,0.2,72851
ok,2024-01-18 15:00:00,0.2,0.21,0.2,0.21,37975
ok,2024-01-18 15:30:00,0.21,0.21,0.2,0.2,207665
ok,2024-01-18 16:00:00,0.21,0.21,0.2,0.2,7789
ok,2024-01-18 16:30:00,0.2,0.22,0.2,0.21,7243
ok,2024-01-18 17:00:00,0.21,0.21,0.21,0.21,565
ok,2024-01-18 17:30:00,0.21,0.21,0.2,0.2,6695
ok,2024-01-18 18:00:00,0.2,0.2,0.2,0.2,202
ok,2024-01-18 18:30:00,0.2,0.2,0.2,0.2,713
ok,2024-01-18 19:00:00,0.19,0.2,0.19,0.2,4858
ok,2024-01-18 19:30:00,0.19,0.2,0.19,0.2,1424
ok,2024-01-19 04:00:00,0.19,0.19,0.19,0.19,2631
ok,2024-01-19 05:00:00,0.19,0.2,0.19,0.2,5300
ok,2024-01-19 07:00:00,0.19,0.19,0.19,0.19,458
ok,2024-01-19 07:30:00,0.19,0.38,0.19,0.31,3663248
ok,2024-01-19 08:00:00,0.31,0.38,0.19,0.3,9350179
ok,2024-01-19 08:30:00,0.3,0.33,0.29,0.31,2846197
ok,2024-01-19 09:00:00,0.31,0.33,0.3,0.32,1743389
ok,2024-01-19 09:30:00,0.33,0.36,0.25,0.29,19494539
ok,2024-01-19 10:00:00,0.29,0.29,0.24,0.25,3752645
ok,2024-01-19 10:30:00,0.25,0.25,0.24,0.24,1992417
ok,2024-01-19 11:00:00,0.24,0.27,0.24,0.24,2021481
ok,2024-01-19 11:30:00,0.24,0.27,0.24,0.27,1267957
ok,2024-01-19 12:00:00,0.27,0.27,0.25,0.27,594407
ok,2024-01-19 12:30:00,0.27,0.27,0.25,0.25,495587
ok,2024-01-19 13:00:00,0.26,0.26,0.25,0.25,258993
ok,2024-01-19 13:30:00,0.25,0.26,0.24,0.24,691557
ok,2024-01-19 14:00:00,0.25,0.25,0.24,0.24,373919
ok,2024-01-19 14:30:00,0.24,0.25,0.24,0.24,692864
ok,2024-01-19 15:00:00,0.24,0.25,0.24,0.24,851342
ok,2024-01-19 15:30:00,0.24,0.25,0.22,0.22,1670869
ok,2024-01-19 16:00:00,0.22,0.23,0.22,0.23,240155
ok,2024-01-19 16:30:00,0.23,0.23,0.22,0.22,37336
ok,2024-01-19 17:00:00,0.23,0.23,0.22,0.22,5874
ok,2024-01-19 17:30:00,0.23,0.23,0.22,0.23,10903
ok,2024-01-19 18:00:00,0.22,0.22,0.22,0.22,14275
ok,2024-01-19 18:30:00,0.22,0.23,0.22,0.23,36523
ok,2024-01-19 19:00:00,0.23,0.23,0.23,0.23,48306
ok,2024-01-19 19:30:00,0.23,0.23,0.23,0.23,55744
ok,2024-01-22 09:00:00,4.24,4.33,3.87,3.87,4560
ok,2024-01-22 09:30:00,3.86,3.91,2.76,2.99,199204
ok,2024-01-22 10:00:00,3.04,3.27,3.0,3.1,63888
ok,2024-01-22 10:30:00,3.1,3.2,3.06,3.09,16383
ok,2024-01-22 11:00:00,3.07,3.07,2.78,2.84,46593
ok,2024-01-22 11:30:00,2.84,2.9,2.81,2.84,28971
ok,2024-01-22 12:00:00,2.84,2.89,2.72,2.78,71797
ok,2024-01-22 12:30:00,2.78,2.8,2.66,2.7,23269
ok,2024-01-22 13:00:00,2.69,2.71,2.44,2.56,88807
ok,2024-01-22 13:30:00,2.56,2.68,2.55,2.66,24237
ok,2024-01-22 14:00:00,2.68,2.74,2.67,2.73,10832
ok,2024-01-22 14:30:00,2.73,2.73,2.6,2.65,16625
ok,2024-01-22 15:00:00,2.65,2.66,2.6,2.62,7681
ok,2024-01-22 15:30:00,2.62,2.62,2.5,2.5,46291
ok,2024-01-22 16:00:00,2.56,2.84,2.56,2.81,32729
ok,2024-01-22 16:30:00,2.65,2.78,2.65,2.78,401
ok,2024-01-22 17:00:00,2.67,2.67,2.67,2.67,541
ok,2024-01-22 17:30:00,2.8,2.8,2.68,2.68,1302
ok,2024-01-22 18:00:00,2.72,2.78,2.72,2.78,4975
