s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.36,0.39,0.36,0.39,510
ok,2024-01-02 10:30:00,0.37,0.38,0.37,0.38,5101
ok,2024-01-02 11:00:00,0.37,0.37,0.37,0.37,2000
ok,2024-01-02 12:30:00,0.38,0.39,0.38,0.39,11004
ok,2024-01-02 13:00:00,0.38,0.38,0.38,0.38,2771
ok,2024-01-02 13:30:00,0.38,0.38,0.38,0.38,1500
ok,2024-01-02 14:00:00,0.38,0.38,0.38,0.38,18504
ok,2024-01-02 15:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-03 09:00:00,0.38,0.38,0.38,0.38,4450
ok,2024-01-03 09:30:00,0.38,0.39,0.38,0.39,12254
ok,2024-01-03 10:00:00,0.39,0.39,0.38,0.38,3800
ok,2024-01-03 11:00:00,0.38,0.38,0.38,0.38,10540
ok,2024-01-03 13:30:00,0.39,0.39,0.39,0.39,207
ok,2024-01-03 14:00:00,0.39,0.39,0.39,0.39,603
ok,2024-01-03 14:30:00,0.38,0.38,0.38,0.38,941
ok,2024-01-03 15:00:00,0.38,0.38,0.38,0.38,500
ok,2024-01-03 15:30:00,0.4,0.4,0.38,0.4,12408
ok,2024-01-03 19:00:00,0.4,0.41,0.4,0.41,1100
ok,2024-01-04 10:30:00,0.4,0.4,0.38,0.4,5400
ok,2024-01-04 11:00:00,0.39,0.4,0.39,0.4,2600
ok,2024-01-04 11:30:00,0.39,0.4,0.38,0.38,3861
ok,2024-01-04 13:00:00,0.4,0.4,0.39,0.39,700
ok,2024-01-04 14:30:00,0.39,0.39,0.39,0.39,1412
ok,2024-01-04 15:00:00,0.39,0.39,0.38,0.38,7034
ok,2024-01-04 15:30:00,0.39,0.39,0.38,0.38,10553
ok,2024-01-04 16:00:00,0.38,0.38,0.38,0.38,130
ok,2024-01-05 08:00:00,0.4,0.4,0.4,0.4,228
ok,2024-01-05 09:30:00,0.37,0.37,0.37,0.37,1282
ok,2024-01-05 10:00:00,0.38,0.38,0.38,0.38,7236
ok,2024-01-05 10:30:00,0.38,0.38,0.38,0.38,2041
ok,2024-01-05 12:00:00,0.38,0.38,0.37,0.37,13570
ok,2024-01-05 12:30:00,0.38,0.38,0.37,0.37,2855
ok,2024-01-05 13:00:00,0.38,0.38,0.38,0.38,150
ok,2024-01-05 13:30:00,0.37,0.37,0.37,0.37,2500
ok,2024-01-05 14:00:00,0.37,0.38,0.37,0.37,11192
ok,2024-01-05 15:30:00,0.37,0.38,0.37,0.38,1200
ok,2024-01-05 17:30:00,0.37,0.37,0.37,0.37,110
ok,2024-01-05 18:00:00,0.37,0.37,0.37,0.37,892
ok,2024-01-08 09:00:00,0.39,0.39,0.39,0.39,250
ok,2024-01-08 10:30:00,0.39,0.39,0.39,0.39,100
ok,2024-01-08 11:00:00,0.38,0.38,0.38,0.38,2734
ok,2024-01-08 11:30:00,0.38,0.38,0.38,0.38,6702
ok,2024-01-08 12:30:00,0.38,0.39,0.38,0.39,1061
ok,2024-01-08 14:00:00,0.38,0.38,0.38,0.38,1192
ok,2024-01-08 14:30:00,0.38,0.38,0.38,0.38,493
ok,2024-01-08 15:00:00,0.38,0.38,0.38,0.38,5128
ok,2024-01-08 15:30:00,0.38,0.38,0.37,0.37,2916
ok,2024-01-08 19:00:00,0.37,0.37,0.37,0.37,700
ok,2024-01-09 06:30:00,0.37,0.37,0.37,0.37,500
ok,2024-01-09 08:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-09 09:00:00,0.37,0.37,0.37,0.37,200
ok,2024-01-09 09:30:00,0.37,0.37,0.37,0.37,3784
ok,2024-01-09 10:00:00,0.37,0.37,0.36,0.37,5801
ok,2024-01-09 11:00:00,0.36,0.36,0.36,0.36,14352
ok,2024-01-09 12:30:00,0.36,0.36,0.36,0.36,4092
ok,2024-01-09 13:00:00,0.36,0.36,0.36,0.36,600
ok,2024-01-09 14:00:00,0.36,0.36,0.36,0.36,300
ok,2024-01-09 14:30:00,0.36,0.36,0.36,0.36,400
ok,2024-01-09 15:00:00,0.36,0.36,0.35,0.36,10873
ok,2024-01-09 15:30:00,0.36,0.36,0.36,0.36,830
ok,2024-01-09 16:30:00,0.36,0.36,0.36,0.36,100
ok,2024-01-09 18:00:00,0.36,0.37,0.36,0.37,1911
ok,2024-01-09 19:00:00,0.38,0.38,0.38,0.38,2003
ok,2024-01-09 19:30:00,0.37,0.37,0.37,0.37,100
ok,2024-01-10 09:30:00,0.37,0.37,0.35,0.35,6526
ok,2024-01-10 10:00:00,0.36,0.36,0.35,0.35,15171
ok,2024-01-10 10:30:00,0.36,0.36,0.36,0.36,1900
ok,2024-01-10 11:00:00,0.36,0.36,0.36,0.36,1500
ok,2024-01-10 11:30:00,0.37,0.37,0.35,0.35,4138
ok,2024-01-10 12:00:00,0.37,0.37,0.37,0.37,200
ok,2024-01-10 12:30:00,0.37,0.37,0.35,0.35,10811
ok,2024-01-10 13:00:00,0.36,0.36,0.36,0.36,5000
ok,2024-01-10 14:30:00,0.35,0.35,0.34,0.35,9413
ok,2024-01-10 15:00:00,0.35,0.35,0.35,0.35,402
ok,2024-01-10 15:30:00,0.35,0.35,0.35,0.35,200
ok,2024-01-10 16:30:00,0.35,0.35,0.35,0.35,2200
ok,2024-01-11 08:30:00,0.36,0.36,0.35,0.36,1500
ok,2024-01-11 09:30:00,0.35,0.35,0.35,0.35,3493
ok,2024-01-11 10:00:00,0.34,0.34,0.34,0.34,487
ok,2024-01-11 11:00:00,0.34,0.34,0.33,0.34,4075
ok,2024-01-11 11:30:00,0.33,0.33,0.33,0.33,7700
ok,2024-01-11 13:00:00,0.34,0.34,0.34,0.34,1400
ok,2024-01-11 13:30:00,0.33,0.33,0.33,0.33,5828
ok,2024-01-11 14:30:00,0.34,0.34,0.34,0.34,100
ok,2024-01-11 15:30:00,0.34,0.34,0.34,0.34,200
ok,2024-01-11 16:00:00,0.35,0.35,0.35,0.35,500
ok,2024-01-12 10:30:00,0.34,0.34,0.34,0.34,1143
ok,2024-01-12 11:00:00,0.35,0.35,0.35,0.35,250
ok,2024-01-12 11:30:00,0.35,0.35,0.33,0.33,10684
ok,2024-01-12 12:00:00,0.35,0.35,0.35,0.35,566
ok,2024-01-12 13:00:00,0.35,0.35,0.35,0.35,850
ok,2024-01-12 14:30:00,0.33,0.33,0.33,0.33,100
ok,2024-01-12 15:00:00,0.35,0.35,0.35,0.35,286
ok,2024-01-12 19:00:00,0.35,0.35,0.35,0.35,200
ok,2024-01-16 08:00:00,0.34,0.34,0.34,0.34,701
ok,2024-01-16 10:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-16 10:30:00,0.35,0.35,0.35,0.35,1000
ok,2024-01-16 11:00:00,0.34,0.34,0.34,0.34,5156
ok,2024-01-16 11:30:00,0.34,0.34,0.33,0.33,14295
ok,2024-01-16 12:30:00,0.33,0.33,0.33,0.33,1154
ok,2024-01-16 13:00:00,0.33,0.33,0.33,0.33,200
ok,2024-01-16 13:30:00,0.34,0.34,0.33,0.33,1260
ok,2024-01-16 14:00:00,0.33,0.34,0.33,0.34,600
ok,2024-01-16 14:30:00,0.33,0.33,0.32,0.32,14527
ok,2024-01-16 15:30:00,0.32,0.34,0.32,0.34,2273
ok,2024-01-16 16:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-17 09:30:00,0.33,0.33,0.33,0.33,847
ok,2024-01-17 10:00:00,0.32,0.32,0.31,0.31,9394
ok,2024-01-17 11:00:00,0.33,0.33,0.33,0.33,501
ok,2024-01-17 11:30:00,0.32,0.32,0.31,0.31,2000
ok,2024-01-17 12:00:00,0.32,0.32,0.32,0.32,1390
ok,2024-01-17 13:00:00,0.32,0.32,0.32,0.32,200
ok,2024-01-17 13:30:00,0.32,0.32,0.31,0.31,11407
ok,2024-01-17 14:30:00,0.32,0.33,0.32,0.33,340
ok,2024-01-18 09:00:00,0.33,0.33,0.33,0.33,678
ok,2024-01-18 09:30:00,0.33,0.34,0.33,0.34,1529
ok,2024-01-18 10:00:00,0.33,0.34,0.33,0.34,6005
ok,2024-01-18 10:30:00,0.34,0.34,0.34,0.34,12506
ok,2024-01-18 11:00:00,0.34,0.34,0.33,0.33,3695
ok,2024-01-18 12:00:00,0.34,0.34,0.34,0.34,1000
ok,2024-01-18 12:30:00,0.34,0.38,0.34,0.36,102719
ok,2024-01-18 13:30:00,0.35,0.36,0.35,0.36,4170
ok,2024-01-18 14:00:00,0.36,0.38,0.34,0.34,29109
ok,2024-01-18 14:30:00,0.36,0.36,0.35,0.35,1494
ok,2024-01-18 15:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-18 15:30:00,0.35,0.35,0.35,0.35,201
ok,2024-01-18 16:30:00,0.38,0.38,0.34,0.34,5852
ok,2024-01-19 07:00:00,0.35,0.38,0.35,0.38,8548
ok,2024-01-19 08:30:00,0.38,0.38,0.38,0.38,100
ok,2024-01-19 09:30:00,0.37,0.38,0.35,0.38,4720
ok,2024-01-19 10:00:00,0.37,0.38,0.35,0.37,2900
ok,2024-01-19 10:30:00,0.36,0.37,0.35,0.36,10475
ok,2024-01-19 13:00:00,0.36,0.36,0.36,0.36,500
ok,2024-01-19 15:30:00,0.38,0.38,0.36,0.36,32924
ok,2024-01-22 08:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-22 09:30:00,0.35,0.37,0.35,0.36,617
ok,2024-01-22 10:00:00,0.36,0.36,0.36,0.36,239
ok,2024-01-22 11:30:00,0.36,0.36,0.35,0.35,700
ok,2024-01-22 12:00:00,0.36,0.36,0.35,0.35,7821
ok,2024-01-22 12:30:00,0.36,0.36,0.35,0.36,7904
ok,2024-01-22 13:30:00,0.35,0.35,0.35,0.35,250
ok,2024-01-22 14:30:00,0.35,0.35,0.35,0.35,11331
ok,2024-01-22 15:30:00,0.34,0.34,0.33,0.33,1612
ok,2024-01-23 07:00:00,0.35,0.35,0.35,0.35,183
ok,2024-01-23 09:30:00,0.34,0.36,0.32,0.36,4531
ok,2024-01-23 10:00:00,0.35,0.35,0.35,0.35,600
ok,2024-01-23 10:30:00,0.35,0.35,0.35,0.35,800
ok,2024-01-23 11:00:00,0.34,0.38,0.34,0.38,8959
ok,2024-01-23 11:30:00,0.38,0.38,0.37,0.37,1200
ok,2024-01-23 12:00:00,0.37,0.38,0.37,0.38,800
ok,2024-01-23 12:30:00,0.38,0.38,0.38,0.38,1100
ok,2024-01-23 13:00:00,0.35,0.38,0.35,0.38,953
ok,2024-01-23 13:30:00,0.38,0.38,0.38,0.38,700
ok,2024-01-23 14:00:00,0.38,0.38,0.38,0.38,1638
ok,2024-01-23 14:30:00,0.38,0.38,0.38,0.38,1358
ok,2024-01-23 16:30:00,0.38,0.38,0.38,0.38,200
ok,2024-01-23 18:00:00,0.38,0.38,0.38,0.38,235
ok,2024-01-24 09:30:00,0.36,0.38,0.36,0.38,992
ok,2024-01-24 10:30:00,0.36,0.36,0.36,0.36,100
ok,2024-01-24 11:00:00,0.36,0.38,0.36,0.38,3300
ok,2024-01-24 11:30:00,0.38,0.38,0.38,0.38,100
ok,2024-01-24 13:30:00,0.35,0.35,0.33,0.33,10638
ok,2024-01-24 14:00:00,0.36,0.36,0.34,0.34,13402
ok,2024-01-24 14:30:00,0.34,0.35,0.33,0.35,8100
ok,2024-01-24 15:30:00,0.34,0.34,0.34,0.34,1955
ok,2024-01-25 08:00:00,0.34,0.34,0.34,0.34,499
ok,2024-01-25 09:00:00,0.38,0.38,0.38,0.38,200
ok,2024-01-25 09:30:00,0.34,0.34,0.32,0.32,1777
ok,2024-01-25 10:30:00,0.34,0.34,0.33,0.33,1951
ok,2024-01-25 12:00:00,0.33,0.34,0.33,0.33,571
ok,2024-01-25 13:00:00,0.34,0.34,0.34,0.34,188
ok,2024-01-25 14:30:00,0.34,0.35,0.34,0.34,5417
ok,2024-01-25 15:30:00,0.33,0.38,0.33,0.34,21092
ok,2024-01-25 16:00:00,0.35,0.38,0.33,0.38,800
ok,2024-01-25 16:30:00,0.34,0.38,0.34,0.37,16610
ok,2024-01-26 11:00:00,0.34,0.34,0.34,0.34,907
ok,2024-01-26 12:00:00,0.33,0.34,0.33,0.34,200
ok,2024-01-26 12:30:00,0.33,0.34,0.33,0.33,2459
ok,2024-01-26 13:00:00,0.33,0.34,0.33,0.34,2500
ok,2024-01-26 13:30:00,0.34,0.34,0.34,0.34,1800
ok,2024-01-26 14:30:00,0.34,0.34,0.34,0.34,300
ok,2024-01-26 15:00:00,0.34,0.36,0.34,0.35,11312
ok,2024-01-26 15:30:00,0.35,0.35,0.34,0.35,310
ok,2024-01-26 16:00:00,0.36,0.37,0.33,0.37,5236
ok,2024-01-26 16:30:00,0.35,0.35,0.34,0.35,511
ok,2024-01-26 17:30:00,0.35,0.35,0.35,0.35,100
ok,2024-01-26 18:00:00,0.35,0.37,0.32,0.37,2628
ok,2024-01-26 18:30:00,0.32,0.37,0.32,0.34,2714
ok,2024-01-26 19:00:00,0.32,0.35,0.32,0.35,221
ok,2024-01-26 19:30:00,0.33,0.37,0.33,0.37,400
ok,2024-01-29 07:00:00,0.34,0.34,0.34,0.34,1400
ok,2024-01-29 08:00:00,0.36,0.37,0.34,0.34,8800
ok,2024-01-29 09:30:00,0.35,0.35,0.35,0.35,1138
ok,2024-01-29 10:30:00,0.34,0.36,0.34,0.36,2103
ok,2024-01-29 11:00:00,0.36,0.36,0.36,0.36,281
ok,2024-01-29 12:00:00,0.34,0.34,0.34,0.34,100
ok,2024-01-29 12:30:00,0.35,0.36,0.35,0.36,3100
ok,2024-01-29 13:00:00,0.35,0.35,0.35,0.35,4000
ok,2024-01-29 15:30:00,0.35,0.36,0.34,0.34,2446
ok,2024-01-29 19:30:00,0.34,0.34,0.34,0.34,100
ok,2024-01-30 09:30:00,0.34,0.34,0.34,0.34,352
ok,2024-01-30 11:00:00,0.34,0.34,0.32,0.32,9998
ok,2024-01-30 11:30:00,0.35,0.35,0.35,0.35,200
ok,2024-01-30 12:00:00,0.35,0.35,0.33,0.33,203
ok,2024-01-30 13:30:00,0.35,0.35,0.35,0.35,150
ok,2024-01-30 14:30:00,0.35,0.35,0.35,0.35,2000
ok,2024-01-30 15:30:00,0.34,0.34,0.34,0.34,150
ok,2024-01-30 17:00:00,0.34,0.34,0.34,0.34,600
ok,2024-01-31 08:30:00,0.34,0.34,0.33,0.33,300
ok,2024-01-31 09:30:00,0.33,0.35,0.32,0.34,93545
ok,2024-01-31 10:30:00,0.34,0.36,0.34,0.36,19903
ok,2024-01-31 11:00:00,0.36,0.36,0.36,0.36,6407
ok,2024-01-31 11:30:00,0.35,0.35,0.35,0.35,5427
ok,2024-01-31 12:30:00,0.36,0.36,0.36,0.36,1650
ok,2024-01-31 14:30:00,0.35,0.35,0.34,0.35,2271
ok,2024-01-31 15:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-31 15:30:00,0.35,0.35,0.34,0.35,1795
ok,2024-01-31 16:30:00,0.34,0.34,0.32,0.32,5604
ok,2024-01-31 18:30:00,0.36,0.37,0.36,0.37,5560
ok,2024-01-31 19:00:00,0.38,0.39,0.38,0.38,5618
ok,2024-02-01 05:00:00,0.37,0.37,0.37,0.37,900
ok,2024-02-01 08:00:00,0.37,0.37,0.37,0.37,4000
ok,2024-02-01 08:30:00,0.37,0.37,0.37,0.37,100
ok,2024-02-01 09:30:00,0.32,0.35,0.32,0.34,8525
ok,2024-02-01 10:00:00,0.34,0.34,0.34,0.34,593
ok,2024-02-01 12:00:00,0.36,0.36,0.35,0.35,2353
ok,2024-02-01 13:00:00,0.36,0.36,0.36,0.36,850
ok,2024-02-01 13:30:00,0.34,0.35,0.34,0.34,14444
ok,2024-02-01 14:00:00,0.34,0.34,0.34,0.34,900
ok,2024-02-01 15:00:00,0.34,0.34,0.34,0.34,4856
ok,2024-02-01 16:00:00,0.37,0.37,0.37,0.37,100
ok,2024-02-02 09:30:00,0.34,0.36,0.34,0.34,2217
ok,2024-02-02 11:00:00,0.34,0.34,0.34,0.34,158
ok,2024-02-02 12:00:00,0.34,0.35,0.33,0.35,17117
ok,2024-02-02 12:30:00,0.36,0.36,0.35,0.35,1120
ok,2024-02-02 13:00:00,0.36,0.36,0.36,0.36,1000
ok,2024-02-02 13:30:00,0.35,0.35,0.35,0.35,100
ok,2024-02-02 15:30:00,0.34,0.34,0.34,0.34,2844
ok,2024-02-05 09:30:00,0.33,0.33,0.33,0.33,117
