s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,5.75,5.75,5.75,5.75,100
ok,2024-01-02 08:00:00,5.68,6.1,5.68,6.1,209
ok,2024-01-02 09:00:00,5.61,5.65,5.61,5.65,207
ok,2024-01-02 09:30:00,5.55,5.65,5.46,5.57,2441
ok,2024-01-02 10:00:00,5.6,5.6,5.5,5.5,4100
ok,2024-01-02 10:30:00,5.46,5.59,5.46,5.53,4728
ok,2024-01-02 11:00:00,5.59,5.59,5.42,5.42,3528
ok,2024-01-02 11:30:00,5.44,5.54,5.43,5.54,2295
ok,2024-01-02 12:00:00,5.55,5.56,5.55,5.55,1211
ok,2024-01-02 12:30:00,5.45,5.55,5.45,5.55,285
ok,2024-01-02 13:00:00,5.54,5.54,5.47,5.47,2278
ok,2024-01-02 13:30:00,5.54,5.54,5.51,5.52,1685
ok,2024-01-02 14:00:00,5.59,5.59,5.51,5.51,281
ok,2024-01-02 15:00:00,5.45,5.45,5.36,5.38,2649
ok,2024-01-02 15:30:00,5.46,5.49,5.37,5.38,2555
ok,2024-01-02 18:00:00,5.38,5.38,5.38,5.38,165
ok,2024-01-03 09:30:00,5.45,5.55,5.39,5.53,1396
ok,2024-01-03 10:00:00,5.37,5.69,5.37,5.63,23114
ok,2024-01-03 10:30:00,5.69,5.9,5.62,5.88,37262
ok,2024-01-03 11:00:00,5.85,5.85,5.77,5.77,711
ok,2024-01-03 11:30:00,5.77,5.77,5.7,5.7,1500
ok,2024-01-03 12:00:00,5.71,5.77,5.71,5.75,4378
ok,2024-01-03 12:30:00,5.75,5.79,5.7,5.79,2566
ok,2024-01-03 13:00:00,5.8,5.85,5.71,5.79,2727
ok,2024-01-03 13:30:00,5.84,5.85,5.77,5.78,4249
ok,2024-01-03 14:00:00,5.77,5.77,5.71,5.71,454
ok,2024-01-03 14:30:00,5.77,5.84,5.77,5.84,801
ok,2024-01-03 15:00:00,5.83,5.83,5.83,5.83,100
ok,2024-01-03 15:30:00,5.82,5.88,5.73,5.73,4881
ok,2024-01-03 18:30:00,5.81,5.81,5.81,5.81,125
ok,2024-01-04 09:30:00,5.71,5.83,5.7,5.7,4633
ok,2024-01-04 10:00:00,5.7,5.74,5.7,5.74,520
ok,2024-01-04 10:30:00,5.7,5.7,5.54,5.59,10946
ok,2024-01-04 11:00:00,5.68,5.68,5.66,5.66,500
ok,2024-01-04 11:30:00,5.58,5.58,5.58,5.58,339
ok,2024-01-04 12:30:00,5.6,5.61,5.6,5.61,433
ok,2024-01-04 13:00:00,5.67,5.7,5.65,5.7,2803
ok,2024-01-04 13:30:00,5.63,5.63,5.63,5.63,248
ok,2024-01-04 14:00:00,5.69,5.69,5.69,5.69,300
ok,2024-01-04 15:30:00,5.65,5.7,5.65,5.65,4327
ok,2024-01-04 17:30:00,5.75,5.75,5.75,5.75,400
ok,2024-01-04 19:30:00,5.75,5.75,5.75,5.75,199
ok,2024-01-05 08:00:00,5.61,5.61,5.59,5.59,330
ok,2024-01-05 09:30:00,5.62,5.62,5.54,5.6,2117
ok,2024-01-05 10:00:00,5.75,5.75,5.56,5.56,240
ok,2024-01-05 11:00:00,5.57,5.57,5.57,5.57,351
ok,2024-01-05 11:30:00,5.57,5.66,5.57,5.66,1127
ok,2024-01-05 12:00:00,5.67,5.73,5.65,5.73,2316
ok,2024-01-05 13:00:00,5.7,5.7,5.7,5.7,1103
ok,2024-01-05 14:00:00,5.66,5.66,5.65,5.65,600
ok,2024-01-05 14:30:00,5.74,5.78,5.61,5.78,1054
ok,2024-01-05 15:00:00,5.8,5.8,5.64,5.64,1161
ok,2024-01-05 15:30:00,5.74,5.75,5.73,5.74,1618
ok,2024-01-05 16:00:00,5.7,5.7,5.7,5.7,155
ok,2024-01-05 17:00:00,5.7,5.7,5.7,5.7,504
ok,2024-01-05 18:30:00,5.69,5.69,5.69,5.69,100
ok,2024-01-08 08:00:00,5.69,5.69,5.69,5.69,100
ok,2024-01-08 09:30:00,5.59,5.69,5.59,5.68,5167
ok,2024-01-08 10:00:00,5.77,5.98,5.75,5.89,18293
ok,2024-01-08 10:30:00,5.85,5.9,5.85,5.87,1214
ok,2024-01-08 11:00:00,5.87,5.87,5.86,5.86,521
ok,2024-01-08 11:30:00,5.86,5.9,5.86,5.86,4413
ok,2024-01-08 12:00:00,5.8,5.88,5.8,5.86,4051
ok,2024-01-08 12:30:00,5.9,5.9,5.8,5.83,1673
ok,2024-01-08 13:00:00,5.88,5.88,5.81,5.81,785
