s,t,o,h,l,c,v
ok,2024-02-08 11:30:00,4.43,4.75,4.25,4.4,141773
ok,2024-02-08 12:00:00,4.4,4.83,4.4,4.7,20778
ok,2024-02-08 12:30:00,4.77,5.38,4.75,5.14,37678
ok,2024-02-08 13:00:00,5.04,5.1,4.77,4.97,36058
ok,2024-02-08 13:30:00,4.96,5.1,4.89,4.99,12519
ok,2024-02-08 14:00:00,5.0,5.2,4.8,5.06,31357
ok,2024-02-08 14:30:00,5.09,5.2,4.9,5.0,19793
ok,2024-02-08 15:00:00,4.97,4.97,4.82,4.89,6072
ok,2024-02-08 15:30:00,4.82,5.25,4.75,5.0,62729
ok,2024-02-08 16:00:00,4.95,4.95,4.85,4.85,332
ok,2024-02-08 17:30:00,5.1,5.1,5.1,5.1,130
ok,2024-02-09 04:00:00,5.19,5.2,5.19,5.2,200
ok,2024-02-09 08:30:00,4.8,4.92,4.8,4.92,965
ok,2024-02-09 09:00:00,4.92,5.17,4.92,5.16,1295
ok,2024-02-09 09:30:00,5.22,5.39,4.7,4.8,18006
ok,2024-02-09 10:00:00,4.83,4.9,4.8,4.82,8183
ok,2024-02-09 10:30:00,4.82,4.82,4.75,4.76,1943
ok,2024-02-09 11:00:00,4.76,4.89,4.75,4.89,4665
ok,2024-02-09 11:30:00,4.75,4.76,4.75,4.76,1608
ok,2024-02-09 12:00:00,4.82,4.82,4.75,4.79,1049
ok,2024-02-09 12:30:00,4.75,4.82,4.75,4.82,4000
ok,2024-02-09 13:00:00,4.89,4.89,4.89,4.89,1000
ok,2024-02-09 13:30:00,4.85,4.85,4.85,4.85,431
ok,2024-02-09 14:00:00,4.76,4.87,4.76,4.84,1804
ok,2024-02-09 14:30:00,4.86,4.89,4.86,4.89,2000
ok,2024-02-09 15:30:00,4.88,5.24,4.84,5.16,19134
ok,2024-02-09 16:00:00,5.15,5.15,5.01,5.01,900
ok,2024-02-12 09:30:00,5.15,5.3,5.0,5.28,4115
ok,2024-02-12 10:00:00,5.01,5.01,5.01,5.01,2170
ok,2024-02-12 11:00:00,5.29,5.29,5.29,5.29,400
ok,2024-02-12 11:30:00,5.27,5.27,5.27,5.27,502
ok,2024-02-12 12:00:00,5.44,5.44,5.07,5.36,5660
ok,2024-02-12 12:30:00,5.32,5.32,5.32,5.32,117
ok,2024-02-12 13:00:00,5.41,5.41,5.41,5.41,319
ok,2024-02-12 13:30:00,5.3,5.3,5.3,5.3,100
ok,2024-02-12 14:00:00,5.39,5.39,5.15,5.15,6628
ok,2024-02-12 14:30:00,5.15,5.25,5.15,5.25,2397
ok,2024-02-12 15:00:00,5.39,5.4,5.25,5.38,5705
ok,2024-02-12 15:30:00,5.3,5.4,5.26,5.4,4221
ok,2024-02-12 16:30:00,5.46,5.5,5.46,5.5,234
ok,2024-02-13 08:00:00,5.91,6.1,5.91,6.1,1000
ok,2024-02-13 09:30:00,6.05,6.05,5.66,5.8,18851
ok,2024-02-13 10:00:00,5.74,5.8,5.73,5.76,6978
ok,2024-02-13 10:30:00,5.78,5.79,5.78,5.78,300
ok,2024-02-13 11:00:00,5.7,5.7,5.66,5.7,5720
ok,2024-02-13 11:30:00,5.77,5.77,5.68,5.68,430
ok,2024-02-13 12:00:00,5.72,5.72,5.66,5.66,300
ok,2024-02-13 13:00:00,5.66,5.66,5.65,5.65,2341
ok,2024-02-13 14:00:00,5.64,5.64,5.64,5.64,516
ok,2024-02-13 14:30:00,5.58,5.58,5.34,5.35,4002
ok,2024-02-13 15:00:00,5.33,5.63,5.33,5.63,812
