s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,5.83,5.83,5.83,5.83,1925
ok,2024-01-02 04:30:00,5.83,5.84,5.83,5.84,939
ok,2024-01-02 06:00:00,5.81,5.81,5.73,5.73,784
ok,2024-01-02 06:30:00,5.74,5.74,5.73,5.73,389
ok,2024-01-02 07:00:00,5.74,5.74,5.68,5.68,1992
ok,2024-01-02 07:30:00,5.7,5.7,5.67,5.68,2070
ok,2024-01-02 08:00:00,5.68,5.68,5.6,5.6,6923
ok,2024-01-02 08:30:00,5.62,5.86,5.62,5.82,2599
ok,2024-01-02 09:00:00,5.8,5.8,5.62,5.76,3328
ok,2024-01-02 09:30:00,5.8,8.2,5.65,8.2,489736
ok,2024-01-02 10:00:00,8.2,13.0,7.3,12.06,5850097
ok,2024-01-02 10:30:00,12.07,12.1,9.51,10.52,3549349
ok,2024-01-02 11:00:00,10.57,11.69,9.19,9.19,2851938
ok,2024-01-02 11:30:00,9.19,9.7,8.75,8.93,1153008
ok,2024-01-02 12:00:00,8.96,9.17,8.32,8.71,962396
ok,2024-01-02 12:30:00,8.75,9.31,8.61,8.82,626252
ok,2024-01-02 13:00:00,8.84,9.89,8.75,8.88,1260547
ok,2024-01-02 13:30:00,8.98,9.15,8.55,9.08,286428
ok,2024-01-02 14:00:00,9.02,9.7,8.7,9.19,706459
ok,2024-01-02 14:30:00,9.09,9.3,8.56,8.86,292816
ok,2024-01-02 15:00:00,8.85,9.2,8.38,8.86,409449
ok,2024-01-02 15:30:00,8.89,9.45,8.82,9.14,504548
ok,2024-01-02 16:00:00,9.05,9.18,8.82,9.15,29403
ok,2024-01-02 16:30:00,8.96,9.24,8.96,9.0,12010
ok,2024-01-02 17:00:00,9.02,9.25,9.0,9.25,5293
ok,2024-01-02 17:30:00,9.22,9.28,9.1,9.27,5642
ok,2024-01-02 18:00:00,9.02,9.19,9.02,9.02,6243
ok,2024-01-02 18:30:00,9.07,9.11,9.04,9.11,3079
ok,2024-01-02 19:00:00,9.11,9.11,8.92,8.92,7106
ok,2024-01-02 19:30:00,8.92,9.01,8.85,8.95,4156
ok,2024-01-03 04:00:00,9.21,9.21,8.38,8.53,8368
ok,2024-01-03 04:30:00,8.52,8.52,8.52,8.52,251
ok,2024-01-03 05:00:00,8.53,8.53,8.52,8.52,845
ok,2024-01-03 05:30:00,8.41,8.41,8.38,8.38,2451
ok,2024-01-03 06:00:00,8.43,8.43,8.36,8.36,2471
ok,2024-01-03 06:30:00,8.37,8.37,8.35,8.35,1002
ok,2024-01-03 07:00:00,8.33,9.03,8.33,8.79,15890
ok,2024-01-03 07:30:00,8.6,9.09,8.53,8.92,9592
ok,2024-01-03 08:00:00,8.91,9.24,8.33,8.5,34847
ok,2024-01-03 08:30:00,8.42,8.64,8.4,8.43,3733
ok,2024-01-03 09:00:00,8.5,8.55,8.01,8.01,29005
ok,2024-01-03 09:30:00,7.96,8.88,7.96,8.36,266912
ok,2024-01-03 10:00:00,8.3,8.63,8.13,8.33,77311
ok,2024-01-03 10:30:00,8.3,9.45,8.3,9.35,223124
ok,2024-01-03 11:00:00,9.35,9.4,8.83,8.83,89757
ok,2024-01-03 11:30:00,8.83,9.0,8.71,8.76,32013
ok,2024-01-03 12:00:00,8.87,8.97,8.73,8.9,27125
ok,2024-01-03 12:30:00,8.92,9.44,8.89,9.31,94155
ok,2024-01-03 13:00:00,9.26,9.63,9.07,9.28,123358
ok,2024-01-03 13:30:00,9.24,9.46,9.09,9.38,49155
ok,2024-01-03 14:00:00,9.31,9.54,9.21,9.51,36702
ok,2024-01-03 14:30:00,9.5,9.68,9.23,9.28,70786
ok,2024-01-03 15:00:00,9.25,9.31,9.09,9.14,49203
ok,2024-01-03 15:30:00,9.14,9.18,9.01,9.06,51418
ok,2024-01-03 16:00:00,9.1,9.1,8.99,9.0,1476
ok,2024-01-03 16:30:00,8.99,8.99,8.9,8.9,1971
ok,2024-01-03 17:00:00,8.9,8.9,8.9,8.9,721
ok,2024-01-03 17:30:00,8.92,9.03,8.92,9.03,200
ok,2024-01-03 18:00:00,8.9,8.9,8.9,8.9,101
ok,2024-01-03 18:30:00,8.9,8.9,8.9,8.9,223
ok,2024-01-03 19:00:00,8.91,8.91,8.91,8.91,1465
ok,2024-01-03 19:30:00,9.05,9.05,8.9,8.9,3800
ok,2024-01-04 04:00:00,9.13,9.13,8.0,8.3,1883
ok,2024-01-04 04:30:00,8.86,8.86,8.86,8.86,205
ok,2024-01-04 06:00:00,8.89,8.89,8.89,8.89,201
ok,2024-01-04 06:30:00,8.93,8.93,8.93,8.93,450
ok,2024-01-04 07:00:00,8.93,8.94,8.86,8.86,862
ok,2024-01-04 07:30:00,8.88,8.91,8.88,8.91,1247
ok,2024-01-04 08:00:00,8.59,8.99,8.59,8.81,4370
ok,2024-01-04 08:30:00,8.8,8.8,8.6,8.6,2750
ok,2024-01-04 09:00:00,8.55,8.62,8.55,8.6,1940
ok,2024-01-04 09:30:00,8.56,8.9,8.2,8.66,76586
ok,2024-01-04 10:00:00,8.71,8.71,8.4,8.44,19439
ok,2024-01-04 10:30:00,8.45,8.47,7.62,8.0,139144
ok,2024-01-04 11:00:00,8.04,8.05,7.7,7.8,40730
ok,2024-01-04 11:30:00,7.86,8.25,7.8,8.11,32860
ok,2024-01-04 12:00:00,8.17,8.17,7.81,7.96,10872
ok,2024-01-04 12:30:00,7.97,8.2,7.96,7.97,12465
ok,2024-01-04 13:00:00,7.97,8.07,6.79,7.3,101258
ok,2024-01-04 13:30:00,7.18,7.38,7.04,7.16,25480
ok,2024-01-04 14:00:00,7.26,7.35,7.05,7.08,15389
ok,2024-01-04 14:30:00,7.07,7.29,7.07,7.2,5989
ok,2024-01-04 15:00:00,7.22,7.22,6.68,6.82,28745
ok,2024-01-04 15:30:00,6.83,7.0,5.79,5.81,130132
ok,2024-01-04 16:00:00,5.87,6.33,5.87,6.33,4198
ok,2024-01-04 16:30:00,6.33,6.49,6.15,6.15,2060
ok,2024-01-04 17:00:00,6.15,6.41,6.11,6.16,1575
ok,2024-01-04 17:30:00,6.22,6.39,6.22,6.25,983
ok,2024-01-04 18:00:00,6.45,6.45,6.11,6.11,2420
ok,2024-01-04 18:30:00,6.13,6.13,6.11,6.11,1015
ok,2024-01-04 19:00:00,6.33,6.33,6.25,6.25,232
ok,2024-01-05 04:00:00,6.54,6.54,6.54,6.54,747
ok,2024-01-05 04:30:00,6.8,6.8,6.8,6.8,178
ok,2024-01-05 05:00:00,6.94,7.0,6.63,6.63,900
ok,2024-01-05 05:30:00,6.95,6.95,6.95,6.95,189
ok,2024-01-05 07:00:00,7.0,7.0,6.53,6.55,4162
ok,2024-01-05 07:30:00,6.77,6.99,6.77,6.99,658
ok,2024-01-05 08:00:00,7.0,7.0,6.53,6.97,6782
ok,2024-01-05 08:30:00,6.73,6.9,6.7,6.9,3405
ok,2024-01-05 09:00:00,6.9,7.19,6.89,7.1,17887
ok,2024-01-05 09:30:00,7.0,8.98,7.0,8.1,1366532
ok,2024-01-05 10:00:00,8.01,8.13,7.58,7.6,313494
ok,2024-01-05 10:30:00,7.56,7.75,7.18,7.23,140713
ok,2024-01-05 11:00:00,7.23,7.49,7.04,7.42,66312
ok,2024-01-05 11:30:00,7.48,7.7,7.2,7.43,100113
ok,2024-01-05 12:00:00,7.43,7.73,7.43,7.45,40042
ok,2024-01-05 12:30:00,7.5,7.71,7.44,7.54,54409
ok,2024-01-05 13:00:00,7.51,7.64,7.21,7.27,41783
ok,2024-01-05 13:30:00,7.27,7.45,7.23,7.39,13064
ok,2024-01-05 14:00:00,7.45,7.48,7.21,7.39,10831
ok,2024-01-05 14:30:00,7.22,7.39,7.21,7.3,14361
ok,2024-01-05 15:00:00,7.29,7.69,7.29,7.65,41479
ok,2024-01-05 15:30:00,7.56,7.65,7.21,7.21,58181
ok,2024-01-05 16:00:00,7.05,7.4,7.0,7.4,1777
ok,2024-01-05 16:30:00,7.5,7.64,7.5,7.64,1200
ok,2024-01-05 17:00:00,7.55,7.56,7.55,7.55,867
ok,2024-01-05 17:30:00,7.55,7.55,7.55,7.55,1100
ok,2024-01-05 18:00:00,7.55,7.57,7.55,7.55,22444
ok,2024-01-05 18:30:00,7.55,7.58,7.55,7.58,4503
ok,2024-01-05 19:00:00,7.59,7.59,7.51,7.51,627
ok,2024-01-05 19:30:00,7.55,7.69,7.55,7.69,743
ok,2024-01-08 04:00:00,7.5,7.5,7.43,7.43,540
ok,2024-01-08 07:30:00,7.42,7.42,7.42,7.42,808
ok,2024-01-08 08:00:00,7.41,7.47,7.41,7.41,3263
ok,2024-01-08 08:30:00,7.48,7.49,7.34,7.34,2154
ok,2024-01-08 09:00:00,7.23,7.28,7.01,7.03,8137
ok,2024-01-08 09:30:00,7.0,7.71,6.77,7.3,105784
ok,2024-01-08 10:00:00,7.28,7.36,7.02,7.15,27199
ok,2024-01-08 10:30:00,7.1,7.18,6.8,6.87,36596
