s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,0.26,0.26,0.26,0.26,105
ok,2024-01-02 08:00:00,0.27,0.27,0.27,0.27,198
ok,2024-01-02 09:00:00,0.26,0.26,0.26,0.26,3531
ok,2024-01-02 09:30:00,0.26,0.28,0.26,0.28,21694
ok,2024-01-02 10:00:00,0.28,0.28,0.27,0.28,27939
ok,2024-01-02 10:30:00,0.27,0.28,0.27,0.28,10826
ok,2024-01-02 11:00:00,0.27,0.28,0.27,0.27,26936
ok,2024-01-02 11:30:00,0.27,0.27,0.26,0.27,44586
ok,2024-01-02 12:00:00,0.27,0.27,0.26,0.27,18126
ok,2024-01-02 12:30:00,0.27,0.27,0.25,0.25,82592
ok,2024-01-02 13:00:00,0.25,0.25,0.23,0.23,38354
ok,2024-01-02 13:30:00,0.24,0.25,0.24,0.24,41620
ok,2024-01-02 14:00:00,0.25,0.25,0.23,0.24,49396
ok,2024-01-02 14:30:00,0.24,0.24,0.23,0.24,28553
ok,2024-01-02 15:00:00,0.24,0.24,0.24,0.24,19909
ok,2024-01-02 15:30:00,0.24,0.24,0.23,0.24,93529
ok,2024-01-02 16:00:00,0.24,0.24,0.23,0.24,3408
ok,2024-01-02 16:30:00,0.24,0.24,0.24,0.24,306
ok,2024-01-02 17:00:00,0.24,0.24,0.23,0.23,462
ok,2024-01-02 17:30:00,0.23,0.23,0.23,0.23,499
ok,2024-01-02 18:00:00,0.23,0.23,0.23,0.23,1218
ok,2024-01-02 19:00:00,0.23,0.23,0.23,0.23,740
ok,2024-01-02 19:30:00,0.23,0.23,0.23,0.23,763
ok,2024-01-03 09:00:00,7.6,8.22,7.6,7.81,1438
ok,2024-01-03 09:30:00,7.82,8.45,7.54,7.7,5233
ok,2024-01-03 10:00:00,7.72,7.72,7.33,7.33,1437
ok,2024-01-03 10:30:00,7.3,7.55,7.3,7.34,1045
ok,2024-01-03 11:00:00,7.5,7.52,7.26,7.26,859
ok,2024-01-03 11:30:00,7.53,8.48,7.26,8.48,8855
ok,2024-01-03 12:00:00,7.99,8.47,7.88,8.47,702
ok,2024-01-03 12:30:00,8.39,8.39,7.83,7.83,1029
ok,2024-01-03 14:00:00,8.23,8.23,7.99,8.14,1064
ok,2024-01-03 14:30:00,7.95,7.96,7.88,7.88,1826
ok,2024-01-03 15:00:00,8.08,8.08,7.96,7.97,353
ok,2024-01-03 15:30:00,8.02,8.03,7.83,8.03,929
ok,2024-01-03 17:30:00,8.05,8.05,7.75,7.75,226
ok,2024-01-04 09:30:00,8.03,8.03,7.83,7.88,8478
ok,2024-01-04 10:00:00,7.95,7.95,7.74,7.74,2072
ok,2024-01-04 11:00:00,7.68,7.8,7.68,7.8,786
ok,2024-01-04 11:30:00,7.55,7.55,7.55,7.55,266
ok,2024-01-04 12:00:00,7.6,7.6,7.5,7.5,320
ok,2024-01-04 12:30:00,7.32,7.35,7.32,7.35,360
ok,2024-01-04 13:00:00,7.49,7.65,7.49,7.65,1817
ok,2024-01-04 14:00:00,7.67,7.67,7.67,7.67,107
ok,2024-01-04 14:30:00,7.36,7.36,7.14,7.14,2791
ok,2024-01-04 15:00:00,7.27,7.27,7.27,7.27,200
ok,2024-01-04 15:30:00,7.2,7.2,7.2,7.2,645
ok,2024-01-05 09:30:00,6.84,6.84,6.66,6.73,3584
ok,2024-01-05 10:00:00,6.61,6.66,6.44,6.63,2465
ok,2024-01-05 10:30:00,6.5,6.52,6.5,6.52,1064
