s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.54,0.54,0.53,0.53,824
ok,2024-01-02 08:30:00,0.52,0.52,0.52,0.52,179
ok,2024-01-02 09:30:00,0.51,0.59,0.51,0.56,50780
ok,2024-01-02 10:00:00,0.55,0.56,0.53,0.56,21725
ok,2024-01-02 10:30:00,0.55,0.58,0.54,0.55,5187
ok,2024-01-02 11:00:00,0.53,0.55,0.53,0.55,12942
ok,2024-01-02 11:30:00,0.53,0.55,0.52,0.52,20782
ok,2024-01-02 12:00:00,0.56,0.56,0.53,0.53,6102
ok,2024-01-02 12:30:00,0.53,0.53,0.52,0.53,2187
ok,2024-01-02 13:00:00,0.56,0.56,0.56,0.56,2185
ok,2024-01-02 13:30:00,0.54,0.56,0.54,0.55,9038
ok,2024-01-02 14:00:00,0.55,0.55,0.55,0.55,5331
ok,2024-01-02 14:30:00,0.55,0.55,0.55,0.55,31628
ok,2024-01-02 15:00:00,0.55,0.55,0.52,0.52,108291
ok,2024-01-02 15:30:00,0.52,0.55,0.52,0.54,2448
ok,2024-01-03 04:00:00,0.5,0.5,0.5,0.5,125
ok,2024-01-03 09:30:00,0.51,0.54,0.51,0.54,10121
ok,2024-01-03 10:00:00,0.54,0.54,0.52,0.52,12805
ok,2024-01-03 10:30:00,0.53,0.53,0.52,0.52,1763
ok,2024-01-03 11:00:00,0.53,0.54,0.52,0.54,3843
ok,2024-01-03 11:30:00,0.53,0.54,0.52,0.52,33005
ok,2024-01-03 12:00:00,0.51,0.51,0.51,0.51,35293
ok,2024-01-03 12:30:00,0.51,0.51,0.51,0.51,2053
ok,2024-01-03 13:00:00,0.52,0.53,0.51,0.53,3910
ok,2024-01-03 13:30:00,0.53,0.53,0.53,0.53,600
ok,2024-01-03 14:00:00,0.51,0.53,0.51,0.53,1184
ok,2024-01-03 14:30:00,0.51,0.53,0.51,0.53,1400
ok,2024-01-03 15:00:00,0.52,0.52,0.51,0.51,16296
ok,2024-01-03 15:30:00,0.51,0.53,0.51,0.52,18565
ok,2024-01-03 16:00:00,0.52,0.52,0.52,0.52,2177
ok,2024-01-03 17:30:00,0.51,0.51,0.51,0.51,200
ok,2024-01-03 19:00:00,0.51,0.51,0.51,0.51,5000
ok,2024-01-04 09:30:00,0.52,0.53,0.51,0.51,3780
ok,2024-01-04 10:00:00,0.52,0.53,0.51,0.51,8016
ok,2024-01-04 10:30:00,0.53,0.53,0.51,0.52,8620
ok,2024-01-04 11:00:00,0.51,0.52,0.49,0.5,44809
ok,2024-01-04 11:30:00,0.5,0.52,0.5,0.5,1857
ok,2024-01-04 12:00:00,0.5,0.5,0.5,0.5,9510
ok,2024-01-04 12:30:00,0.5,0.5,0.46,0.48,38382
ok,2024-01-04 13:00:00,0.48,0.48,0.48,0.48,3108
ok,2024-01-04 13:30:00,0.47,0.47,0.46,0.47,10187
ok,2024-01-04 14:00:00,0.47,0.47,0.46,0.47,3109
ok,2024-01-04 14:30:00,0.47,0.47,0.46,0.46,5390
ok,2024-01-04 15:00:00,0.46,0.47,0.46,0.47,12351
ok,2024-01-04 15:30:00,0.47,0.48,0.45,0.45,95327
ok,2024-01-04 16:30:00,0.46,0.46,0.46,0.46,100
ok,2024-01-04 17:00:00,0.47,0.47,0.47,0.47,100
ok,2024-01-04 17:30:00,0.47,0.47,0.47,0.47,1000
ok,2024-01-05 09:30:00,0.46,0.46,0.45,0.46,19338
ok,2024-01-05 10:00:00,0.46,0.46,0.46,0.46,3500
ok,2024-01-05 10:30:00,0.46,0.46,0.45,0.45,16360
ok,2024-01-05 11:00:00,0.45,0.45,0.44,0.44,14921
ok,2024-01-05 11:30:00,0.44,0.44,0.43,0.44,38394
ok,2024-01-05 12:00:00,0.44,0.45,0.42,0.43,19195
ok,2024-01-05 12:30:00,0.44,0.46,0.44,0.44,15841
ok,2024-01-05 13:30:00,0.44,0.45,0.44,0.44,2187
ok,2024-01-05 14:00:00,0.45,0.45,0.44,0.44,14589
ok,2024-01-05 14:30:00,0.45,0.45,0.44,0.44,3701
ok,2024-01-05 15:00:00,0.44,0.45,0.44,0.44,821
ok,2024-01-05 15:30:00,0.45,0.45,0.44,0.45,24992
ok,2024-01-05 17:00:00,0.47,0.47,0.46,0.46,200
ok,2024-01-08 09:30:00,0.44,0.45,0.43,0.43,13265
ok,2024-01-08 10:00:00,0.43,0.43,0.43,0.43,18517
ok,2024-01-08 10:30:00,0.43,0.43,0.43,0.43,7821
ok,2024-01-08 11:00:00,0.43,0.43,0.41,0.41,32426
ok,2024-01-08 11:30:00,0.42,0.42,0.41,0.42,8148
ok,2024-01-08 12:00:00,0.42,0.42,0.38,0.39,80184
ok,2024-01-08 12:30:00,0.39,0.4,0.38,0.39,17468
ok,2024-01-08 13:00:00,0.4,0.4,0.39,0.4,28243
ok,2024-01-08 13:30:00,0.4,0.4,0.38,0.38,17015
ok,2024-01-08 14:00:00,0.39,0.39,0.38,0.38,32938
ok,2024-01-08 14:30:00,0.39,0.39,0.38,0.39,20957
ok,2024-01-08 15:00:00,0.39,0.39,0.38,0.39,2817
ok,2024-01-08 15:30:00,0.39,0.41,0.39,0.4,22265
ok,2024-01-08 17:30:00,0.4,0.4,0.4,0.4,250
ok,2024-01-08 18:00:00,0.42,0.42,0.42,0.42,600
ok,2024-01-08 19:00:00,0.42,0.42,0.42,0.42,363
ok,2024-01-09 08:00:00,0.43,0.43,0.43,0.43,269
ok,2024-01-09 09:00:00,0.4,0.4,0.4,0.4,130
ok,2024-01-09 09:30:00,0.4,0.4,0.39,0.39,18068
ok,2024-01-09 10:00:00,0.39,0.4,0.39,0.4,1000
ok,2024-01-09 10:30:00,0.4,0.4,0.39,0.4,1037
ok,2024-01-09 11:00:00,0.4,0.4,0.39,0.39,24824
ok,2024-01-09 11:30:00,0.39,0.39,0.39,0.39,5587
ok,2024-01-09 12:00:00,0.39,0.39,0.39,0.39,2601
ok,2024-01-09 12:30:00,0.39,0.39,0.39,0.39,17166
ok,2024-01-09 13:00:00,0.39,0.39,0.39,0.39,12062
ok,2024-01-09 13:30:00,0.39,0.39,0.39,0.39,1823
ok,2024-01-09 14:00:00,0.39,0.39,0.39,0.39,15546
ok,2024-01-09 14:30:00,0.39,0.39,0.39,0.39,17402
ok,2024-01-09 15:00:00,0.39,0.39,0.39,0.39,2279
ok,2024-01-09 15:30:00,0.39,0.39,0.39,0.39,7262
