s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.75,0.75,0.75,0.75,2375
ok,2024-01-02 04:30:00,0.79,0.79,0.79,0.79,490
ok,2024-01-02 05:00:00,0.75,0.75,0.75,0.75,459
ok,2024-01-02 06:00:00,0.76,0.76,0.76,0.76,114
ok,2024-01-02 06:30:00,0.76,0.76,0.76,0.76,766
ok,2024-01-02 07:00:00,0.76,0.76,0.73,0.75,3930
ok,2024-01-02 07:30:00,0.73,0.73,0.72,0.72,1740
ok,2024-01-02 08:00:00,0.73,0.76,0.71,0.72,8709
ok,2024-01-02 08:30:00,0.72,0.72,0.72,0.72,2430
ok,2024-01-02 09:00:00,0.73,0.73,0.72,0.73,7172
ok,2024-01-02 09:30:00,0.73,0.75,0.73,0.74,100112
ok,2024-01-02 10:00:00,0.74,0.76,0.73,0.75,98336
ok,2024-01-02 10:30:00,0.75,0.77,0.75,0.77,89395
ok,2024-01-02 11:00:00,0.75,0.77,0.75,0.76,45127
ok,2024-01-02 11:30:00,0.76,0.76,0.74,0.75,44046
ok,2024-01-02 12:00:00,0.75,0.77,0.75,0.77,92902
ok,2024-01-02 12:30:00,0.77,0.82,0.76,0.8,495664
ok,2024-01-02 13:00:00,0.8,0.84,0.78,0.83,240624
ok,2024-01-02 13:30:00,0.83,0.83,0.8,0.82,134392
ok,2024-01-02 14:00:00,0.82,0.82,0.78,0.79,66152
ok,2024-01-02 14:30:00,0.8,0.8,0.78,0.79,42336
ok,2024-01-02 15:00:00,0.79,0.79,0.78,0.79,24530
ok,2024-01-02 15:30:00,0.79,0.79,0.78,0.79,63449
ok,2024-01-02 16:30:00,0.79,0.79,0.79,0.79,300
ok,2024-01-02 17:00:00,0.79,0.81,0.79,0.81,412
ok,2024-01-02 17:30:00,0.79,0.79,0.79,0.79,200
ok,2024-01-02 18:00:00,0.8,0.8,0.8,0.8,200
ok,2024-01-02 18:30:00,0.78,0.78,0.78,0.78,100
ok,2024-01-02 19:00:00,0.8,0.8,0.8,0.8,1300
ok,2024-01-02 19:30:00,0.8,0.8,0.8,0.8,187
ok,2024-01-03 04:30:00,0.79,0.79,0.79,0.79,728
ok,2024-01-03 06:00:00,0.78,0.78,0.78,0.78,100
ok,2024-01-03 06:30:00,0.78,0.78,0.78,0.78,100
ok,2024-01-03 07:00:00,0.78,0.78,0.77,0.77,407
ok,2024-01-03 07:30:00,0.78,0.78,0.78,0.78,200
ok,2024-01-03 08:00:00,0.78,0.78,0.77,0.78,95092
ok,2024-01-03 08:30:00,0.77,0.77,0.76,0.76,1941
ok,2024-01-03 09:00:00,0.77,0.77,0.76,0.76,922
ok,2024-01-03 09:30:00,0.77,0.77,0.74,0.75,104232
ok,2024-01-03 10:00:00,0.75,0.76,0.75,0.75,106030
