s,t,o,h,l,c,v
ok,2024-01-02 09:00:00,22.31,22.39,22.31,22.38,62900
ok,2024-01-02 09:30:00,22.45,22.45,22.38,22.39,4074
ok,2024-01-02 10:00:00,22.17,22.26,22.17,22.26,539
ok,2024-01-02 10:30:00,22.1,22.35,22.1,22.35,1905
ok,2024-01-02 11:00:00,21.85,22.28,21.85,22.24,1133
ok,2024-01-02 11:30:00,22.24,22.24,22.24,22.24,615
ok,2024-01-02 13:00:00,22.28,22.35,22.28,22.35,2629
ok,2024-01-02 13:30:00,22.35,22.35,22.35,22.35,300
ok,2024-01-02 14:30:00,22.26,22.3,22.26,22.3,1126
ok,2024-01-02 15:00:00,22.3,22.35,22.3,22.34,500
ok,2024-01-03 09:30:00,22.48,22.48,22.48,22.48,100
ok,2024-01-03 10:00:00,22.4,22.4,22.4,22.4,150
ok,2024-01-03 10:30:00,22.52,22.52,22.47,22.47,1411
ok,2024-01-03 11:00:00,22.46,22.46,22.41,22.42,33610
ok,2024-01-03 12:00:00,22.34,22.35,22.34,22.34,27532
ok,2024-01-03 12:30:00,22.34,22.34,22.32,22.32,600
ok,2024-01-03 13:00:00,22.29,22.29,22.29,22.29,200
ok,2024-01-03 13:30:00,22.29,22.29,22.29,22.29,100
ok,2024-01-03 14:00:00,22.28,22.28,22.28,22.28,200
ok,2024-01-03 15:00:00,22.22,22.23,22.22,22.22,1800
ok,2024-01-03 15:30:00,22.23,22.24,22.22,22.24,3469
ok,2024-01-04 08:30:00,22.49,22.49,22.49,22.49,700
ok,2024-01-04 09:00:00,22.48,22.5,22.48,22.5,3500
ok,2024-01-04 09:30:00,22.5,22.54,22.5,22.52,19459
ok,2024-01-04 10:00:00,22.49,22.49,22.49,22.49,100
ok,2024-01-04 10:30:00,22.47,22.5,22.47,22.5,1100
ok,2024-01-04 11:00:00,22.48,22.48,22.46,22.47,1350
ok,2024-01-04 11:30:00,22.48,22.5,22.48,22.5,900
ok,2024-01-04 12:00:00,22.51,22.52,22.5,22.52,700
ok,2024-01-04 12:30:00,22.53,22.54,22.53,22.54,500
ok,2024-01-04 13:00:00,22.55,22.55,22.52,22.52,1445
ok,2024-01-04 13:30:00,22.52,22.53,22.52,22.52,1500
ok,2024-01-04 14:00:00,22.53,22.54,22.53,22.54,700
ok,2024-01-04 14:30:00,22.54,22.54,22.49,22.5,1830
ok,2024-01-04 15:00:00,22.52,22.52,22.51,22.51,500
ok,2024-01-04 15:30:00,22.51,22.51,22.5,22.51,8062
ok,2024-01-05 08:00:00,22.69,22.69,22.69,22.69,200
ok,2024-01-05 08:30:00,22.78,22.78,22.78,22.78,100
ok,2024-01-05 09:00:00,22.7,22.7,22.7,22.7,13500
ok,2024-01-05 09:30:00,22.68,22.7,22.66,22.68,10231
ok,2024-01-05 10:00:00,22.51,22.51,22.39,22.44,8126
ok,2024-01-05 10:30:00,22.39,22.45,22.36,22.45,71958
ok,2024-01-05 11:00:00,22.45,22.45,22.43,22.44,800
ok,2024-01-05 11:30:00,22.47,22.54,22.47,22.53,1658
ok,2024-01-05 12:00:00,22.54,22.63,22.54,22.63,9281
ok,2024-01-05 12:30:00,22.62,22.66,22.62,22.66,2321
ok,2024-01-05 13:00:00,22.66,22.68,22.64,22.64,8904
ok,2024-01-05 14:00:00,22.6,22.63,22.6,22.63,5741
ok,2024-01-05 14:30:00,22.62,22.64,22.62,22.63,712
ok,2024-01-05 15:00:00,22.65,22.65,22.65,22.65,1622
ok,2024-01-05 15:30:00,22.69,22.69,22.68,22.68,3561
ok,2024-01-08 10:30:00,22.48,22.48,22.48,22.48,573
ok,2024-01-08 11:00:00,22.47,22.48,22.41,22.41,2612
ok,2024-01-08 13:00:00,22.44,22.44,22.44,22.44,408
ok,2024-01-08 13:30:00,22.5,22.51,22.5,22.5,929
ok,2024-01-08 14:00:00,22.48,22.49,22.48,22.49,810
ok,2024-01-08 14:30:00,22.49,22.5,22.49,22.5,613
ok,2024-01-08 15:00:00,22.53,22.53,22.53,22.53,133
ok,2024-01-08 15:30:00,22.56,22.56,22.55,22.55,473
ok,2024-01-09 09:30:00,22.62,22.62,22.54,22.54,970
ok,2024-01-09 10:00:00,22.52,22.52,22.52,22.52,100
ok,2024-01-09 10:30:00,22.55,22.55,22.54,22.54,690
ok,2024-01-09 11:00:00,22.58,22.58,22.58,22.58,100
ok,2024-01-09 11:30:00,22.57,22.57,22.55,22.55,412
ok,2024-01-09 12:00:00,22.55,22.55,22.55,22.55,1381
ok,2024-01-09 12:30:00,22.57,22.57,22.56,22.56,433
ok,2024-01-09 14:30:00,22.54,22.58,22.54,22.58,2618
ok,2024-01-09 15:30:00,22.57,22.57,22.55,22.57,1306
ok,2024-01-10 09:30:00,22.51,22.51,22.51,22.51,1300
ok,2024-01-10 10:00:00,22.52,22.52,22.52,22.52,200
ok,2024-01-10 10:30:00,22.57,22.57,22.54,22.54,1300
ok,2024-01-10 11:00:00,22.52,22.53,22.52,22.53,1827
ok,2024-01-10 11:30:00,22.58,22.58,22.57,22.58,600
ok,2024-01-10 12:00:00,22.56,22.56,22.56,22.56,101
ok,2024-01-10 12:30:00,22.57,22.58,22.57,22.58,500
ok,2024-01-10 13:00:00,22.59,22.59,22.59,22.59,200
ok,2024-01-10 14:00:00,22.62,22.63,22.62,22.62,2450
ok,2024-01-10 15:00:00,22.6,22.62,22.6,22.62,1000
ok,2024-01-10 15:30:00,22.64,22.66,22.64,22.66,646
ok,2024-01-11 07:30:00,22.46,22.46,22.46,22.46,56100
ok,2024-01-11 09:00:00,22.64,22.65,22.64,22.64,16300
ok,2024-01-11 09:30:00,22.56,22.63,22.56,22.58,7607
ok,2024-01-11 10:00:00,22.63,22.65,22.62,22.65,4302
ok,2024-01-11 10:30:00,22.59,22.6,22.56,22.57,4362
ok,2024-01-11 11:00:00,22.58,22.61,22.58,22.61,7500
ok,2024-01-11 11:30:00,22.66,22.66,22.62,22.62,1500
ok,2024-01-11 12:30:00,22.64,22.64,22.64,22.64,10305
ok,2024-01-11 13:30:00,22.58,22.58,22.56,22.56,600
ok,2024-01-11 14:00:00,22.53,22.53,22.49,22.49,3239
ok,2024-01-11 14:30:00,22.47,22.47,22.41,22.41,5962
ok,2024-01-11 15:00:00,22.45,22.45,22.45,22.45,201
ok,2024-01-11 15:30:00,22.46,22.46,22.44,22.45,28019
ok,2024-01-12 09:30:00,22.31,22.31,22.2,22.24,14276
ok,2024-01-12 10:00:00,22.28,22.28,22.24,22.26,1903
ok,2024-01-12 10:30:00,22.3,22.32,22.26,22.32,1793
ok,2024-01-12 11:00:00,22.31,22.34,22.28,22.28,1527
ok,2024-01-12 11:30:00,22.28,22.32,22.28,22.32,825
ok,2024-01-12 12:00:00,22.35,22.37,22.34,22.35,921
ok,2024-01-12 12:30:00,22.34,22.37,22.34,22.37,511
ok,2024-01-12 13:00:00,22.41,22.41,22.39,22.39,503
ok,2024-01-12 13:30:00,22.38,22.38,22.37,22.38,600
ok,2024-01-12 14:00:00,22.36,22.36,22.33,22.34,2612
ok,2024-01-12 14:30:00,22.33,22.34,22.32,22.32,828
ok,2024-01-12 15:00:00,22.34,22.34,22.33,22.33,200
ok,2024-01-12 15:30:00,22.34,22.36,22.33,22.34,3208
ok,2024-01-16 09:00:00,22.52,22.52,22.52,22.52,725
ok,2024-01-16 09:30:00,22.69,22.69,22.51,22.54,5352
ok,2024-01-16 10:00:00,22.5,22.5,22.49,22.49,200
ok,2024-01-16 10:30:00,22.48,22.48,22.47,22.47,1200
ok,2024-01-16 11:00:00,22.53,22.66,22.53,22.57,3881
ok,2024-01-16 11:30:00,22.6,22.6,22.6,22.6,300
ok,2024-01-16 12:00:00,22.68,22.71,22.68,22.71,3300
ok,2024-01-16 12:30:00,22.71,22.73,22.71,22.73,1300
ok,2024-01-16 15:00:00,22.7,22.71,22.7,22.71,700
ok,2024-01-16 15:30:00,22.7,22.7,22.68,22.68,908
ok,2024-01-17 09:30:00,22.82,22.9,22.82,22.9,5237
ok,2024-01-17 10:00:00,22.86,22.91,22.86,22.91,1654
ok,2024-01-17 10:30:00,22.9,22.9,22.86,22.86,1009
ok,2024-01-17 11:00:00,22.84,22.84,22.84,22.84,501
ok,2024-01-17 11:30:00,22.84,22.86,22.82,22.86,11889
ok,2024-01-17 12:00:00,22.84,22.87,22.84,22.86,2555
ok,2024-01-17 12:30:00,22.83,22.83,22.8,22.81,1817
ok,2024-01-17 13:00:00,22.78,22.88,22.78,22.88,1361
ok,2024-01-17 13:30:00,22.86,22.89,22.86,22.88,875
ok,2024-01-17 14:00:00,22.87,22.88,22.86,22.87,61701
ok,2024-01-17 14:30:00,22.87,22.87,22.83,22.85,5014
ok,2024-01-17 15:00:00,22.86,22.86,22.82,22.84,5061
ok,2024-01-17 15:30:00,22.84,22.85,22.84,22.85,997
ok,2024-01-18 07:30:00,22.81,22.81,22.81,22.81,38800
ok,2024-01-18 09:00:00,22.9,22.9,22.9,22.9,100
ok,2024-01-18 09:30:00,22.88,22.93,22.88,22.89,5213
ok,2024-01-18 10:00:00,22.92,22.92,22.89,22.89,3829
ok,2024-01-18 10:30:00,22.88,22.93,22.88,22.93,4064
ok,2024-01-18 11:00:00,22.93,22.93,22.91,22.92,7352
ok,2024-01-18 11:30:00,22.91,22.98,22.91,22.98,2327
ok,2024-01-18 12:00:00,22.99,23.0,22.99,23.0,15322
ok,2024-01-18 12:30:00,22.99,22.99,22.99,22.99,325
ok,2024-01-18 13:00:00,22.98,22.98,22.98,22.98,15465
ok,2024-01-18 13:30:00,22.95,22.95,22.95,22.95,200
ok,2024-01-18 14:00:00,22.97,22.97,22.96,22.96,401
ok,2024-01-18 14:30:00,22.94,22.94,22.94,22.94,8200
ok,2024-01-18 15:00:00,22.99,22.99,22.99,22.99,2300
ok,2024-01-18 15:30:00,22.99,22.99,22.97,22.98,17070
ok,2024-01-19 09:30:00,23.07,23.11,23.07,23.09,4629
ok,2024-01-19 10:00:00,23.1,23.12,23.1,23.11,1868
ok,2024-01-19 10:30:00,23.12,23.12,23.07,23.08,3192
ok,2024-01-19 11:00:00,23.04,23.06,23.03,23.06,2966
ok,2024-01-19 11:30:00,23.05,23.08,23.05,23.07,1826
ok,2024-01-19 12:30:00,23.06,23.06,23.06,23.06,200
ok,2024-01-19 13:00:00,23.04,23.04,23.04,23.04,134
ok,2024-01-19 13:30:00,23.05,23.05,23.05,23.05,321
ok,2024-01-19 14:00:00,23.03,23.03,23.02,23.02,1217
ok,2024-01-19 15:30:00,23.01,23.01,22.99,23.0,1763
ok,2024-01-22 10:00:00,22.8,22.83,22.8,22.82,5006
ok,2024-01-22 10:30:00,22.78,22.81,22.78,22.81,2122
ok,2024-01-22 11:00:00,22.83,22.84,22.83,22.84,1500
ok,2024-01-22 12:00:00,22.83,22.83,22.83,22.83,956
ok,2024-01-22 12:30:00,22.85,22.85,22.85,22.85,443
ok,2024-01-22 13:00:00,22.86,22.86,22.86,22.86,101
ok,2024-01-22 13:30:00,22.86,22.88,22.86,22.88,800
ok,2024-01-22 15:30:00,22.86,22.86,22.84,22.85,2920
ok,2024-01-23 08:30:00,23.41,23.41,23.41,23.41,222
ok,2024-01-23 09:30:00,22.95,23.0,22.95,22.97,3040
ok,2024-01-23 10:00:00,22.98,22.98,22.98,22.98,400
ok,2024-01-23 10:30:00,23.0,23.01,23.0,23.01,2078
ok,2024-01-23 11:00:00,22.99,22.99,22.98,22.99,1350
ok,2024-01-23 14:00:00,23.01,23.01,22.98,22.98,6161
ok,2024-01-23 14:30:00,22.98,22.98,22.98,22.98,100
ok,2024-01-23 15:30:00,22.97,22.97,22.97,22.97,1447
ok,2024-01-23 17:00:00,23.19,23.19,23.19,23.19,2000
ok,2024-01-24 09:00:00,22.65,22.65,22.65,22.65,900
ok,2024-01-24 09:30:00,22.81,22.93,22.8,22.92,4897
ok,2024-01-24 10:00:00,22.9,22.94,22.9,22.94,1700
ok,2024-01-24 10:30:00,22.94,22.94,22.93,22.94,1200
ok,2024-01-24 11:00:00,22.95,22.99,22.95,22.99,700
ok,2024-01-24 13:00:00,23.06,23.08,23.05,23.07,4880
ok,2024-01-24 13:30:00,23.08,23.1,23.08,23.1,400
ok,2024-01-24 14:00:00,23.1,23.1,23.1,23.1,101
ok,2024-01-24 15:00:00,23.1,23.1,23.1,23.1,100
ok,2024-01-24 15:30:00,23.1,23.12,23.1,23.12,2387
ok,2024-01-25 07:30:00,23.07,23.07,23.07,23.07,40000
ok,2024-01-25 09:00:00,22.93,22.95,22.93,22.95,34900
ok,2024-01-25 09:30:00,22.96,23.0,22.96,22.97,15591
ok,2024-01-25 10:00:00,22.96,22.97,22.96,22.96,17470
ok,2024-01-25 10:30:00,22.97,22.98,22.97,22.98,800
ok,2024-01-25 11:00:00,22.95,22.97,22.95,22.97,52900
ok,2024-01-25 15:30:00,22.95,22.95,22.94,22.95,3619
ok,2024-01-26 08:30:00,22.95,22.95,22.95,22.95,100
ok,2024-01-26 09:30:00,22.97,23.03,22.97,23.02,7702
ok,2024-01-26 10:00:00,23.05,23.06,23.05,23.06,2500
ok,2024-01-26 11:00:00,23.02,23.02,23.01,23.02,4150
ok,2024-01-26 11:30:00,22.98,23.0,22.98,22.99,1600
ok,2024-01-26 12:00:00,22.99,22.99,22.99,22.99,3700
ok,2024-01-26 14:30:00,23.06,23.06,23.06,23.06,14400
ok,2024-01-29 09:30:00,22.9,22.9,22.88,22.88,27011
ok,2024-01-29 10:00:00,22.88,22.88,22.87,22.88,39247
ok,2024-01-29 10:30:00,22.9,22.9,22.89,22.89,1100
ok,2024-01-29 11:00:00,22.89,22.89,22.89,22.89,400
ok,2024-01-29 11:30:00,22.85,22.85,22.84,22.84,295
ok,2024-01-29 12:30:00,22.84,22.84,22.84,22.84,100
ok,2024-01-29 13:00:00,22.85,22.85,22.85,22.85,142
ok,2024-01-29 13:30:00,22.84,22.84,22.84,22.84,100
ok,2024-01-29 14:00:00,22.84,22.85,22.83,22.85,1469
ok,2024-01-29 14:30:00,22.83,22.83,22.82,22.82,610
ok,2024-01-29 15:00:00,22.77,22.77,22.72,22.73,1833
ok,2024-01-29 15:30:00,22.77,22.77,22.76,22.76,502
ok,2024-01-30 09:30:00,22.68,22.68,22.67,22.67,2470
ok,2024-01-30 10:00:00,22.77,22.86,22.77,22.86,1970
ok,2024-01-30 10:30:00,22.83,22.84,22.83,22.84,707
ok,2024-01-30 11:30:00,22.75,22.75,22.75,22.75,1103
ok,2024-01-30 12:30:00,22.79,22.79,22.79,22.79,105
ok,2024-01-30 14:30:00,22.74,22.74,22.73,22.73,2211
ok,2024-01-31 09:30:00,22.49,22.55,22.36,22.36,19400
ok,2024-01-31 10:00:00,22.39,22.43,22.39,22.43,2200
ok,2024-01-31 10:30:00,22.38,22.38,22.38,22.38,100
ok,2024-01-31 11:00:00,22.37,22.37,22.37,22.37,118
ok,2024-01-31 11:30:00,22.39,22.39,22.39,22.39,400
ok,2024-01-31 12:30:00,22.37,22.37,22.37,22.37,100
ok,2024-01-31 13:30:00,22.39,22.41,22.39,22.41,301
ok,2024-01-31 14:30:00,22.51,22.51,22.43,22.43,769
ok,2024-01-31 15:00:00,22.49,22.49,22.46,22.46,2200
ok,2024-01-31 15:30:00,22.49,22.52,22.38,22.38,8840
ok,2024-02-01 09:00:00,22.17,22.17,22.17,22.17,700
ok,2024-02-01 09:30:00,22.18,22.19,22.13,22.15,6798
ok,2024-02-01 10:00:00,22.2,22.2,22.15,22.17,4713
ok,2024-02-01 10:30:00,22.16,22.16,22.09,22.1,8081
ok,2024-02-01 11:00:00,22.01,22.02,21.95,22.02,5921
ok,2024-02-01 11:30:00,22.02,22.04,22.02,22.04,433
ok,2024-02-01 12:00:00,22.04,22.1,22.04,22.1,3817
ok,2024-02-01 12:30:00,22.1,22.12,22.1,22.12,500
ok,2024-02-01 13:00:00,22.12,22.12,22.12,22.12,100
ok,2024-02-01 13:30:00,22.16,22.16,22.12,22.14,400
ok,2024-02-01 14:00:00,22.13,22.13,22.11,22.13,1440
ok,2024-02-01 14:30:00,22.11,22.11,22.11,22.11,611
ok,2024-02-01 15:30:00,22.08,22.09,22.08,22.09,4547
ok,2024-02-02 08:00:00,22.16,22.16,22.16,22.16,300
ok,2024-02-02 08:30:00,22.4,22.57,22.4,22.57,907
ok,2024-02-02 09:30:00,22.56,22.56,22.51,22.51,3300
ok,2024-02-02 10:00:00,22.61,22.64,22.61,22.64,800
ok,2024-02-02 10:30:00,22.66,22.67,22.64,22.66,1100
