s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,3.81,3.81,3.81,3.81,100
ok,2024-01-02 05:00:00,3.98,3.98,3.98,3.98,101
ok,2024-01-02 07:00:00,4.16,4.16,4.16,4.16,302
ok,2024-01-02 08:00:00,3.96,4.11,3.95,4.11,3322
ok,2024-01-02 08:30:00,3.95,3.99,3.95,3.99,850
ok,2024-01-02 09:00:00,3.9,3.9,3.88,3.89,1552
ok,2024-01-02 09:30:00,3.96,4.09,3.89,4.09,34430
ok,2024-01-02 10:00:00,4.04,4.08,3.89,3.94,25834
ok,2024-01-02 10:30:00,3.93,3.99,3.72,3.74,90196
ok,2024-01-02 11:00:00,3.75,3.8,3.58,3.68,43425
ok,2024-01-02 11:30:00,3.68,3.73,3.66,3.72,16280
ok,2024-01-02 12:00:00,3.66,3.73,3.66,3.73,4081
ok,2024-01-02 12:30:00,3.71,3.73,3.7,3.71,5378
ok,2024-01-02 13:00:00,3.65,3.71,3.53,3.56,20430
ok,2024-01-02 13:30:00,3.58,3.66,3.58,3.64,9996
ok,2024-01-02 14:00:00,3.65,3.65,3.63,3.63,4068
ok,2024-01-02 14:30:00,3.63,3.67,3.62,3.67,2702
ok,2024-01-02 15:00:00,3.69,3.83,3.65,3.81,23304
ok,2024-01-02 15:30:00,3.8,3.89,3.75,3.87,30256
ok,2024-01-02 16:00:00,3.85,3.85,3.85,3.85,7287
ok,2024-01-03 08:00:00,3.96,3.96,3.85,3.86,1021
ok,2024-01-03 09:30:00,3.86,3.9,3.55,3.61,40878
ok,2024-01-03 10:00:00,3.61,3.69,3.5,3.62,30108
ok,2024-01-03 10:30:00,3.6,3.67,3.55,3.62,5600
ok,2024-01-03 11:00:00,3.6,3.64,3.53,3.53,16645
ok,2024-01-03 11:30:00,3.53,3.61,3.53,3.56,17332
ok,2024-01-03 12:00:00,3.56,3.56,3.52,3.56,4722
ok,2024-01-03 12:30:00,3.61,3.61,3.58,3.58,3555
ok,2024-01-03 13:00:00,3.61,3.61,3.55,3.55,650
ok,2024-01-03 13:30:00,3.55,3.58,3.46,3.46,10003
ok,2024-01-03 14:00:00,3.53,3.54,3.53,3.54,282
ok,2024-01-03 14:30:00,3.59,3.59,3.42,3.42,17201
ok,2024-01-03 15:00:00,3.4,3.43,3.3,3.3,8032
ok,2024-01-03 15:30:00,3.34,3.44,3.33,3.43,27298
ok,2024-01-03 16:30:00,3.52,3.52,3.52,3.52,100
ok,2024-01-03 17:00:00,3.4,3.4,3.4,3.4,100
ok,2024-01-03 18:00:00,3.39,3.39,3.39,3.39,750
ok,2024-01-03 19:00:00,3.39,3.39,3.39,3.39,1700
ok,2024-01-03 19:30:00,3.39,3.39,3.39,3.39,200
ok,2024-01-04 05:30:00,3.44,3.44,3.43,3.43,300
ok,2024-01-04 07:00:00,3.25,3.25,3.24,3.25,5457
ok,2024-01-04 08:00:00,3.33,3.33,3.25,3.33,874
ok,2024-01-04 08:30:00,3.35,3.36,3.35,3.35,1600
ok,2024-01-04 09:00:00,3.36,3.36,3.35,3.35,614
ok,2024-01-04 09:30:00,3.37,3.44,3.37,3.41,11919
ok,2024-01-04 10:00:00,3.4,3.4,3.12,3.14,79818
ok,2024-01-04 10:30:00,3.15,3.21,3.12,3.12,24292
ok,2024-01-04 11:00:00,3.13,3.13,2.91,3.0,93609
ok,2024-01-04 11:30:00,2.97,3.14,2.88,2.92,75887
ok,2024-01-04 12:00:00,3.04,3.06,2.89,2.94,38598
ok,2024-01-04 12:30:00,2.96,2.97,2.91,2.94,4280
ok,2024-01-04 13:00:00,2.93,2.94,2.8,2.83,26268
ok,2024-01-04 13:30:00,2.82,2.88,2.7,2.7,48369
ok,2024-01-04 14:00:00,2.81,2.86,2.8,2.84,12373
ok,2024-01-04 14:30:00,2.84,2.84,2.56,2.73,90656
ok,2024-01-04 15:00:00,2.71,2.75,2.68,2.71,21502
ok,2024-01-04 15:30:00,2.7,2.73,2.58,2.62,126894
ok,2024-01-04 16:00:00,2.59,2.61,2.59,2.61,1370
ok,2024-01-04 16:30:00,2.61,2.71,2.61,2.71,945
ok,2024-01-04 17:00:00,2.75,2.75,2.67,2.75,500
ok,2024-01-04 17:30:00,2.73,2.73,2.73,2.73,100
ok,2024-01-05 07:00:00,2.72,2.72,2.72,2.72,100
ok,2024-01-05 08:00:00,2.72,2.72,2.69,2.69,1999
ok,2024-01-05 08:30:00,2.92,2.92,2.7,2.7,318
ok,2024-01-05 09:00:00,2.77,2.77,2.77,2.77,543
ok,2024-01-05 09:30:00,2.66,2.74,2.44,2.51,121689
ok,2024-01-05 10:00:00,2.52,2.58,2.49,2.56,23918
ok,2024-01-05 10:30:00,2.58,2.72,2.57,2.7,40213
ok,2024-01-05 11:00:00,2.7,2.72,2.67,2.68,14024
ok,2024-01-05 11:30:00,2.68,2.77,2.68,2.72,38265
ok,2024-01-05 12:00:00,2.72,2.95,2.72,2.84,42157
ok,2024-01-05 12:30:00,2.88,2.88,2.68,2.69,33046
ok,2024-01-05 13:00:00,2.77,2.77,2.71,2.76,1951
ok,2024-01-05 13:30:00,2.75,2.77,2.71,2.77,6500
ok,2024-01-05 14:00:00,2.75,2.79,2.75,2.79,6990
ok,2024-01-05 14:30:00,2.79,2.83,2.78,2.83,5748
ok,2024-01-05 15:00:00,2.79,2.8,2.72,2.79,18313
ok,2024-01-05 15:30:00,2.79,2.79,2.65,2.76,50894
ok,2024-01-05 16:00:00,2.76,2.76,2.66,2.66,1100
ok,2024-01-05 19:00:00,2.68,2.68,2.68,2.68,500
