s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.45,1.5,1.39,1.4,37616
ok,2024-01-02 10:00:00,1.39,1.47,1.32,1.43,15008
ok,2024-01-02 10:30:00,1.44,1.44,1.44,1.44,1060
ok,2024-01-02 11:00:00,1.44,1.49,1.44,1.48,14211
ok,2024-01-02 11:30:00,1.47,1.48,1.45,1.48,500
ok,2024-01-02 12:00:00,1.47,1.48,1.47,1.47,1937
ok,2024-01-02 12:30:00,1.45,1.46,1.45,1.45,3015
ok,2024-01-02 13:00:00,1.48,1.48,1.45,1.46,908
ok,2024-01-02 13:30:00,1.46,1.46,1.45,1.45,1502
ok,2024-01-02 14:00:00,1.45,1.46,1.43,1.44,15850
ok,2024-01-02 14:30:00,1.43,1.46,1.43,1.43,4639
ok,2024-01-02 15:00:00,1.45,1.45,1.4,1.4,11699
ok,2024-01-02 15:30:00,1.42,1.45,1.4,1.42,11643
ok,2024-01-03 08:00:00,1.4,1.4,1.4,1.4,2747
ok,2024-01-03 09:30:00,1.42,1.48,1.42,1.44,4768
ok,2024-01-03 10:00:00,1.4,1.44,1.38,1.44,3094
ok,2024-01-03 10:30:00,1.42,1.42,1.38,1.39,2200
ok,2024-01-03 11:00:00,1.4,1.42,1.4,1.42,1378
ok,2024-01-03 11:30:00,1.4,1.42,1.4,1.4,1353
ok,2024-01-03 12:00:00,1.42,1.43,1.42,1.43,500
ok,2024-01-03 12:30:00,1.45,1.45,1.44,1.45,2200
ok,2024-01-03 13:00:00,1.44,1.45,1.44,1.44,3835
ok,2024-01-03 13:30:00,1.44,1.44,1.44,1.44,1500
ok,2024-01-03 14:00:00,1.44,1.44,1.44,1.44,2877
ok,2024-01-03 14:30:00,1.43,1.44,1.42,1.43,5250
ok,2024-01-03 15:30:00,1.42,1.43,1.41,1.43,7930
ok,2024-01-03 16:00:00,1.4,1.4,1.4,1.4,100
ok,2024-01-03 17:30:00,1.4,1.4,1.4,1.4,100
ok,2024-01-03 18:00:00,1.4,1.4,1.39,1.39,345
ok,2024-01-04 08:30:00,1.46,1.48,1.46,1.48,2100
ok,2024-01-04 09:30:00,1.5,1.5,1.44,1.44,3040
ok,2024-01-04 10:00:00,1.46,1.46,1.43,1.43,1991
ok,2024-01-04 10:30:00,1.45,1.45,1.45,1.45,200
ok,2024-01-04 11:00:00,1.48,1.48,1.47,1.48,795
ok,2024-01-04 11:30:00,1.44,1.47,1.44,1.47,2001
ok,2024-01-04 12:00:00,1.45,1.45,1.43,1.43,1695
ok,2024-01-04 12:30:00,1.41,1.41,1.4,1.4,1733
ok,2024-01-04 13:00:00,1.39,1.39,1.39,1.39,2120
ok,2024-01-04 13:30:00,1.39,1.39,1.39,1.39,1090
ok,2024-01-04 14:00:00,1.39,1.43,1.39,1.39,3137
ok,2024-01-04 14:30:00,1.38,1.38,1.35,1.38,5138
ok,2024-01-04 15:00:00,1.37,1.42,1.37,1.42,4101
ok,2024-01-04 19:00:00,1.43,1.43,1.43,1.43,1586
ok,2024-01-04 19:30:00,1.45,1.45,1.45,1.45,257
ok,2024-01-05 09:30:00,1.38,1.4,1.37,1.38,6855
ok,2024-01-05 10:00:00,1.38,1.38,1.38,1.38,9955
ok,2024-01-05 10:30:00,1.39,1.39,1.37,1.37,2678
ok,2024-01-05 11:00:00,1.37,1.42,1.37,1.42,2500
ok,2024-01-05 11:30:00,1.38,1.38,1.32,1.34,20771
ok,2024-01-05 12:00:00,1.37,1.37,1.34,1.35,1912
ok,2024-01-05 12:30:00,1.36,1.36,1.33,1.34,13883
ok,2024-01-05 13:00:00,1.33,1.36,1.33,1.36,2781
ok,2024-01-05 13:30:00,1.37,1.37,1.32,1.32,7298
ok,2024-01-05 14:00:00,1.32,1.37,1.32,1.37,3300
ok,2024-01-05 14:30:00,1.33,1.43,1.33,1.41,2511
ok,2024-01-05 15:00:00,1.33,1.38,1.32,1.32,4151
ok,2024-01-05 15:30:00,1.36,1.36,1.36,1.36,100
ok,2024-01-05 17:30:00,1.34,1.34,1.34,1.34,303
ok,2024-01-05 19:30:00,1.36,1.36,1.36,1.36,360
ok,2024-01-08 08:00:00,1.36,1.36,1.36,1.36,100
ok,2024-01-08 08:30:00,1.33,1.34,1.28,1.28,538
ok,2024-01-08 09:30:00,1.36,1.38,1.3,1.36,27928
ok,2024-01-08 10:00:00,1.33,1.34,1.25,1.28,15972
ok,2024-01-08 10:30:00,1.28,1.34,1.28,1.32,38060
ok,2024-01-08 11:00:00,1.29,1.32,1.28,1.32,421
ok,2024-01-08 11:30:00,1.28,1.28,1.28,1.28,2700
ok,2024-01-08 12:00:00,1.29,1.31,1.29,1.31,4177
ok,2024-01-08 12:30:00,1.3,1.36,1.3,1.34,21517
ok,2024-01-08 13:00:00,1.35,1.41,1.35,1.41,23204
ok,2024-01-08 13:30:00,1.4,1.41,1.4,1.41,8889
ok,2024-01-08 14:00:00,1.43,1.47,1.4,1.46,16991
ok,2024-01-08 14:30:00,1.42,1.46,1.4,1.4,5756
ok,2024-01-08 15:00:00,1.4,1.41,1.4,1.41,7645
ok,2024-01-08 15:30:00,1.41,1.45,1.4,1.43,13442
ok,2024-01-08 16:30:00,1.46,1.46,1.46,1.46,499
ok,2024-01-08 17:30:00,1.46,1.46,1.46,1.46,470
ok,2024-01-08 18:00:00,1.44,1.44,1.44,1.44,500
ok,2024-01-08 19:00:00,1.41,1.41,1.41,1.41,595
ok,2024-01-09 08:00:00,1.47,1.48,1.41,1.41,634
ok,2024-01-09 08:30:00,1.45,1.45,1.45,1.45,1290
ok,2024-01-09 09:30:00,1.44,1.44,1.44,1.44,182
ok,2024-01-09 10:00:00,1.4,1.42,1.32,1.4,15094
ok,2024-01-09 10:30:00,1.34,1.39,1.34,1.38,15106
ok,2024-01-09 11:00:00,1.4,1.4,1.38,1.38,3632
ok,2024-01-09 12:00:00,1.4,1.4,1.37,1.37,500
ok,2024-01-09 12:30:00,1.4,1.4,1.37,1.37,3050
ok,2024-01-09 13:00:00,1.38,1.38,1.38,1.38,100
ok,2024-01-09 14:00:00,1.38,1.38,1.38,1.38,1000
ok,2024-01-09 14:30:00,1.41,1.41,1.39,1.39,578
ok,2024-01-09 15:00:00,1.38,1.38,1.35,1.35,5512
ok,2024-01-09 15:30:00,1.38,1.38,1.33,1.33,5864
ok,2024-01-09 16:00:00,1.39,1.39,1.39,1.39,354
ok,2024-01-09 17:30:00,1.39,1.39,1.39,1.39,1118
ok,2024-01-09 18:00:00,1.39,1.39,1.39,1.39,600
ok,2024-01-09 19:30:00,1.39,1.39,1.39,1.39,400
ok,2024-01-10 04:30:00,1.32,1.32,1.32,1.32,451
ok,2024-01-10 05:00:00,1.31,1.31,1.31,1.31,124
ok,2024-01-10 05:30:00,1.31,1.31,1.31,1.31,202
ok,2024-01-10 08:00:00,1.38,1.38,1.38,1.38,100
ok,2024-01-10 09:00:00,1.4,1.4,1.4,1.4,300
ok,2024-01-10 09:30:00,1.33,1.39,1.33,1.39,7997
ok,2024-01-10 10:00:00,1.36,1.38,1.33,1.38,18999
ok,2024-01-10 10:30:00,1.37,1.38,1.37,1.38,5061
ok,2024-01-10 11:00:00,1.38,1.4,1.38,1.38,1233
ok,2024-01-10 11:30:00,1.4,1.41,1.4,1.41,2474
ok,2024-01-10 12:00:00,1.37,1.4,1.37,1.4,3379
ok,2024-01-10 12:30:00,1.4,1.41,1.37,1.38,5834
ok,2024-01-10 13:00:00,1.38,1.38,1.38,1.38,2275
ok,2024-01-10 13:30:00,1.37,1.38,1.37,1.37,1800
ok,2024-01-10 14:00:00,1.4,1.4,1.31,1.31,12077
ok,2024-01-10 14:30:00,1.39,1.39,1.39,1.39,1000
ok,2024-01-10 15:00:00,1.35,1.36,1.32,1.34,5429
ok,2024-01-10 15:30:00,1.34,1.37,1.34,1.34,3307
