s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,0.75,0.75,0.75,0.75,133
ok,2024-01-02 07:00:00,0.74,0.74,0.74,0.74,300
ok,2024-01-02 07:30:00,0.75,0.75,0.73,0.74,760
ok,2024-01-02 08:00:00,0.76,0.76,0.74,0.74,3079
ok,2024-01-02 08:30:00,0.75,0.75,0.75,0.75,100
ok,2024-01-02 09:00:00,0.76,0.76,0.76,0.76,658
ok,2024-01-02 09:30:00,0.75,0.75,0.73,0.74,29119
ok,2024-01-02 10:00:00,0.75,0.76,0.73,0.76,22552
ok,2024-01-02 10:30:00,0.75,0.76,0.75,0.76,7610
ok,2024-01-02 11:00:00,0.75,0.76,0.74,0.74,3435
ok,2024-01-02 11:30:00,0.76,0.76,0.76,0.76,3516
ok,2024-01-02 12:00:00,0.76,0.76,0.75,0.76,5554
ok,2024-01-02 12:30:00,0.75,0.76,0.75,0.76,4661
ok,2024-01-02 13:00:00,0.77,0.77,0.75,0.76,4100
ok,2024-01-02 13:30:00,0.77,0.77,0.76,0.76,205
ok,2024-01-02 14:00:00,0.76,0.77,0.76,0.77,2041
ok,2024-01-02 14:30:00,0.78,0.8,0.78,0.78,5410
ok,2024-01-02 15:00:00,0.79,0.79,0.77,0.78,7341
ok,2024-01-02 15:30:00,0.77,0.78,0.77,0.78,1842
ok,2024-01-02 16:00:00,0.79,0.79,0.79,0.79,100
ok,2024-01-02 17:00:00,0.77,0.77,0.77,0.77,3000
ok,2024-01-02 18:00:00,0.77,0.77,0.77,0.77,1005
ok,2024-01-03 07:30:00,0.78,0.78,0.78,0.78,154
ok,2024-01-03 08:00:00,0.77,0.78,0.77,0.77,2508
ok,2024-01-03 08:30:00,0.78,0.78,0.77,0.77,418
ok,2024-01-03 09:00:00,0.77,0.77,0.77,0.77,754
ok,2024-01-03 09:30:00,0.8,0.8,0.76,0.76,53413
ok,2024-01-03 10:00:00,0.76,0.78,0.76,0.78,22328
ok,2024-01-03 10:30:00,0.75,0.76,0.75,0.75,3502
ok,2024-01-03 11:00:00,0.75,0.77,0.75,0.75,17629
ok,2024-01-03 11:30:00,0.74,0.74,0.74,0.74,1408
ok,2024-01-03 12:00:00,0.74,0.74,0.74,0.74,2250
ok,2024-01-03 12:30:00,0.75,0.75,0.74,0.74,1114
ok,2024-01-03 13:00:00,0.74,0.75,0.74,0.75,4018
ok,2024-01-03 13:30:00,0.74,0.75,0.74,0.74,1000
ok,2024-01-03 14:00:00,0.74,0.75,0.72,0.72,20870
ok,2024-01-03 14:30:00,0.74,0.75,0.72,0.74,13761
ok,2024-01-03 15:00:00,0.74,0.75,0.74,0.75,3377
ok,2024-01-03 15:30:00,0.74,0.74,0.72,0.72,19427
ok,2024-01-03 16:00:00,0.77,0.77,0.72,0.76,821
ok,2024-01-04 04:30:00,0.72,0.72,0.72,0.72,321
ok,2024-01-04 06:00:00,0.72,0.72,0.72,0.72,100
ok,2024-01-04 08:00:00,0.74,0.75,0.74,0.75,2112
ok,2024-01-04 08:30:00,0.75,0.75,0.72,0.72,1200
ok,2024-01-04 09:00:00,0.74,0.74,0.74,0.74,200
ok,2024-01-04 09:30:00,0.73,0.74,0.71,0.71,17762
ok,2024-01-04 10:00:00,0.73,0.73,0.72,0.72,14337
ok,2024-01-04 10:30:00,0.73,0.75,0.73,0.75,9491
ok,2024-01-04 11:00:00,0.73,0.75,0.72,0.72,7885
ok,2024-01-04 11:30:00,0.72,0.73,0.72,0.73,1190
ok,2024-01-04 12:00:00,0.73,0.73,0.72,0.72,994
ok,2024-01-04 12:30:00,0.72,0.72,0.71,0.72,6840
ok,2024-01-04 13:00:00,0.72,0.72,0.72,0.72,9370
ok,2024-01-04 13:30:00,0.73,0.74,0.73,0.73,6574
ok,2024-01-04 14:00:00,0.73,0.73,0.73,0.73,1184
ok,2024-01-04 14:30:00,0.73,0.74,0.73,0.74,18565
ok,2024-01-04 15:00:00,0.74,0.74,0.73,0.73,6270
ok,2024-01-04 15:30:00,0.73,0.77,0.73,0.73,5962
ok,2024-01-04 19:00:00,0.76,0.76,0.76,0.76,400
ok,2024-01-05 07:00:00,0.74,0.74,0.74,0.74,500
ok,2024-01-05 07:30:00,0.74,0.74,0.74,0.74,501
ok,2024-01-05 08:00:00,0.73,0.73,0.69,0.7,2932
ok,2024-01-05 08:30:00,0.7,0.72,0.7,0.72,1600
ok,2024-01-05 09:00:00,0.72,0.72,0.72,0.72,100
ok,2024-01-05 09:30:00,0.74,0.74,0.72,0.72,8242
ok,2024-01-05 10:00:00,0.73,0.73,0.72,0.73,8468
ok,2024-01-05 10:30:00,0.73,0.75,0.73,0.75,6601
ok,2024-01-05 11:00:00,0.75,0.75,0.73,0.75,41632
ok,2024-01-05 11:30:00,0.74,0.75,0.72,0.72,17408
ok,2024-01-05 12:00:00,0.72,0.72,0.72,0.72,2239
ok,2024-01-05 12:30:00,0.72,0.76,0.72,0.76,3407
ok,2024-01-05 13:00:00,0.73,0.76,0.73,0.73,16185
ok,2024-01-05 13:30:00,0.76,0.76,0.73,0.75,18500
ok,2024-01-05 14:00:00,0.76,0.76,0.73,0.73,11022
ok,2024-01-05 14:30:00,0.74,0.74,0.74,0.74,400
ok,2024-01-05 15:00:00,0.74,0.75,0.74,0.74,2112
ok,2024-01-05 15:30:00,0.74,0.75,0.74,0.74,13480
ok,2024-01-05 16:00:00,0.72,0.72,0.72,0.72,252
