s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.64,0.65,0.64,0.65,200
ok,2024-01-02 08:00:00,0.6,0.6,0.6,0.6,138
ok,2024-01-02 08:30:00,0.63,0.63,0.63,0.63,210
ok,2024-01-02 09:00:00,0.61,0.64,0.61,0.64,3327
ok,2024-01-02 09:30:00,0.68,0.7,0.63,0.66,21083
ok,2024-01-02 10:00:00,0.66,0.7,0.64,0.64,14757
ok,2024-01-02 10:30:00,0.64,0.69,0.64,0.64,3176
ok,2024-01-02 11:00:00,0.64,0.64,0.64,0.64,159
ok,2024-01-02 12:00:00,0.69,0.69,0.69,0.69,119
ok,2024-01-02 12:30:00,0.68,0.68,0.67,0.67,316
ok,2024-01-02 13:00:00,0.68,0.68,0.67,0.67,728
ok,2024-01-02 13:30:00,0.64,0.64,0.64,0.64,942
ok,2024-01-02 14:00:00,0.64,0.64,0.64,0.64,2678
ok,2024-01-02 15:00:00,0.65,0.65,0.64,0.64,2773
ok,2024-01-02 15:30:00,0.64,0.67,0.64,0.64,1185
ok,2024-01-02 16:00:00,0.67,0.68,0.67,0.68,1312
ok,2024-01-02 16:30:00,0.64,0.64,0.64,0.64,338
ok,2024-01-02 17:30:00,0.65,0.65,0.65,0.65,1400
ok,2024-01-02 18:00:00,0.64,0.64,0.64,0.64,2325
ok,2024-01-03 07:00:00,0.64,0.64,0.64,0.64,717
ok,2024-01-03 09:00:00,0.64,0.64,0.64,0.64,200
ok,2024-01-03 09:30:00,0.61,0.65,0.61,0.64,1721
ok,2024-01-03 10:00:00,0.64,0.64,0.64,0.64,274
ok,2024-01-03 10:30:00,0.64,0.67,0.64,0.67,1100
ok,2024-01-03 11:00:00,0.67,0.67,0.65,0.66,2086
ok,2024-01-03 11:30:00,0.67,0.67,0.65,0.65,2602
ok,2024-01-03 12:00:00,0.66,0.66,0.65,0.66,1305
ok,2024-01-03 12:30:00,0.66,0.66,0.66,0.66,100
ok,2024-01-03 13:00:00,0.65,0.65,0.64,0.64,807
ok,2024-01-03 14:00:00,0.64,0.64,0.64,0.64,200
ok,2024-01-03 14:30:00,0.64,0.64,0.64,0.64,14100
ok,2024-01-03 15:00:00,0.64,0.64,0.64,0.64,1700
ok,2024-01-03 15:30:00,0.64,0.64,0.64,0.64,1687
ok,2024-01-03 16:00:00,0.64,0.64,0.64,0.64,190
ok,2024-01-03 17:00:00,0.67,0.67,0.67,0.67,842
ok,2024-01-03 18:30:00,0.64,0.64,0.64,0.64,700
ok,2024-01-04 09:30:00,0.67,0.67,0.67,0.67,110
ok,2024-01-04 10:00:00,0.66,0.66,0.66,0.66,1500
ok,2024-01-04 10:30:00,0.68,0.68,0.68,0.68,220
ok,2024-01-04 11:00:00,0.68,0.68,0.64,0.64,203
ok,2024-01-04 11:30:00,0.64,0.64,0.64,0.64,200
ok,2024-01-04 12:00:00,0.64,0.64,0.64,0.64,1073
ok,2024-01-04 12:30:00,0.59,0.59,0.59,0.59,530
ok,2024-01-04 13:30:00,0.6,0.6,0.6,0.6,856
ok,2024-01-04 14:00:00,0.62,0.62,0.62,0.62,300
ok,2024-01-04 14:30:00,0.62,0.65,0.62,0.65,1649
ok,2024-01-04 15:30:00,0.64,0.64,0.61,0.61,3437
ok,2024-01-04 19:30:00,0.6,0.6,0.6,0.6,110
ok,2024-01-05 09:00:00,0.61,0.61,0.61,0.61,107
ok,2024-01-05 09:30:00,0.62,0.62,0.62,0.62,508
ok,2024-01-05 10:30:00,0.68,0.68,0.68,0.68,1495
ok,2024-01-05 11:00:00,0.62,0.62,0.62,0.62,1324
ok,2024-01-05 11:30:00,0.64,0.64,0.63,0.63,200
ok,2024-01-05 13:00:00,0.66,0.68,0.66,0.68,2408
ok,2024-01-05 14:00:00,0.68,0.68,0.66,0.66,8085
ok,2024-01-05 15:00:00,0.63,0.63,0.63,0.63,1756
ok,2024-01-05 15:30:00,0.62,0.62,0.62,0.62,1102
ok,2024-01-08 09:30:00,0.65,0.68,0.65,0.68,2292
ok,2024-01-08 11:30:00,0.62,0.62,0.54,0.54,4384
ok,2024-01-08 14:00:00,0.61,0.61,0.61,0.61,202
