s,t,o,h,l,c,v
ok,2024-01-02 10:00:00,4.82,4.82,4.82,4.82,200
ok,2024-01-02 10:30:00,4.93,4.93,4.93,4.93,180
ok,2024-01-02 11:30:00,4.75,4.75,4.75,4.75,250
ok,2024-01-02 12:00:00,4.91,4.91,4.83,4.83,1288
ok,2024-01-02 12:30:00,4.86,4.86,4.86,4.86,100
ok,2024-01-02 14:30:00,4.8,4.94,4.8,4.94,1320
ok,2024-01-02 15:00:00,4.89,4.89,4.89,4.89,100
ok,2024-01-02 15:30:00,4.8,4.92,4.8,4.84,2756
ok,2024-01-03 09:30:00,4.82,5.06,4.82,5.04,4700
ok,2024-01-03 10:00:00,5.03,5.1,5.0,5.1,10780
ok,2024-01-03 10:30:00,5.12,5.33,5.05,5.17,23168
ok,2024-01-03 11:00:00,5.17,5.17,5.05,5.1,2950
ok,2024-01-03 11:30:00,5.1,5.1,4.95,4.95,1262
ok,2024-01-03 12:00:00,4.95,4.99,4.87,4.87,3301
ok,2024-01-03 12:30:00,4.93,4.93,4.92,4.92,2500
ok,2024-01-03 13:00:00,4.9,4.94,4.9,4.9,650
ok,2024-01-03 13:30:00,4.88,4.88,4.88,4.88,250
ok,2024-01-03 14:00:00,4.88,5.04,4.88,4.94,3541
ok,2024-01-03 14:30:00,4.91,4.91,4.91,4.91,1000
ok,2024-01-03 15:00:00,4.91,4.91,4.7,4.7,1287
ok,2024-01-03 15:30:00,4.6,4.68,4.38,4.68,1313
ok,2024-01-03 16:00:00,4.86,4.86,4.86,4.86,150
ok,2024-01-03 16:30:00,4.81,4.86,4.81,4.86,1100
ok,2024-01-04 09:30:00,4.79,5.09,4.79,5.09,329
ok,2024-01-04 10:00:00,5.09,5.09,5.09,5.09,100
ok,2024-01-04 10:30:00,5.0,5.0,4.9,4.9,691
ok,2024-01-04 11:00:00,4.99,4.99,4.87,4.87,1714
ok,2024-01-04 11:30:00,4.86,4.86,4.52,4.83,2391
ok,2024-01-04 12:00:00,4.8,4.8,4.8,4.8,150
ok,2024-01-04 12:30:00,4.85,4.85,4.82,4.82,2551
ok,2024-01-04 15:30:00,4.7,4.95,4.66,4.66,1653
ok,2024-01-05 09:30:00,4.8,5.03,4.51,4.72,4257
ok,2024-01-05 10:00:00,4.56,4.82,4.56,4.77,2239
