s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.7,1.7,1.61,1.62,4099
ok,2024-01-02 10:00:00,1.58,1.6,1.58,1.58,926
ok,2024-01-02 10:30:00,1.58,1.58,1.58,1.58,110
ok,2024-01-02 11:00:00,1.6,1.6,1.59,1.59,600
ok,2024-01-02 11:30:00,1.58,1.6,1.58,1.6,1500
ok,2024-01-02 12:00:00,1.58,1.6,1.58,1.6,575
ok,2024-01-02 12:30:00,1.58,1.6,1.58,1.6,1851
ok,2024-01-02 13:30:00,1.58,1.6,1.58,1.6,500
ok,2024-01-02 14:00:00,1.58,1.58,1.58,1.58,700
ok,2024-01-02 14:30:00,1.58,1.6,1.58,1.6,450
ok,2024-01-02 15:30:00,1.58,1.61,1.57,1.57,2362
ok,2024-01-03 09:30:00,1.66,1.67,1.58,1.58,3994
ok,2024-01-03 10:00:00,1.59,1.6,1.57,1.57,3942
ok,2024-01-03 10:30:00,1.57,1.59,1.57,1.59,526
ok,2024-01-03 11:00:00,1.59,1.59,1.58,1.58,1300
ok,2024-01-03 11:30:00,1.56,1.6,1.41,1.51,21039
ok,2024-01-03 12:30:00,1.56,1.56,1.56,1.56,116
ok,2024-01-03 13:00:00,1.51,1.51,1.46,1.46,5577
ok,2024-01-03 13:30:00,1.54,1.54,1.54,1.54,800
ok,2024-01-03 14:00:00,1.45,1.46,1.44,1.45,6451
ok,2024-01-03 14:30:00,1.47,1.47,1.44,1.44,750
ok,2024-01-03 15:00:00,1.48,1.48,1.42,1.42,3410
ok,2024-01-03 15:30:00,1.46,1.49,1.43,1.43,3120
ok,2024-01-04 09:30:00,1.5,1.5,1.48,1.5,1300
ok,2024-01-04 10:00:00,1.5,1.64,1.5,1.6,19712
ok,2024-01-04 10:30:00,1.6,1.62,1.59,1.6,6547
ok,2024-01-04 11:00:00,1.63,1.64,1.59,1.59,6270
ok,2024-01-04 11:30:00,1.59,1.64,1.57,1.57,5379
ok,2024-01-04 12:00:00,1.56,1.64,1.55,1.64,8178
ok,2024-01-04 12:30:00,1.64,1.88,1.6,1.78,39407
ok,2024-01-04 13:00:00,1.78,1.79,1.67,1.69,19244
ok,2024-01-04 13:30:00,1.66,1.79,1.66,1.79,13795
ok,2024-01-04 14:00:00,1.78,1.78,1.65,1.65,24622
ok,2024-01-04 14:30:00,1.65,1.73,1.62,1.63,8548
ok,2024-01-04 15:00:00,1.65,1.68,1.58,1.58,8517
ok,2024-01-04 15:30:00,1.58,1.62,1.58,1.58,7517
ok,2024-01-04 17:30:00,1.63,1.63,1.63,1.63,100
ok,2024-01-05 05:30:00,1.58,1.58,1.58,1.58,130
ok,2024-01-05 08:30:00,1.58,1.59,1.58,1.59,1000
ok,2024-01-05 09:30:00,1.59,1.76,1.59,1.69,43804
ok,2024-01-05 10:00:00,1.68,1.68,1.62,1.62,8726
ok,2024-01-05 10:30:00,1.68,1.73,1.62,1.62,2836
ok,2024-01-05 11:00:00,1.63,1.64,1.62,1.64,2431
ok,2024-01-05 11:30:00,1.63,1.64,1.63,1.63,8191
ok,2024-01-05 12:00:00,1.67,1.67,1.63,1.64,4100
ok,2024-01-05 12:30:00,1.65,1.65,1.63,1.63,9855
ok,2024-01-05 13:00:00,1.6,1.68,1.6,1.68,4767
ok,2024-01-05 13:30:00,1.6,1.6,1.58,1.58,8648
ok,2024-01-05 14:00:00,1.58,1.58,1.56,1.56,877
ok,2024-01-05 14:30:00,1.59,1.59,1.59,1.59,296
ok,2024-01-05 15:00:00,1.58,1.58,1.57,1.57,5699
ok,2024-01-05 15:30:00,1.56,1.69,1.56,1.69,1069
ok,2024-01-08 07:00:00,1.73,1.75,1.73,1.75,3423
ok,2024-01-08 07:30:00,1.74,1.75,1.74,1.75,8068
ok,2024-01-08 08:00:00,1.75,1.8,1.73,1.79,1349
ok,2024-01-08 08:30:00,1.78,1.8,1.78,1.79,12601
ok,2024-01-08 09:00:00,1.74,1.8,1.69,1.8,5942
ok,2024-01-08 09:30:00,1.85,1.98,1.8,1.96,116734
ok,2024-01-08 10:00:00,1.98,2.0,1.86,1.92,65470
ok,2024-01-08 10:30:00,1.92,2.18,1.9,2.12,56193
ok,2024-01-08 11:00:00,2.12,2.9,2.0,2.32,1759906
ok,2024-01-08 11:30:00,2.31,2.38,1.97,2.01,947273
ok,2024-01-08 12:00:00,2.01,2.25,2.0,2.06,272834
ok,2024-01-08 12:30:00,2.06,2.11,2.0,2.05,141623
ok,2024-01-08 13:00:00,2.03,2.05,1.94,1.94,98715
ok,2024-01-08 13:30:00,1.94,2.09,1.94,1.98,54835
ok,2024-01-08 14:00:00,1.97,2.06,1.97,1.99,32958
ok,2024-01-08 14:30:00,2.0,2.08,1.97,2.02,81887
ok,2024-01-08 15:00:00,2.02,2.02,1.94,1.96,61057
ok,2024-01-08 15:30:00,1.96,2.05,1.95,1.95,104765
ok,2024-01-08 16:00:00,1.95,1.98,1.93,1.93,2950
ok,2024-01-08 16:30:00,1.92,2.03,1.92,1.99,6262
ok,2024-01-08 17:00:00,1.99,2.03,1.92,1.92,2369
ok,2024-01-08 17:30:00,1.93,2.0,1.93,2.0,3500
ok,2024-01-08 18:00:00,1.93,1.95,1.92,1.95,879
ok,2024-01-08 18:30:00,1.95,1.95,1.95,1.95,100
ok,2024-01-08 19:00:00,1.95,1.95,1.95,1.95,509
ok,2024-01-08 19:30:00,2.0,2.0,2.0,2.0,1241
ok,2024-01-09 04:00:00,1.97,1.97,1.85,1.85,9721
ok,2024-01-09 04:30:00,1.85,1.85,1.78,1.8,5357
ok,2024-01-09 05:00:00,1.88,1.89,1.88,1.89,415
ok,2024-01-09 05:30:00,1.86,1.86,1.84,1.84,406
ok,2024-01-09 06:00:00,1.87,1.89,1.84,1.89,1714
ok,2024-01-09 06:30:00,1.88,1.91,1.88,1.88,2284
ok,2024-01-09 07:00:00,1.9,2.02,1.9,2.0,11545
ok,2024-01-09 07:30:00,2.01,2.01,2.0,2.01,686
ok,2024-01-09 08:00:00,2.01,2.01,1.87,2.0,13038
ok,2024-01-09 08:30:00,2.0,2.01,1.97,1.99,3801
ok,2024-01-09 09:00:00,2.02,2.13,2.01,2.1,29983
ok,2024-01-09 09:30:00,2.17,2.42,2.06,2.14,284188
ok,2024-01-09 10:00:00,2.16,2.19,2.02,2.09,83391
ok,2024-01-09 10:30:00,2.09,2.14,2.05,2.14,49871
ok,2024-01-09 11:00:00,2.14,2.2,2.11,2.14,101511
ok,2024-01-09 11:30:00,2.13,2.17,2.08,2.09,27516
ok,2024-01-09 12:00:00,2.16,2.16,2.06,2.12,13501
ok,2024-01-09 12:30:00,2.12,2.12,2.08,2.12,11892
ok,2024-01-09 13:00:00,2.1,2.16,2.08,2.16,12171
ok,2024-01-09 13:30:00,2.19,2.2,2.15,2.19,17394
ok,2024-01-09 14:00:00,2.17,2.22,2.16,2.2,37971
ok,2024-01-09 14:30:00,2.2,2.28,2.16,2.22,40661
ok,2024-01-09 15:00:00,2.21,2.21,2.12,2.19,29482
ok,2024-01-09 15:30:00,2.19,2.25,2.16,2.21,60829
ok,2024-01-09 16:00:00,2.24,2.24,2.22,2.22,602
ok,2024-01-09 17:00:00,2.17,2.17,2.14,2.14,495
ok,2024-01-09 19:30:00,2.23,2.3,2.23,2.3,1700
ok,2024-01-10 04:00:00,2.15,2.15,2.15,2.15,349
ok,2024-01-10 05:00:00,2.15,2.15,2.15,2.15,100
ok,2024-01-10 05:30:00,2.09,2.09,2.09,2.09,100
ok,2024-01-10 07:30:00,2.17,2.22,2.17,2.22,1767
ok,2024-01-10 08:00:00,2.18,2.28,2.18,2.28,315
ok,2024-01-10 08:30:00,2.14,2.14,2.14,2.14,1333
ok,2024-01-10 09:00:00,2.12,2.27,2.1,2.23,3686
ok,2024-01-10 09:30:00,2.3,2.3,2.22,2.27,69654
ok,2024-01-10 10:00:00,2.26,2.29,2.16,2.19,25344
ok,2024-01-10 10:30:00,2.18,2.22,2.15,2.18,22407
ok,2024-01-10 11:00:00,2.2,2.22,2.18,2.18,10227
ok,2024-01-10 11:30:00,2.22,2.22,2.18,2.19,2937
ok,2024-01-10 12:00:00,2.17,2.22,2.17,2.2,3567
ok,2024-01-10 12:30:00,2.2,2.22,2.19,2.22,3075
ok,2024-01-10 13:00:00,2.22,2.22,2.16,2.17,4074
ok,2024-01-10 13:30:00,2.17,2.2,2.12,2.19,6365
ok,2024-01-10 14:00:00,2.19,2.22,2.15,2.22,6250
ok,2024-01-10 14:30:00,2.22,2.22,2.14,2.22,4732
ok,2024-01-10 15:00:00,2.22,2.22,2.17,2.17,9501
ok,2024-01-10 15:30:00,2.19,2.24,2.19,2.22,44766
ok,2024-01-11 04:30:00,2.12,2.12,2.12,2.12,207
ok,2024-01-11 06:00:00,2.13,2.13,2.13,2.13,200
ok,2024-01-11 06:30:00,2.13,2.13,2.13,2.13,100
ok,2024-01-11 07:30:00,2.14,2.14,2.14,2.14,797
ok,2024-01-11 08:00:00,2.14,2.14,2.14,2.14,651
ok,2024-01-11 09:30:00,2.14,2.33,2.14,2.28,52138
ok,2024-01-11 10:00:00,2.25,2.33,2.22,2.32,33928
ok,2024-01-11 10:30:00,2.33,2.33,2.24,2.3,14505
ok,2024-01-11 11:00:00,2.25,2.4,2.24,2.31,38126
ok,2024-01-11 11:30:00,2.3,2.33,2.22,2.22,50643
ok,2024-01-11 12:00:00,2.24,2.24,2.19,2.23,18812
ok,2024-01-11 12:30:00,2.21,2.23,2.19,2.2,4866
ok,2024-01-11 13:00:00,2.2,2.24,2.19,2.22,4231
ok,2024-01-11 13:30:00,2.2,2.21,2.18,2.2,7181
ok,2024-01-11 14:00:00,2.19,2.21,2.18,2.19,3742
ok,2024-01-11 14:30:00,2.19,2.2,2.19,2.19,1979
ok,2024-01-11 15:00:00,2.19,2.24,2.17,2.22,8498
ok,2024-01-11 15:30:00,2.22,2.25,2.19,2.19,25181
ok,2024-01-11 16:30:00,2.25,2.25,2.25,2.25,208
ok,2024-01-11 17:00:00,2.26,2.26,2.26,2.26,100
ok,2024-01-12 08:00:00,2.18,2.18,2.17,2.17,648
ok,2024-01-12 08:30:00,2.16,2.16,2.16,2.16,782
ok,2024-01-12 09:00:00,2.27,2.27,2.27,2.27,300
ok,2024-01-12 09:30:00,2.24,2.43,2.24,2.4,69207
ok,2024-01-12 10:00:00,2.38,2.75,2.37,2.72,92162
ok,2024-01-12 10:30:00,2.66,2.72,2.43,2.54,90107
ok,2024-01-12 11:00:00,2.54,2.59,2.48,2.57,21116
ok,2024-01-12 11:30:00,2.57,2.58,2.5,2.54,14400
ok,2024-01-12 12:00:00,2.56,2.7,2.54,2.64,60507
ok,2024-01-12 12:30:00,2.64,2.72,2.54,2.71,23639
ok,2024-01-12 13:00:00,2.72,2.78,2.61,2.68,69918
ok,2024-01-12 13:30:00,2.7,2.71,2.66,2.66,15959
ok,2024-01-12 14:00:00,2.66,2.69,2.57,2.67,15924
ok,2024-01-12 14:30:00,2.61,2.62,2.57,2.59,9359
ok,2024-01-12 15:00:00,2.65,2.65,2.56,2.56,9311
ok,2024-01-12 15:30:00,2.62,2.67,2.52,2.61,56795
ok,2024-01-12 16:00:00,2.6,2.6,2.6,2.6,150
ok,2024-01-12 16:30:00,2.61,2.61,2.61,2.61,113
ok,2024-01-12 17:00:00,2.59,2.59,2.59,2.59,116
ok,2024-01-12 18:30:00,2.61,2.61,2.61,2.61,1014
ok,2024-01-16 04:30:00,2.53,2.53,2.53,2.53,344
ok,2024-01-16 05:30:00,2.61,2.61,2.61,2.61,317
ok,2024-01-16 08:30:00,2.59,2.59,2.59,2.59,880
ok,2024-01-16 09:30:00,2.6,2.95,2.56,2.87,107307
ok,2024-01-16 10:00:00,2.86,3.08,2.82,3.0,82996
ok,2024-01-16 10:30:00,2.94,3.2,2.93,3.07,97354
ok,2024-01-16 11:00:00,3.0,3.1,2.96,3.1,38840
ok,2024-01-16 11:30:00,3.09,3.15,3.02,3.02,76717
ok,2024-01-16 12:00:00,3.02,3.13,3.0,3.1,60577
ok,2024-01-16 12:30:00,3.12,3.16,3.01,3.04,114443
ok,2024-01-16 13:00:00,3.06,3.07,3.03,3.05,16343
ok,2024-01-16 13:30:00,3.07,3.17,3.06,3.17,19935
ok,2024-01-16 14:00:00,3.11,3.25,3.11,3.2,142511
ok,2024-01-16 14:30:00,3.23,3.24,2.7,2.81,101602
ok,2024-01-16 15:00:00,2.86,2.92,2.68,2.76,41650
ok,2024-01-16 15:30:00,2.86,2.86,2.73,2.73,44066
ok,2024-01-16 16:30:00,2.73,2.73,2.73,2.73,1287
ok,2024-01-17 07:30:00,2.86,2.86,2.86,2.86,3613
ok,2024-01-17 08:00:00,2.87,2.92,2.87,2.92,3728
ok,2024-01-17 08:30:00,2.95,3.0,2.95,3.0,8946
ok,2024-01-17 09:00:00,3.02,3.09,3.02,3.08,3758
ok,2024-01-17 09:30:00,3.18,3.18,2.89,3.01,127459
ok,2024-01-17 10:00:00,3.05,3.29,3.05,3.22,82738
ok,2024-01-17 10:30:00,3.17,3.25,3.1,3.16,42412
ok,2024-01-17 11:00:00,3.24,3.24,3.06,3.12,26306
ok,2024-01-17 11:30:00,3.1,3.1,3.02,3.03,18023
ok,2024-01-17 12:00:00,3.03,3.03,3.02,3.02,3318
ok,2024-01-17 12:30:00,3.07,3.09,3.03,3.07,6526
ok,2024-01-17 13:00:00,3.04,3.05,3.02,3.05,5719
ok,2024-01-17 13:30:00,3.05,3.1,3.04,3.1,19160
ok,2024-01-17 14:00:00,3.09,3.1,3.07,3.08,4461
ok,2024-01-17 14:30:00,3.1,3.1,3.06,3.1,12994
ok,2024-01-17 15:00:00,3.09,3.1,3.04,3.07,10530
ok,2024-01-17 15:30:00,3.07,3.09,3.0,3.0,30983
ok,2024-01-17 16:00:00,3.07,3.07,3.06,3.06,215
ok,2024-01-18 06:30:00,3.11,3.12,3.11,3.12,300
ok,2024-01-18 07:00:00,3.12,3.18,3.12,3.18,825
ok,2024-01-18 08:00:00,3.12,3.24,3.08,3.24,5775
ok,2024-01-18 09:00:00,3.15,3.15,3.15,3.15,801
ok,2024-01-18 09:30:00,3.1,3.27,3.07,3.13,60379
ok,2024-01-18 10:00:00,3.09,3.12,2.95,2.95,27110
ok,2024-01-18 10:30:00,2.98,2.98,2.22,2.48,190214
ok,2024-01-18 11:00:00,2.54,2.58,2.41,2.51,39952
ok,2024-01-18 11:30:00,2.45,2.54,2.43,2.5,7693
ok,2024-01-18 12:00:00,2.45,2.6,2.4,2.48,57859
ok,2024-01-18 12:30:00,2.43,2.46,2.4,2.41,18956
ok,2024-01-18 13:00:00,2.45,2.6,2.22,2.45,69244
ok,2024-01-18 13:30:00,2.43,2.43,2.35,2.39,8475
ok,2024-01-18 14:00:00,2.37,2.42,2.22,2.28,42070
ok,2024-01-18 14:30:00,2.22,2.32,2.22,2.28,4759
ok,2024-01-18 15:00:00,2.3,2.39,2.3,2.37,18600
ok,2024-01-18 15:30:00,2.38,2.4,2.36,2.39,17340
ok,2024-01-18 16:30:00,2.4,2.45,2.4,2.45,431
ok,2024-01-18 19:30:00,2.49,2.49,2.49,2.49,100
ok,2024-01-19 04:30:00,2.46,2.47,2.46,2.47,216
ok,2024-01-19 06:00:00,2.47,2.47,2.47,2.47,278
ok,2024-01-19 08:00:00,2.44,2.47,2.44,2.47,1950
ok,2024-01-19 08:30:00,2.46,2.47,2.39,2.39,1150
ok,2024-01-19 09:00:00,2.39,2.4,2.39,2.4,200
ok,2024-01-19 09:30:00,2.38,2.47,2.3,2.3,52095
ok,2024-01-19 10:00:00,2.3,2.3,2.16,2.22,48174
ok,2024-01-19 10:30:00,2.23,2.29,2.16,2.17,78171
ok,2024-01-19 11:00:00,2.23,2.3,2.23,2.24,14429
ok,2024-01-19 11:30:00,2.24,2.27,2.0,2.12,35663
ok,2024-01-19 12:00:00,2.16,2.16,2.0,2.13,23066
ok,2024-01-19 12:30:00,2.05,2.12,2.03,2.09,19417
ok,2024-01-19 13:00:00,2.12,2.12,2.05,2.06,18995
ok,2024-01-19 13:30:00,2.07,2.07,2.04,2.05,8699
ok,2024-01-19 14:00:00,2.04,2.05,2.02,2.02,16139
ok,2024-01-19 14:30:00,2.02,2.05,2.01,2.05,14775
ok,2024-01-19 15:00:00,2.06,2.1,2.03,2.05,9404
ok,2024-01-19 15:30:00,2.03,2.21,2.03,2.14,34267
ok,2024-01-22 07:30:00,2.25,2.25,2.25,2.25,1510
ok,2024-01-22 08:00:00,2.4,2.4,2.4,2.4,731
ok,2024-01-22 08:30:00,2.3,2.3,2.3,2.3,100
ok,2024-01-22 09:00:00,2.3,2.4,2.24,2.4,14982
ok,2024-01-22 09:30:00,2.41,2.44,2.31,2.31,54772
ok,2024-01-22 10:00:00,2.37,2.39,2.31,2.39,20225
ok,2024-01-22 10:30:00,2.39,2.6,2.39,2.46,83393
ok,2024-01-22 11:00:00,2.46,2.5,2.42,2.46,17310
ok,2024-01-22 11:30:00,2.47,2.47,2.4,2.4,4293
ok,2024-01-22 12:00:00,2.44,2.47,2.39,2.42,10592
ok,2024-01-22 12:30:00,2.41,2.45,2.4,2.44,5293
ok,2024-01-22 13:00:00,2.43,2.43,2.43,2.43,1361
ok,2024-01-22 13:30:00,2.42,2.44,2.4,2.41,4322
ok,2024-01-22 14:00:00,2.45,2.45,2.45,2.45,100
ok,2024-01-22 14:30:00,2.43,2.43,2.43,2.43,868
ok,2024-01-22 15:00:00,2.44,2.52,2.42,2.49,21275
ok,2024-01-22 15:30:00,2.49,2.5,2.48,2.5,15527
ok,2024-01-22 16:00:00,2.48,2.5,2.48,2.5,500
ok,2024-01-22 18:00:00,2.5,2.5,2.5,2.5,500
ok,2024-01-22 18:30:00,2.5,2.5,2.5,2.5,1500
ok,2024-01-23 04:00:00,2.35,2.35,2.35,2.35,120
ok,2024-01-23 06:00:00,2.55,2.56,2.55,2.56,410
ok,2024-01-23 06:30:00,2.56,2.56,2.56,2.56,1375
ok,2024-01-23 08:00:00,2.7,2.7,2.6,2.6,6419
ok,2024-01-23 08:30:00,2.6,2.6,2.6,2.6,516
ok,2024-01-23 09:00:00,2.64,2.64,2.64,2.64,500
ok,2024-01-23 09:30:00,2.69,2.69,2.51,2.56,25635
ok,2024-01-23 10:00:00,2.52,2.58,2.51,2.54,1225
ok,2024-01-23 10:30:00,2.5,2.5,2.42,2.49,8686
ok,2024-01-23 11:00:00,2.49,2.49,2.4,2.43,5509
ok,2024-01-23 11:30:00,2.45,2.5,2.37,2.5,10758
