s,t,o,h,l,c,v
ok,2024-03-05 04:00:00,4.0,4.5,1.8,2.0,82628
ok,2024-03-05 04:30:00,2.01,2.15,1.8,1.97,19807
ok,2024-03-05 05:00:00,2.04,2.14,1.98,2.05,5481
ok,2024-03-05 05:30:00,2.02,2.18,2.02,2.18,3641
ok,2024-03-05 06:00:00,2.12,2.12,2.01,2.1,3185
ok,2024-03-05 06:30:00,1.99,2.05,1.92,2.0,7642
ok,2024-03-05 07:00:00,1.96,2.07,1.95,2.03,8067
ok,2024-03-05 07:30:00,2.03,2.05,2.02,2.05,8485
ok,2024-03-05 08:00:00,2.0,2.1,1.95,2.02,25076
ok,2024-03-05 08:30:00,2.05,2.13,1.85,2.0,18979
ok,2024-03-05 09:00:00,2.0,2.25,2.0,2.23,16784
ok,2024-03-05 09:30:00,2.23,2.25,1.88,1.91,104277
ok,2024-03-05 10:00:00,1.92,1.92,1.78,1.8,96744
ok,2024-03-05 10:30:00,1.84,1.86,1.75,1.75,69746
ok,2024-03-05 11:00:00,1.79,1.8,1.68,1.69,69142
ok,2024-03-05 11:30:00,1.68,1.7,1.68,1.68,83266
ok,2024-03-05 12:00:00,1.69,1.69,1.5,1.52,149305
ok,2024-03-05 12:30:00,1.54,1.6,1.4,1.49,145303
ok,2024-03-05 13:00:00,1.49,1.69,1.41,1.49,138142
ok,2024-03-05 13:30:00,1.5,1.57,1.39,1.4,123902
ok,2024-03-05 14:00:00,1.4,1.4,1.32,1.36,78549
ok,2024-03-05 14:30:00,1.36,1.4,1.35,1.37,65747
ok,2024-03-05 15:00:00,1.38,1.39,1.34,1.37,133927
ok,2024-03-05 15:30:00,1.36,1.4,1.33,1.34,218034
ok,2024-03-05 16:00:00,1.39,1.49,1.32,1.37,67851
ok,2024-03-05 16:30:00,1.39,1.5,1.39,1.43,27229
ok,2024-03-05 17:00:00,1.49,1.51,1.38,1.43,36244
ok,2024-03-05 17:30:00,1.45,1.48,1.42,1.43,19740
ok,2024-03-05 18:00:00,1.43,1.65,1.43,1.49,30627
ok,2024-03-05 18:30:00,1.49,1.5,1.45,1.5,19256
ok,2024-03-05 19:00:00,1.5,1.65,1.5,1.65,55560
ok,2024-03-05 19:30:00,1.63,1.63,1.53,1.6,50729
ok,2024-03-06 04:00:00,1.6,1.68,1.41,1.44,55823
ok,2024-03-06 04:30:00,1.46,1.59,1.46,1.54,21235
ok,2024-03-06 05:00:00,1.57,1.57,1.45,1.49,22691
ok,2024-03-06 05:30:00,1.49,1.55,1.46,1.48,12625
ok,2024-03-06 06:00:00,1.47,1.55,1.35,1.43,60072
ok,2024-03-06 06:30:00,1.43,1.44,1.39,1.42,28562
ok,2024-03-06 07:00:00,1.43,1.46,1.27,1.36,85941
ok,2024-03-06 07:30:00,1.36,1.39,1.34,1.36,18628
ok,2024-03-06 08:00:00,1.37,1.61,1.28,1.32,161428
ok,2024-03-06 08:30:00,1.33,1.37,1.29,1.29,58803
