s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.1,1.14,1.09,1.12,7027
ok,2024-01-02 10:00:00,1.11,1.12,1.1,1.12,6335
ok,2024-01-02 10:30:00,1.11,1.12,1.09,1.12,2471
ok,2024-01-02 11:30:00,1.11,1.11,1.11,1.11,260
ok,2024-01-02 12:30:00,1.12,1.12,1.12,1.12,220
ok,2024-01-02 13:00:00,1.11,1.11,1.08,1.09,2965
ok,2024-01-02 13:30:00,1.08,1.08,1.07,1.07,1810
ok,2024-01-02 14:00:00,1.05,1.07,1.02,1.07,2230
ok,2024-01-02 14:30:00,1.11,1.11,1.09,1.1,1000
ok,2024-01-02 15:00:00,1.08,1.08,1.08,1.08,200
ok,2024-01-02 15:30:00,1.09,1.09,1.07,1.07,1943
ok,2024-01-03 07:00:00,1.1,1.1,1.1,1.1,171
ok,2024-01-03 09:30:00,1.11,1.11,1.1,1.1,1235
ok,2024-01-03 10:00:00,1.11,1.11,1.1,1.1,3375
ok,2024-01-03 10:30:00,1.1,1.1,1.1,1.1,200
ok,2024-01-03 12:00:00,1.1,1.1,1.09,1.09,911
ok,2024-01-03 12:30:00,1.06,1.06,1.06,1.06,220
ok,2024-01-03 14:00:00,1.06,1.06,1.06,1.06,300
ok,2024-01-03 15:00:00,1.09,1.09,1.07,1.09,976
ok,2024-01-03 15:30:00,1.05,1.05,1.05,1.05,601
ok,2024-01-04 09:30:00,1.09,1.09,1.08,1.09,2003
ok,2024-01-04 10:00:00,1.09,1.09,1.08,1.09,2577
ok,2024-01-04 10:30:00,1.08,1.09,1.08,1.09,3130
ok,2024-01-04 11:00:00,1.08,1.08,1.03,1.03,8139
ok,2024-01-04 11:30:00,1.0,1.03,1.0,1.03,6776
ok,2024-01-04 12:00:00,1.05,1.05,1.03,1.04,1704
ok,2024-01-04 12:30:00,1.06,1.06,1.05,1.05,1002
ok,2024-01-04 13:30:00,1.05,1.05,1.05,1.05,239
ok,2024-01-04 15:00:00,1.04,1.06,1.04,1.06,4265
ok,2024-01-05 09:30:00,1.05,1.05,1.04,1.04,1343
ok,2024-01-05 11:30:00,1.02,1.02,1.02,1.02,500
ok,2024-01-05 12:00:00,1.01,1.01,1.01,1.01,482
ok,2024-01-05 13:30:00,1.0,1.0,1.0,1.0,2000
ok,2024-01-05 15:00:00,1.0,1.0,1.0,1.0,1352
ok,2024-01-08 09:30:00,0.85,0.93,0.77,0.93,1677
ok,2024-01-08 10:00:00,0.95,0.95,0.95,0.95,500
ok,2024-01-08 10:30:00,0.94,0.94,0.94,0.94,200
ok,2024-01-08 11:00:00,0.9,1.05,0.89,1.05,11749
ok,2024-01-08 11:30:00,0.91,0.91,0.91,0.91,149
ok,2024-01-08 13:00:00,1.02,1.02,1.02,1.02,300
ok,2024-01-08 14:30:00,1.02,1.02,1.02,1.02,180
ok,2024-01-09 09:30:00,0.97,0.99,0.96,0.99,3407
ok,2024-01-09 10:00:00,0.99,0.99,0.99,0.99,600
ok,2024-01-09 11:00:00,0.99,1.01,0.99,0.99,5363
ok,2024-01-09 11:30:00,1.02,1.02,1.02,1.02,200
ok,2024-01-09 13:30:00,0.99,0.99,0.99,0.99,1262
ok,2024-01-09 14:00:00,0.95,0.95,0.95,0.95,1000
ok,2024-01-09 15:00:00,1.0,1.01,1.0,1.01,300
ok,2024-01-09 15:30:00,0.95,1.01,0.95,0.95,791
ok,2024-01-09 18:30:00,0.9,0.9,0.9,0.9,175
ok,2024-01-10 08:30:00,0.98,0.98,0.98,0.98,175
ok,2024-01-10 09:30:00,1.01,1.01,1.01,1.01,200
ok,2024-01-10 10:00:00,0.98,0.98,0.98,0.98,359
ok,2024-01-10 10:30:00,0.98,1.0,0.98,1.0,5802
ok,2024-01-10 12:00:00,1.0,1.01,1.0,1.01,500
ok,2024-01-10 14:00:00,1.0,1.0,0.98,0.98,2468
ok,2024-01-10 14:30:00,1.0,1.0,1.0,1.0,200
ok,2024-01-10 15:30:00,1.01,1.01,0.98,0.98,3101
ok,2024-01-11 09:30:00,1.0,1.0,1.0,1.0,798
ok,2024-01-11 10:30:00,0.99,0.99,0.99,0.99,100
ok,2024-01-11 11:00:00,0.99,0.99,0.99,0.99,331
ok,2024-01-11 11:30:00,0.99,0.99,0.99,0.99,609
ok,2024-01-11 12:00:00,0.99,0.99,0.99,0.99,165
ok,2024-01-11 13:00:00,0.99,0.99,0.99,0.99,137
ok,2024-01-11 13:30:00,0.99,0.99,0.99,0.99,1131
ok,2024-01-11 14:30:00,0.98,0.98,0.98,0.98,455
ok,2024-01-11 15:30:00,0.88,1.02,0.88,1.01,1900
ok,2024-01-12 06:30:00,1.0,1.0,1.0,1.0,170
ok,2024-01-12 11:00:00,0.99,0.99,0.99,0.99,128
ok,2024-01-12 11:30:00,0.99,0.99,0.99,0.99,100
ok,2024-01-12 13:00:00,0.89,0.89,0.89,0.89,209
ok,2024-01-12 13:30:00,0.99,0.99,0.99,0.99,200
ok,2024-01-12 14:00:00,0.99,0.99,0.99,0.99,215
ok,2024-01-12 14:30:00,0.9,0.9,0.9,0.9,600
ok,2024-01-12 15:00:00,0.9,0.9,0.9,0.9,280
ok,2024-01-12 16:00:00,0.97,0.97,0.97,0.97,188
ok,2024-01-16 09:00:00,0.92,0.92,0.92,0.92,180
ok,2024-01-16 09:30:00,1.02,1.05,1.02,1.05,3927
ok,2024-01-16 10:00:00,1.02,1.03,1.02,1.02,2400
ok,2024-01-16 10:30:00,1.02,1.02,1.0,1.01,1716
ok,2024-01-16 11:00:00,1.01,1.01,1.01,1.01,100
ok,2024-01-16 11:30:00,1.01,1.02,1.01,1.01,1482
ok,2024-01-16 12:00:00,1.0,1.0,0.95,1.0,20849
ok,2024-01-17 09:30:00,1.01,1.01,1.01,1.01,300
ok,2024-01-17 10:00:00,0.94,0.94,0.81,0.81,6333
ok,2024-01-17 10:30:00,1.03,1.03,1.03,1.03,1001
ok,2024-01-17 14:00:00,0.99,1.01,0.99,1.01,667
ok,2024-01-17 15:30:00,1.01,1.01,0.97,0.97,529
ok,2024-01-18 10:00:00,0.9,1.01,0.9,1.01,1428
ok,2024-01-18 12:30:00,0.95,0.95,0.91,0.91,1305
ok,2024-01-18 13:00:00,1.0,1.0,1.0,1.0,200
ok,2024-01-18 14:30:00,0.89,0.91,0.88,0.88,500
ok,2024-01-18 15:00:00,0.9,0.9,0.89,0.89,220
ok,2024-01-18 15:30:00,0.91,0.91,0.91,0.91,281
ok,2024-01-19 09:30:00,0.91,0.91,0.88,0.88,1201
ok,2024-01-19 10:00:00,0.91,0.98,0.91,0.98,586
ok,2024-01-19 10:30:00,0.91,0.91,0.91,0.91,700
ok,2024-01-19 12:00:00,0.86,0.9,0.82,0.9,895
ok,2024-01-19 14:00:00,0.85,0.85,0.81,0.81,3300
ok,2024-01-19 14:30:00,0.85,0.85,0.85,0.85,400
ok,2024-01-19 15:30:00,0.89,0.89,0.89,0.89,200
ok,2024-01-22 05:30:00,0.89,0.89,0.89,0.89,614
ok,2024-01-22 09:30:00,0.89,0.89,0.89,0.89,560
ok,2024-01-22 10:30:00,0.89,0.89,0.89,0.89,100
ok,2024-01-22 11:00:00,0.89,0.89,0.89,0.89,1020
