s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.54,0.54,0.51,0.51,1900
ok,2024-01-02 08:00:00,0.54,0.54,0.51,0.51,8398
ok,2024-01-02 09:00:00,0.54,0.54,0.54,0.54,1000
ok,2024-01-02 09:30:00,0.52,0.54,0.52,0.53,25783
ok,2024-01-02 10:00:00,0.53,0.53,0.52,0.52,13420
ok,2024-01-02 10:30:00,0.52,0.54,0.51,0.51,7989
ok,2024-01-02 12:00:00,0.52,0.54,0.52,0.54,2036
ok,2024-01-02 12:30:00,0.52,0.54,0.52,0.53,12626
ok,2024-01-02 13:00:00,0.53,0.53,0.53,0.53,4226
ok,2024-01-02 13:30:00,0.54,0.54,0.53,0.54,5006
ok,2024-01-02 14:00:00,0.54,0.57,0.53,0.54,36399
ok,2024-01-02 14:30:00,0.53,0.55,0.53,0.55,2390
ok,2024-01-02 15:00:00,0.54,0.55,0.52,0.53,15848
ok,2024-01-02 15:30:00,0.52,0.55,0.52,0.55,5722
ok,2024-01-03 07:30:00,0.53,0.53,0.53,0.53,522
ok,2024-01-03 08:00:00,0.55,0.55,0.55,0.55,1000
ok,2024-01-03 09:30:00,0.54,0.54,0.53,0.53,4663
ok,2024-01-03 10:00:00,0.57,0.57,0.57,0.57,132
ok,2024-01-03 10:30:00,0.56,0.56,0.54,0.55,23838
ok,2024-01-03 11:00:00,0.56,0.56,0.56,0.56,200
ok,2024-01-03 11:30:00,0.55,0.56,0.54,0.56,2249
ok,2024-01-03 12:00:00,0.54,0.55,0.54,0.54,4187
ok,2024-01-03 12:30:00,0.56,0.56,0.56,0.56,1830
ok,2024-01-03 13:00:00,0.55,0.56,0.54,0.55,8662
ok,2024-01-03 14:00:00,0.56,0.56,0.56,0.56,121
ok,2024-01-03 14:30:00,0.55,0.56,0.55,0.56,5565
ok,2024-01-03 15:00:00,0.55,0.55,0.54,0.54,2200
ok,2024-01-03 15:30:00,0.56,0.56,0.55,0.56,5214
ok,2024-01-03 16:00:00,0.57,0.57,0.57,0.57,500
ok,2024-01-03 17:30:00,0.55,0.55,0.55,0.55,120
ok,2024-01-04 07:00:00,0.56,0.56,0.56,0.56,100
ok,2024-01-04 08:00:00,0.56,0.57,0.56,0.57,451
ok,2024-01-04 09:30:00,0.55,0.55,0.55,0.55,8671
ok,2024-01-04 10:00:00,0.55,0.56,0.54,0.54,16050
ok,2024-01-04 10:30:00,0.54,0.55,0.52,0.52,30392
ok,2024-01-04 11:00:00,0.53,0.53,0.51,0.51,23392
ok,2024-01-04 11:30:00,0.51,0.53,0.51,0.52,1883
ok,2024-01-04 12:00:00,0.53,0.53,0.53,0.53,1210
ok,2024-01-04 12:30:00,0.53,0.53,0.53,0.53,700
ok,2024-01-04 13:00:00,0.54,0.54,0.54,0.54,2100
ok,2024-01-04 13:30:00,0.53,0.55,0.53,0.53,6045
ok,2024-01-04 14:00:00,0.55,0.55,0.53,0.54,4755
ok,2024-01-04 14:30:00,0.53,0.53,0.53,0.53,300
ok,2024-01-04 15:00:00,0.53,0.54,0.53,0.53,2831
ok,2024-01-04 15:30:00,0.55,0.55,0.53,0.54,10531
ok,2024-01-04 16:00:00,0.54,0.55,0.54,0.55,3100
ok,2024-01-04 18:00:00,0.56,0.56,0.56,0.56,879
ok,2024-01-04 18:30:00,0.56,0.56,0.56,0.56,100
ok,2024-01-04 19:00:00,0.56,0.56,0.56,0.56,850
ok,2024-01-04 19:30:00,0.53,0.53,0.53,0.53,1650
ok,2024-01-05 04:30:00,0.57,0.57,0.57,0.57,200
ok,2024-01-05 08:00:00,0.53,0.53,0.52,0.52,289
ok,2024-01-05 09:30:00,0.52,0.53,0.52,0.53,1705
ok,2024-01-05 10:00:00,0.55,0.55,0.53,0.55,1005
ok,2024-01-05 10:30:00,0.55,0.55,0.53,0.53,251
ok,2024-01-05 11:00:00,0.56,0.56,0.56,0.56,1600
ok,2024-01-05 12:00:00,0.55,0.55,0.53,0.53,200
ok,2024-01-05 13:00:00,0.55,0.56,0.53,0.53,4243
ok,2024-01-05 13:30:00,0.56,0.56,0.53,0.54,1523
ok,2024-01-05 14:00:00,0.55,0.55,0.55,0.55,100
ok,2024-01-05 14:30:00,0.56,0.56,0.56,0.56,409
ok,2024-01-05 15:00:00,0.55,0.56,0.53,0.56,8450
ok,2024-01-05 15:30:00,0.53,0.55,0.53,0.55,2850
ok,2024-01-05 16:00:00,0.55,0.55,0.55,0.55,100
ok,2024-01-05 16:30:00,0.55,0.55,0.55,0.55,200
ok,2024-01-05 17:30:00,0.55,0.55,0.55,0.55,400
ok,2024-01-08 07:30:00,0.55,0.55,0.55,0.55,200
ok,2024-01-08 08:30:00,0.55,0.57,0.55,0.57,300
ok,2024-01-08 09:30:00,0.56,0.56,0.53,0.53,8344
ok,2024-01-08 10:00:00,0.54,0.55,0.54,0.55,1249
ok,2024-01-08 10:30:00,0.54,0.54,0.53,0.53,1632
ok,2024-01-08 11:00:00,0.56,0.56,0.56,0.56,450
ok,2024-01-08 11:30:00,0.56,0.56,0.54,0.54,1241
ok,2024-01-08 12:00:00,0.53,0.53,0.53,0.53,150
ok,2024-01-08 12:30:00,0.55,0.56,0.54,0.54,3250
ok,2024-01-08 13:00:00,0.55,0.56,0.52,0.52,8495
ok,2024-01-08 13:30:00,0.54,0.54,0.54,0.54,553
ok,2024-01-08 14:00:00,0.55,0.55,0.54,0.54,4001
ok,2024-01-08 14:30:00,0.56,0.56,0.54,0.54,4329
ok,2024-01-08 15:00:00,0.55,0.55,0.54,0.54,4230
ok,2024-01-08 15:30:00,0.55,0.56,0.55,0.55,4593
ok,2024-01-08 19:00:00,0.56,0.56,0.56,0.56,150
ok,2024-01-09 08:00:00,0.55,0.55,0.55,0.55,2042
ok,2024-01-09 09:30:00,0.56,0.57,0.56,0.57,12646
ok,2024-01-09 10:00:00,0.57,0.57,0.56,0.56,1821
ok,2024-01-09 10:30:00,0.57,0.57,0.56,0.57,1702
ok,2024-01-09 11:00:00,0.56,0.57,0.56,0.57,400
ok,2024-01-09 11:30:00,0.57,0.58,0.56,0.58,8361
ok,2024-01-09 12:00:00,0.58,0.6,0.58,0.6,6631
ok,2024-01-09 12:30:00,0.6,0.6,0.58,0.6,11257
ok,2024-01-09 13:00:00,0.6,0.6,0.58,0.58,440
ok,2024-01-09 13:30:00,0.58,0.58,0.58,0.58,100
ok,2024-01-09 14:00:00,0.58,0.58,0.58,0.58,5166
ok,2024-01-09 14:30:00,0.58,0.59,0.58,0.59,7337
ok,2024-01-09 15:00:00,0.56,0.59,0.56,0.56,1200
ok,2024-01-09 15:30:00,0.56,0.59,0.56,0.59,3011
ok,2024-01-09 16:00:00,0.57,0.57,0.57,0.57,800
ok,2024-01-09 18:00:00,0.56,0.56,0.56,0.56,173
