s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.5,0.52,0.5,0.5,14811
ok,2024-01-02 10:00:00,0.51,0.53,0.5,0.5,13796
ok,2024-01-02 10:30:00,0.5,0.5,0.5,0.5,386
ok,2024-01-02 11:00:00,0.5,0.5,0.5,0.5,106
ok,2024-01-02 11:30:00,0.53,0.53,0.53,0.53,111
ok,2024-01-02 12:30:00,0.51,0.52,0.5,0.5,2542
ok,2024-01-02 13:00:00,0.53,0.53,0.5,0.5,2874
ok,2024-01-02 14:00:00,0.52,0.53,0.52,0.53,1500
ok,2024-01-02 14:30:00,0.51,0.51,0.5,0.5,209
ok,2024-01-02 15:00:00,0.51,0.51,0.5,0.5,2114
ok,2024-01-02 15:30:00,0.51,0.51,0.5,0.51,2343
ok,2024-01-03 08:30:00,0.51,0.55,0.5,0.55,13131
ok,2024-01-03 09:30:00,0.5,0.52,0.5,0.5,22266
ok,2024-01-03 10:00:00,0.5,0.5,0.5,0.5,12649
ok,2024-01-03 10:30:00,0.49,0.49,0.48,0.49,8341
ok,2024-01-03 11:00:00,0.49,0.5,0.49,0.5,5000
ok,2024-01-03 12:00:00,0.5,0.5,0.5,0.5,8453
ok,2024-01-03 12:30:00,0.5,0.53,0.5,0.53,44670
ok,2024-01-03 13:00:00,0.53,0.55,0.5,0.5,60795
ok,2024-01-03 13:30:00,0.5,0.52,0.5,0.5,2900
ok,2024-01-03 14:00:00,0.49,0.51,0.49,0.51,19779
ok,2024-01-03 14:30:00,0.49,0.51,0.49,0.49,10918
ok,2024-01-03 15:00:00,0.5,0.5,0.49,0.49,12869
ok,2024-01-03 15:30:00,0.49,0.49,0.48,0.48,40555
ok,2024-01-04 10:30:00,0.49,0.51,0.49,0.49,3528
ok,2024-01-04 11:00:00,0.49,0.49,0.49,0.49,2095
ok,2024-01-04 12:00:00,0.5,0.5,0.5,0.5,1500
ok,2024-01-04 13:30:00,0.49,0.49,0.49,0.49,7000
ok,2024-01-04 14:00:00,0.5,0.5,0.5,0.5,115
ok,2024-01-04 14:30:00,0.51,0.51,0.51,0.51,398
ok,2024-01-04 15:00:00,0.51,0.51,0.49,0.51,2363
ok,2024-01-04 15:30:00,0.51,0.51,0.51,0.51,190
ok,2024-01-04 16:30:00,0.51,0.51,0.51,0.51,100
ok,2024-01-05 09:30:00,0.49,0.49,0.49,0.49,4500
ok,2024-01-05 10:00:00,0.51,0.51,0.51,0.51,410
ok,2024-01-05 10:30:00,0.5,0.5,0.5,0.5,1609
ok,2024-01-05 11:00:00,0.5,0.5,0.5,0.5,2783
ok,2024-01-05 12:00:00,0.5,0.5,0.5,0.5,841
ok,2024-01-05 13:00:00,0.5,0.5,0.49,0.49,954
ok,2024-01-05 13:30:00,0.49,0.49,0.49,0.49,140
ok,2024-01-05 14:00:00,0.49,0.49,0.49,0.49,575
ok,2024-01-05 14:30:00,0.49,0.49,0.49,0.49,944
ok,2024-01-05 15:00:00,0.49,0.49,0.49,0.49,1305
ok,2024-01-05 15:30:00,0.49,0.49,0.49,0.49,7211
ok,2024-01-08 09:30:00,0.49,0.49,0.48,0.48,7941
ok,2024-01-08 10:00:00,0.48,0.49,0.48,0.49,3395
ok,2024-01-08 10:30:00,0.49,0.49,0.48,0.49,1103
ok,2024-01-08 11:30:00,0.49,0.49,0.49,0.49,685
ok,2024-01-08 12:00:00,0.49,0.49,0.48,0.48,11475
ok,2024-01-08 12:30:00,0.48,0.48,0.48,0.48,100
ok,2024-01-08 13:00:00,0.48,0.48,0.48,0.48,701
ok,2024-01-08 13:30:00,0.48,0.48,0.48,0.48,1699
ok,2024-01-08 14:00:00,0.48,0.48,0.48,0.48,800
ok,2024-01-08 14:30:00,0.48,0.48,0.48,0.48,3000
ok,2024-01-08 15:00:00,0.48,0.48,0.48,0.48,3287
ok,2024-01-08 15:30:00,0.48,0.49,0.48,0.49,3023
ok,2024-01-09 09:30:00,0.5,0.5,0.47,0.47,68700
ok,2024-01-09 10:00:00,0.47,0.47,0.47,0.47,200
ok,2024-01-09 12:00:00,0.49,0.49,0.49,0.49,200
ok,2024-01-09 12:30:00,0.48,0.48,0.47,0.47,772
ok,2024-01-09 13:00:00,0.47,0.47,0.47,0.47,761
ok,2024-01-09 13:30:00,0.48,0.48,0.48,0.48,921
ok,2024-01-09 14:30:00,0.48,0.48,0.48,0.48,131
ok,2024-01-09 15:00:00,0.48,0.48,0.47,0.47,1745
ok,2024-01-09 15:30:00,0.47,0.49,0.47,0.47,10063
ok,2024-01-09 16:00:00,0.49,0.49,0.49,0.49,210
ok,2024-01-09 18:30:00,0.49,0.49,0.47,0.47,3430
ok,2024-01-10 09:30:00,0.48,0.49,0.48,0.49,1100
ok,2024-01-10 10:30:00,0.47,0.47,0.47,0.47,2078
ok,2024-01-10 11:00:00,0.47,0.47,0.46,0.46,4367
ok,2024-01-10 11:30:00,0.46,0.46,0.46,0.46,666
ok,2024-01-10 12:00:00,0.46,0.46,0.46,0.46,3308
ok,2024-01-10 12:30:00,0.47,0.48,0.47,0.47,1630
ok,2024-01-10 13:00:00,0.47,0.47,0.47,0.47,521
ok,2024-01-10 13:30:00,0.49,0.49,0.47,0.47,4600
ok,2024-01-10 14:00:00,0.48,0.48,0.47,0.47,1100
ok,2024-01-10 14:30:00,0.47,0.47,0.47,0.47,200
