s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.16,0.16,0.16,0.16,120
ok,2024-01-02 04:30:00,0.16,0.16,0.16,0.16,7738
ok,2024-01-02 05:30:00,0.16,0.16,0.16,0.16,5500
ok,2024-01-02 06:30:00,0.16,0.16,0.16,0.16,1481
ok,2024-01-02 07:00:00,0.16,0.16,0.16,0.16,1812
ok,2024-01-02 07:30:00,0.16,0.16,0.16,0.16,1200
ok,2024-01-02 08:00:00,0.17,0.17,0.16,0.16,15641
ok,2024-01-02 08:30:00,0.16,0.16,0.16,0.16,8984
ok,2024-01-02 09:00:00,0.16,0.16,0.16,0.16,2100
ok,2024-01-02 09:30:00,0.16,0.16,0.15,0.16,125621
ok,2024-01-02 10:00:00,0.16,0.16,0.16,0.16,21704
ok,2024-01-02 10:30:00,0.16,0.16,0.16,0.16,71052
ok,2024-01-02 11:00:00,0.16,0.16,0.16,0.16,42664
ok,2024-01-02 11:30:00,0.16,0.16,0.16,0.16,54499
ok,2024-01-02 12:00:00,0.16,0.16,0.16,0.16,14195
ok,2024-01-02 12:30:00,0.16,0.16,0.16,0.16,12636
ok,2024-01-02 13:00:00,0.16,0.16,0.16,0.16,10514
ok,2024-01-02 13:30:00,0.16,0.16,0.16,0.16,10882
ok,2024-01-02 14:00:00,0.16,0.16,0.16,0.16,2878
ok,2024-01-02 14:30:00,0.16,0.16,0.16,0.16,53963
ok,2024-01-02 15:00:00,0.16,0.16,0.16,0.16,81412
ok,2024-01-02 15:30:00,0.16,0.16,0.16,0.16,13238
ok,2024-01-02 16:30:00,0.16,0.16,0.16,0.16,3999
ok,2024-01-02 17:00:00,0.16,0.16,0.16,0.16,1200
ok,2024-01-02 18:00:00,0.16,0.16,0.16,0.16,100
ok,2024-01-02 19:00:00,0.16,0.16,0.16,0.16,500
ok,2024-01-03 05:00:00,0.16,0.16,0.16,0.16,1128
ok,2024-01-03 05:30:00,0.16,0.16,0.16,0.16,518
ok,2024-01-03 06:30:00,0.16,0.16,0.16,0.16,365
ok,2024-01-03 07:00:00,0.16,0.16,0.15,0.15,1855
ok,2024-01-03 07:30:00,0.16,0.16,0.16,0.16,194
ok,2024-01-03 08:00:00,0.16,0.16,0.15,0.15,18164
ok,2024-01-03 08:30:00,0.15,0.15,0.15,0.15,450
ok,2024-01-03 09:00:00,0.16,0.16,0.16,0.16,892
ok,2024-01-03 09:30:00,0.16,0.16,0.16,0.16,71099
ok,2024-01-03 10:00:00,0.16,0.16,0.16,0.16,64409
ok,2024-01-03 10:30:00,0.16,0.16,0.16,0.16,63131
ok,2024-01-03 11:00:00,0.16,0.16,0.16,0.16,130941
ok,2024-01-03 11:30:00,0.16,0.16,0.16,0.16,94298
ok,2024-01-03 12:00:00,0.16,0.16,0.15,0.15,133292
ok,2024-01-03 12:30:00,0.15,0.15,0.15,0.15,51024
ok,2024-01-03 13:00:00,0.15,0.15,0.15,0.15,15041
