s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-02 09:30:00,0.42,0.53,0.41,0.41,99973
ok,2024-01-02 10:00:00,0.43,0.43,0.43,0.43,9305
ok,2024-01-02 10:30:00,0.41,0.42,0.41,0.42,2386
ok,2024-01-02 11:00:00,0.42,0.43,0.42,0.43,4000
ok,2024-01-02 11:30:00,0.43,0.44,0.43,0.44,11424
ok,2024-01-02 12:00:00,0.43,0.44,0.43,0.44,1378
ok,2024-01-02 12:30:00,0.44,0.47,0.44,0.47,17786
ok,2024-01-02 13:00:00,0.46,0.47,0.46,0.46,11890
ok,2024-01-02 13:30:00,0.46,0.46,0.46,0.46,9179
ok,2024-01-02 14:00:00,0.46,0.46,0.46,0.46,900
ok,2024-01-02 14:30:00,0.46,0.47,0.46,0.47,4720
ok,2024-01-02 15:00:00,0.47,0.47,0.46,0.46,7600
ok,2024-01-02 15:30:00,0.46,0.46,0.44,0.44,11130
ok,2024-01-02 16:00:00,0.42,0.42,0.42,0.42,5000
ok,2024-01-02 17:00:00,0.5,0.5,0.45,0.45,1412
ok,2024-01-02 17:30:00,0.45,0.45,0.45,0.45,250
ok,2024-01-02 19:30:00,0.45,0.45,0.45,0.45,300
ok,2024-01-03 09:00:00,0.47,0.48,0.47,0.48,719
ok,2024-01-03 09:30:00,0.49,0.5,0.43,0.43,91893
ok,2024-01-03 10:00:00,0.43,0.43,0.41,0.43,10243
ok,2024-01-03 10:30:00,0.43,0.43,0.42,0.43,8399
ok,2024-01-03 11:00:00,0.43,0.43,0.42,0.43,3440
ok,2024-01-03 11:30:00,0.43,0.43,0.43,0.43,21460
ok,2024-01-03 12:00:00,0.44,0.45,0.44,0.44,3225
ok,2024-01-03 12:30:00,0.45,0.48,0.45,0.45,6873
ok,2024-01-03 13:00:00,0.46,0.48,0.46,0.48,33434
ok,2024-01-03 13:30:00,0.48,0.48,0.46,0.47,7373
ok,2024-01-03 14:00:00,0.47,0.47,0.46,0.46,10984
ok,2024-01-03 14:30:00,0.46,0.47,0.46,0.47,967
ok,2024-01-03 15:00:00,0.47,0.47,0.46,0.46,7476
ok,2024-01-03 15:30:00,0.46,0.47,0.46,0.46,11945
ok,2024-01-03 16:00:00,0.48,0.48,0.48,0.48,122
ok,2024-01-03 19:00:00,0.48,0.48,0.48,0.48,209
ok,2024-01-03 19:30:00,0.48,0.48,0.48,0.48,1000
ok,2024-01-04 06:30:00,0.48,0.48,0.47,0.47,674
ok,2024-01-04 08:30:00,0.46,0.46,0.46,0.46,425
ok,2024-01-04 09:00:00,0.46,0.46,0.46,0.46,5400
ok,2024-01-04 09:30:00,0.46,0.48,0.45,0.45,25619
ok,2024-01-04 10:00:00,0.46,0.46,0.46,0.46,2919
ok,2024-01-04 10:30:00,0.46,0.46,0.45,0.46,6453
ok,2024-01-04 11:00:00,0.45,0.45,0.44,0.44,3657
ok,2024-01-04 11:30:00,0.44,0.44,0.44,0.44,4978
ok,2024-01-04 12:00:00,0.44,0.44,0.41,0.42,11125
ok,2024-01-04 12:30:00,0.43,0.44,0.41,0.43,48769
ok,2024-01-04 13:30:00,0.42,0.45,0.42,0.45,7425
ok,2024-01-04 14:00:00,0.44,0.44,0.44,0.44,1923
ok,2024-01-04 14:30:00,0.44,0.44,0.44,0.44,11167
ok,2024-01-04 15:00:00,0.44,0.45,0.44,0.45,3000
ok,2024-01-04 15:30:00,0.43,0.43,0.43,0.43,2185
ok,2024-01-05 04:30:00,0.46,0.46,0.46,0.46,125
ok,2024-01-05 06:30:00,0.46,0.46,0.46,0.46,100
ok,2024-01-05 07:00:00,0.45,0.45,0.45,0.45,275
ok,2024-01-05 08:00:00,0.47,0.47,0.47,0.47,223
ok,2024-01-05 09:30:00,0.44,0.45,0.41,0.45,25618
ok,2024-01-05 10:00:00,0.43,0.44,0.42,0.42,2288
ok,2024-01-05 10:30:00,0.42,0.42,0.42,0.42,6479
ok,2024-01-05 11:00:00,0.42,0.42,0.42,0.42,9004
ok,2024-01-05 11:30:00,0.42,0.43,0.42,0.43,6965
ok,2024-01-05 12:00:00,0.44,0.44,0.42,0.42,5426
ok,2024-01-05 14:30:00,0.44,0.44,0.43,0.43,800
ok,2024-01-05 15:30:00,0.44,0.44,0.44,0.44,401
ok,2024-01-05 16:00:00,0.44,0.44,0.44,0.44,1300
ok,2024-01-08 06:30:00,0.45,0.45,0.45,0.45,5520
ok,2024-01-08 09:30:00,0.44,0.44,0.44,0.44,193
ok,2024-01-08 10:00:00,0.43,0.43,0.42,0.42,8472
ok,2024-01-08 10:30:00,0.42,0.43,0.42,0.42,3237
ok,2024-01-08 11:30:00,0.42,0.42,0.42,0.42,800
ok,2024-01-08 12:30:00,0.42,0.42,0.42,0.42,1151
ok,2024-01-08 13:00:00,0.42,0.43,0.42,0.43,11190
ok,2024-01-08 13:30:00,0.42,0.42,0.42,0.42,200
ok,2024-01-08 14:00:00,0.42,0.42,0.42,0.42,10100
ok,2024-01-08 14:30:00,0.42,0.42,0.42,0.42,473
ok,2024-01-08 15:00:00,0.42,0.42,0.42,0.42,3567
ok,2024-01-08 15:30:00,0.43,0.43,0.42,0.42,2364
ok,2024-01-09 08:00:00,0.42,0.42,0.42,0.42,200
ok,2024-01-09 09:30:00,0.42,0.43,0.42,0.42,3891
ok,2024-01-09 10:00:00,0.42,0.42,0.42,0.42,6912
ok,2024-01-09 10:30:00,0.42,0.42,0.42,0.42,14556
ok,2024-01-09 11:00:00,0.41,0.41,0.4,0.41,15334
ok,2024-01-09 12:00:00,0.4,0.4,0.4,0.4,563
ok,2024-01-09 12:30:00,0.41,0.41,0.41,0.41,127
ok,2024-01-09 13:00:00,0.41,0.41,0.41,0.41,100
ok,2024-01-09 13:30:00,0.41,0.41,0.41,0.41,10732
ok,2024-01-09 14:00:00,0.41,0.41,0.41,0.41,400
ok,2024-01-09 14:30:00,0.41,0.41,0.41,0.41,350
ok,2024-01-09 15:00:00,0.41,0.41,0.41,0.41,2180
ok,2024-01-09 15:30:00,0.4,0.42,0.4,0.41,5324
ok,2024-01-09 16:00:00,0.44,0.44,0.4,0.4,746
ok,2024-01-09 16:30:00,0.4,0.4,0.4,0.4,1708
ok,2024-01-09 19:30:00,0.4,0.4,0.4,0.4,125
ok,2024-01-10 07:00:00,0.44,0.55,0.44,0.44,1069768
ok,2024-01-10 07:30:00,0.45,0.45,0.4,0.4,348824
ok,2024-01-10 08:00:00,0.42,0.53,0.37,0.38,665233
ok,2024-01-10 08:30:00,0.38,0.39,0.37,0.38,143952
ok,2024-01-10 09:00:00,0.38,0.38,0.37,0.37,50794
ok,2024-01-10 09:30:00,0.37,0.38,0.35,0.35,214327
ok,2024-01-10 10:00:00,0.35,0.35,0.34,0.35,226651
ok,2024-01-10 10:30:00,0.35,0.35,0.35,0.35,85322
ok,2024-01-10 11:00:00,0.35,0.36,0.35,0.36,48943
ok,2024-01-10 11:30:00,0.36,0.36,0.35,0.36,81487
ok,2024-01-10 12:00:00,0.35,0.35,0.35,0.35,32122
ok,2024-01-10 12:30:00,0.35,0.35,0.35,0.35,22914
ok,2024-01-10 13:00:00,0.35,0.35,0.35,0.35,5851
ok,2024-01-10 13:30:00,0.35,0.35,0.35,0.35,12039
ok,2024-01-10 14:00:00,0.35,0.35,0.35,0.35,20326
ok,2024-01-10 14:30:00,0.35,0.35,0.35,0.35,20766
ok,2024-01-10 15:00:00,0.35,0.35,0.35,0.35,88742
ok,2024-01-10 15:30:00,0.35,0.35,0.34,0.34,91873
ok,2024-01-10 16:00:00,0.34,0.35,0.34,0.34,14551
ok,2024-01-10 16:30:00,0.34,0.35,0.34,0.35,4771
ok,2024-01-10 17:00:00,0.34,0.35,0.34,0.35,5400
ok,2024-01-10 17:30:00,0.35,0.35,0.35,0.35,1168
ok,2024-01-10 18:00:00,0.34,0.34,0.34,0.34,3050
ok,2024-01-10 18:30:00,0.35,0.35,0.34,0.34,2500
ok,2024-01-11 04:00:00,0.34,0.34,0.33,0.33,3013
ok,2024-01-11 05:00:00,0.33,0.33,0.33,0.33,1473
ok,2024-01-11 05:30:00,0.34,0.34,0.34,0.34,177
ok,2024-01-11 06:00:00,0.33,0.33,0.33,0.33,4730
ok,2024-01-11 06:30:00,0.33,0.33,0.33,0.33,2800
ok,2024-01-11 07:00:00,0.34,0.34,0.34,0.34,4600
ok,2024-01-11 07:30:00,0.33,0.33,0.33,0.33,2857
ok,2024-01-11 08:00:00,0.33,0.35,0.33,0.33,24491
ok,2024-01-11 08:30:00,0.34,0.34,0.34,0.34,100
ok,2024-01-11 09:00:00,0.33,0.33,0.32,0.33,12109
ok,2024-01-11 09:30:00,0.32,0.33,0.32,0.32,119628
ok,2024-01-11 10:00:00,0.32,0.33,0.32,0.33,38054
ok,2024-01-11 10:30:00,0.32,0.34,0.32,0.32,25024
ok,2024-01-11 11:00:00,0.33,0.33,0.32,0.33,18407
ok,2024-01-11 11:30:00,0.32,0.34,0.32,0.34,19793
ok,2024-01-11 12:00:00,0.34,0.34,0.33,0.34,19490
ok,2024-01-11 12:30:00,0.34,0.36,0.33,0.35,66840
ok,2024-01-11 13:00:00,0.35,0.35,0.34,0.35,21231
ok,2024-01-11 13:30:00,0.35,0.36,0.35,0.36,32880
ok,2024-01-11 14:00:00,0.36,0.37,0.36,0.36,52216
ok,2024-01-11 14:30:00,0.36,0.36,0.35,0.35,73734
ok,2024-01-11 15:00:00,0.35,0.36,0.35,0.35,28899
ok,2024-01-11 15:30:00,0.35,0.36,0.34,0.35,99861
