s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.35,0.59,0.35,0.59,5210811
ok,2024-01-02 04:30:00,0.59,0.67,0.56,0.57,3779435
ok,2024-01-02 05:00:00,0.57,0.64,0.56,0.61,1755904
ok,2024-01-02 05:30:00,0.62,0.62,0.57,0.58,855617
ok,2024-01-02 06:00:00,0.58,0.66,0.56,0.59,1326081
ok,2024-01-02 06:30:00,0.59,0.75,0.59,0.72,3956491
ok,2024-01-02 07:00:00,0.72,0.73,0.49,0.51,6186365
ok,2024-01-02 07:30:00,0.51,0.56,0.47,0.55,3342451
ok,2024-01-02 08:00:00,0.55,0.72,0.36,0.52,3418232
ok,2024-01-02 08:30:00,0.52,0.55,0.5,0.5,1153493
ok,2024-01-02 09:00:00,0.51,0.54,0.5,0.53,1806933
ok,2024-01-02 09:30:00,0.5,0.53,0.43,0.45,9532328
ok,2024-01-02 10:00:00,0.45,0.46,0.39,0.39,4586677
ok,2024-01-02 10:30:00,0.39,0.45,0.39,0.44,2568972
ok,2024-01-02 11:00:00,0.44,0.46,0.43,0.44,1713858
ok,2024-01-02 11:30:00,0.45,0.45,0.41,0.43,1008738
ok,2024-01-02 12:00:00,0.43,0.47,0.43,0.46,1794581
ok,2024-01-02 12:30:00,0.46,0.51,0.43,0.44,6035036
ok,2024-01-02 13:00:00,0.44,0.46,0.43,0.45,1355214
ok,2024-01-02 13:30:00,0.45,0.47,0.44,0.46,847461
ok,2024-01-02 14:00:00,0.45,0.47,0.44,0.45,658860
ok,2024-01-02 14:30:00,0.45,0.5,0.45,0.48,2197437
ok,2024-01-02 15:00:00,0.48,0.49,0.46,0.47,1031108
ok,2024-01-02 15:30:00,0.47,0.5,0.43,0.45,1699232
ok,2024-01-02 16:00:00,0.46,0.48,0.44,0.46,228723
ok,2024-01-02 16:30:00,0.46,0.48,0.45,0.46,177008
ok,2024-01-02 17:00:00,0.47,0.47,0.46,0.47,92409
ok,2024-01-02 17:30:00,0.47,0.48,0.46,0.46,61500
ok,2024-01-02 18:00:00,0.48,0.48,0.46,0.48,60379
ok,2024-01-02 18:30:00,0.47,0.5,0.47,0.5,171556
ok,2024-01-02 19:00:00,0.5,0.54,0.5,0.52,551717
ok,2024-01-02 19:30:00,0.52,0.54,0.52,0.54,470536
ok,2024-01-03 04:00:00,0.55,0.55,0.47,0.49,1233107
ok,2024-01-03 04:30:00,0.48,0.52,0.48,0.5,602784
ok,2024-01-03 05:00:00,0.5,0.5,0.45,0.46,473871
ok,2024-01-03 05:30:00,0.46,0.48,0.46,0.47,149207
ok,2024-01-03 06:00:00,0.47,0.49,0.46,0.46,224696
ok,2024-01-03 06:30:00,0.46,0.47,0.46,0.46,199476
ok,2024-01-03 07:00:00,0.47,0.49,0.46,0.46,261113
ok,2024-01-03 07:30:00,0.46,0.46,0.38,0.43,919900
ok,2024-01-03 08:00:00,0.46,0.56,0.39,0.41,1279558
ok,2024-01-03 08:30:00,0.41,0.44,0.29,0.35,2372303
ok,2024-01-03 09:00:00,0.35,0.35,0.3,0.32,1306401
ok,2024-01-03 09:30:00,0.32,0.35,0.31,0.31,2706368
ok,2024-01-03 10:00:00,0.31,0.32,0.27,0.3,2261122
ok,2024-01-03 10:30:00,0.3,0.3,0.26,0.27,1465253
ok,2024-01-03 11:00:00,0.27,0.3,0.27,0.29,840873
ok,2024-01-03 11:30:00,0.29,0.3,0.28,0.29,629657
ok,2024-01-03 12:00:00,0.29,0.29,0.28,0.28,508388
ok,2024-01-03 12:30:00,0.28,0.29,0.27,0.28,474805
ok,2024-01-03 13:00:00,0.28,0.28,0.27,0.28,449030
ok,2024-01-03 13:30:00,0.28,0.28,0.27,0.28,377518
ok,2024-01-03 14:00:00,0.28,0.28,0.27,0.28,326534
ok,2024-01-03 14:30:00,0.28,0.32,0.28,0.32,882078
ok,2024-01-03 15:00:00,0.32,0.32,0.3,0.3,416292
ok,2024-01-03 15:30:00,0.3,0.31,0.3,0.3,586623
ok,2024-01-03 16:00:00,0.3,0.32,0.28,0.29,273621
ok,2024-01-03 16:30:00,0.29,0.3,0.28,0.28,98083
ok,2024-01-03 17:00:00,0.29,0.29,0.27,0.28,134855
ok,2024-01-03 17:30:00,0.28,0.28,0.27,0.28,71814
ok,2024-01-03 18:00:00,0.28,0.29,0.28,0.29,57837
ok,2024-01-03 18:30:00,0.29,0.3,0.28,0.29,34064
ok,2024-01-03 19:00:00,0.29,0.3,0.28,0.29,49997
ok,2024-01-03 19:30:00,0.29,0.29,0.28,0.28,54192
ok,2024-01-04 04:00:00,0.29,0.29,0.26,0.27,245106
ok,2024-01-04 04:30:00,0.26,0.27,0.25,0.25,140117
ok,2024-01-04 05:00:00,0.25,0.26,0.24,0.26,247581
ok,2024-01-04 05:30:00,0.25,0.26,0.25,0.26,55900
ok,2024-01-04 06:00:00,0.26,0.26,0.25,0.25,42866
ok,2024-01-04 06:30:00,0.25,0.26,0.25,0.25,62045
