s,t,o,h,l,c,v
ok,2024-01-09 10:30:00,10.0,10.0,9.0,9.0,80415
ok,2024-01-09 11:00:00,7.2,11.8,7.2,10.87,252523
ok,2024-01-09 11:30:00,10.87,11.53,8.22,8.22,312425
ok,2024-01-09 12:00:00,8.2,9.84,7.96,9.01,144227
ok,2024-01-09 12:30:00,9.34,10.69,9.0,9.69,116612
ok,2024-01-09 13:00:00,9.69,9.69,7.0,7.05,124705
ok,2024-01-09 13:30:00,7.06,7.06,5.01,5.43,287905
ok,2024-01-09 14:00:00,5.45,6.78,5.39,6.78,460186
ok,2024-01-09 14:30:00,6.79,6.79,4.66,5.0,499910
ok,2024-01-09 15:00:00,5.01,5.35,4.1,4.1,445003
ok,2024-01-09 15:30:00,3.3,3.48,2.97,2.97,123232
ok,2024-01-09 16:00:00,2.95,3.0,2.18,2.3,679373
ok,2024-01-09 16:30:00,2.3,2.39,2.15,2.19,155647
ok,2024-01-09 17:00:00,2.19,2.19,1.88,1.98,257257
ok,2024-01-09 17:30:00,1.99,2.1,1.89,1.94,172499
ok,2024-01-09 18:00:00,1.94,2.06,1.89,2.0,168796
ok,2024-01-09 18:30:00,2.01,2.09,1.94,2.05,85179
ok,2024-01-09 19:00:00,2.06,2.19,2.02,2.1,89389
ok,2024-01-09 19:30:00,2.11,2.15,2.05,2.13,68776
ok,2024-01-10 04:00:00,2.34,2.34,2.05,2.14,58791
ok,2024-01-10 04:30:00,2.18,2.19,2.06,2.08,16764
ok,2024-01-10 05:00:00,2.08,2.09,1.92,2.01,42555
ok,2024-01-10 05:30:00,2.04,2.16,2.04,2.16,9642
ok,2024-01-10 06:00:00,2.16,2.25,2.15,2.15,111881
ok,2024-01-10 06:30:00,2.16,2.39,2.13,2.3,56846
ok,2024-01-10 07:00:00,2.3,2.4,2.17,2.38,147189
ok,2024-01-10 07:30:00,2.38,2.49,2.28,2.36,76362
ok,2024-01-10 08:00:00,2.26,2.5,2.17,2.26,113666
ok,2024-01-10 08:30:00,2.27,2.38,2.25,2.33,68478
ok,2024-01-10 09:00:00,2.3,2.46,2.27,2.41,65932
ok,2024-01-10 09:30:00,2.43,2.74,2.32,2.43,580249
ok,2024-01-10 10:00:00,2.42,2.59,2.3,2.57,321551
ok,2024-01-10 10:30:00,2.56,4.1,2.52,3.8,1508314
