s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,1.43,1.43,1.43,1.43,100
ok,2024-01-02 09:30:00,1.56,1.56,1.56,1.56,248
ok,2024-01-02 10:00:00,1.52,1.52,1.43,1.43,2898
ok,2024-01-02 10:30:00,1.45,1.45,1.39,1.39,8102
ok,2024-01-02 11:00:00,1.39,1.39,1.39,1.39,204
ok,2024-01-02 11:30:00,1.37,1.38,1.37,1.38,250
ok,2024-01-02 12:00:00,1.37,1.37,1.31,1.31,1778
ok,2024-01-02 12:30:00,1.32,1.38,1.3,1.35,7202
ok,2024-01-02 14:30:00,1.3,1.3,1.3,1.3,235
ok,2024-01-02 15:00:00,1.3,1.3,1.23,1.3,4853
ok,2024-01-02 15:30:00,1.25,1.28,1.25,1.25,1735
ok,2024-01-03 05:00:00,1.96,2.37,1.48,1.6,127584
ok,2024-01-03 05:30:00,1.59,1.7,1.4,1.43,111581
ok,2024-01-03 06:00:00,1.43,1.48,1.32,1.35,41521
ok,2024-01-03 06:30:00,1.35,1.41,1.29,1.34,13952
ok,2024-01-03 07:00:00,1.32,1.32,1.11,1.2,28535
ok,2024-01-03 07:30:00,1.19,1.21,1.05,1.17,12301
ok,2024-01-03 08:00:00,1.14,1.26,1.05,1.17,9480
ok,2024-01-03 08:30:00,1.18,1.18,1.17,1.18,1967
ok,2024-01-03 09:00:00,1.19,1.23,1.17,1.17,10489
ok,2024-01-03 09:30:00,1.2,1.2,1.09,1.09,23577
ok,2024-01-03 10:00:00,1.13,1.16,1.06,1.1,22053
ok,2024-01-03 10:30:00,1.1,1.1,1.06,1.1,6657
ok,2024-01-03 11:00:00,1.08,1.18,1.05,1.05,13529
ok,2024-01-03 11:30:00,1.06,1.12,1.05,1.07,6576
ok,2024-01-03 12:00:00,1.06,1.09,1.06,1.09,3873
ok,2024-01-03 12:30:00,1.09,1.09,1.08,1.09,2900
ok,2024-01-03 13:00:00,1.09,1.09,1.06,1.09,12495
ok,2024-01-03 13:30:00,1.1,1.1,1.07,1.07,3596
ok,2024-01-03 14:00:00,1.07,1.07,1.06,1.06,3801
ok,2024-01-03 14:30:00,1.06,1.07,1.06,1.07,4336
ok,2024-01-03 15:00:00,1.14,1.14,1.06,1.08,1317
ok,2024-01-03 15:30:00,1.08,1.18,1.08,1.15,7847
ok,2024-01-03 16:00:00,1.08,1.08,1.08,1.08,119
ok,2024-01-03 16:30:00,1.08,1.08,1.08,1.08,100
ok,2024-01-04 04:00:00,1.11,1.11,1.1,1.1,345
ok,2024-01-04 04:30:00,1.09,1.1,1.07,1.1,667
ok,2024-01-04 05:00:00,1.1,1.1,0.72,0.94,1034
ok,2024-01-04 05:30:00,0.9,1.1,0.9,1.1,2343
ok,2024-01-04 06:00:00,0.98,0.98,0.98,0.98,157
ok,2024-01-04 07:00:00,1.06,1.06,1.06,1.06,100
ok,2024-01-04 08:00:00,1.06,1.08,1.03,1.03,2520
