s,t,o,h,l,c,v
ok,2024-06-21 07:00:00,4.61,4.61,4.61,4.61,110
ok,2024-06-21 08:30:00,4.86,4.94,4.67,4.77,14675
ok,2024-06-21 09:00:00,4.82,5.15,4.79,5.02,30165
ok,2024-06-21 09:30:00,5.02,5.14,5.02,5.08,5585
ok,2024-06-21 10:00:00,5.11,5.35,5.07,5.24,13344
ok,2024-06-21 10:30:00,5.25,5.34,5.14,5.14,6506
ok,2024-06-21 11:00:00,5.0,5.1,4.99,5.05,4978
ok,2024-06-21 11:30:00,5.05,5.14,5.05,5.1,619
ok,2024-06-21 12:00:00,5.04,5.08,4.99,5.0,3177
ok,2024-06-21 12:30:00,4.96,4.96,4.96,4.96,330
ok,2024-06-21 13:00:00,4.96,5.03,4.96,5.03,1855
ok,2024-06-21 14:00:00,5.05,5.08,4.93,4.99,2431
ok,2024-06-21 14:30:00,5.01,5.09,4.79,5.04,9628
