s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,2.25,2.25,2.25,2.25,350
ok,2024-01-02 08:30:00,2.25,2.25,2.25,2.25,695
ok,2024-01-02 09:00:00,2.25,2.25,2.25,2.25,100
ok,2024-01-02 09:30:00,2.25,2.25,2.17,2.25,1643
ok,2024-01-02 10:00:00,2.21,2.24,2.17,2.21,4530
ok,2024-01-02 10:30:00,2.21,2.22,2.21,2.22,300
ok,2024-01-02 11:00:00,2.22,2.25,2.22,2.23,1200
ok,2024-01-02 12:00:00,2.21,2.21,2.18,2.18,1075
ok,2024-01-02 12:30:00,2.18,2.18,2.18,2.18,528
ok,2024-01-02 13:00:00,2.16,2.19,2.16,2.19,400
ok,2024-01-02 13:30:00,2.16,2.19,2.16,2.18,300
ok,2024-01-02 14:00:00,2.17,2.19,2.16,2.19,1100
ok,2024-01-02 14:30:00,2.17,2.18,2.16,2.18,590
ok,2024-01-02 15:00:00,2.16,2.18,2.16,2.17,487
ok,2024-01-02 15:30:00,2.16,2.16,2.08,2.15,6714
ok,2024-01-03 09:30:00,2.07,2.16,2.04,2.15,10491
ok,2024-01-03 10:00:00,2.15,2.18,2.13,2.18,3980
ok,2024-01-03 10:30:00,2.15,2.15,2.09,2.14,1293
ok,2024-01-03 11:00:00,2.1,2.16,2.04,2.14,3943
ok,2024-01-03 11:30:00,2.18,2.18,2.18,2.18,100
ok,2024-01-03 12:00:00,2.18,2.18,2.17,2.17,4100
ok,2024-01-03 12:30:00,2.15,2.15,2.13,2.13,900
ok,2024-01-03 13:00:00,2.12,2.13,2.12,2.12,415
ok,2024-01-03 13:30:00,2.14,2.17,2.14,2.17,300
ok,2024-01-03 14:00:00,2.17,2.31,2.17,2.25,5459
ok,2024-01-03 14:30:00,2.26,2.26,2.15,2.24,7924
ok,2024-01-03 15:00:00,2.24,2.25,2.24,2.25,1300
ok,2024-01-03 15:30:00,2.22,2.25,2.2,2.23,8545
ok,2024-01-04 09:30:00,2.25,2.25,2.22,2.25,700
ok,2024-01-04 10:00:00,2.19,2.23,2.19,2.23,300
ok,2024-01-04 10:30:00,2.18,2.2,2.18,2.2,300
ok,2024-01-04 11:00:00,2.17,2.19,2.17,2.19,200
ok,2024-01-04 11:30:00,2.16,2.16,2.08,2.15,3103
ok,2024-01-04 12:00:00,2.12,2.14,2.1,2.11,4600
ok,2024-01-04 12:30:00,2.14,2.14,2.06,2.11,3538
ok,2024-01-04 13:00:00,2.07,2.07,2.07,2.07,100
ok,2024-01-04 13:30:00,2.08,2.14,2.07,2.14,578
ok,2024-01-04 14:00:00,2.07,2.13,2.04,2.12,1011
ok,2024-01-04 14:30:00,2.03,2.11,2.0,2.04,9530
ok,2024-01-04 15:00:00,2.01,2.08,1.97,2.01,11710
ok,2024-01-04 15:30:00,2.0,2.07,1.97,2.05,5485
ok,2024-01-04 19:30:00,2.01,2.01,2.01,2.01,115
ok,2024-01-05 09:30:00,2.0,2.09,1.98,2.09,2826
ok,2024-01-05 10:00:00,2.08,2.08,2.08,2.08,100
ok,2024-01-05 10:30:00,2.04,2.04,2.02,2.02,300
ok,2024-01-05 11:00:00,2.01,2.02,1.98,2.02,3669
