s,t,o,h,l,c,v
ok,2024-02-16 04:00:00,6.45,6.73,4.19,4.19,6418
ok,2024-02-16 04:30:00,4.0,4.19,3.75,4.0,2244
ok,2024-02-16 05:00:00,3.88,4.19,3.88,4.09,1599
ok,2024-02-16 06:30:00,4.0,4.0,4.0,4.0,100
ok,2024-02-16 07:00:00,4.0,4.09,4.0,4.0,883
ok,2024-02-16 07:30:00,4.19,4.29,3.9,3.9,1781
ok,2024-02-16 08:00:00,4.34,4.34,4.05,4.15,541
ok,2024-02-16 08:30:00,4.34,4.34,3.88,3.88,2263
ok,2024-02-16 09:30:00,4.0,4.39,2.99,3.19,121840
ok,2024-02-16 10:00:00,3.16,3.2,2.55,2.58,111583
ok,2024-02-16 10:30:00,2.6,2.72,2.48,2.51,34869
ok,2024-02-16 11:00:00,2.51,2.6,2.49,2.49,11687
ok,2024-02-16 11:30:00,2.51,2.52,2.14,2.16,39559
ok,2024-02-16 12:00:00,2.33,2.35,2.21,2.34,14829
ok,2024-02-16 12:30:00,2.35,2.51,2.34,2.38,14766
ok,2024-02-16 13:00:00,2.41,2.54,2.36,2.49,17666
ok,2024-02-16 13:30:00,2.44,2.49,2.36,2.44,6592
ok,2024-02-16 14:00:00,2.45,2.45,2.26,2.4,9400
ok,2024-02-16 14:30:00,2.39,2.4,2.25,2.31,8185
ok,2024-02-16 15:00:00,2.35,2.36,2.25,2.27,31550
ok,2024-02-16 15:30:00,2.29,2.53,2.23,2.53,60784
ok,2024-02-16 16:00:00,2.53,2.79,2.49,2.53,25611
ok,2024-02-16 16:30:00,2.5,2.56,2.4,2.56,3237
ok,2024-02-16 17:00:00,2.5,2.5,2.42,2.45,6648
ok,2024-02-16 17:30:00,2.43,2.48,2.4,2.4,3461
ok,2024-02-16 18:00:00,2.4,2.45,2.4,2.42,3561
ok,2024-02-16 18:30:00,2.45,2.45,2.42,2.42,1225
ok,2024-02-16 19:00:00,2.42,2.54,2.42,2.52,1356
ok,2024-02-16 19:30:00,2.52,2.52,2.36,2.36,9178
ok,2024-02-20 04:00:00,2.45,3.27,2.41,2.42,18186
