s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,0.53,0.53,0.52,0.52,425
ok,2024-01-02 07:00:00,0.51,0.51,0.51,0.51,100
ok,2024-01-02 07:30:00,0.51,0.51,0.51,0.51,200
ok,2024-01-02 09:00:00,0.52,0.54,0.52,0.54,2116
ok,2024-01-02 09:30:00,0.54,0.54,0.54,0.54,3477
ok,2024-01-02 10:30:00,0.55,0.55,0.55,0.55,418
ok,2024-01-02 11:00:00,0.54,0.54,0.54,0.54,465
ok,2024-01-02 11:30:00,0.55,0.55,0.55,0.55,244
ok,2024-01-02 12:00:00,0.55,0.55,0.55,0.55,100
ok,2024-01-02 12:30:00,0.54,0.54,0.54,0.54,100
ok,2024-01-02 13:30:00,0.55,0.55,0.55,0.55,525
ok,2024-01-02 14:30:00,0.55,0.55,0.55,0.55,730
ok,2024-01-02 15:30:00,0.56,0.56,0.56,0.56,2436
ok,2024-01-02 16:30:00,0.56,0.56,0.56,0.56,149
ok,2024-01-03 04:00:00,0.55,0.55,0.55,0.55,300
ok,2024-01-03 09:00:00,0.53,0.56,0.53,0.56,917
ok,2024-01-03 09:30:00,0.58,0.58,0.54,0.54,3346
ok,2024-01-03 10:30:00,0.55,0.55,0.55,0.55,100
ok,2024-01-03 11:00:00,0.54,0.54,0.54,0.54,5105
ok,2024-01-03 11:30:00,0.54,0.54,0.52,0.54,5000
ok,2024-01-03 14:00:00,0.58,0.58,0.58,0.58,1335
ok,2024-01-03 14:30:00,0.58,0.58,0.58,0.58,2250
ok,2024-01-03 15:30:00,0.57,0.58,0.57,0.58,3867
ok,2024-01-03 16:30:00,0.55,0.55,0.54,0.55,4259
ok,2024-01-03 17:30:00,0.55,0.55,0.55,0.55,500
ok,2024-01-04 06:30:00,0.55,0.55,0.55,0.55,100
ok,2024-01-04 09:30:00,0.53,0.54,0.53,0.53,3371
ok,2024-01-04 10:00:00,0.53,0.54,0.53,0.54,485
ok,2024-01-04 10:30:00,0.55,0.55,0.47,0.47,8212
ok,2024-01-04 11:00:00,0.52,0.54,0.52,0.53,4300
ok,2024-01-04 11:30:00,0.54,0.56,0.54,0.56,8600
ok,2024-01-04 12:00:00,0.52,0.52,0.52,0.52,150
ok,2024-01-04 13:00:00,0.56,0.56,0.56,0.56,662
ok,2024-01-04 13:30:00,0.53,0.54,0.53,0.54,3370
ok,2024-01-04 14:00:00,0.56,0.56,0.56,0.56,2824
ok,2024-01-04 15:00:00,0.53,0.53,0.53,0.53,1700
ok,2024-01-05 08:30:00,0.55,0.55,0.55,0.55,150
ok,2024-01-05 09:00:00,0.56,0.56,0.56,0.56,350
ok,2024-01-05 09:30:00,0.56,0.58,0.56,0.56,4897
ok,2024-01-05 10:00:00,0.57,0.58,0.56,0.58,1063
ok,2024-01-05 10:30:00,0.57,0.58,0.56,0.56,1823
ok,2024-01-05 11:00:00,0.57,0.57,0.57,0.57,247
ok,2024-01-05 11:30:00,0.56,0.58,0.56,0.56,8782
ok,2024-01-05 12:00:00,0.56,0.56,0.56,0.56,231
ok,2024-01-05 12:30:00,0.56,0.56,0.56,0.56,2661
ok,2024-01-05 13:00:00,0.57,0.58,0.57,0.57,1368
ok,2024-01-05 13:30:00,0.57,0.58,0.57,0.57,12564
ok,2024-01-05 14:00:00,0.58,0.58,0.57,0.58,2884
ok,2024-01-05 14:30:00,0.58,0.58,0.57,0.57,1600
ok,2024-01-05 15:00:00,0.57,0.57,0.57,0.57,623
ok,2024-01-05 15:30:00,0.57,0.58,0.57,0.57,8783
ok,2024-01-05 17:00:00,0.58,0.58,0.58,0.58,100
ok,2024-01-08 09:00:00,0.58,0.58,0.58,0.58,100
ok,2024-01-08 09:30:00,0.58,0.59,0.58,0.58,1966
ok,2024-01-08 10:00:00,0.57,0.58,0.57,0.57,1395
ok,2024-01-08 10:30:00,0.57,0.57,0.57,0.57,1277
ok,2024-01-08 11:00:00,0.58,0.58,0.58,0.58,156
ok,2024-01-08 11:30:00,0.59,0.59,0.59,0.59,104
ok,2024-01-08 12:00:00,0.57,0.57,0.57,0.57,451
ok,2024-01-08 13:00:00,0.58,0.58,0.58,0.58,100
ok,2024-01-08 13:30:00,0.58,0.58,0.57,0.57,8476
ok,2024-01-08 14:00:00,0.57,0.59,0.57,0.59,8133
ok,2024-01-08 14:30:00,0.57,0.57,0.57,0.57,500
ok,2024-01-08 15:30:00,0.57,0.57,0.57,0.57,255
ok,2024-01-08 19:30:00,0.59,0.59,0.59,0.59,173
ok,2024-01-09 09:30:00,0.59,0.59,0.59,0.59,3745
ok,2024-01-09 10:00:00,0.59,0.59,0.59,0.59,131
ok,2024-01-09 10:30:00,0.59,0.59,0.57,0.57,3900
ok,2024-01-09 11:00:00,0.58,0.58,0.57,0.57,2600
ok,2024-01-09 11:30:00,0.59,0.59,0.59,0.59,340
ok,2024-01-09 12:00:00,0.58,0.58,0.58,0.58,900
ok,2024-01-09 13:00:00,0.56,0.56,0.56,0.56,100
ok,2024-01-09 14:00:00,0.58,0.58,0.58,0.58,1000
ok,2024-01-09 14:30:00,0.58,0.58,0.58,0.58,100
ok,2024-01-09 15:00:00,0.58,0.58,0.56,0.56,859
ok,2024-01-09 15:30:00,0.56,0.56,0.56,0.56,603
ok,2024-01-10 09:00:00,0.59,0.59,0.59,0.59,170
ok,2024-01-10 09:30:00,0.59,0.59,0.59,0.59,2493
ok,2024-01-10 10:00:00,0.59,0.59,0.58,0.58,535
ok,2024-01-10 10:30:00,0.57,0.59,0.57,0.59,20900
ok,2024-01-10 11:00:00,0.56,0.58,0.49,0.56,21400
ok,2024-01-10 11:30:00,0.54,0.54,0.54,0.54,898
ok,2024-01-10 12:00:00,0.57,0.57,0.54,0.54,788
ok,2024-01-10 13:00:00,0.54,0.54,0.54,0.54,100
ok,2024-01-10 14:00:00,0.57,0.57,0.57,0.57,576
ok,2024-01-10 14:30:00,0.56,0.56,0.56,0.56,200
ok,2024-01-10 15:30:00,0.57,0.57,0.57,0.57,194
ok,2024-01-10 16:00:00,0.55,0.55,0.55,0.55,100
ok,2024-01-10 17:30:00,0.54,0.54,0.48,0.52,7166
ok,2024-01-11 04:00:00,0.53,0.54,0.53,0.54,211
ok,2024-01-11 09:30:00,0.53,0.53,0.5,0.52,4202
ok,2024-01-11 10:00:00,0.53,0.53,0.53,0.53,381
ok,2024-01-11 12:30:00,0.53,0.53,0.52,0.52,4004
ok,2024-01-11 13:00:00,0.52,0.52,0.52,0.52,770
ok,2024-01-11 13:30:00,0.52,0.53,0.52,0.53,4950
ok,2024-01-11 14:00:00,0.52,0.52,0.5,0.5,8241
ok,2024-01-11 14:30:00,0.52,0.52,0.5,0.5,838
ok,2024-01-11 15:00:00,0.52,0.52,0.52,0.52,2500
ok,2024-01-11 15:30:00,0.52,0.53,0.52,0.52,3805
ok,2024-01-12 06:30:00,0.52,0.52,0.52,0.52,190
ok,2024-01-12 09:30:00,0.51,0.53,0.51,0.53,301
ok,2024-01-12 11:30:00,0.52,0.52,0.52,0.52,103
ok,2024-01-12 13:00:00,0.52,0.52,0.52,0.52,100
ok,2024-01-12 15:00:00,0.52,0.52,0.52,0.52,4000
ok,2024-01-12 15:30:00,0.52,0.52,0.52,0.52,310
ok,2024-01-16 09:30:00,0.53,0.53,0.52,0.52,1591
ok,2024-01-16 10:30:00,0.52,0.53,0.52,0.53,2750
ok,2024-01-16 11:00:00,0.52,0.52,0.52,0.52,2484
ok,2024-01-16 11:30:00,0.52,0.52,0.52,0.52,100
ok,2024-01-16 12:30:00,0.52,0.52,0.52,0.52,200
ok,2024-01-16 13:00:00,0.52,0.52,0.52,0.52,100
ok,2024-01-16 13:30:00,0.52,0.52,0.52,0.52,2077
ok,2024-01-16 14:00:00,0.52,0.52,0.52,0.52,1102
ok,2024-01-16 14:30:00,0.52,0.52,0.52,0.52,2441
ok,2024-01-16 15:00:00,0.53,0.53,0.53,0.53,102
ok,2024-01-16 15:30:00,0.54,0.54,0.54,0.54,200
ok,2024-01-17 04:00:00,0.53,0.53,0.53,0.53,300
ok,2024-01-17 09:30:00,0.53,0.53,0.53,0.53,711
ok,2024-01-17 12:30:00,0.53,0.54,0.53,0.53,5080
ok,2024-01-17 13:00:00,0.54,0.54,0.54,0.54,100
