s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,5.35,5.85,5.18,5.18,10136
ok,2024-01-02 10:00:00,5.26,5.32,5.22,5.31,2692
ok,2024-01-02 10:30:00,5.32,5.32,4.76,4.76,38049
ok,2024-01-02 11:00:00,4.78,4.9,4.76,4.87,13456
ok,2024-01-02 11:30:00,4.9,4.94,4.86,4.93,7683
ok,2024-01-02 12:00:00,4.93,5.05,4.92,4.94,4945
ok,2024-01-02 12:30:00,4.99,5.0,4.99,5.0,553
ok,2024-01-02 13:00:00,5.03,5.03,4.81,4.84,6599
ok,2024-01-02 13:30:00,4.81,4.84,4.8,4.84,3760
ok,2024-01-02 14:00:00,4.84,4.89,4.81,4.89,2925
ok,2024-01-02 14:30:00,4.84,4.99,4.84,4.99,3748
ok,2024-01-02 15:00:00,5.04,5.04,5.04,5.04,100
ok,2024-01-02 15:30:00,4.95,5.38,4.95,5.29,10624
ok,2024-01-03 09:00:00,5.11,5.11,5.11,5.11,500
ok,2024-01-03 09:30:00,5.19,5.25,5.18,5.21,1443
ok,2024-01-03 10:00:00,5.12,5.19,5.01,5.16,9080
ok,2024-01-03 10:30:00,5.06,5.21,5.06,5.08,4824
ok,2024-01-03 11:00:00,5.08,5.17,5.08,5.17,2617
ok,2024-01-03 11:30:00,5.15,5.22,5.13,5.18,917
ok,2024-01-03 12:00:00,5.22,5.26,5.22,5.26,1280
ok,2024-01-03 12:30:00,5.28,5.28,5.28,5.28,100
ok,2024-01-03 13:00:00,5.3,5.4,5.3,5.4,1005
ok,2024-01-03 13:30:00,5.2,5.28,5.2,5.22,1220
ok,2024-01-03 14:00:00,5.33,5.33,5.33,5.33,200
ok,2024-01-03 14:30:00,5.28,5.29,5.28,5.29,438
ok,2024-01-03 15:00:00,5.29,5.29,5.23,5.23,831
ok,2024-01-03 15:30:00,5.23,5.36,5.22,5.27,13432
ok,2024-01-04 09:30:00,5.24,5.26,5.14,5.2,1260
ok,2024-01-04 10:00:00,5.12,5.12,5.0,5.0,13175
ok,2024-01-04 10:30:00,4.97,4.98,4.77,4.89,5151
ok,2024-01-04 11:00:00,4.88,5.2,4.84,5.2,6025
ok,2024-01-04 11:30:00,5.04,5.1,5.04,5.1,300
ok,2024-01-04 12:00:00,5.09,5.2,4.99,4.99,4926
ok,2024-01-04 12:30:00,4.99,5.04,4.92,5.04,3919
ok,2024-01-04 13:00:00,5.01,5.29,5.0,5.16,2123
ok,2024-01-04 13:30:00,5.18,5.19,5.18,5.18,540
ok,2024-01-04 14:00:00,5.3,5.3,5.04,5.04,2591
ok,2024-01-04 14:30:00,5.02,5.1,4.92,5.1,1836
ok,2024-01-04 15:00:00,5.14,5.15,5.03,5.1,5755
ok,2024-01-04 15:30:00,5.03,5.2,5.0,5.07,9731
ok,2024-01-05 09:30:00,5.0,5.0,4.76,4.95,10505
ok,2024-01-05 10:00:00,4.97,5.1,4.9,4.91,12460
ok,2024-01-05 10:30:00,4.93,4.94,4.86,4.94,1007
ok,2024-01-05 11:00:00,4.97,4.99,4.97,4.99,201
ok,2024-01-05 11:30:00,4.95,4.95,4.95,4.95,10023
ok,2024-01-05 12:00:00,4.9,4.91,4.86,4.86,3867
ok,2024-01-05 12:30:00,4.86,4.91,4.81,4.91,13224
ok,2024-01-05 13:00:00,4.96,4.96,4.84,4.84,2129
ok,2024-01-05 13:30:00,4.88,4.92,4.83,4.83,533
ok,2024-01-05 14:00:00,4.88,5.07,4.88,5.07,1944
ok,2024-01-05 14:30:00,4.98,5.09,4.98,5.09,645
ok,2024-01-05 15:00:00,4.99,4.99,4.88,4.9,17255
ok,2024-01-05 15:30:00,4.9,4.9,4.76,4.79,12073
ok,2024-01-08 09:30:00,4.75,4.9,4.71,4.79,3139
ok,2024-01-08 10:00:00,4.84,4.85,4.75,4.84,1364
ok,2024-01-08 10:30:00,4.77,4.84,4.77,4.84,1018
ok,2024-01-08 11:00:00,4.74,4.74,4.73,4.73,814
ok,2024-01-08 11:30:00,4.74,4.85,4.73,4.83,6733
ok,2024-01-08 12:00:00,4.78,4.8,4.77,4.8,1189
ok,2024-01-08 12:30:00,4.81,4.85,4.81,4.85,675
ok,2024-01-08 13:00:00,4.78,4.78,4.78,4.78,139
ok,2024-01-08 13:30:00,4.78,4.78,4.78,4.78,516
ok,2024-01-08 14:00:00,4.85,4.85,4.75,4.77,10616
ok,2024-01-08 14:30:00,4.79,5.01,4.79,5.01,7073
ok,2024-01-08 15:00:00,5.04,5.07,4.88,4.88,3452
ok,2024-01-08 15:30:00,4.99,5.15,4.99,5.15,10991
ok,2024-01-09 09:30:00,5.12,5.37,5.12,5.26,4230
ok,2024-01-09 10:00:00,5.31,5.75,5.3,5.4,10891
ok,2024-01-09 10:30:00,5.37,5.37,5.18,5.2,1529
ok,2024-01-09 11:00:00,5.3,5.3,5.25,5.25,300
ok,2024-01-09 11:30:00,5.2,5.45,5.2,5.38,9741
ok,2024-01-09 12:00:00,5.46,5.46,5.3,5.38,8578
ok,2024-01-09 12:30:00,5.36,5.36,5.31,5.36,418
ok,2024-01-09 13:00:00,5.35,5.35,5.35,5.35,1100
ok,2024-01-09 13:30:00,5.4,5.8,5.4,5.67,18135
ok,2024-01-09 14:00:00,5.68,5.8,5.56,5.62,8910
ok,2024-01-09 14:30:00,5.63,5.68,5.48,5.55,6886
ok,2024-01-09 15:00:00,5.52,5.52,5.34,5.4,3104
ok,2024-01-09 15:30:00,5.38,5.6,5.38,5.55,8300
ok,2024-01-10 06:30:00,5.3,5.33,5.3,5.33,706
ok,2024-01-10 08:30:00,5.8,5.8,5.8,5.8,445
ok,2024-01-10 09:30:00,5.57,5.68,5.57,5.61,6621
ok,2024-01-10 10:00:00,5.5,5.55,5.27,5.41,8324
ok,2024-01-10 10:30:00,5.35,5.5,5.31,5.31,6312
ok,2024-01-10 11:00:00,5.42,5.43,5.42,5.43,262
ok,2024-01-10 11:30:00,5.43,5.45,5.41,5.45,644
ok,2024-01-10 12:00:00,5.51,5.51,5.37,5.44,2548
ok,2024-01-10 12:30:00,5.41,5.41,5.41,5.41,125
ok,2024-01-10 13:00:00,5.4,5.46,5.39,5.46,693
ok,2024-01-10 13:30:00,5.52,5.52,5.52,5.52,390
ok,2024-01-10 14:00:00,5.41,5.41,5.39,5.4,1117
ok,2024-01-10 14:30:00,5.44,5.54,5.41,5.54,941
ok,2024-01-10 15:30:00,5.46,5.46,5.04,5.3,24127
ok,2024-01-10 16:00:00,5.33,5.33,5.33,5.33,1353
ok,2024-01-10 16:30:00,5.74,5.8,5.74,5.8,809
ok,2024-01-10 17:00:00,5.7,5.7,5.7,5.7,199
ok,2024-01-10 18:30:00,5.61,5.61,5.61,5.61,401
ok,2024-01-10 19:00:00,5.7,5.7,5.7,5.7,130
ok,2024-01-11 09:00:00,5.7,5.8,5.7,5.8,1842
ok,2024-01-11 09:30:00,5.87,6.55,5.8,6.38,77796
ok,2024-01-11 10:00:00,6.35,6.52,6.11,6.42,33483
ok,2024-01-11 10:30:00,6.49,6.8,6.4,6.7,36210
ok,2024-01-11 11:00:00,6.68,7.86,6.64,6.89,162765
ok,2024-01-11 11:30:00,6.86,7.3,6.65,7.09,123727
ok,2024-01-11 12:00:00,7.12,7.3,6.93,7.1,65480
ok,2024-01-11 12:30:00,7.12,7.12,6.89,6.95,25654
ok,2024-01-11 13:00:00,6.98,7.1,6.9,7.09,20285
ok,2024-01-11 13:30:00,7.04,7.31,7.04,7.3,51788
ok,2024-01-11 14:00:00,7.2,7.43,7.0,7.1,36369
ok,2024-01-11 14:30:00,7.04,7.2,7.04,7.1,28486
ok,2024-01-11 15:00:00,7.08,7.16,6.91,6.91,18863
ok,2024-01-11 15:30:00,6.91,7.14,6.71,7.13,58155
ok,2024-01-11 16:00:00,7.12,7.12,6.72,6.72,775
ok,2024-01-11 16:30:00,6.96,6.96,6.88,6.88,593
ok,2024-01-11 17:30:00,6.8,6.8,6.8,6.8,100
ok,2024-01-11 18:30:00,7.07,7.7,7.07,7.7,1400
ok,2024-01-11 19:00:00,7.35,7.6,7.35,7.6,2860
ok,2024-01-11 19:30:00,7.61,7.61,7.61,7.61,311
ok,2024-01-12 06:00:00,7.5,7.5,7.5,7.5,100
ok,2024-01-12 08:00:00,7.8,7.8,7.45,7.45,2662
ok,2024-01-12 08:30:00,7.12,7.12,7.12,7.12,325
ok,2024-01-12 09:00:00,7.01,7.42,7.01,7.42,402
ok,2024-01-12 09:30:00,7.34,7.86,7.14,7.68,84096
ok,2024-01-12 10:00:00,7.68,8.2,7.68,7.94,60539
ok,2024-01-12 10:30:00,7.91,8.21,7.68,7.68,26198
ok,2024-01-12 11:00:00,7.69,8.11,7.56,7.95,32371
ok,2024-01-12 11:30:00,7.98,8.12,7.68,8.0,24887
ok,2024-01-12 12:00:00,8.02,8.12,7.88,7.88,13956
ok,2024-01-12 12:30:00,8.0,8.38,7.93,8.31,37765
