s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,1.64,2.2,1.5,1.6,275021
ok,2024-01-02 04:30:00,1.6,1.65,1.49,1.56,146205
ok,2024-01-02 05:00:00,1.55,1.64,1.51,1.58,89242
ok,2024-01-02 05:30:00,1.58,1.85,1.56,1.74,512215
ok,2024-01-02 06:00:00,1.73,1.77,1.53,1.54,471269
ok,2024-01-02 06:30:00,1.56,1.71,1.31,1.45,776117
ok,2024-01-02 07:00:00,1.45,1.55,1.4,1.55,439063
ok,2024-01-02 07:30:00,1.54,1.54,1.43,1.48,286092
ok,2024-01-02 08:00:00,1.5,1.89,1.4,1.49,816461
ok,2024-01-02 08:30:00,1.49,1.53,1.43,1.52,326385
ok,2024-01-02 09:00:00,1.52,1.55,1.44,1.52,455189
ok,2024-01-02 09:30:00,1.5,1.53,1.04,1.06,2867766
ok,2024-01-02 10:00:00,1.06,1.1,0.95,0.97,963079
ok,2024-01-02 10:30:00,0.97,0.97,0.88,0.91,467074
ok,2024-01-02 11:00:00,0.91,0.95,0.9,0.94,148453
ok,2024-01-02 11:30:00,0.94,1.01,0.88,1.0,315147
ok,2024-01-02 12:00:00,0.99,1.0,0.98,0.99,34876
ok,2024-01-02 12:30:00,1.0,1.0,0.93,0.95,74436
ok,2024-01-02 13:00:00,0.97,0.99,0.95,0.96,28431
ok,2024-01-02 13:30:00,0.94,0.98,0.92,0.96,29084
ok,2024-01-02 14:00:00,0.97,0.98,0.95,0.98,17501
ok,2024-01-02 14:30:00,0.97,0.98,0.93,0.94,36940
ok,2024-01-02 15:00:00,0.95,1.05,0.93,1.04,176071
ok,2024-01-02 15:30:00,1.04,1.13,0.95,1.05,398881
ok,2024-01-02 16:00:00,1.08,1.13,1.05,1.05,24400
ok,2024-01-02 16:30:00,1.05,1.08,0.98,0.98,24839
ok,2024-01-02 17:00:00,1.0,1.04,0.95,0.97,11805
ok,2024-01-02 17:30:00,0.98,0.99,0.97,0.97,7207
ok,2024-01-02 18:00:00,0.97,0.98,0.97,0.98,2854
ok,2024-01-02 18:30:00,0.99,1.0,0.97,1.0,2681
ok,2024-01-02 19:30:00,1.01,1.11,1.0,1.0,17671
ok,2024-01-03 04:00:00,0.98,1.01,0.93,0.94,11942
ok,2024-01-03 04:30:00,0.99,1.04,0.95,0.99,2778
ok,2024-01-03 05:00:00,0.97,0.98,0.95,0.95,2816
ok,2024-01-03 06:00:00,0.95,0.95,0.95,0.95,1520
ok,2024-01-03 06:30:00,0.97,0.97,0.97,0.97,104
ok,2024-01-03 07:00:00,0.97,0.98,0.91,0.93,30396
ok,2024-01-03 07:30:00,0.94,0.96,0.91,0.93,9505
ok,2024-01-03 08:00:00,0.97,1.04,0.91,0.99,27521
ok,2024-01-03 08:30:00,1.0,1.05,0.98,0.99,6461
ok,2024-01-03 09:00:00,1.0,1.05,0.99,1.01,8460
ok,2024-01-03 09:30:00,0.98,1.16,0.85,0.94,173081
ok,2024-01-03 10:00:00,0.94,1.04,0.81,0.84,156327
ok,2024-01-03 10:30:00,0.84,0.9,0.83,0.88,66039
