s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,9.19,9.2,9.19,9.2,220
ok,2024-01-02 06:30:00,8.85,8.85,8.73,8.79,1348
ok,2024-01-02 07:00:00,8.79,8.85,8.56,8.64,1108
ok,2024-01-02 07:30:00,8.65,9.29,8.65,8.74,10863
ok,2024-01-02 08:00:00,8.68,8.73,8.41,8.51,5104
ok,2024-01-02 08:30:00,8.47,8.47,7.96,8.05,6124
ok,2024-01-02 09:00:00,8.41,8.41,8.41,8.41,113
ok,2024-01-02 09:30:00,8.66,8.72,7.43,7.6,47545
ok,2024-01-02 10:00:00,7.71,8.14,7.28,7.54,54619
ok,2024-01-02 10:30:00,7.55,7.55,7.12,7.19,40112
ok,2024-01-02 11:00:00,7.15,7.82,7.15,7.7,65954
ok,2024-01-02 11:30:00,7.75,8.21,7.5,7.62,139118
ok,2024-01-02 12:00:00,7.64,7.92,7.53,7.55,36666
ok,2024-01-02 12:30:00,7.54,7.66,7.5,7.64,4028
ok,2024-01-02 13:00:00,7.69,7.89,6.96,7.06,192504
ok,2024-01-02 13:30:00,7.22,7.28,7.1,7.2,7731
ok,2024-01-02 14:00:00,7.2,7.21,6.91,7.1,30275
ok,2024-01-02 14:30:00,7.0,7.49,6.96,7.06,35703
ok,2024-01-02 15:00:00,7.06,7.16,7.04,7.05,4575
ok,2024-01-02 15:30:00,7.04,7.17,6.93,6.97,39852
ok,2024-01-02 16:00:00,7.17,7.18,7.17,7.18,251
ok,2024-01-02 16:30:00,6.96,7.15,6.96,7.0,1676
ok,2024-01-02 17:00:00,7.0,7.0,6.97,6.97,282
ok,2024-01-02 18:00:00,7.01,7.01,7.01,7.01,638
ok,2024-01-02 18:30:00,7.04,7.04,7.04,7.04,437
ok,2024-01-03 04:00:00,7.0,7.0,6.97,6.98,558
ok,2024-01-03 04:30:00,7.09,7.09,7.09,7.09,175
ok,2024-01-03 05:30:00,7.08,7.08,7.08,7.08,123
ok,2024-01-03 06:30:00,6.86,6.86,6.86,6.86,100
ok,2024-01-03 07:00:00,6.9,6.9,6.9,6.9,353
ok,2024-01-03 07:30:00,6.8,6.8,6.8,6.8,101
ok,2024-01-03 08:00:00,6.82,7.0,6.73,6.75,3698
ok,2024-01-03 08:30:00,6.75,10.07,6.75,7.99,625722
ok,2024-01-03 09:00:00,7.88,8.15,7.6,7.82,99524
ok,2024-01-03 09:30:00,7.79,12.29,7.22,10.35,1997106
ok,2024-01-03 10:00:00,10.2,11.72,9.4,10.18,2094329
ok,2024-01-03 10:30:00,10.2,13.48,10.2,11.9,3721823
ok,2024-01-03 11:00:00,11.93,12.3,10.78,11.69,1507670
ok,2024-01-03 11:30:00,11.6,12.47,11.3,11.71,1126068
ok,2024-01-03 12:00:00,11.63,11.84,10.61,10.92,528844
ok,2024-01-03 12:30:00,10.95,12.32,10.86,11.25,626055
ok,2024-01-03 13:00:00,11.25,12.31,10.81,11.02,755948
ok,2024-01-03 13:30:00,11.1,11.3,10.04,10.52,214071
ok,2024-01-03 14:00:00,10.5,11.15,10.41,11.11,136349
ok,2024-01-03 14:30:00,11.11,11.91,11.1,11.53,425685
ok,2024-01-03 15:00:00,11.43,12.39,11.1,11.54,609382
ok,2024-01-03 15:30:00,11.54,12.15,10.9,11.59,566962
ok,2024-01-03 16:00:00,11.54,11.6,11.04,11.6,25016
ok,2024-01-03 16:30:00,11.5,11.6,11.3,11.4,8309
ok,2024-01-03 17:00:00,11.4,11.45,11.09,11.1,5326
ok,2024-01-03 17:30:00,11.2,11.2,11.11,11.15,5851
ok,2024-01-03 18:00:00,11.17,11.2,11.11,11.2,5564
ok,2024-01-03 18:30:00,11.2,11.2,11.18,11.2,3903
ok,2024-01-03 19:00:00,11.35,11.4,11.2,11.4,3168
ok,2024-01-03 19:30:00,11.41,11.5,11.2,11.4,2079
ok,2024-01-04 04:00:00,11.26,11.26,10.69,10.87,7327
ok,2024-01-04 04:30:00,10.83,10.83,10.64,10.64,1331
ok,2024-01-04 05:00:00,10.67,10.67,10.5,10.57,2099
ok,2024-01-04 05:30:00,10.66,10.67,10.59,10.6,2055
ok,2024-01-04 06:00:00,10.59,10.59,10.44,10.44,2408
ok,2024-01-04 06:30:00,10.53,10.59,10.48,10.57,5612
ok,2024-01-04 07:00:00,10.48,10.56,10.22,10.23,13128
ok,2024-01-04 07:30:00,10.12,10.2,10.09,10.2,934
ok,2024-01-04 08:00:00,10.46,11.37,10.02,10.47,17604
ok,2024-01-04 08:30:00,10.47,10.68,10.47,10.47,4245
ok,2024-01-04 09:00:00,10.47,11.05,10.41,11.05,10846
ok,2024-01-04 09:30:00,11.0,11.48,10.5,10.75,363064
ok,2024-01-04 10:00:00,10.77,10.95,10.5,10.84,74235
ok,2024-01-04 10:30:00,10.81,10.81,10.01,10.34,130579
ok,2024-01-04 11:00:00,10.35,12.0,10.35,11.16,291688
ok,2024-01-04 11:30:00,11.21,11.7,11.1,11.14,97582
ok,2024-01-04 12:00:00,11.16,11.75,11.16,11.62,93930
ok,2024-01-04 12:30:00,11.6,14.1,11.6,13.32,1507010
ok,2024-01-04 13:00:00,13.36,13.75,12.49,12.72,520051
ok,2024-01-04 13:30:00,12.73,13.05,11.75,11.94,318911
ok,2024-01-04 14:00:00,11.94,12.3,11.75,11.84,145510
ok,2024-01-04 14:30:00,11.92,12.36,11.84,12.21,120685
ok,2024-01-04 15:00:00,12.22,12.99,12.18,12.24,189244
ok,2024-01-04 15:30:00,12.29,12.62,12.02,12.04,90972
ok,2024-01-04 16:00:00,12.3,12.3,11.77,11.77,5113
ok,2024-01-04 16:30:00,11.81,11.9,11.6,11.9,3067
ok,2024-01-04 17:00:00,11.7,11.83,11.7,11.83,5302
ok,2024-01-04 17:30:00,11.83,11.83,11.7,11.7,1737
ok,2024-01-04 18:00:00,11.7,11.91,11.7,11.91,313
ok,2024-01-04 18:30:00,11.91,11.91,11.67,11.67,2059
ok,2024-01-04 19:00:00,11.89,11.92,11.89,11.92,213
ok,2024-01-04 19:30:00,11.67,11.94,11.67,11.78,853
ok,2024-01-05 04:30:00,12.24,12.3,12.24,12.3,278
ok,2024-01-05 05:00:00,12.29,12.29,12.29,12.29,146
ok,2024-01-05 06:00:00,11.46,11.46,11.46,11.46,173
ok,2024-01-05 06:30:00,11.78,11.79,11.78,11.79,290
ok,2024-01-05 07:00:00,11.79,11.79,11.52,11.52,696
ok,2024-01-05 07:30:00,11.85,11.85,11.85,11.85,100
ok,2024-01-05 08:00:00,12.18,12.29,11.67,11.73,4797
