s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,1.48,1.48,1.48,1.48,100
ok,2024-01-02 08:00:00,1.49,1.49,1.4,1.4,1994
ok,2024-01-02 09:30:00,1.49,1.49,1.42,1.44,3907
ok,2024-01-02 10:00:00,1.43,1.44,1.43,1.44,689
ok,2024-01-02 10:30:00,1.44,1.46,1.42,1.45,2553
ok,2024-01-02 11:00:00,1.46,1.48,1.45,1.45,7300
ok,2024-01-02 11:30:00,1.45,1.45,1.45,1.45,1102
ok,2024-01-02 12:00:00,1.46,1.46,1.45,1.46,391
ok,2024-01-02 12:30:00,1.47,1.47,1.47,1.47,656
ok,2024-01-02 13:00:00,1.47,1.47,1.46,1.46,3367
ok,2024-01-02 13:30:00,1.46,1.47,1.46,1.46,575
ok,2024-01-02 14:00:00,1.47,1.55,1.45,1.54,18386
ok,2024-01-02 14:30:00,1.51,1.55,1.45,1.55,10496
ok,2024-01-02 15:00:00,1.55,1.57,1.51,1.52,8072
ok,2024-01-02 15:30:00,1.54,1.57,1.52,1.52,4736
ok,2024-01-03 09:30:00,1.47,1.49,1.42,1.49,2135
ok,2024-01-03 10:00:00,1.46,1.48,1.46,1.48,328
ok,2024-01-03 10:30:00,1.44,1.44,1.43,1.44,2607
ok,2024-01-03 11:00:00,1.45,1.45,1.45,1.45,254
ok,2024-01-03 11:30:00,1.45,1.45,1.45,1.45,700
ok,2024-01-03 12:00:00,1.43,1.45,1.43,1.45,577
ok,2024-01-03 14:00:00,1.45,1.45,1.45,1.45,1500
ok,2024-01-03 14:30:00,1.47,1.47,1.43,1.43,300
ok,2024-01-04 08:00:00,1.51,1.51,1.51,1.51,350
ok,2024-01-04 08:30:00,1.49,1.88,1.49,1.57,273443
ok,2024-01-04 09:00:00,1.58,1.6,1.36,1.42,118391
ok,2024-01-04 09:30:00,1.43,1.47,1.36,1.37,30147
ok,2024-01-04 10:00:00,1.39,1.46,1.39,1.43,17534
ok,2024-01-04 10:30:00,1.39,1.4,1.39,1.4,651
ok,2024-01-04 11:00:00,1.42,1.42,1.42,1.42,141
ok,2024-01-04 11:30:00,1.42,1.47,1.41,1.47,7286
ok,2024-01-04 12:00:00,1.48,1.49,1.43,1.45,7120
ok,2024-01-04 13:00:00,1.44,1.44,1.44,1.44,300
ok,2024-01-04 13:30:00,1.44,1.47,1.42,1.47,5860
ok,2024-01-04 14:00:00,1.43,1.47,1.43,1.46,1602
ok,2024-01-04 14:30:00,1.45,1.47,1.44,1.44,1279
ok,2024-01-04 15:30:00,1.5,1.54,1.49,1.49,7668
ok,2024-01-04 16:30:00,1.5,1.5,1.5,1.5,100
ok,2024-01-04 18:30:00,1.45,1.45,1.45,1.45,500
ok,2024-01-05 08:00:00,1.43,1.43,1.43,1.43,1770
ok,2024-01-05 08:30:00,1.4,1.4,1.4,1.4,100
ok,2024-01-05 09:00:00,1.43,1.43,1.42,1.42,200
ok,2024-01-05 09:30:00,1.44,1.49,1.43,1.43,2220
ok,2024-01-05 10:00:00,1.46,1.46,1.46,1.46,1050
ok,2024-01-05 10:30:00,1.46,1.47,1.46,1.47,200
ok,2024-01-05 11:00:00,1.47,1.47,1.47,1.47,1750
ok,2024-01-05 12:00:00,1.43,1.44,1.43,1.43,6524
ok,2024-01-05 12:30:00,1.44,1.44,1.44,1.44,1300
ok,2024-01-05 13:00:00,1.44,1.44,1.44,1.44,243
ok,2024-01-05 14:00:00,1.44,1.44,1.44,1.44,100
ok,2024-01-05 14:30:00,1.46,1.46,1.46,1.46,2100
ok,2024-01-05 15:00:00,1.49,1.49,1.49,1.49,2789
ok,2024-01-05 15:30:00,1.46,1.46,1.46,1.46,424
ok,2024-01-08 07:00:00,1.42,1.43,1.42,1.43,752
ok,2024-01-08 07:30:00,1.42,1.42,1.42,1.42,700
ok,2024-01-08 08:00:00,1.42,1.42,1.42,1.42,520
ok,2024-01-08 09:30:00,1.47,1.47,1.44,1.44,3119
ok,2024-01-08 10:00:00,1.46,1.46,1.46,1.46,205
ok,2024-01-08 10:30:00,1.45,1.45,1.45,1.45,595
ok,2024-01-08 11:00:00,1.46,1.46,1.46,1.46,100
ok,2024-01-08 11:30:00,1.5,1.5,1.44,1.44,2152
ok,2024-01-08 13:30:00,1.45,1.45,1.45,1.45,205
ok,2024-01-08 14:00:00,1.49,1.54,1.48,1.53,23796
ok,2024-01-08 14:30:00,1.53,1.58,1.53,1.56,11884
ok,2024-01-08 15:00:00,1.58,1.63,1.57,1.6,40506
ok,2024-01-08 15:30:00,1.6,1.61,1.56,1.58,6376
ok,2024-01-08 17:00:00,1.46,1.46,1.46,1.46,186
ok,2024-01-08 18:30:00,1.51,1.51,1.49,1.49,400
ok,2024-01-09 07:00:00,1.48,1.48,1.48,1.48,420
ok,2024-01-09 09:30:00,1.52,1.61,1.52,1.57,305
ok,2024-01-09 10:00:00,1.52,1.52,1.52,1.52,200
ok,2024-01-09 11:30:00,1.53,1.53,1.45,1.45,4643
ok,2024-01-09 13:00:00,1.47,1.47,1.47,1.47,110
ok,2024-01-09 14:30:00,1.51,1.51,1.47,1.5,4106
ok,2024-01-09 15:00:00,1.47,1.47,1.47,1.47,2103
ok,2024-01-09 15:30:00,1.48,1.49,1.44,1.44,3951
ok,2024-01-09 16:00:00,1.41,1.41,1.25,1.41,2566
ok,2024-01-10 08:00:00,1.5,1.6,1.5,1.5,401
ok,2024-01-10 08:30:00,1.53,1.53,1.47,1.47,294
ok,2024-01-10 09:30:00,1.51,1.54,1.49,1.49,700
ok,2024-01-10 10:00:00,1.45,1.45,1.45,1.45,200
ok,2024-01-10 11:30:00,1.45,1.47,1.45,1.47,600
ok,2024-01-10 12:30:00,1.47,1.49,1.47,1.49,1200
ok,2024-01-10 13:00:00,1.44,1.44,1.44,1.44,300
ok,2024-01-10 13:30:00,1.5,1.5,1.5,1.5,1316
ok,2024-01-10 14:00:00,1.48,1.5,1.48,1.5,1378
ok,2024-01-10 15:00:00,1.5,1.5,1.5,1.5,100
ok,2024-01-10 19:00:00,1.46,1.46,1.46,1.46,200
ok,2024-01-10 19:30:00,1.46,1.46,1.46,1.46,400
ok,2024-01-11 08:30:00,1.43,1.43,1.43,1.43,1498
ok,2024-01-11 09:30:00,1.43,1.44,1.43,1.44,4912
ok,2024-01-11 10:00:00,1.45,1.46,1.45,1.46,2361
ok,2024-01-11 10:30:00,1.42,1.42,1.42,1.42,1000
ok,2024-01-11 11:30:00,1.44,1.44,1.42,1.42,609
ok,2024-01-11 12:00:00,1.46,1.46,1.43,1.43,1350
ok,2024-01-11 13:30:00,1.44,1.46,1.44,1.46,935
ok,2024-01-11 15:00:00,1.48,1.48,1.48,1.48,200
ok,2024-01-12 08:00:00,1.44,1.44,1.44,1.44,1000
