s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,0.4,0.4,0.4,0.4,361
ok,2024-01-02 05:00:00,0.4,0.4,0.4,0.4,250
ok,2024-01-02 05:30:00,0.4,0.4,0.4,0.4,799
ok,2024-01-02 06:30:00,0.4,0.4,0.4,0.4,1063
ok,2024-01-02 07:00:00,0.41,0.44,0.39,0.4,9509
ok,2024-01-02 07:30:00,0.4,0.4,0.38,0.38,3742
ok,2024-01-02 08:00:00,0.41,0.41,0.37,0.38,10764
ok,2024-01-02 08:30:00,0.38,0.38,0.38,0.38,900
ok,2024-01-02 09:00:00,0.38,0.38,0.38,0.38,272
ok,2024-01-02 09:30:00,0.39,0.39,0.38,0.39,13841
ok,2024-01-02 10:00:00,0.39,0.4,0.38,0.38,56287
ok,2024-01-02 10:30:00,0.4,0.4,0.38,0.39,30306
ok,2024-01-02 11:00:00,0.4,0.4,0.38,0.39,46946
ok,2024-01-02 11:30:00,0.39,0.39,0.38,0.38,5182
ok,2024-01-02 12:00:00,0.39,0.4,0.39,0.4,21112
ok,2024-01-02 12:30:00,0.39,0.4,0.38,0.38,71679
ok,2024-01-02 13:00:00,0.39,0.4,0.38,0.39,6980
ok,2024-01-02 13:30:00,0.39,0.39,0.39,0.39,8427
ok,2024-01-02 14:00:00,0.39,0.39,0.38,0.39,13281
ok,2024-01-02 14:30:00,0.39,0.39,0.39,0.39,7688
ok,2024-01-02 15:00:00,0.39,0.39,0.39,0.39,5783
ok,2024-01-02 15:30:00,0.39,0.4,0.39,0.39,12401
ok,2024-01-02 16:00:00,0.4,0.4,0.4,0.4,11260
ok,2024-01-02 16:30:00,0.4,0.4,0.4,0.4,200
ok,2024-01-02 17:00:00,0.4,0.4,0.4,0.4,649
ok,2024-01-02 17:30:00,0.4,0.4,0.4,0.4,1218
ok,2024-01-02 18:30:00,0.39,0.39,0.39,0.39,4300
ok,2024-01-02 19:00:00,0.39,0.39,0.39,0.39,10443
ok,2024-01-03 06:00:00,0.39,0.39,0.39,0.39,200
ok,2024-01-03 07:00:00,0.39,0.39,0.39,0.39,400
ok,2024-01-03 07:30:00,0.39,0.39,0.39,0.39,200
ok,2024-01-03 08:00:00,0.38,0.39,0.38,0.38,2991
ok,2024-01-03 08:30:00,0.39,0.39,0.39,0.39,616
ok,2024-01-03 09:00:00,0.41,0.41,0.41,0.41,305
ok,2024-01-03 09:30:00,0.39,0.4,0.39,0.39,11684
ok,2024-01-03 10:00:00,0.4,0.4,0.39,0.4,29734
ok,2024-01-03 10:30:00,0.4,0.4,0.4,0.4,20246
ok,2024-01-03 11:00:00,0.4,0.4,0.4,0.4,16668
ok,2024-01-03 11:30:00,0.4,0.4,0.4,0.4,7910
