s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.18,0.18,0.18,0.18,2001
ok,2024-01-02 09:00:00,0.18,0.18,0.18,0.18,1521
ok,2024-01-02 09:30:00,0.18,0.18,0.17,0.18,16684
ok,2024-01-02 10:00:00,0.18,0.18,0.18,0.18,4320
ok,2024-01-02 10:30:00,0.18,0.18,0.18,0.18,1350
ok,2024-01-02 11:00:00,0.18,0.18,0.17,0.17,28167
ok,2024-01-02 11:30:00,0.17,0.18,0.17,0.18,8143
ok,2024-01-02 12:00:00,0.18,0.18,0.18,0.18,5223
ok,2024-01-02 12:30:00,0.17,0.18,0.17,0.18,5027
ok,2024-01-02 13:00:00,0.18,0.18,0.18,0.18,5958
ok,2024-01-02 13:30:00,0.18,0.18,0.18,0.18,2877
ok,2024-01-02 14:00:00,0.18,0.18,0.18,0.18,2000
ok,2024-01-02 14:30:00,0.17,0.17,0.17,0.17,303
ok,2024-01-02 15:00:00,0.18,0.18,0.18,0.18,222
ok,2024-01-02 15:30:00,0.18,0.18,0.18,0.18,3424
ok,2024-01-02 18:00:00,0.17,0.17,0.17,0.17,150
ok,2024-01-02 19:30:00,0.17,0.17,0.17,0.17,150
ok,2024-01-03 05:30:00,0.17,0.18,0.17,0.18,750
ok,2024-01-03 09:00:00,0.18,0.18,0.18,0.18,200
ok,2024-01-03 09:30:00,0.18,0.18,0.18,0.18,5232
ok,2024-01-03 10:30:00,0.18,0.18,0.17,0.17,1801
ok,2024-01-03 11:00:00,0.17,0.18,0.17,0.18,3023
ok,2024-01-03 11:30:00,0.18,0.18,0.18,0.18,388
ok,2024-01-03 12:00:00,0.17,0.18,0.17,0.18,12250
ok,2024-01-03 13:00:00,0.17,0.17,0.16,0.17,26059
ok,2024-01-03 13:30:00,0.17,0.17,0.16,0.16,36138
ok,2024-01-03 14:00:00,0.16,0.16,0.16,0.16,11411
ok,2024-01-03 14:30:00,0.17,0.17,0.17,0.17,2211
ok,2024-01-03 15:00:00,0.17,0.18,0.17,0.18,128090
ok,2024-01-03 15:30:00,0.18,0.18,0.17,0.18,59590
ok,2024-01-03 16:00:00,0.19,0.24,0.17,0.17,516059
ok,2024-01-03 16:30:00,0.18,0.18,0.18,0.18,2123
ok,2024-01-03 17:00:00,0.18,0.18,0.18,0.18,23000
ok,2024-01-03 17:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-03 19:30:00,0.19,0.19,0.18,0.18,833
ok,2024-01-04 05:00:00,0.2,0.2,0.2,0.2,550
ok,2024-01-04 08:30:00,0.18,0.18,0.18,0.18,1855
ok,2024-01-04 09:30:00,0.18,0.18,0.18,0.18,60830
ok,2024-01-04 10:00:00,0.18,0.19,0.18,0.18,4865
ok,2024-01-04 10:30:00,0.18,0.19,0.18,0.18,7068
ok,2024-01-04 11:00:00,0.18,0.19,0.18,0.18,38471
ok,2024-01-04 11:30:00,0.18,0.18,0.18,0.18,23748
ok,2024-01-04 12:00:00,0.18,0.18,0.18,0.18,9634
ok,2024-01-04 12:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-04 13:00:00,0.18,0.18,0.18,0.18,13456
ok,2024-01-04 14:00:00,0.18,0.18,0.18,0.18,2355
ok,2024-01-04 14:30:00,0.18,0.18,0.18,0.18,792
ok,2024-01-04 15:30:00,0.18,0.18,0.18,0.18,10521
ok,2024-01-04 19:30:00,0.19,0.19,0.19,0.19,160
ok,2024-01-05 08:30:00,0.19,0.19,0.19,0.19,2302
ok,2024-01-05 09:00:00,0.18,0.19,0.18,0.19,6840
ok,2024-01-05 09:30:00,0.19,0.19,0.18,0.18,21225
ok,2024-01-05 10:00:00,0.19,0.19,0.19,0.19,14410
ok,2024-01-05 10:30:00,0.19,0.19,0.19,0.19,660
ok,2024-01-05 11:00:00,0.19,0.19,0.18,0.18,8461
ok,2024-01-05 11:30:00,0.18,0.18,0.18,0.18,17743
ok,2024-01-05 12:00:00,0.18,0.18,0.18,0.18,30159
ok,2024-01-05 12:30:00,0.18,0.18,0.18,0.18,2408
ok,2024-01-05 13:00:00,0.18,0.18,0.18,0.18,19421
ok,2024-01-05 14:00:00,0.18,0.18,0.17,0.17,4451
ok,2024-01-05 15:00:00,0.17,0.17,0.17,0.17,2103
ok,2024-01-05 15:30:00,0.17,0.18,0.17,0.17,18571
ok,2024-01-08 09:00:00,0.18,0.18,0.18,0.18,2000
ok,2024-01-08 09:30:00,0.18,0.19,0.18,0.18,30613
ok,2024-01-08 10:00:00,0.18,0.18,0.18,0.18,11228
ok,2024-01-08 10:30:00,0.18,0.18,0.18,0.18,43880
ok,2024-01-08 11:00:00,0.18,0.18,0.17,0.17,29108
ok,2024-01-08 12:00:00,0.17,0.18,0.17,0.18,8267
ok,2024-01-08 12:30:00,0.18,0.18,0.18,0.18,300
ok,2024-01-08 13:00:00,0.18,0.18,0.18,0.18,1552
ok,2024-01-08 13:30:00,0.18,0.18,0.18,0.18,483
ok,2024-01-08 14:00:00,0.18,0.18,0.18,0.18,6846
ok,2024-01-08 14:30:00,0.18,0.18,0.18,0.18,10650
ok,2024-01-08 15:00:00,0.18,0.18,0.18,0.18,5535
ok,2024-01-08 15:30:00,0.18,0.18,0.18,0.18,4358
ok,2024-01-08 17:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-09 05:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-09 09:00:00,0.18,0.18,0.18,0.18,1211
ok,2024-01-09 09:30:00,0.18,0.18,0.18,0.18,8814
ok,2024-01-09 10:00:00,0.18,0.18,0.18,0.18,5409
ok,2024-01-09 10:30:00,0.18,0.18,0.18,0.18,1795
ok,2024-01-09 11:00:00,0.18,0.18,0.18,0.18,26393
ok,2024-01-09 11:30:00,0.18,0.18,0.18,0.18,4305
ok,2024-01-09 12:00:00,0.18,0.18,0.18,0.18,2425
ok,2024-01-09 12:30:00,0.18,0.18,0.18,0.18,13652
ok,2024-01-09 13:30:00,0.18,0.18,0.18,0.18,500
ok,2024-01-09 14:00:00,0.18,0.18,0.18,0.18,148
ok,2024-01-09 14:30:00,0.18,0.18,0.18,0.18,4558
ok,2024-01-09 15:30:00,0.18,0.18,0.18,0.18,3695
ok,2024-01-10 09:30:00,0.18,0.19,0.18,0.18,33570
ok,2024-01-10 10:00:00,0.2,0.2,0.19,0.19,3830
ok,2024-01-10 10:30:00,0.19,0.19,0.18,0.18,7716
ok,2024-01-10 11:00:00,0.19,0.19,0.18,0.18,3254
ok,2024-01-10 11:30:00,0.19,0.19,0.19,0.19,1126
ok,2024-01-10 12:00:00,0.19,0.19,0.19,0.19,5232
ok,2024-01-10 12:30:00,0.19,0.19,0.19,0.19,74345
ok,2024-01-10 13:00:00,0.19,0.19,0.19,0.19,37135
ok,2024-01-10 13:30:00,0.19,0.19,0.19,0.19,3881
ok,2024-01-10 14:00:00,0.18,0.19,0.18,0.18,6032
ok,2024-01-10 14:30:00,0.19,0.19,0.19,0.19,626
ok,2024-01-10 15:00:00,0.18,0.19,0.18,0.19,11010
ok,2024-01-10 15:30:00,0.19,0.19,0.18,0.18,4205
ok,2024-01-11 09:30:00,0.19,0.19,0.18,0.19,15336
ok,2024-01-11 10:00:00,0.18,0.18,0.18,0.18,3782
ok,2024-01-11 10:30:00,0.19,0.19,0.18,0.19,1655
ok,2024-01-11 11:00:00,0.19,0.19,0.18,0.18,2582
ok,2024-01-11 11:30:00,0.19,0.19,0.19,0.19,7847
ok,2024-01-11 12:00:00,0.19,0.19,0.19,0.19,148
ok,2024-01-11 12:30:00,0.18,0.18,0.18,0.18,113
ok,2024-01-11 13:00:00,0.18,0.18,0.18,0.18,2493
ok,2024-01-11 14:00:00,0.19,0.19,0.19,0.19,5319
ok,2024-01-11 14:30:00,0.19,0.19,0.19,0.19,5230
ok,2024-01-11 15:00:00,0.19,0.19,0.19,0.19,9515
ok,2024-01-11 15:30:00,0.18,0.18,0.18,0.18,201
ok,2024-01-11 16:00:00,0.19,0.19,0.19,0.19,500
ok,2024-01-12 07:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-12 09:30:00,0.19,0.19,0.19,0.19,9135
ok,2024-01-12 10:00:00,0.19,0.19,0.19,0.19,1833
ok,2024-01-12 10:30:00,0.19,0.19,0.19,0.19,1298
ok,2024-01-12 11:00:00,0.19,0.19,0.19,0.19,4059
ok,2024-01-12 11:30:00,0.19,0.19,0.18,0.18,67000
ok,2024-01-12 12:00:00,0.18,0.19,0.18,0.18,10518
ok,2024-01-12 12:30:00,0.19,0.19,0.19,0.19,1545
ok,2024-01-12 13:00:00,0.18,0.18,0.18,0.18,1201
ok,2024-01-12 13:30:00,0.19,0.19,0.19,0.19,1879
ok,2024-01-12 14:00:00,0.19,0.19,0.18,0.19,700
ok,2024-01-12 14:30:00,0.18,0.18,0.18,0.18,1300
ok,2024-01-12 15:00:00,0.18,0.18,0.18,0.18,3101
ok,2024-01-12 15:30:00,0.18,0.19,0.18,0.19,2969
ok,2024-01-12 16:30:00,0.18,0.18,0.18,0.18,471
ok,2024-01-16 06:30:00,0.18,0.19,0.18,0.19,200
ok,2024-01-16 09:00:00,0.19,0.19,0.19,0.19,800
ok,2024-01-16 09:30:00,0.18,0.18,0.18,0.18,30339
ok,2024-01-16 10:00:00,0.18,0.18,0.18,0.18,9671
ok,2024-01-16 10:30:00,0.18,0.18,0.18,0.18,1106
ok,2024-01-16 11:00:00,0.18,0.18,0.18,0.18,7694
ok,2024-01-16 11:30:00,0.18,0.18,0.18,0.18,14667
ok,2024-01-16 12:00:00,0.18,0.18,0.18,0.18,9110
ok,2024-01-16 12:30:00,0.18,0.18,0.18,0.18,3638
ok,2024-01-16 13:00:00,0.18,0.18,0.18,0.18,1188
ok,2024-01-16 13:30:00,0.18,0.18,0.18,0.18,8100
ok,2024-01-16 14:00:00,0.18,0.18,0.18,0.18,462
ok,2024-01-16 14:30:00,0.18,0.18,0.18,0.18,9508
ok,2024-01-16 15:00:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-16 15:30:00,0.18,0.18,0.18,0.18,3342
ok,2024-01-16 18:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-17 09:30:00,0.18,0.19,0.18,0.18,48398
ok,2024-01-17 10:00:00,0.18,0.19,0.18,0.19,11635
ok,2024-01-17 10:30:00,0.19,0.19,0.18,0.18,1500
ok,2024-01-17 11:00:00,0.18,0.18,0.18,0.18,1045
ok,2024-01-17 12:00:00,0.18,0.18,0.18,0.18,2608
ok,2024-01-17 13:00:00,0.18,0.18,0.18,0.18,200
ok,2024-01-17 14:00:00,0.18,0.18,0.18,0.18,4047
ok,2024-01-17 14:30:00,0.18,0.18,0.18,0.18,200
ok,2024-01-17 15:00:00,0.18,0.18,0.18,0.18,611
ok,2024-01-17 15:30:00,0.18,0.18,0.18,0.18,1360
ok,2024-01-17 17:00:00,0.18,0.18,0.18,0.18,2800
ok,2024-01-18 09:30:00,0.18,0.19,0.18,0.18,72526
ok,2024-01-18 10:00:00,0.19,0.19,0.18,0.19,10056
ok,2024-01-18 10:30:00,0.19,0.19,0.19,0.19,6000
ok,2024-01-18 11:00:00,0.19,0.19,0.19,0.19,100
ok,2024-01-18 11:30:00,0.18,0.19,0.18,0.18,3457
ok,2024-01-18 12:00:00,0.18,0.18,0.18,0.18,250
ok,2024-01-18 12:30:00,0.19,0.19,0.19,0.19,100
ok,2024-01-18 13:00:00,0.18,0.18,0.18,0.18,600
ok,2024-01-18 13:30:00,0.19,0.19,0.19,0.19,1516
ok,2024-01-18 14:00:00,0.18,0.18,0.18,0.18,500
ok,2024-01-18 14:30:00,0.18,0.18,0.18,0.18,1089
ok,2024-01-18 15:00:00,0.18,0.18,0.18,0.18,5146
ok,2024-01-18 15:30:00,0.18,0.19,0.18,0.19,376
ok,2024-01-18 16:00:00,0.19,0.19,0.19,0.19,535
ok,2024-01-18 16:30:00,0.19,0.19,0.19,0.19,2300
ok,2024-01-19 07:00:00,0.18,0.18,0.18,0.18,300
ok,2024-01-19 09:00:00,0.19,0.19,0.19,0.19,100
ok,2024-01-19 09:30:00,0.19,0.19,0.18,0.19,5657
ok,2024-01-19 10:00:00,0.18,0.19,0.18,0.19,1548
ok,2024-01-19 10:30:00,0.18,0.18,0.18,0.18,1350
ok,2024-01-19 11:00:00,0.19,0.19,0.19,0.19,250
ok,2024-01-19 12:00:00,0.19,0.19,0.18,0.18,1655
ok,2024-01-19 12:30:00,0.19,0.19,0.19,0.19,234
ok,2024-01-19 13:00:00,0.18,0.18,0.18,0.18,116
ok,2024-01-19 14:00:00,0.19,0.19,0.18,0.19,5600
ok,2024-01-19 14:30:00,0.18,0.18,0.18,0.18,1591
ok,2024-01-19 15:00:00,0.18,0.19,0.18,0.19,1607
ok,2024-01-19 15:30:00,0.19,0.19,0.19,0.19,72268
ok,2024-01-22 04:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-22 07:00:00,0.19,0.19,0.19,0.19,200
ok,2024-01-22 09:30:00,0.19,0.19,0.18,0.19,13063
ok,2024-01-22 10:00:00,0.19,0.19,0.19,0.19,8040
ok,2024-01-22 10:30:00,0.19,0.19,0.18,0.19,5448
ok,2024-01-22 11:00:00,0.19,0.19,0.19,0.19,288
ok,2024-01-22 11:30:00,0.19,0.19,0.19,0.19,6500
ok,2024-01-22 12:00:00,0.19,0.19,0.18,0.18,3465
ok,2024-01-22 12:30:00,0.19,0.19,0.19,0.19,100
ok,2024-01-22 13:30:00,0.19,0.19,0.19,0.19,6000
ok,2024-01-22 14:00:00,0.19,0.19,0.19,0.19,200
ok,2024-01-22 14:30:00,0.18,0.19,0.18,0.18,18566
ok,2024-01-22 15:00:00,0.19,0.19,0.19,0.19,1000
ok,2024-01-22 15:30:00,0.19,0.19,0.18,0.19,25578
ok,2024-01-23 04:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-23 09:30:00,0.19,0.19,0.18,0.19,8417
ok,2024-01-23 10:00:00,0.18,0.19,0.18,0.18,85640
ok,2024-01-23 10:30:00,0.19,0.19,0.19,0.19,11200
ok,2024-01-23 11:00:00,0.19,0.2,0.19,0.2,350
ok,2024-01-23 11:30:00,0.19,0.2,0.19,0.19,58199
ok,2024-01-23 12:00:00,0.19,0.19,0.19,0.19,113
ok,2024-01-23 12:30:00,0.19,0.2,0.19,0.19,2958
ok,2024-01-23 13:00:00,0.19,0.2,0.19,0.19,17238
ok,2024-01-23 13:30:00,0.2,0.2,0.2,0.2,100
ok,2024-01-23 14:00:00,0.2,0.2,0.19,0.2,6746
ok,2024-01-23 14:30:00,0.2,0.2,0.19,0.2,2200
ok,2024-01-23 15:00:00,0.2,0.2,0.19,0.19,5206
ok,2024-01-23 15:30:00,0.19,0.2,0.19,0.2,17475
