s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,1.62,1.62,1.61,1.61,252
ok,2024-01-02 04:30:00,1.62,1.62,1.62,1.62,1615
ok,2024-01-02 05:30:00,1.56,1.6,1.56,1.6,957
ok,2024-01-02 06:00:00,1.61,1.61,1.61,1.61,200
ok,2024-01-02 06:30:00,1.6,1.6,1.56,1.56,457
ok,2024-01-02 07:00:00,1.56,1.58,1.53,1.56,1576
ok,2024-01-02 07:30:00,1.53,1.58,1.53,1.55,1639
ok,2024-01-02 08:00:00,1.55,1.66,1.55,1.58,4340
ok,2024-01-02 08:30:00,1.56,1.62,1.56,1.62,2430
ok,2024-01-02 09:00:00,1.57,1.64,1.57,1.64,1659
ok,2024-01-02 09:30:00,1.63,1.65,1.57,1.59,29387
ok,2024-01-02 10:00:00,1.59,1.65,1.59,1.62,77311
ok,2024-01-02 10:30:00,1.63,1.74,1.61,1.73,211414
ok,2024-01-02 11:00:00,1.72,1.74,1.67,1.73,49972
ok,2024-01-02 11:30:00,1.73,1.73,1.61,1.7,54993
ok,2024-01-02 12:00:00,1.69,1.7,1.64,1.7,16193
ok,2024-01-02 12:30:00,1.67,1.7,1.66,1.66,13026
ok,2024-01-02 13:00:00,1.66,1.72,1.64,1.64,19784
ok,2024-01-02 13:30:00,1.68,1.68,1.64,1.68,6763
ok,2024-01-02 14:00:00,1.67,1.68,1.64,1.64,5853
ok,2024-01-02 14:30:00,1.64,1.71,1.64,1.67,74086
ok,2024-01-02 15:00:00,1.68,1.72,1.65,1.67,78997
ok,2024-01-02 15:30:00,1.66,1.7,1.66,1.67,12931
ok,2024-01-02 16:00:00,1.64,1.66,1.64,1.65,934
ok,2024-01-02 16:30:00,1.67,1.67,1.67,1.67,100
ok,2024-01-02 17:00:00,1.68,1.68,1.68,1.68,200
ok,2024-01-02 18:00:00,1.68,1.68,1.68,1.68,1406
ok,2024-01-02 18:30:00,1.67,1.67,1.67,1.67,1005
ok,2024-01-02 19:00:00,1.68,1.69,1.67,1.67,2524
ok,2024-01-02 19:30:00,1.67,1.69,1.67,1.69,3282
ok,2024-01-03 04:00:00,1.68,1.69,1.68,1.69,331
ok,2024-01-03 06:00:00,1.58,1.58,1.58,1.58,106
ok,2024-01-03 07:00:00,1.58,1.71,1.48,1.49,13260
ok,2024-01-03 07:30:00,1.55,1.58,1.55,1.57,2464
ok,2024-01-03 08:00:00,1.62,1.62,1.46,1.57,6860
ok,2024-01-03 08:30:00,1.58,1.66,1.58,1.64,4971
ok,2024-01-03 09:00:00,1.65,1.68,1.64,1.68,3114
ok,2024-01-03 09:30:00,1.65,1.66,1.51,1.61,52825
ok,2024-01-03 10:00:00,1.59,1.65,1.59,1.6,22267
ok,2024-01-03 10:30:00,1.62,1.65,1.6,1.63,6410
ok,2024-01-03 11:00:00,1.6,1.71,1.6,1.67,58231
ok,2024-01-03 11:30:00,1.66,1.68,1.63,1.63,9464
ok,2024-01-03 12:00:00,1.67,1.67,1.63,1.64,1741
ok,2024-01-03 12:30:00,1.63,1.7,1.63,1.65,29097
ok,2024-01-03 13:00:00,1.7,1.7,1.65,1.69,26653
ok,2024-01-03 13:30:00,1.68,1.69,1.68,1.68,8046
ok,2024-01-03 14:00:00,1.68,1.68,1.65,1.65,3138
ok,2024-01-03 14:30:00,1.65,1.68,1.65,1.65,3378
ok,2024-01-03 15:00:00,1.66,1.68,1.65,1.65,11486
ok,2024-01-03 15:30:00,1.66,1.7,1.64,1.65,32467
ok,2024-01-03 16:00:00,1.63,1.74,1.63,1.73,11245
ok,2024-01-03 16:30:00,1.65,1.69,1.65,1.69,480
ok,2024-01-03 17:30:00,1.64,1.64,1.64,1.64,200
ok,2024-01-03 19:30:00,1.72,1.74,1.72,1.74,4281
ok,2024-01-04 06:30:00,1.64,1.64,1.61,1.61,725
ok,2024-01-04 07:00:00,1.6,2.29,1.6,2.12,530870
ok,2024-01-04 07:30:00,2.11,2.38,1.81,1.94,850722
ok,2024-01-04 08:00:00,1.99,2.28,1.7,2.0,658518
ok,2024-01-04 08:30:00,1.99,2.1,1.95,2.02,114441
ok,2024-01-04 09:00:00,2.01,2.14,1.96,2.08,205531
ok,2024-01-04 09:30:00,2.09,2.54,1.78,1.88,6246806
ok,2024-01-04 10:00:00,1.88,2.03,1.84,1.92,491891
ok,2024-01-04 10:30:00,1.91,2.04,1.85,1.95,346134
ok,2024-01-04 11:00:00,1.93,2.04,1.92,1.93,203310
ok,2024-01-04 11:30:00,1.96,1.98,1.9,1.92,96593
ok,2024-01-04 12:00:00,1.9,1.95,1.9,1.93,47648
ok,2024-01-04 12:30:00,1.93,2.02,1.91,1.95,107720
ok,2024-01-04 13:00:00,1.96,1.98,1.93,1.95,35389
ok,2024-01-04 13:30:00,1.96,2.07,1.94,2.03,115272
ok,2024-01-04 14:00:00,2.03,2.09,1.96,1.99,188083
ok,2024-01-04 14:30:00,1.98,2.0,1.9,1.92,83025
ok,2024-01-04 15:00:00,1.93,1.98,1.9,1.95,76103
ok,2024-01-04 15:30:00,1.95,1.98,1.8,1.87,283810
ok,2024-01-04 16:00:00,1.87,1.87,1.82,1.82,33365
ok,2024-01-04 16:30:00,1.82,1.83,1.82,1.82,3990
ok,2024-01-04 17:00:00,1.82,1.83,1.82,1.83,3981
ok,2024-01-04 17:30:00,1.83,1.84,1.82,1.83,4036
ok,2024-01-04 18:00:00,1.83,1.84,1.82,1.82,1721
ok,2024-01-04 18:30:00,1.83,1.87,1.82,1.84,5426
ok,2024-01-04 19:00:00,1.83,1.87,1.83,1.84,1228
ok,2024-01-04 19:30:00,1.84,1.9,1.82,1.82,10682
ok,2024-01-05 04:00:00,1.8,1.81,1.73,1.73,6418
ok,2024-01-05 04:30:00,1.73,1.73,1.5,1.63,31590
ok,2024-01-05 05:00:00,1.6,1.6,1.54,1.54,22151
ok,2024-01-05 05:30:00,1.54,1.54,1.38,1.38,29712
ok,2024-01-05 06:00:00,1.4,1.47,1.4,1.46,11598
ok,2024-01-05 06:30:00,1.46,1.53,1.46,1.49,10529
ok,2024-01-05 07:00:00,1.52,1.62,1.52,1.54,38799
ok,2024-01-05 07:30:00,1.54,1.59,1.54,1.59,6070
ok,2024-01-05 08:00:00,1.56,1.9,1.49,1.75,135027
ok,2024-01-05 08:30:00,1.75,1.82,1.75,1.78,9298
ok,2024-01-05 09:00:00,1.77,1.82,1.76,1.76,21415
ok,2024-01-05 09:30:00,1.76,1.82,1.68,1.69,164928
ok,2024-01-05 10:00:00,1.68,1.69,1.55,1.6,107366
ok,2024-01-05 10:30:00,1.6,1.62,1.54,1.57,99288
ok,2024-01-05 11:00:00,1.57,1.59,1.54,1.58,70733
