s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.73,0.73,0.71,0.71,2330
ok,2024-01-02 07:00:00,0.73,0.74,0.73,0.74,1000
ok,2024-01-02 08:00:00,0.74,0.74,0.74,0.74,213
ok,2024-01-02 09:00:00,0.72,0.72,0.72,0.72,225
ok,2024-01-02 09:30:00,0.69,0.71,0.66,0.68,33225
ok,2024-01-02 10:00:00,0.68,0.7,0.68,0.68,9518
ok,2024-01-02 10:30:00,0.69,0.7,0.66,0.66,15931
ok,2024-01-02 11:00:00,0.66,0.69,0.65,0.65,8561
ok,2024-01-02 11:30:00,0.68,0.7,0.65,0.65,14126
ok,2024-01-02 12:00:00,0.67,0.68,0.62,0.62,18787
ok,2024-01-02 12:30:00,0.62,0.67,0.61,0.62,35869
ok,2024-01-02 13:00:00,0.63,0.65,0.62,0.62,34581
ok,2024-01-02 13:30:00,0.62,0.62,0.57,0.59,63879
ok,2024-01-02 14:00:00,0.6,0.62,0.59,0.6,13888
ok,2024-01-02 14:30:00,0.6,0.62,0.6,0.6,14605
ok,2024-01-02 15:00:00,0.6,0.62,0.56,0.6,35285
ok,2024-01-02 15:30:00,0.6,0.62,0.57,0.58,12565
ok,2024-01-02 16:30:00,0.61,0.63,0.61,0.63,433
ok,2024-01-02 18:00:00,0.63,0.63,0.63,0.63,300
ok,2024-01-02 19:30:00,0.62,0.62,0.61,0.61,635
ok,2024-01-03 06:30:00,0.62,0.62,0.62,0.62,300
ok,2024-01-03 07:00:00,0.62,0.62,0.62,0.62,154
ok,2024-01-03 07:30:00,0.62,0.62,0.62,0.62,169
ok,2024-01-03 08:00:00,0.61,0.62,0.61,0.62,2359
ok,2024-01-03 08:30:00,0.61,0.61,0.61,0.61,142
ok,2024-01-03 09:30:00,0.62,0.62,0.59,0.59,17292
ok,2024-01-03 10:00:00,0.6,0.6,0.57,0.59,14024
ok,2024-01-03 10:30:00,0.59,0.6,0.59,0.6,10227
ok,2024-01-03 11:00:00,0.59,0.62,0.59,0.61,57629
ok,2024-01-03 11:30:00,0.62,0.65,0.6,0.64,71264
ok,2024-01-03 12:00:00,0.61,0.65,0.6,0.6,45710
ok,2024-01-03 12:30:00,0.6,0.63,0.6,0.61,9355
ok,2024-01-03 13:00:00,0.6,0.63,0.6,0.63,61894
ok,2024-01-03 13:30:00,0.6,0.61,0.6,0.6,3161
ok,2024-01-03 14:00:00,0.6,0.62,0.58,0.59,45104
ok,2024-01-03 14:30:00,0.59,0.6,0.58,0.58,9924
ok,2024-01-03 15:00:00,0.58,0.58,0.57,0.57,14273
ok,2024-01-03 15:30:00,0.57,0.58,0.56,0.57,36627
ok,2024-01-03 16:00:00,0.6,0.6,0.6,0.6,2346
ok,2024-01-03 18:00:00,0.6,0.6,0.6,0.6,360
ok,2024-01-03 19:00:00,0.6,0.6,0.6,0.6,100
ok,2024-01-03 19:30:00,0.6,0.6,0.6,0.6,200
ok,2024-01-04 08:00:00,0.57,0.59,0.57,0.59,3434
ok,2024-01-04 08:30:00,0.59,0.59,0.58,0.58,1101
ok,2024-01-04 09:30:00,0.56,0.59,0.56,0.58,2954
ok,2024-01-04 10:00:00,0.58,0.58,0.53,0.54,40723
ok,2024-01-04 10:30:00,0.55,0.55,0.53,0.55,4325
ok,2024-01-04 11:00:00,0.55,0.55,0.53,0.54,12792
ok,2024-01-04 11:30:00,0.54,0.54,0.54,0.54,9831
ok,2024-01-04 12:00:00,0.54,0.54,0.54,0.54,2422
ok,2024-01-04 12:30:00,0.54,0.54,0.53,0.53,1371
ok,2024-01-04 13:00:00,0.53,0.54,0.51,0.52,6878
ok,2024-01-04 13:30:00,0.53,0.53,0.52,0.53,12891
ok,2024-01-04 14:00:00,0.53,0.54,0.52,0.52,7918
ok,2024-01-04 14:30:00,0.55,0.55,0.52,0.52,5213
ok,2024-01-04 15:00:00,0.52,0.52,0.52,0.52,9541
ok,2024-01-04 15:30:00,0.52,0.52,0.52,0.52,9978
