s,t,o,h,l,c,v
ok,2024-02-27 12:30:00,3.5,4.4,3.5,4.4,342080
ok,2024-02-27 13:00:00,4.62,6.22,4.57,5.97,611010
ok,2024-02-27 13:30:00,6.0,8.38,5.71,8.38,470422
ok,2024-02-27 14:00:00,8.0,9.35,5.04,5.85,789763
ok,2024-02-27 14:30:00,5.8,7.2,5.7,6.81,364509
ok,2024-02-27 15:00:00,6.92,7.02,6.11,6.9,143762
ok,2024-02-27 15:30:00,7.0,7.82,6.78,7.82,52668
ok,2024-02-27 16:00:00,7.95,7.95,6.02,6.42,40069
ok,2024-02-27 16:30:00,6.58,6.97,6.5,6.97,8250
ok,2024-02-27 17:00:00,7.0,7.5,6.99,7.05,2895
ok,2024-02-27 17:30:00,7.13,7.5,7.06,7.06,3080
ok,2024-02-27 18:00:00,7.08,7.5,7.01,7.07,4949
ok,2024-02-27 18:30:00,7.01,7.36,7.01,7.36,696
ok,2024-02-27 19:00:00,7.08,7.28,6.78,7.0,9399
ok,2024-02-27 19:30:00,6.99,6.99,6.32,6.57,13816
ok,2024-02-28 04:00:00,6.5,7.2,6.25,7.2,2623
ok,2024-02-28 04:30:00,6.81,7.49,6.81,7.28,1539
ok,2024-02-28 06:00:00,6.8,6.8,6.51,6.51,1144
ok,2024-02-28 07:00:00,6.95,6.95,6.34,6.35,1827
ok,2024-02-28 07:30:00,6.26,6.6,6.26,6.6,383
ok,2024-02-28 08:00:00,6.55,6.6,6.22,6.6,4351
ok,2024-02-28 08:30:00,6.74,6.88,6.44,6.7,2836
ok,2024-02-28 09:00:00,6.62,6.63,6.49,6.49,1366
ok,2024-02-28 09:30:00,6.42,7.24,5.6,5.9,84261
ok,2024-02-28 10:00:00,5.85,6.43,5.68,6.05,24017
ok,2024-02-28 10:30:00,6.39,6.49,5.9,6.08,14967
ok,2024-02-28 11:00:00,6.08,6.25,6.01,6.11,6543
ok,2024-02-28 11:30:00,6.11,6.24,5.81,5.83,19321
ok,2024-02-28 12:00:00,5.9,5.98,5.81,5.83,9001
ok,2024-02-28 12:30:00,5.9,5.91,5.84,5.89,2495
ok,2024-02-28 13:00:00,5.91,5.96,5.82,5.91,4784
ok,2024-02-28 13:30:00,5.89,6.08,5.89,5.93,4771
ok,2024-02-28 14:00:00,6.07,6.39,6.01,6.1,9394
ok,2024-02-28 14:30:00,6.1,6.26,6.1,6.26,4676
ok,2024-02-28 15:00:00,6.22,6.4,5.92,5.92,11915
ok,2024-02-28 15:30:00,6.1,6.24,5.86,5.86,6490
ok,2024-02-28 16:00:00,6.12,6.12,5.83,5.83,1132
ok,2024-02-28 16:30:00,5.89,5.89,5.89,5.89,331
ok,2024-02-28 17:00:00,5.95,5.98,5.78,5.79,2413
ok,2024-02-28 17:30:00,5.78,5.87,5.76,5.76,4333
ok,2024-02-28 18:00:00,5.9,5.9,5.9,5.9,100
ok,2024-02-28 18:30:00,5.65,5.65,5.65,5.65,100
ok,2024-02-29 04:30:00,5.46,5.46,5.46,5.46,328
ok,2024-02-29 07:30:00,5.48,5.48,5.48,5.48,240
ok,2024-02-29 08:00:00,5.51,5.53,5.51,5.52,1393
ok,2024-02-29 08:30:00,5.53,5.8,5.52,5.52,500
ok,2024-02-29 09:00:00,5.52,5.52,5.52,5.52,200
ok,2024-02-29 09:30:00,5.74,5.84,5.51,5.7,10060
ok,2024-02-29 10:00:00,5.8,5.8,4.72,5.02,22089
ok,2024-02-29 10:30:00,5.11,5.11,4.3,4.79,43683
ok,2024-02-29 11:00:00,5.04,5.04,4.8,4.9,6438
ok,2024-02-29 11:30:00,4.97,5.15,4.9,5.15,8907
ok,2024-02-29 12:00:00,5.04,5.04,4.9,5.03,3018
ok,2024-02-29 12:30:00,5.0,5.0,4.8,4.8,11916
ok,2024-02-29 13:00:00,4.8,5.0,4.8,4.8,2260
ok,2024-02-29 13:30:00,4.8,4.82,4.8,4.82,4756
ok,2024-02-29 14:00:00,4.8,4.8,4.72,4.72,3160
ok,2024-02-29 14:30:00,4.72,5.02,4.72,5.02,1093
ok,2024-02-29 15:00:00,4.95,4.95,4.86,4.86,510
ok,2024-02-29 15:30:00,5.15,5.15,4.86,4.89,2777
ok,2024-02-29 16:00:00,4.82,4.82,4.55,4.68,1677
ok,2024-02-29 17:00:00,4.51,4.51,4.51,4.51,250
ok,2024-03-01 04:30:00,4.41,4.42,4.38,4.41,869
ok,2024-03-01 05:30:00,4.42,4.42,4.3,4.3,1359
ok,2024-03-01 06:00:00,4.29,4.32,4.29,4.29,2560
ok,2024-03-01 06:30:00,4.29,4.29,4.28,4.28,528
