s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.21,1.21,1.21,1.21,131
ok,2024-01-02 10:00:00,1.19,1.19,1.19,1.19,100
ok,2024-01-02 12:30:00,1.24,1.24,1.24,1.24,100
ok,2024-01-03 09:30:00,1.27,1.27,1.27,1.27,433
ok,2024-01-03 12:00:00,1.24,1.24,1.24,1.24,166
ok,2024-01-03 13:30:00,1.24,1.24,1.19,1.19,9265
ok,2024-01-03 14:30:00,1.24,1.24,1.24,1.24,393
ok,2024-01-03 15:30:00,1.24,1.24,1.24,1.24,1229
ok,2024-01-04 11:00:00,1.22,1.22,1.22,1.22,100
ok,2024-01-04 12:30:00,1.19,1.2,1.19,1.2,1207
ok,2024-01-05 09:30:00,1.26,1.26,1.26,1.26,150
ok,2024-01-05 10:00:00,1.2,1.2,1.2,1.2,167
ok,2024-01-05 10:30:00,1.25,1.25,1.25,1.25,5000
ok,2024-01-05 12:00:00,1.16,1.16,1.16,1.16,100
ok,2024-01-05 13:30:00,1.24,1.24,1.24,1.24,1000
ok,2024-01-05 14:00:00,1.24,1.24,1.24,1.24,100
ok,2024-01-05 14:30:00,1.21,1.21,1.21,1.21,1000
ok,2024-01-08 09:30:00,1.2,1.2,1.2,1.2,420
ok,2024-01-08 10:30:00,1.24,1.24,1.2,1.2,603
ok,2024-01-08 12:30:00,1.16,1.17,1.16,1.16,800
ok,2024-01-08 13:30:00,1.18,1.18,1.18,1.18,107
ok,2024-01-08 14:00:00,1.22,1.22,1.22,1.22,100
ok,2024-01-08 15:30:00,1.21,1.21,1.21,1.21,1428
ok,2024-01-09 15:00:00,1.21,1.21,1.21,1.21,100
ok,2024-01-09 15:30:00,1.21,1.21,1.21,1.21,1555
ok,2024-01-10 09:30:00,1.17,1.17,1.17,1.17,1000
ok,2024-01-10 10:00:00,1.17,1.17,1.17,1.17,605
ok,2024-01-10 10:30:00,1.17,1.17,1.17,1.17,100
ok,2024-01-10 14:00:00,1.12,1.13,1.08,1.11,6599
ok,2024-01-10 14:30:00,1.16,1.17,0.94,0.99,28353
ok,2024-01-10 15:00:00,1.03,1.13,1.02,1.02,1572
ok,2024-01-10 15:30:00,1.05,1.1,1.02,1.06,6010
ok,2024-01-11 07:00:00,1.08,1.08,1.08,1.08,224
ok,2024-01-11 08:00:00,1.26,1.26,1.12,1.12,784
ok,2024-01-11 09:00:00,1.2,1.2,1.2,1.2,150
ok,2024-01-11 09:30:00,1.09,1.09,1.09,1.09,142
