s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-02 05:00:00,0.18,0.18,0.18,0.18,421
ok,2024-01-02 06:00:00,0.18,0.19,0.18,0.18,555
ok,2024-01-02 07:00:00,0.18,0.18,0.18,0.18,1750
ok,2024-01-02 08:00:00,0.19,0.19,0.18,0.18,1737
ok,2024-01-02 08:30:00,0.18,0.18,0.18,0.18,685
ok,2024-01-02 09:00:00,0.19,0.19,0.19,0.19,11000
ok,2024-01-02 09:30:00,0.18,0.19,0.18,0.18,49216
ok,2024-01-02 10:00:00,0.18,0.19,0.18,0.19,18149
ok,2024-01-02 10:30:00,0.18,0.18,0.18,0.18,104008
ok,2024-01-02 11:00:00,0.18,0.19,0.18,0.18,22518
ok,2024-01-02 11:30:00,0.18,0.19,0.18,0.19,13222
ok,2024-01-02 12:00:00,0.19,0.19,0.18,0.18,3656
ok,2024-01-02 12:30:00,0.18,0.18,0.18,0.18,3110
ok,2024-01-02 13:00:00,0.18,0.18,0.18,0.18,6622
ok,2024-01-02 13:30:00,0.18,0.18,0.18,0.18,10488
ok,2024-01-02 14:00:00,0.18,0.18,0.18,0.18,80664
ok,2024-01-02 14:30:00,0.18,0.18,0.18,0.18,250
ok,2024-01-02 15:00:00,0.18,0.18,0.18,0.18,6018
ok,2024-01-02 15:30:00,0.18,0.19,0.18,0.18,86879
ok,2024-01-02 16:00:00,0.18,0.18,0.18,0.18,179
ok,2024-01-02 16:30:00,0.19,0.19,0.19,0.19,200
ok,2024-01-02 18:00:00,0.18,0.18,0.18,0.18,305
ok,2024-01-02 18:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-02 19:00:00,0.19,0.19,0.19,0.19,300
ok,2024-01-02 19:30:00,0.19,0.19,0.19,0.19,1800
ok,2024-01-03 08:00:00,0.18,0.18,0.18,0.18,4354
ok,2024-01-03 08:30:00,0.2,0.2,0.2,0.2,500
ok,2024-01-03 09:00:00,0.19,0.19,0.19,0.19,890
ok,2024-01-03 09:30:00,0.19,0.19,0.18,0.18,19970
ok,2024-01-03 10:00:00,0.18,0.18,0.17,0.18,36790
ok,2024-01-03 10:30:00,0.18,0.18,0.17,0.17,32237
ok,2024-01-03 11:00:00,0.17,0.18,0.17,0.18,14516
ok,2024-01-03 11:30:00,0.18,0.18,0.17,0.18,54154
ok,2024-01-03 12:00:00,0.18,0.18,0.17,0.17,21550
ok,2024-01-03 12:30:00,0.18,0.18,0.17,0.17,24176
ok,2024-01-03 13:00:00,0.17,0.18,0.17,0.18,24447
ok,2024-01-03 13:30:00,0.18,0.18,0.18,0.18,10192
ok,2024-01-03 14:00:00,0.18,0.18,0.18,0.18,8954
ok,2024-01-03 14:30:00,0.18,0.18,0.18,0.18,4079
ok,2024-01-03 15:00:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-03 15:30:00,0.18,0.19,0.18,0.19,14587
ok,2024-01-03 16:00:00,0.2,0.2,0.2,0.2,100
ok,2024-01-03 18:30:00,0.2,0.2,0.2,0.2,500
ok,2024-01-03 19:30:00,0.19,0.19,0.19,0.19,500
ok,2024-01-04 09:00:00,0.18,0.18,0.18,0.18,800
ok,2024-01-04 09:30:00,0.19,0.19,0.17,0.18,32056
ok,2024-01-04 10:00:00,0.18,0.18,0.18,0.18,59790
ok,2024-01-04 10:30:00,0.18,0.18,0.18,0.18,13693
ok,2024-01-04 11:00:00,0.18,0.18,0.17,0.18,16356
ok,2024-01-04 11:30:00,0.18,0.18,0.18,0.18,8975
ok,2024-01-04 12:00:00,0.18,0.18,0.18,0.18,500
ok,2024-01-04 12:30:00,0.18,0.18,0.18,0.18,3323
ok,2024-01-04 13:00:00,0.18,0.18,0.18,0.18,21313
ok,2024-01-04 13:30:00,0.18,0.19,0.18,0.18,63711
ok,2024-01-04 14:00:00,0.18,0.19,0.18,0.19,31844
ok,2024-01-04 14:30:00,0.19,0.19,0.19,0.19,795
ok,2024-01-04 15:00:00,0.19,0.19,0.19,0.19,200
ok,2024-01-04 15:30:00,0.18,0.18,0.18,0.18,1102
ok,2024-01-04 17:00:00,0.19,0.19,0.19,0.19,7426
ok,2024-01-04 17:30:00,0.19,0.19,0.19,0.19,3090
ok,2024-01-04 19:30:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-05 05:00:00,0.17,0.17,0.17,0.17,100
ok,2024-01-05 07:00:00,0.18,0.18,0.18,0.18,4500
ok,2024-01-05 08:00:00,0.19,0.19,0.19,0.19,300
ok,2024-01-05 08:30:00,0.18,0.18,0.18,0.18,300
ok,2024-01-05 09:00:00,0.18,0.18,0.18,0.18,497
ok,2024-01-05 09:30:00,0.18,0.18,0.18,0.18,4074
ok,2024-01-05 10:00:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-05 10:30:00,0.18,0.18,0.18,0.18,10682
ok,2024-01-05 11:00:00,0.18,0.18,0.18,0.18,11036
ok,2024-01-05 11:30:00,0.18,0.18,0.18,0.18,4428
ok,2024-01-05 13:00:00,0.18,0.18,0.18,0.18,14219
ok,2024-01-05 14:00:00,0.18,0.18,0.18,0.18,17651
ok,2024-01-05 14:30:00,0.18,0.18,0.18,0.18,8465
ok,2024-01-05 15:00:00,0.18,0.18,0.18,0.18,24476
ok,2024-01-05 15:30:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-05 18:30:00,0.18,0.18,0.18,0.18,250
ok,2024-01-08 04:00:00,0.18,0.18,0.18,0.18,760
ok,2024-01-08 07:00:00,0.18,0.18,0.18,0.18,500
ok,2024-01-08 08:00:00,0.18,0.18,0.18,0.18,301
ok,2024-01-08 09:30:00,0.19,0.19,0.18,0.18,19245
ok,2024-01-08 10:00:00,0.18,0.18,0.18,0.18,11478
ok,2024-01-08 10:30:00,0.18,0.18,0.18,0.18,1181
ok,2024-01-08 11:00:00,0.18,0.18,0.18,0.18,13614
ok,2024-01-08 11:30:00,0.18,0.18,0.18,0.18,10250
ok,2024-01-08 12:00:00,0.18,0.18,0.18,0.18,6824
ok,2024-01-08 12:30:00,0.18,0.18,0.18,0.18,16994
ok,2024-01-08 13:00:00,0.18,0.18,0.18,0.18,6596
ok,2024-01-08 13:30:00,0.18,0.18,0.18,0.18,1001
ok,2024-01-08 14:00:00,0.18,0.18,0.18,0.18,5004
ok,2024-01-08 14:30:00,0.18,0.18,0.18,0.18,6474
ok,2024-01-08 15:00:00,0.18,0.18,0.18,0.18,5224
ok,2024-01-08 15:30:00,0.18,0.18,0.18,0.18,28987
ok,2024-01-08 16:00:00,0.18,0.18,0.18,0.18,2320
ok,2024-01-08 16:30:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-08 17:00:00,0.18,0.18,0.18,0.18,553
ok,2024-01-08 17:30:00,0.19,0.19,0.19,0.19,206
