s,t,o,h,l,c,v
ok,2024-02-15 07:30:00,10.01,10.01,10.01,10.01,100
ok,2024-02-15 08:00:00,11.5,11.5,11.5,11.5,500
ok,2024-02-15 08:30:00,11.5,11.5,11.35,11.35,857
ok,2024-02-15 09:30:00,12.01,12.24,11.41,12.24,854
ok,2024-02-15 10:00:00,12.1,12.29,12.0,12.29,600
ok,2024-02-15 10:30:00,12.0,12.0,12.0,12.0,100
ok,2024-02-15 11:00:00,12.2,12.34,12.0,12.34,51529
ok,2024-02-15 11:30:00,12.18,12.2,12.0,12.01,8673
ok,2024-02-15 12:00:00,12.2,12.5,12.0,12.0,3030
ok,2024-02-15 12:30:00,12.26,12.26,12.25,12.25,1100
ok,2024-02-15 13:00:00,12.45,12.5,12.25,12.5,4198
ok,2024-02-15 13:30:00,12.5,12.5,12.23,12.23,1015
ok,2024-02-15 14:00:00,12.37,12.5,12.37,12.5,1350
ok,2024-02-15 14:30:00,12.43,12.5,12.43,12.5,4379
ok,2024-02-15 15:00:00,12.5,12.5,12.15,12.15,9599
ok,2024-02-15 15:30:00,12.24,12.41,12.24,12.41,4290
ok,2024-02-16 04:00:00,12.0,14.5,12.0,14.5,711
ok,2024-02-16 04:30:00,13.15,13.15,13.15,13.15,111
ok,2024-02-16 09:30:00,12.43,12.45,12.15,12.45,1961
ok,2024-02-16 10:00:00,12.2,12.2,11.32,11.48,18775
ok,2024-02-16 10:30:00,11.45,11.78,11.45,11.7,1200
ok,2024-02-16 11:00:00,11.84,11.99,11.84,11.99,1600
ok,2024-02-16 11:30:00,12.05,12.05,11.74,12.05,2790
ok,2024-02-16 12:00:00,12.05,12.05,11.9,11.9,27645
ok,2024-02-16 12:30:00,12.05,12.05,12.05,12.05,120
ok,2024-02-16 13:00:00,12.0,12.0,12.0,12.0,2972
ok,2024-02-16 13:30:00,11.9,12.0,11.9,12.0,6535
ok,2024-02-16 14:00:00,12.02,12.1,12.0,12.0,20505
ok,2024-02-16 14:30:00,12.1,12.1,12.0,12.0,2597
ok,2024-02-16 15:00:00,12.05,12.05,12.05,12.05,13121
ok,2024-02-16 15:30:00,12.07,12.07,12.07,12.07,800
ok,2024-02-16 17:00:00,12.3,12.3,12.3,12.3,2400
ok,2024-02-20 07:00:00,12.36,12.4,12.36,12.4,486
ok,2024-02-20 08:00:00,12.4,12.4,12.4,12.4,1112
ok,2024-02-20 08:30:00,12.4,12.4,12.4,12.4,106
ok,2024-02-20 09:00:00,12.3,12.3,12.3,12.3,100
ok,2024-02-20 09:30:00,12.4,12.4,12.08,12.08,4553
ok,2024-02-20 10:00:00,12.09,12.09,12.07,12.08,9996
ok,2024-02-20 10:30:00,12.08,12.08,12.0,12.0,5254
ok,2024-02-20 11:00:00,12.0,12.0,11.72,11.72,4035
ok,2024-02-20 11:30:00,11.75,12.0,11.75,12.0,5073
ok,2024-02-20 12:00:00,12.0,12.0,12.0,12.0,100
ok,2024-02-20 12:30:00,12.0,12.12,12.0,12.12,2945
ok,2024-02-20 14:00:00,12.0,12.0,12.0,12.0,1053
ok,2024-02-20 14:30:00,12.01,12.12,12.01,12.12,10327
ok,2024-02-20 15:00:00,12.01,12.12,12.0,12.0,13779
ok,2024-02-20 15:30:00,12.01,12.15,12.0,12.0,3025
ok,2024-02-21 09:30:00,12.0,12.01,11.86,12.0,12200
ok,2024-02-21 10:00:00,11.78,11.78,11.78,11.78,100
ok,2024-02-21 10:30:00,11.74,11.8,11.65,11.79,4027
ok,2024-02-21 11:00:00,11.81,11.83,11.81,11.83,1400
ok,2024-02-21 11:30:00,11.75,11.99,11.75,11.99,6659
