s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,0.45,0.45,0.43,0.43,489
ok,2024-01-02 07:00:00,0.41,0.41,0.41,0.41,198
ok,2024-01-02 07:30:00,0.4,0.4,0.4,0.4,200
ok,2024-01-02 08:00:00,0.41,0.41,0.39,0.39,868
ok,2024-01-02 08:30:00,0.39,0.39,0.39,0.39,7600
ok,2024-01-02 09:00:00,0.39,0.39,0.39,0.39,850
ok,2024-01-02 09:30:00,0.38,0.39,0.38,0.39,2020
ok,2024-01-02 10:00:00,0.39,0.39,0.38,0.38,16471
ok,2024-01-02 10:30:00,0.38,0.38,0.38,0.38,8001
ok,2024-01-02 12:00:00,0.39,0.39,0.39,0.39,3338
ok,2024-01-02 12:30:00,0.39,0.39,0.39,0.39,7497
ok,2024-01-02 13:00:00,0.39,0.39,0.39,0.39,800
ok,2024-01-02 13:30:00,0.39,0.39,0.38,0.38,11496
ok,2024-01-02 14:30:00,0.38,0.38,0.38,0.38,226
ok,2024-01-02 15:00:00,0.39,0.39,0.39,0.39,1000
ok,2024-01-02 15:30:00,0.38,0.39,0.38,0.38,32051
ok,2024-01-02 16:00:00,0.38,0.38,0.38,0.38,568
ok,2024-01-02 17:30:00,0.38,0.38,0.38,0.38,3397
ok,2024-01-03 04:30:00,0.36,0.36,0.36,0.36,300
ok,2024-01-03 07:00:00,0.38,0.38,0.38,0.38,200
ok,2024-01-03 09:00:00,0.39,0.4,0.39,0.4,1000
ok,2024-01-03 09:30:00,0.38,0.38,0.37,0.38,15868
ok,2024-01-03 10:00:00,0.38,0.38,0.37,0.37,2511
ok,2024-01-03 10:30:00,0.38,0.38,0.37,0.38,4735
ok,2024-01-03 11:00:00,0.38,0.38,0.36,0.37,22104
ok,2024-01-03 11:30:00,0.37,0.37,0.37,0.37,1201
ok,2024-01-03 12:00:00,0.37,0.37,0.37,0.37,907
ok,2024-01-03 12:30:00,0.37,0.37,0.37,0.37,8593
ok,2024-01-03 13:00:00,0.37,0.37,0.37,0.37,952
ok,2024-01-03 13:30:00,0.37,0.37,0.36,0.37,7261
ok,2024-01-03 14:00:00,0.37,0.37,0.37,0.37,301
ok,2024-01-03 14:30:00,0.37,0.37,0.37,0.37,7042
ok,2024-01-03 15:00:00,0.37,0.37,0.36,0.36,4446
ok,2024-01-03 15:30:00,0.37,0.37,0.37,0.37,17840
ok,2024-01-03 16:30:00,0.36,0.36,0.36,0.36,2500
ok,2024-01-04 07:00:00,0.36,0.36,0.36,0.36,100
ok,2024-01-04 08:00:00,0.37,0.37,0.37,0.37,849
ok,2024-01-04 09:00:00,0.37,0.37,0.36,0.37,4100
ok,2024-01-04 09:30:00,0.36,0.36,0.36,0.36,9204
ok,2024-01-04 10:00:00,0.36,0.36,0.36,0.36,26394
ok,2024-01-04 10:30:00,0.36,0.36,0.36,0.36,1816
ok,2024-01-04 11:00:00,0.36,0.36,0.36,0.36,455
ok,2024-01-04 11:30:00,0.36,0.36,0.36,0.36,1686
ok,2024-01-04 12:00:00,0.36,0.36,0.34,0.35,54037
ok,2024-01-04 12:30:00,0.35,0.35,0.35,0.35,5612
ok,2024-01-04 13:00:00,0.36,0.36,0.35,0.35,1570
ok,2024-01-04 13:30:00,0.36,0.36,0.35,0.36,24510
ok,2024-01-04 14:00:00,0.35,0.35,0.35,0.35,1607
ok,2024-01-04 14:30:00,0.35,0.35,0.34,0.35,80481
ok,2024-01-04 15:00:00,0.35,0.35,0.35,0.35,3014
ok,2024-01-04 15:30:00,0.35,0.35,0.34,0.35,4249
ok,2024-01-04 16:30:00,0.35,0.35,0.35,0.35,1400
ok,2024-01-04 17:00:00,0.35,0.35,0.35,0.35,200
ok,2024-01-04 18:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-04 19:00:00,0.35,0.35,0.35,0.35,4001
ok,2024-01-04 19:30:00,0.35,0.35,0.35,0.35,2858
ok,2024-01-05 07:30:00,0.35,0.35,0.35,0.35,1300
ok,2024-01-05 08:00:00,0.35,0.35,0.35,0.35,5644
ok,2024-01-05 08:30:00,0.35,0.35,0.35,0.35,600
ok,2024-01-05 09:00:00,0.35,0.35,0.34,0.34,322
ok,2024-01-05 09:30:00,0.35,0.35,0.34,0.35,16024
ok,2024-01-05 10:00:00,0.35,0.35,0.35,0.35,12228
ok,2024-01-05 10:30:00,0.35,0.35,0.34,0.35,8396
ok,2024-01-05 11:00:00,0.35,0.35,0.34,0.34,29714
ok,2024-01-05 11:30:00,0.34,0.35,0.33,0.33,77507
ok,2024-01-05 12:00:00,0.33,0.33,0.33,0.33,7745
ok,2024-01-05 12:30:00,0.33,0.33,0.32,0.33,40430
ok,2024-01-05 13:00:00,0.33,0.33,0.32,0.33,82154
ok,2024-01-05 13:30:00,0.33,0.34,0.33,0.34,20759
ok,2024-01-05 14:00:00,0.34,0.34,0.33,0.33,6107
ok,2024-01-05 14:30:00,0.34,0.34,0.33,0.33,8554
ok,2024-01-05 15:00:00,0.33,0.34,0.33,0.34,4285
ok,2024-01-05 15:30:00,0.34,0.34,0.33,0.34,2845
ok,2024-01-05 16:00:00,0.34,0.34,0.34,0.34,779
ok,2024-01-05 18:00:00,0.34,0.34,0.34,0.34,400
ok,2024-01-08 07:00:00,0.34,0.34,0.34,0.34,150
ok,2024-01-08 07:30:00,0.34,0.34,0.34,0.34,101
ok,2024-01-08 08:00:00,0.34,0.34,0.34,0.34,2760
ok,2024-01-08 09:00:00,0.34,0.34,0.34,0.34,914
ok,2024-01-08 09:30:00,0.34,0.34,0.33,0.33,6750
ok,2024-01-08 10:00:00,0.33,0.33,0.33,0.33,12797
ok,2024-01-08 10:30:00,0.33,0.34,0.33,0.34,16532
ok,2024-01-08 11:00:00,0.34,0.34,0.33,0.34,6224
ok,2024-01-08 11:30:00,0.34,0.34,0.33,0.34,5800
ok,2024-01-08 12:00:00,0.34,0.35,0.34,0.35,24401
ok,2024-01-08 12:30:00,0.34,0.34,0.34,0.34,8311
ok,2024-01-08 13:00:00,0.34,0.35,0.34,0.35,5446
ok,2024-01-08 13:30:00,0.34,0.35,0.34,0.34,7310
ok,2024-01-08 14:00:00,0.34,0.35,0.33,0.34,48626
ok,2024-01-08 14:30:00,0.34,0.34,0.34,0.34,2301
ok,2024-01-08 15:00:00,0.34,0.34,0.34,0.34,3764
ok,2024-01-08 15:30:00,0.34,0.34,0.33,0.33,7926
ok,2024-01-08 16:30:00,0.34,0.34,0.34,0.34,9000
ok,2024-01-08 17:30:00,0.34,0.34,0.34,0.34,2000
ok,2024-01-08 18:00:00,0.34,0.34,0.34,0.34,1500
ok,2024-01-08 18:30:00,0.33,0.34,0.33,0.34,1100
ok,2024-01-09 08:00:00,0.32,0.32,0.32,0.32,458
ok,2024-01-09 08:30:00,0.34,0.34,0.34,0.34,100
ok,2024-01-09 09:30:00,0.33,0.34,0.33,0.33,5812
ok,2024-01-09 10:00:00,0.33,0.33,0.33,0.33,11677
ok,2024-01-09 10:30:00,0.33,0.33,0.33,0.33,8200
ok,2024-01-09 11:00:00,0.33,0.33,0.33,0.33,1699
ok,2024-01-09 11:30:00,0.33,0.33,0.33,0.33,3739
ok,2024-01-09 12:00:00,0.33,0.33,0.33,0.33,5828
ok,2024-01-09 12:30:00,0.33,0.33,0.33,0.33,29107
ok,2024-01-09 13:00:00,0.33,0.34,0.33,0.33,18328
ok,2024-01-09 13:30:00,0.34,0.34,0.33,0.33,46413
ok,2024-01-09 14:00:00,0.33,0.33,0.33,0.33,300
ok,2024-01-09 14:30:00,0.33,0.33,0.33,0.33,207
ok,2024-01-09 15:00:00,0.33,0.33,0.33,0.33,100
ok,2024-01-09 15:30:00,0.34,0.34,0.34,0.34,8644
ok,2024-01-09 19:30:00,0.33,0.33,0.33,0.33,2051
ok,2024-01-10 04:30:00,0.34,0.34,0.34,0.34,100
ok,2024-01-10 05:00:00,0.34,0.34,0.34,0.34,400
ok,2024-01-10 06:00:00,0.34,0.34,0.34,0.34,100
ok,2024-01-10 09:30:00,0.33,0.33,0.32,0.33,16337
ok,2024-01-10 10:00:00,0.33,0.33,0.33,0.33,14594
ok,2024-01-10 10:30:00,0.33,0.33,0.33,0.33,4476
ok,2024-01-10 11:00:00,0.33,0.33,0.32,0.32,72156
ok,2024-01-10 11:30:00,0.32,0.32,0.32,0.32,15587
ok,2024-01-10 12:00:00,0.32,0.32,0.32,0.32,16634
ok,2024-01-10 12:30:00,0.32,0.32,0.32,0.32,1629
ok,2024-01-10 13:00:00,0.32,0.32,0.32,0.32,21709
ok,2024-01-10 13:30:00,0.32,0.32,0.32,0.32,20915
ok,2024-01-10 14:00:00,0.32,0.32,0.32,0.32,200
ok,2024-01-10 14:30:00,0.32,0.32,0.32,0.32,1753
ok,2024-01-10 15:00:00,0.32,0.32,0.32,0.32,3446
ok,2024-01-10 15:30:00,0.32,0.32,0.31,0.32,28120
ok,2024-01-10 17:00:00,0.32,0.32,0.32,0.32,100
ok,2024-01-10 18:00:00,0.33,0.33,0.33,0.33,140
ok,2024-01-10 19:00:00,0.33,0.34,0.33,0.34,4623
ok,2024-01-10 19:30:00,0.34,0.34,0.34,0.34,458
ok,2024-01-11 07:00:00,0.33,0.33,0.33,0.33,166
ok,2024-01-11 08:00:00,0.34,0.34,0.33,0.34,5598
ok,2024-01-11 08:30:00,0.33,0.33,0.33,0.33,1387
ok,2024-01-11 09:00:00,0.33,0.34,0.32,0.32,14305
ok,2024-01-11 09:30:00,0.32,0.32,0.32,0.32,55767
ok,2024-01-11 10:00:00,0.32,0.32,0.32,0.32,1150
ok,2024-01-11 10:30:00,0.32,0.32,0.32,0.32,10831
ok,2024-01-11 11:00:00,0.32,0.32,0.32,0.32,23202
ok,2024-01-11 11:30:00,0.32,0.32,0.32,0.32,2923
ok,2024-01-11 12:00:00,0.32,0.32,0.32,0.32,3754
ok,2024-01-11 12:30:00,0.32,0.32,0.31,0.32,75104
ok,2024-01-11 13:00:00,0.32,0.32,0.3,0.31,18405
ok,2024-01-11 13:30:00,0.31,0.32,0.31,0.32,13933
ok,2024-01-11 14:00:00,0.31,0.31,0.29,0.3,180270
ok,2024-01-11 14:30:00,0.3,0.3,0.29,0.3,11098
ok,2024-01-11 15:00:00,0.3,0.3,0.29,0.29,143509
ok,2024-01-11 15:30:00,0.3,0.3,0.29,0.3,4626
ok,2024-01-11 16:00:00,0.29,0.3,0.29,0.3,2806
ok,2024-01-11 16:30:00,0.29,0.3,0.29,0.3,1765
ok,2024-01-11 19:30:00,0.33,0.33,0.33,0.33,100
ok,2024-01-12 04:00:00,0.3,0.3,0.3,0.3,100
ok,2024-01-12 07:00:00,0.3,0.3,0.3,0.3,400
ok,2024-01-12 08:00:00,0.3,0.3,0.3,0.3,1455
ok,2024-01-12 08:30:00,0.3,0.3,0.3,0.3,1000
ok,2024-01-12 09:00:00,0.3,0.3,0.3,0.3,4607
ok,2024-01-12 09:30:00,0.3,0.3,0.29,0.3,27510
ok,2024-01-12 10:00:00,0.3,0.3,0.29,0.3,34300
ok,2024-01-12 10:30:00,0.3,0.31,0.3,0.3,89148
ok,2024-01-12 11:00:00,0.31,0.31,0.3,0.31,4020
ok,2024-01-12 11:30:00,0.3,0.31,0.3,0.31,27067
ok,2024-01-12 12:00:00,0.3,0.3,0.3,0.3,27342
ok,2024-01-12 12:30:00,0.3,0.3,0.3,0.3,3807
ok,2024-01-12 13:00:00,0.3,0.3,0.3,0.3,8827
ok,2024-01-12 13:30:00,0.3,0.3,0.3,0.3,100
ok,2024-01-12 14:00:00,0.3,0.3,0.3,0.3,1025
ok,2024-01-12 14:30:00,0.3,0.3,0.3,0.3,3700
ok,2024-01-12 15:00:00,0.3,0.3,0.29,0.29,15000
ok,2024-01-12 15:30:00,0.29,0.3,0.29,0.29,2375
ok,2024-01-12 16:00:00,0.31,0.31,0.31,0.31,205
ok,2024-01-12 18:00:00,0.3,0.3,0.3,0.3,800
ok,2024-01-16 07:00:00,0.29,0.29,0.29,0.29,500
ok,2024-01-16 07:30:00,0.3,0.33,0.29,0.3,33890
ok,2024-01-16 08:00:00,0.31,0.33,0.3,0.33,46242
ok,2024-01-16 08:30:00,0.33,0.33,0.31,0.32,49751
ok,2024-01-16 09:00:00,0.32,0.32,0.31,0.32,4150
ok,2024-01-16 09:30:00,0.31,0.32,0.29,0.3,67279
ok,2024-01-16 10:00:00,0.3,0.3,0.29,0.29,94666
ok,2024-01-16 10:30:00,0.29,0.3,0.27,0.28,70558
ok,2024-01-16 11:00:00,0.28,0.28,0.27,0.28,39510
ok,2024-01-16 11:30:00,0.28,0.28,0.28,0.28,13393
ok,2024-01-16 12:00:00,0.28,0.28,0.28,0.28,5109
ok,2024-01-16 12:30:00,0.28,0.28,0.28,0.28,29027
ok,2024-01-16 13:00:00,0.28,0.28,0.28,0.28,8842
ok,2024-01-16 13:30:00,0.28,0.28,0.27,0.28,43498
ok,2024-01-16 14:00:00,0.28,0.28,0.27,0.27,18822
ok,2024-01-16 14:30:00,0.27,0.28,0.27,0.27,7861
ok,2024-01-16 15:00:00,0.27,0.28,0.27,0.28,9791
ok,2024-01-16 15:30:00,0.27,0.28,0.27,0.28,11327
ok,2024-01-16 16:00:00,0.28,0.28,0.28,0.28,200
ok,2024-01-16 16:30:00,0.28,0.28,0.28,0.28,200
ok,2024-01-16 17:00:00,0.27,0.27,0.27,0.27,5111
ok,2024-01-16 17:30:00,0.28,0.28,0.28,0.28,5000
ok,2024-01-17 04:00:00,0.27,0.27,0.27,0.27,494
ok,2024-01-17 07:00:00,0.27,0.27,0.27,0.27,143
ok,2024-01-17 07:30:00,0.27,0.27,0.27,0.27,7605
ok,2024-01-17 08:00:00,0.27,0.27,0.27,0.27,4159
ok,2024-01-17 08:30:00,0.27,0.27,0.27,0.27,700
ok,2024-01-17 09:30:00,0.26,0.27,0.26,0.26,145374
ok,2024-01-17 10:00:00,0.26,0.26,0.26,0.26,2128
ok,2024-01-17 10:30:00,0.26,0.26,0.26,0.26,18160
ok,2024-01-17 11:00:00,0.26,0.26,0.25,0.25,41774
ok,2024-01-17 11:30:00,0.25,0.25,0.25,0.25,20889
ok,2024-01-17 12:00:00,0.25,0.25,0.25,0.25,6722
ok,2024-01-17 12:30:00,0.25,0.27,0.25,0.27,119333
ok,2024-01-17 13:00:00,0.27,0.27,0.27,0.27,200
ok,2024-01-17 13:30:00,0.26,0.27,0.26,0.26,35204
ok,2024-01-17 14:00:00,0.26,0.26,0.26,0.26,200
ok,2024-01-17 14:30:00,0.27,0.27,0.27,0.27,2050
ok,2024-01-17 15:00:00,0.26,0.26,0.25,0.26,24559
ok,2024-01-17 15:30:00,0.26,0.27,0.26,0.27,3130
ok,2024-01-17 16:00:00,0.27,0.27,0.27,0.27,5000
ok,2024-01-17 16:30:00,0.26,0.26,0.26,0.26,700
ok,2024-01-17 17:00:00,0.26,0.26,0.26,0.26,112
ok,2024-01-17 18:30:00,0.27,0.27,0.27,0.27,200
ok,2024-01-18 08:00:00,0.26,0.26,0.26,0.26,103
ok,2024-01-18 09:00:00,0.27,0.27,0.27,0.27,4720
ok,2024-01-18 09:30:00,0.27,0.27,0.26,0.26,18953
ok,2024-01-18 10:00:00,0.26,0.27,0.26,0.27,26017
ok,2024-01-18 10:30:00,0.27,0.27,0.26,0.27,10290
ok,2024-01-18 11:00:00,0.27,0.27,0.26,0.27,18543
ok,2024-01-18 11:30:00,0.27,0.27,0.27,0.27,208
ok,2024-01-18 12:30:00,0.27,0.27,0.27,0.27,300
ok,2024-01-18 13:00:00,0.27,0.27,0.27,0.27,100
ok,2024-01-18 14:00:00,0.27,0.27,0.27,0.27,6234
ok,2024-01-18 15:00:00,0.26,0.27,0.26,0.26,2988
ok,2024-01-18 15:30:00,0.26,0.27,0.26,0.27,7034
ok,2024-01-18 16:00:00,0.27,0.27,0.27,0.27,996
ok,2024-01-18 17:00:00,0.26,0.26,0.26,0.26,1000
ok,2024-01-19 06:30:00,0.27,0.27,0.27,0.27,600
ok,2024-01-19 08:30:00,0.27,0.27,0.27,0.27,1000
ok,2024-01-19 09:00:00,0.27,0.27,0.27,0.27,900
ok,2024-01-19 09:30:00,0.27,0.27,0.27,0.27,13459
ok,2024-01-19 10:00:00,0.27,0.27,0.27,0.27,8268
ok,2024-01-19 10:30:00,0.27,0.27,0.27,0.27,2319
ok,2024-01-19 11:00:00,0.27,0.27,0.27,0.27,2971
ok,2024-01-19 11:30:00,0.27,0.27,0.27,0.27,11547
