s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,4.9,4.98,4.9,4.98,703
ok,2024-01-02 05:00:00,4.9,4.9,4.9,4.9,1000
ok,2024-01-02 06:30:00,5.0,5.0,5.0,5.0,210
ok,2024-01-02 07:00:00,5.11,5.11,4.97,4.99,802
ok,2024-01-02 08:00:00,5.11,5.11,4.96,4.96,295
ok,2024-01-02 09:00:00,4.96,4.96,4.9,4.9,621
ok,2024-01-02 09:30:00,4.88,4.94,4.8,4.87,2157
ok,2024-01-02 10:00:00,4.89,4.94,4.87,4.88,2343
ok,2024-01-02 10:30:00,4.88,4.94,4.87,4.92,2058
ok,2024-01-02 11:00:00,4.87,4.91,4.85,4.91,728
ok,2024-01-02 11:30:00,4.86,4.86,4.85,4.86,724
ok,2024-01-02 13:00:00,4.91,4.96,4.88,4.93,3489
ok,2024-01-02 13:30:00,5.0,5.16,4.98,5.09,30940
ok,2024-01-02 14:00:00,5.11,5.11,5.05,5.07,3672
ok,2024-01-02 14:30:00,5.06,5.06,5.0,5.03,3384
ok,2024-01-02 15:00:00,5.1,5.15,5.05,5.05,6448
ok,2024-01-02 15:30:00,5.06,5.15,5.01,5.12,4298
ok,2024-01-02 16:00:00,5.0,5.0,5.0,5.0,100
ok,2024-01-02 16:30:00,5.1,5.1,5.1,5.1,1000
ok,2024-01-02 19:00:00,5.1,5.1,5.09,5.09,1100
ok,2024-01-02 19:30:00,5.1,5.1,5.1,5.1,600
ok,2024-01-03 08:30:00,5.19,5.19,5.0,5.0,738
ok,2024-01-03 09:00:00,5.0,5.09,5.0,5.09,389
ok,2024-01-03 09:30:00,5.0,5.25,4.91,5.17,8580
ok,2024-01-03 10:00:00,5.19,5.59,5.15,5.5,58569
ok,2024-01-03 10:30:00,5.55,5.74,5.42,5.54,55058
ok,2024-01-03 11:00:00,5.63,5.69,5.53,5.6,8669
ok,2024-01-03 11:30:00,5.67,5.67,5.41,5.5,12119
ok,2024-01-03 12:00:00,5.41,5.65,5.4,5.4,2713
ok,2024-01-03 12:30:00,5.5,5.65,5.41,5.56,3801
ok,2024-01-03 13:00:00,5.56,5.56,5.43,5.51,2567
ok,2024-01-03 13:30:00,5.52,5.54,5.42,5.45,1920
ok,2024-01-03 14:00:00,5.51,5.56,5.46,5.56,2130
ok,2024-01-03 14:30:00,5.55,5.55,5.5,5.5,904
ok,2024-01-03 15:00:00,5.51,5.6,5.46,5.5,7686
ok,2024-01-03 15:30:00,5.5,5.58,5.45,5.51,9928
ok,2024-01-03 16:00:00,5.6,5.6,5.6,5.6,100
ok,2024-01-03 18:00:00,5.52,5.52,5.52,5.52,202
ok,2024-01-04 04:30:00,5.6,5.6,5.6,5.6,285
ok,2024-01-04 05:30:00,5.67,5.68,5.67,5.68,468
ok,2024-01-04 07:00:00,5.96,5.96,5.61,5.61,1364
ok,2024-01-04 07:30:00,5.55,5.55,5.47,5.54,1245
ok,2024-01-04 08:00:00,5.84,5.96,5.5,5.82,4242
ok,2024-01-04 08:30:00,5.85,7.35,5.85,6.0,116834
ok,2024-01-04 09:00:00,5.9,6.1,5.7,5.92,27079
ok,2024-01-04 09:30:00,5.9,5.9,5.45,5.68,36092
ok,2024-01-04 10:00:00,5.55,5.63,5.15,5.19,31602
ok,2024-01-04 10:30:00,5.19,5.46,5.02,5.2,8591
ok,2024-01-04 11:00:00,5.2,5.34,5.18,5.18,9186
ok,2024-01-04 11:30:00,5.2,5.23,5.18,5.23,1259
ok,2024-01-04 12:30:00,5.2,5.2,5.07,5.11,6522
ok,2024-01-04 13:00:00,5.12,5.19,5.12,5.12,4168
ok,2024-01-04 13:30:00,5.13,5.19,5.13,5.19,1364
ok,2024-01-04 14:00:00,5.14,5.17,5.12,5.13,2642
ok,2024-01-04 14:30:00,5.14,5.14,5.13,5.13,745
ok,2024-01-04 15:00:00,5.16,5.16,5.12,5.12,6711
ok,2024-01-04 15:30:00,5.11,5.13,5.05,5.05,6497
ok,2024-01-04 16:00:00,5.36,5.37,5.36,5.36,1924
ok,2024-01-04 17:30:00,5.16,5.16,5.16,5.16,100
ok,2024-01-04 18:00:00,5.12,5.28,5.12,5.28,1113
ok,2024-01-04 18:30:00,5.12,5.12,5.12,5.12,312
ok,2024-01-04 19:30:00,5.13,5.13,5.13,5.13,125
ok,2024-01-05 04:00:00,5.01,5.01,5.01,5.01,253
ok,2024-01-05 09:30:00,4.94,5.2,4.73,4.76,13703
ok,2024-01-05 10:00:00,4.92,4.98,4.77,4.94,3364
ok,2024-01-05 10:30:00,4.94,4.94,4.92,4.92,685
ok,2024-01-05 11:00:00,4.91,4.92,4.81,4.89,1441
ok,2024-01-05 11:30:00,4.87,4.9,4.87,4.9,3113
ok,2024-01-05 12:00:00,4.9,4.9,4.75,4.75,9666
ok,2024-01-05 12:30:00,4.78,4.78,4.6,4.74,12703
ok,2024-01-05 13:00:00,4.75,4.75,4.6,4.7,4910
ok,2024-01-05 13:30:00,4.71,4.81,4.71,4.81,4539
ok,2024-01-05 14:00:00,4.8,4.89,4.71,4.8,2714
ok,2024-01-05 14:30:00,4.8,4.85,4.78,4.85,849
ok,2024-01-05 15:00:00,4.85,4.85,4.85,4.85,100
ok,2024-01-05 15:30:00,4.86,4.86,4.78,4.84,3678
ok,2024-01-05 16:00:00,4.7,4.9,4.7,4.9,498
ok,2024-01-05 19:30:00,4.88,4.88,4.88,4.88,108
ok,2024-01-08 08:30:00,4.84,4.84,4.84,4.84,707
ok,2024-01-08 09:00:00,4.75,4.75,4.75,4.75,700
ok,2024-01-08 09:30:00,4.73,4.73,4.68,4.68,2703
ok,2024-01-08 10:00:00,4.72,4.82,4.72,4.82,2165
ok,2024-01-08 10:30:00,4.81,4.97,4.78,4.82,2456
ok,2024-01-08 11:00:00,4.81,4.81,4.6,4.6,6532
ok,2024-01-08 11:30:00,4.62,4.62,4.51,4.51,13135
ok,2024-01-08 12:00:00,4.58,4.62,4.54,4.61,9448
ok,2024-01-08 12:30:00,4.54,4.61,4.45,4.61,4295
ok,2024-01-08 13:00:00,4.5,4.53,4.32,4.34,14940
ok,2024-01-08 13:30:00,4.35,4.4,4.34,4.34,2832
ok,2024-01-08 14:00:00,4.39,4.44,4.39,4.4,926
ok,2024-01-08 14:30:00,4.4,4.45,4.4,4.45,2523
