s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,2.24,2.25,2.13,2.22,17039
ok,2024-01-02 10:00:00,2.24,2.31,2.23,2.29,19605
ok,2024-01-02 10:30:00,2.3,2.3,2.2,2.2,26114
ok,2024-01-02 11:00:00,2.19,2.24,2.17,2.24,7011
ok,2024-01-02 11:30:00,2.24,2.24,2.21,2.23,4173
ok,2024-01-02 12:00:00,2.23,2.29,2.21,2.29,5491
ok,2024-01-02 12:30:00,2.3,2.31,2.26,2.26,7468
ok,2024-01-02 13:00:00,2.27,2.29,2.26,2.28,2555
ok,2024-01-02 13:30:00,2.28,2.3,2.26,2.28,21580
ok,2024-01-02 14:00:00,2.3,2.3,2.2,2.23,16329
ok,2024-01-02 14:30:00,2.24,2.28,2.23,2.26,2918
ok,2024-01-02 15:00:00,2.28,2.28,2.23,2.28,8840
ok,2024-01-02 15:30:00,2.27,2.3,2.21,2.21,42733
ok,2024-01-02 16:00:00,2.22,2.22,2.22,2.22,190
ok,2024-01-03 08:30:00,2.22,2.22,2.22,2.22,100
ok,2024-01-03 09:30:00,2.17,2.17,2.01,2.01,27839
ok,2024-01-03 10:00:00,2.02,2.06,2.01,2.05,11644
ok,2024-01-03 10:30:00,2.05,2.05,2.0,2.01,5396
ok,2024-01-03 11:00:00,2.03,2.05,2.01,2.03,5067
ok,2024-01-03 11:30:00,2.03,2.04,1.97,1.97,15297
ok,2024-01-03 12:00:00,2.0,2.0,1.95,1.96,1954
ok,2024-01-03 12:30:00,1.95,1.95,1.94,1.95,2682
ok,2024-01-03 13:00:00,1.94,1.96,1.94,1.94,14633
ok,2024-01-03 13:30:00,1.94,1.95,1.94,1.95,1536
ok,2024-01-03 14:00:00,1.94,1.95,1.94,1.94,5722
ok,2024-01-03 14:30:00,1.94,1.94,1.9,1.9,16674
ok,2024-01-03 15:00:00,1.91,1.91,1.76,1.8,58997
ok,2024-01-03 15:30:00,1.81,1.84,1.79,1.8,71940
ok,2024-01-04 06:30:00,1.8,1.8,1.8,1.8,900
ok,2024-01-04 09:00:00,1.81,1.81,1.81,1.81,272
ok,2024-01-04 09:30:00,1.8,1.85,1.8,1.81,14179
ok,2024-01-04 10:00:00,1.81,1.9,1.8,1.86,36077
ok,2024-01-04 10:30:00,1.87,1.89,1.84,1.87,8149
ok,2024-01-04 11:00:00,1.86,1.87,1.86,1.87,2761
ok,2024-01-04 11:30:00,1.86,1.87,1.83,1.84,3098
ok,2024-01-04 12:00:00,1.83,1.84,1.83,1.84,330
ok,2024-01-04 12:30:00,1.84,1.84,1.83,1.83,3934
ok,2024-01-04 13:00:00,1.83,1.84,1.83,1.84,1383
ok,2024-01-04 13:30:00,1.84,1.84,1.83,1.84,9797
ok,2024-01-04 14:00:00,1.84,1.84,1.83,1.83,723
ok,2024-01-04 14:30:00,1.84,1.84,1.83,1.84,4645
ok,2024-01-04 15:00:00,1.84,1.84,1.78,1.82,61385
ok,2024-01-04 15:30:00,1.82,1.83,1.82,1.82,7949
ok,2024-01-05 09:30:00,1.81,1.83,1.75,1.77,11725
ok,2024-01-05 10:00:00,1.78,1.79,1.75,1.78,3387
ok,2024-01-05 10:30:00,1.8,1.98,1.78,1.9,69568
ok,2024-01-05 11:00:00,1.87,1.88,1.81,1.82,12258
ok,2024-01-05 11:30:00,1.8,1.83,1.78,1.78,7722
ok,2024-01-05 12:00:00,1.78,1.83,1.76,1.77,4949
ok,2024-01-05 12:30:00,1.77,1.88,1.77,1.86,9596
ok,2024-01-05 13:00:00,1.83,1.85,1.8,1.82,2555
ok,2024-01-05 13:30:00,1.83,1.88,1.83,1.83,8304
ok,2024-01-05 14:00:00,1.83,1.86,1.8,1.8,4190
ok,2024-01-05 14:30:00,1.83,1.86,1.8,1.82,8173
ok,2024-01-05 15:00:00,1.86,1.88,1.83,1.83,4512
ok,2024-01-05 15:30:00,1.83,1.98,1.82,1.96,50318
ok,2024-01-05 16:00:00,1.98,1.98,1.98,1.98,300
ok,2024-01-08 07:00:00,1.97,1.97,1.97,1.97,300
ok,2024-01-08 08:30:00,1.86,1.86,1.86,1.86,1000
ok,2024-01-08 09:30:00,1.99,2.0,1.87,1.9,9136
ok,2024-01-08 10:00:00,1.92,1.99,1.9,1.97,3289
ok,2024-01-08 10:30:00,1.92,1.97,1.9,1.9,3315
ok,2024-01-08 11:00:00,1.94,1.94,1.91,1.92,988
ok,2024-01-08 11:30:00,1.93,1.93,1.9,1.9,3330
ok,2024-01-08 12:00:00,1.93,1.97,1.92,1.96,4400
ok,2024-01-08 12:30:00,1.97,1.97,1.92,1.93,4360
ok,2024-01-08 13:00:00,1.94,1.96,1.94,1.94,2752
ok,2024-01-08 13:30:00,1.94,1.94,1.86,1.86,10385
ok,2024-01-08 14:00:00,1.86,1.87,1.85,1.85,3558
ok,2024-01-08 14:30:00,1.84,1.84,1.81,1.81,3273
ok,2024-01-08 15:00:00,1.81,1.89,1.8,1.83,9042
ok,2024-01-08 15:30:00,1.88,1.9,1.82,1.86,18184
ok,2024-01-08 16:00:00,1.87,1.87,1.87,1.87,385
ok,2024-01-08 19:30:00,1.85,1.85,1.8,1.8,1500
ok,2024-01-09 09:30:00,1.87,1.88,1.87,1.87,3526
ok,2024-01-09 10:00:00,1.88,1.89,1.83,1.87,4112
ok,2024-01-09 10:30:00,1.9,1.9,1.81,1.81,19002
ok,2024-01-09 11:00:00,1.81,1.82,1.8,1.81,7311
ok,2024-01-09 11:30:00,1.81,1.83,1.81,1.83,2134
ok,2024-01-09 12:00:00,1.82,1.83,1.82,1.82,2081
ok,2024-01-09 12:30:00,1.83,1.83,1.76,1.76,46678
ok,2024-01-09 13:00:00,1.8,1.81,1.76,1.8,6397
ok,2024-01-09 13:30:00,1.8,1.8,1.8,1.8,562
ok,2024-01-09 14:00:00,1.79,1.79,1.75,1.76,7049
ok,2024-01-09 14:30:00,1.76,1.77,1.7,1.71,9162
ok,2024-01-09 15:00:00,1.74,1.75,1.72,1.73,791
ok,2024-01-09 15:30:00,1.74,1.75,1.67,1.7,27669
ok,2024-01-10 09:30:00,1.69,1.78,1.66,1.71,12287
ok,2024-01-10 10:00:00,1.67,1.69,1.65,1.68,3667
ok,2024-01-10 10:30:00,1.72,1.74,1.71,1.73,8968
ok,2024-01-10 11:00:00,1.73,1.74,1.72,1.72,2628
ok,2024-01-10 11:30:00,1.72,1.72,1.72,1.72,653
ok,2024-01-10 12:00:00,1.71,1.71,1.7,1.7,2809
ok,2024-01-10 12:30:00,1.7,1.7,1.68,1.68,2769
ok,2024-01-10 13:00:00,1.68,1.68,1.68,1.68,954
ok,2024-01-10 13:30:00,1.68,1.7,1.68,1.7,3558
ok,2024-01-10 14:00:00,1.7,1.74,1.7,1.72,4558
ok,2024-01-10 14:30:00,1.73,1.73,1.7,1.7,1132
ok,2024-01-10 15:00:00,1.72,1.72,1.7,1.7,1240
ok,2024-01-10 15:30:00,1.71,1.71,1.67,1.67,7151
ok,2024-01-10 18:30:00,1.6,1.6,1.6,1.6,460
ok,2024-01-11 09:30:00,1.66,1.74,1.66,1.68,2987
ok,2024-01-11 10:00:00,1.66,1.68,1.59,1.59,11225
ok,2024-01-11 10:30:00,1.6,1.64,1.59,1.6,7134
ok,2024-01-11 11:00:00,1.6,1.6,1.59,1.59,673
ok,2024-01-11 11:30:00,1.64,1.64,1.62,1.62,215
ok,2024-01-11 12:00:00,1.6,1.62,1.6,1.62,300
ok,2024-01-11 12:30:00,1.62,1.62,1.62,1.62,126
ok,2024-01-11 13:00:00,1.64,1.68,1.64,1.66,1923
ok,2024-01-11 13:30:00,1.69,1.69,1.68,1.68,250
ok,2024-01-11 14:00:00,1.66,1.66,1.66,1.66,213
ok,2024-01-11 14:30:00,1.66,1.66,1.66,1.66,121
ok,2024-01-11 15:00:00,1.66,1.67,1.65,1.67,2021
ok,2024-01-11 15:30:00,1.68,1.69,1.63,1.65,8017
ok,2024-01-12 09:30:00,1.69,1.69,1.61,1.67,6903
ok,2024-01-12 10:00:00,1.66,1.69,1.63,1.64,5955
ok,2024-01-12 10:30:00,1.64,1.7,1.62,1.62,1668
ok,2024-01-12 11:00:00,1.67,1.7,1.67,1.69,2108
ok,2024-01-12 11:30:00,1.69,1.69,1.67,1.69,1472
ok,2024-01-12 12:00:00,1.68,1.69,1.67,1.67,2437
ok,2024-01-12 12:30:00,1.67,1.67,1.66,1.66,1664
ok,2024-01-12 13:00:00,1.65,1.67,1.65,1.65,1410
ok,2024-01-12 13:30:00,1.65,1.66,1.64,1.66,3199
ok,2024-01-12 14:00:00,1.65,1.67,1.65,1.67,2061
ok,2024-01-12 14:30:00,1.65,1.65,1.64,1.64,583
ok,2024-01-12 15:00:00,1.65,1.66,1.64,1.64,1619
ok,2024-01-12 15:30:00,1.64,1.66,1.63,1.63,13856
ok,2024-01-12 16:00:00,1.63,1.63,1.63,1.63,841
ok,2024-01-16 09:00:00,1.64,1.64,1.64,1.64,250
ok,2024-01-16 09:30:00,1.6,1.7,1.6,1.61,12517
ok,2024-01-16 10:00:00,1.61,1.67,1.61,1.61,5465
ok,2024-01-16 10:30:00,1.61,1.62,1.61,1.61,5788
ok,2024-01-16 11:00:00,1.61,1.61,1.56,1.56,8181
ok,2024-01-16 11:30:00,1.58,1.59,1.56,1.56,3737
ok,2024-01-16 12:00:00,1.56,1.56,1.56,1.56,8118
ok,2024-01-16 12:30:00,1.56,1.57,1.56,1.56,7819
ok,2024-01-16 13:00:00,1.57,1.57,1.56,1.57,6058
ok,2024-01-16 13:30:00,1.56,1.57,1.56,1.56,3239
ok,2024-01-16 14:00:00,1.56,1.57,1.56,1.56,4139
ok,2024-01-16 14:30:00,1.56,1.58,1.56,1.58,9634
ok,2024-01-16 15:00:00,1.56,1.59,1.56,1.59,5134
ok,2024-01-16 15:30:00,1.58,1.6,1.56,1.56,34681
ok,2024-01-17 09:30:00,1.55,1.69,1.55,1.64,5151
ok,2024-01-17 10:00:00,1.62,1.63,1.58,1.58,562
ok,2024-01-17 10:30:00,1.56,1.57,1.54,1.54,1690
ok,2024-01-17 11:00:00,1.55,1.56,1.54,1.55,4753
ok,2024-01-17 11:30:00,1.56,1.56,1.54,1.56,8915
ok,2024-01-17 12:00:00,1.56,1.56,1.55,1.55,809
ok,2024-01-17 12:30:00,1.56,1.56,1.55,1.56,1876
ok,2024-01-17 13:00:00,1.54,1.55,1.54,1.55,20318
ok,2024-01-17 13:30:00,1.54,1.56,1.48,1.51,22538
ok,2024-01-17 14:00:00,1.49,1.54,1.49,1.52,1221
ok,2024-01-17 14:30:00,1.49,1.5,1.48,1.5,3200
ok,2024-01-17 15:00:00,1.49,1.49,1.46,1.46,4664
ok,2024-01-17 15:30:00,1.47,1.47,1.43,1.46,11134
ok,2024-01-18 09:30:00,1.45,1.53,1.45,1.47,3333
ok,2024-01-18 10:00:00,1.46,1.53,1.45,1.53,4563
ok,2024-01-18 10:30:00,1.53,1.53,1.53,1.53,438
ok,2024-01-18 11:00:00,1.53,1.69,1.51,1.64,17773
ok,2024-01-18 11:30:00,1.64,1.78,1.61,1.7,42719
ok,2024-01-18 12:00:00,1.68,1.69,1.56,1.59,20849
ok,2024-01-18 12:30:00,1.58,1.67,1.56,1.6,33345
ok,2024-01-18 13:00:00,1.57,1.63,1.57,1.63,5920
ok,2024-01-18 13:30:00,1.58,1.64,1.58,1.62,5698
ok,2024-01-18 14:00:00,1.6,1.64,1.59,1.62,26960
ok,2024-01-18 14:30:00,1.64,1.68,1.62,1.66,10851
ok,2024-01-18 15:00:00,1.64,1.67,1.64,1.67,1997
ok,2024-01-18 15:30:00,1.66,1.67,1.61,1.63,21529
ok,2024-01-19 08:30:00,1.68,1.68,1.68,1.68,100
ok,2024-01-19 09:30:00,1.67,1.7,1.63,1.63,12203
ok,2024-01-19 10:00:00,1.63,1.63,1.58,1.59,4979
ok,2024-01-19 10:30:00,1.61,1.66,1.61,1.66,1659
ok,2024-01-19 11:00:00,1.62,1.68,1.61,1.61,4794
ok,2024-01-19 11:30:00,1.6,1.6,1.51,1.51,6309
ok,2024-01-19 12:00:00,1.52,1.52,1.52,1.52,415
ok,2024-01-19 12:30:00,1.53,1.53,1.52,1.53,516
ok,2024-01-19 13:00:00,1.55,1.57,1.54,1.56,6194
ok,2024-01-19 13:30:00,1.56,1.56,1.56,1.56,999
ok,2024-01-19 14:00:00,1.57,1.57,1.56,1.57,1479
ok,2024-01-19 14:30:00,1.6,1.61,1.58,1.6,3203
ok,2024-01-19 15:00:00,1.59,1.6,1.59,1.59,1085
ok,2024-01-19 15:30:00,1.59,1.59,1.54,1.56,17437
ok,2024-01-22 08:30:00,1.54,1.54,1.54,1.54,628
ok,2024-01-22 09:00:00,1.58,1.58,1.58,1.58,800
ok,2024-01-22 09:30:00,1.56,1.62,1.56,1.62,5478
ok,2024-01-22 10:00:00,1.59,1.64,1.59,1.59,835
ok,2024-01-22 10:30:00,1.59,1.59,1.57,1.57,1881
ok,2024-01-22 11:00:00,1.6,1.6,1.58,1.59,1323
ok,2024-01-22 11:30:00,1.59,1.65,1.59,1.65,4961
ok,2024-01-22 12:00:00,1.64,1.64,1.64,1.64,453
ok,2024-01-22 12:30:00,1.63,1.63,1.63,1.63,946
ok,2024-01-22 13:00:00,1.62,1.64,1.62,1.64,2892
ok,2024-01-22 13:30:00,1.63,1.64,1.62,1.64,4775
ok,2024-01-22 14:00:00,1.63,1.63,1.61,1.61,8866
ok,2024-01-22 14:30:00,1.61,1.61,1.6,1.61,1016
ok,2024-01-22 15:00:00,1.6,1.61,1.6,1.6,7888
ok,2024-01-22 15:30:00,1.6,1.61,1.57,1.61,16762
ok,2024-01-23 09:30:00,1.62,1.63,1.6,1.6,4746
ok,2024-01-23 10:00:00,1.61,1.65,1.61,1.65,2961
ok,2024-01-23 10:30:00,1.64,1.65,1.63,1.64,1458
ok,2024-01-23 11:00:00,1.66,1.66,1.66,1.66,123
ok,2024-01-23 11:30:00,1.66,1.66,1.66,1.66,220
ok,2024-01-23 12:00:00,1.65,1.65,1.64,1.65,467
ok,2024-01-23 12:30:00,1.66,1.68,1.66,1.68,659
ok,2024-01-23 13:00:00,1.69,1.69,1.67,1.68,3958
ok,2024-01-23 13:30:00,1.69,1.69,1.68,1.69,1229
ok,2024-01-23 14:00:00,1.69,1.69,1.69,1.69,736
ok,2024-01-23 14:30:00,1.7,1.7,1.7,1.7,239
ok,2024-01-23 15:00:00,1.69,1.73,1.69,1.73,5309
ok,2024-01-23 15:30:00,1.72,1.73,1.7,1.73,4447
ok,2024-01-23 16:00:00,1.72,1.72,1.72,1.72,203
ok,2024-01-24 09:30:00,1.72,1.74,1.72,1.73,3854
ok,2024-01-24 10:00:00,1.71,1.72,1.71,1.72,1211
ok,2024-01-24 10:30:00,1.72,1.79,1.72,1.77,4093
ok,2024-01-24 11:00:00,1.76,1.8,1.72,1.8,13506
ok,2024-01-24 11:30:00,1.76,1.76,1.75,1.76,1203
ok,2024-01-24 12:00:00,1.75,1.76,1.73,1.73,987
ok,2024-01-24 12:30:00,1.73,1.73,1.71,1.71,600
ok,2024-01-24 13:00:00,1.72,1.74,1.72,1.73,3570
ok,2024-01-24 13:30:00,1.74,1.74,1.7,1.74,3050
ok,2024-01-24 14:00:00,1.7,1.7,1.7,1.7,1692
ok,2024-01-24 14:30:00,1.7,1.71,1.7,1.71,947
ok,2024-01-24 15:00:00,1.71,1.72,1.7,1.71,2356
ok,2024-01-24 15:30:00,1.72,1.75,1.69,1.7,9312
ok,2024-01-25 08:00:00,1.66,1.66,1.66,1.66,120
ok,2024-01-25 09:30:00,1.74,1.74,1.68,1.72,3612
ok,2024-01-25 10:00:00,1.72,1.74,1.71,1.74,3692
ok,2024-01-25 10:30:00,1.76,1.76,1.73,1.73,2891
ok,2024-01-25 11:00:00,1.72,1.74,1.72,1.74,781
ok,2024-01-25 11:30:00,1.74,1.74,1.73,1.73,299
ok,2024-01-25 12:00:00,1.75,1.76,1.75,1.76,1202
ok,2024-01-25 12:30:00,1.76,1.76,1.74,1.74,2252
ok,2024-01-25 13:30:00,1.72,1.77,1.72,1.75,1505
ok,2024-01-25 14:00:00,1.76,1.76,1.75,1.75,1618
ok,2024-01-25 14:30:00,1.77,1.78,1.77,1.78,465
ok,2024-01-25 15:00:00,1.78,1.78,1.78,1.78,1191
ok,2024-01-25 15:30:00,1.77,1.81,1.76,1.78,14959
ok,2024-01-25 16:00:00,1.78,1.78,1.78,1.78,856
ok,2024-01-25 18:30:00,1.8,1.8,1.8,1.8,1000
ok,2024-01-26 09:30:00,1.83,1.85,1.81,1.85,7388
ok,2024-01-26 10:00:00,1.9,1.9,1.85,1.9,4993
ok,2024-01-26 10:30:00,1.9,1.96,1.9,1.96,7846
ok,2024-01-26 11:00:00,1.96,2.15,1.94,2.04,38720
ok,2024-01-26 11:30:00,2.04,2.06,2.0,2.02,16117
ok,2024-01-26 12:00:00,2.02,2.03,1.95,2.01,12168
ok,2024-01-26 12:30:00,2.0,2.03,1.94,2.02,17095
ok,2024-01-26 13:00:00,2.03,2.06,2.02,2.06,7569
ok,2024-01-26 13:30:00,2.04,2.05,2.0,2.02,3603
ok,2024-01-26 14:00:00,2.02,2.05,2.02,2.05,5097
ok,2024-01-26 14:30:00,2.05,2.06,2.01,2.03,15877
ok,2024-01-26 15:00:00,2.02,2.12,2.02,2.07,14945
ok,2024-01-26 15:30:00,2.07,2.11,1.94,1.98,30694
ok,2024-01-29 09:30:00,1.97,2.01,1.92,2.01,10498
ok,2024-01-29 10:00:00,1.99,2.09,1.94,2.04,9380
ok,2024-01-29 10:30:00,2.04,2.1,2.04,2.04,20401
ok,2024-01-29 11:00:00,2.04,2.07,2.01,2.04,3454
ok,2024-01-29 11:30:00,2.03,2.04,2.0,2.04,4166
ok,2024-01-29 12:00:00,2.02,2.04,2.02,2.03,4419
ok,2024-01-29 12:30:00,2.01,2.02,2.0,2.02,961
ok,2024-01-29 13:00:00,2.0,2.0,1.99,1.99,1157
ok,2024-01-29 13:30:00,1.99,2.0,1.95,1.95,2636
ok,2024-01-29 14:00:00,1.95,1.96,1.95,1.96,1790
ok,2024-01-29 14:30:00,1.96,1.96,1.92,1.92,1122
ok,2024-01-29 15:00:00,1.93,1.97,1.93,1.95,4035
ok,2024-01-29 15:30:00,1.95,1.98,1.93,1.95,12846
ok,2024-01-30 04:00:00,2.08,2.09,2.08,2.09,400
ok,2024-01-30 09:30:00,1.92,1.94,1.9,1.9,2213
ok,2024-01-30 10:00:00,1.93,1.93,1.93,1.93,696
ok,2024-01-30 10:30:00,1.96,1.99,1.95,1.95,4721
ok,2024-01-30 11:00:00,1.97,1.97,1.96,1.97,1839
ok,2024-01-30 11:30:00,1.97,1.99,1.97,1.99,1064
ok,2024-01-30 12:00:00,1.99,2.0,1.99,2.0,648
ok,2024-01-30 12:30:00,2.01,2.03,2.0,2.03,2497
ok,2024-01-30 13:00:00,2.03,2.03,2.0,2.01,2922
ok,2024-01-30 13:30:00,2.0,2.01,1.99,1.99,2137
ok,2024-01-30 14:00:00,2.01,2.05,2.01,2.03,10469
ok,2024-01-30 14:30:00,2.04,2.05,2.02,2.05,2481
ok,2024-01-30 15:00:00,2.02,2.04,2.01,2.02,5617
ok,2024-01-30 15:30:00,2.01,2.01,1.94,1.95,7317
ok,2024-01-31 09:30:00,1.95,1.97,1.95,1.96,1099
ok,2024-01-31 10:00:00,1.96,2.0,1.96,2.0,556
ok,2024-01-31 10:30:00,1.98,1.98,1.96,1.96,218
ok,2024-01-31 11:00:00,1.98,1.98,1.95,1.95,1698
ok,2024-01-31 11:30:00,1.97,1.98,1.94,1.98,1028
ok,2024-01-31 12:00:00,1.95,1.95,1.91,1.94,5267
ok,2024-01-31 12:30:00,1.92,1.94,1.91,1.91,1549
ok,2024-01-31 13:00:00,1.91,1.91,1.88,1.88,2716
ok,2024-01-31 13:30:00,1.9,1.9,1.9,1.9,651
ok,2024-01-31 14:00:00,1.95,1.95,1.94,1.94,350
ok,2024-01-31 14:30:00,1.91,1.92,1.91,1.92,586
ok,2024-01-31 15:30:00,1.91,1.92,1.79,1.8,23208
ok,2024-02-01 09:30:00,1.84,1.84,1.77,1.83,8715
ok,2024-02-01 10:00:00,1.82,1.86,1.78,1.78,1446
ok,2024-02-01 10:30:00,1.77,1.8,1.77,1.77,2489
ok,2024-02-01 11:00:00,1.77,1.79,1.77,1.77,2961
ok,2024-02-01 11:30:00,1.77,1.8,1.77,1.77,1611
ok,2024-02-01 12:00:00,1.78,1.78,1.69,1.72,18021
ok,2024-02-01 12:30:00,1.7,1.71,1.65,1.71,13620
ok,2024-02-01 13:00:00,1.71,1.71,1.68,1.7,1414
ok,2024-02-01 13:30:00,1.68,1.72,1.68,1.72,5369
ok,2024-02-01 14:00:00,1.7,1.71,1.69,1.71,2399
ok,2024-02-01 14:30:00,1.7,1.73,1.7,1.73,2922
ok,2024-02-01 15:00:00,1.73,1.73,1.71,1.73,1163
ok,2024-02-01 15:30:00,1.73,1.75,1.71,1.75,7499
ok,2024-02-01 16:00:00,1.69,1.74,1.69,1.74,1724
ok,2024-02-01 19:30:00,1.79,1.79,1.79,1.79,500
ok,2024-02-02 09:30:00,1.73,1.73,1.69,1.7,1534
ok,2024-02-02 10:00:00,1.68,1.68,1.68,1.68,277
ok,2024-02-02 11:00:00,1.71,1.73,1.71,1.72,476
ok,2024-02-02 11:30:00,1.74,1.79,1.74,1.78,4734
ok,2024-02-02 12:00:00,1.79,1.79,1.75,1.75,249
ok,2024-02-02 12:30:00,1.75,1.76,1.71,1.71,1104
ok,2024-02-02 13:00:00,1.76,1.76,1.74,1.74,697
