s,t,o,h,l,c,v
ok,2024-02-05 04:00:00,3.57,3.57,3.57,3.57,140
ok,2024-02-05 04:30:00,3.1,3.1,2.4,2.49,1858
ok,2024-02-05 05:00:00,2.48,2.5,2.33,2.33,877
ok,2024-02-05 05:30:00,2.34,2.34,2.34,2.34,504
ok,2024-02-05 06:00:00,2.5,2.51,2.36,2.51,1370
ok,2024-02-05 06:30:00,2.75,2.75,2.42,2.42,536
ok,2024-02-05 07:00:00,2.5,2.5,2.5,2.5,236
ok,2024-02-05 08:00:00,2.67,2.75,2.6,2.75,1296
ok,2024-02-05 08:30:00,2.85,2.87,2.74,2.8,1882
ok,2024-02-05 09:00:00,2.87,2.89,2.62,2.8,1279
ok,2024-02-05 09:30:00,2.47,2.81,2.47,2.65,18778
ok,2024-02-05 10:00:00,2.68,2.75,2.65,2.65,7091
ok,2024-02-05 10:30:00,2.65,2.65,2.6,2.6,1058
ok,2024-02-05 11:00:00,2.59,2.76,2.59,2.7,10311
ok,2024-02-05 11:30:00,2.73,2.76,2.65,2.65,2302
ok,2024-02-05 12:00:00,2.65,2.76,2.65,2.76,5738
ok,2024-02-05 12:30:00,2.69,2.76,2.69,2.75,1305
ok,2024-02-05 13:00:00,2.75,2.75,2.66,2.66,941
ok,2024-02-05 13:30:00,2.66,2.7,2.66,2.7,578
ok,2024-02-05 14:00:00,2.73,2.74,2.61,2.73,4337
ok,2024-02-05 14:30:00,2.73,2.73,2.7,2.7,1685
ok,2024-02-05 15:00:00,2.73,2.74,2.6,2.67,2969
ok,2024-02-05 15:30:00,2.7,3.03,2.65,3.03,9712
ok,2024-02-05 16:00:00,3.5,3.5,2.85,2.9,12387
ok,2024-02-05 16:30:00,3.0,3.0,2.9,2.9,2481
ok,2024-02-05 17:30:00,2.9,2.92,2.85,2.86,2527
ok,2024-02-05 18:00:00,2.75,2.87,2.75,2.87,1560
ok,2024-02-05 19:30:00,2.79,2.9,2.7,2.8,7657
ok,2024-02-06 04:00:00,2.52,2.62,2.5,2.56,3544
ok,2024-02-06 04:30:00,2.76,2.77,2.75,2.75,1046
ok,2024-02-06 06:30:00,2.7,2.71,2.61,2.61,1217
ok,2024-02-06 07:00:00,2.65,2.65,2.65,2.65,336
ok,2024-02-06 07:30:00,2.74,2.74,2.74,2.74,323
ok,2024-02-06 08:00:00,2.56,2.57,2.25,2.39,8168
ok,2024-02-06 08:30:00,2.46,2.46,2.27,2.45,3828
ok,2024-02-06 09:00:00,2.4,2.46,2.32,2.4,4413
ok,2024-02-06 09:30:00,2.4,2.66,2.25,2.56,33422
ok,2024-02-06 10:00:00,2.51,2.62,2.42,2.48,23235
ok,2024-02-06 10:30:00,2.42,2.52,2.36,2.42,7220
ok,2024-02-06 11:00:00,2.48,2.48,1.84,1.92,31573
ok,2024-02-06 11:30:00,1.93,2.05,1.93,1.99,15460
ok,2024-02-06 12:00:00,1.98,2.01,1.91,1.92,8724
ok,2024-02-06 12:30:00,1.99,2.0,1.85,1.85,11691
ok,2024-02-06 13:00:00,2.0,2.0,1.91,1.98,3383
ok,2024-02-06 13:30:00,1.93,1.97,1.85,1.97,3514
ok,2024-02-06 14:00:00,1.88,1.96,1.88,1.95,4166
ok,2024-02-06 14:30:00,1.95,1.95,1.9,1.9,4301
ok,2024-02-06 15:00:00,1.94,1.96,1.92,1.96,4205
ok,2024-02-06 15:30:00,1.98,2.2,1.98,2.1,15481
ok,2024-02-06 16:00:00,2.0,2.05,1.89,1.89,2217
ok,2024-02-06 16:30:00,2.0,2.14,2.0,2.14,448
ok,2024-02-06 17:00:00,2.1,2.15,2.0,2.0,1590
ok,2024-02-06 17:30:00,2.0,2.0,2.0,2.0,400
ok,2024-02-06 18:00:00,2.1,2.13,2.07,2.07,1000
ok,2024-02-06 18:30:00,2.07,2.09,2.07,2.09,550
ok,2024-02-06 19:30:00,2.01,2.11,1.92,1.93,1854
ok,2024-02-07 04:00:00,2.19,3.22,2.15,2.4,57307
ok,2024-02-07 04:30:00,2.44,2.88,2.44,2.55,51954
ok,2024-02-07 05:00:00,2.55,2.6,2.34,2.53,24888
ok,2024-02-07 05:30:00,2.52,2.69,2.31,2.65,19776
ok,2024-02-07 06:00:00,2.68,2.68,2.43,2.46,4569
ok,2024-02-07 06:30:00,2.5,2.61,2.32,2.32,6395
ok,2024-02-07 07:00:00,2.33,2.37,2.16,2.16,12974
ok,2024-02-07 07:30:00,2.18,2.23,1.85,2.13,15330
ok,2024-02-07 08:00:00,2.31,2.5,1.99,2.2,21518
ok,2024-02-07 08:30:00,2.21,2.21,1.9,2.03,8665
ok,2024-02-07 09:00:00,2.03,2.12,2.03,2.06,2005
ok,2024-02-07 09:30:00,2.08,2.14,1.96,2.09,19123
ok,2024-02-07 10:00:00,2.1,2.1,1.99,2.0,19839
ok,2024-02-07 10:30:00,1.99,2.05,1.99,2.0,10748
ok,2024-02-07 11:00:00,1.99,1.99,1.75,1.76,23524
ok,2024-02-07 11:30:00,1.76,1.99,1.75,1.99,14606
ok,2024-02-07 12:00:00,1.93,2.0,1.8,1.85,31549
ok,2024-02-07 12:30:00,1.85,1.97,1.75,1.8,11963
ok,2024-02-07 13:00:00,1.85,1.87,1.7,1.74,28265
ok,2024-02-07 13:30:00,1.75,1.8,1.74,1.8,9377
ok,2024-02-07 14:00:00,1.8,1.8,1.73,1.73,6647
ok,2024-02-07 14:30:00,1.74,1.77,1.72,1.72,2350
ok,2024-02-07 15:00:00,1.75,1.82,1.73,1.73,12067
ok,2024-02-07 15:30:00,1.74,1.85,1.72,1.76,10290
ok,2024-02-07 16:00:00,1.72,1.72,1.7,1.7,4158
ok,2024-02-07 16:30:00,1.71,1.75,1.65,1.75,1514
ok,2024-02-07 17:00:00,1.67,1.75,1.66,1.75,2014
ok,2024-02-07 17:30:00,1.71,1.71,1.71,1.71,2881
ok,2024-02-07 18:00:00,1.75,1.75,1.68,1.68,3805
ok,2024-02-07 19:00:00,1.68,1.68,1.68,1.68,305
ok,2024-02-07 19:30:00,1.75,1.81,1.75,1.8,2462
ok,2024-02-08 04:00:00,1.74,1.75,1.61,1.61,3316
ok,2024-02-08 04:30:00,1.61,1.61,1.61,1.61,746
ok,2024-02-08 05:00:00,1.61,1.66,1.58,1.66,1821
ok,2024-02-08 05:30:00,1.56,1.56,1.56,1.56,160
ok,2024-02-08 06:30:00,1.58,1.65,1.5,1.65,3763
ok,2024-02-08 07:00:00,1.6,1.75,1.49,1.51,7361
ok,2024-02-08 07:30:00,1.6,1.65,1.56,1.56,2738
ok,2024-02-08 08:00:00,1.65,1.65,1.48,1.52,5859
ok,2024-02-08 08:30:00,1.5,1.53,1.47,1.47,13591
ok,2024-02-08 09:00:00,1.48,1.48,1.48,1.48,501
ok,2024-02-08 09:30:00,1.45,1.49,1.28,1.3,144503
ok,2024-02-08 10:00:00,1.3,1.37,1.23,1.25,101133
ok,2024-02-08 10:30:00,1.23,1.32,1.23,1.26,26850
ok,2024-02-08 11:00:00,1.26,1.32,1.25,1.26,41521
ok,2024-02-08 11:30:00,1.28,1.31,1.19,1.23,66753
ok,2024-02-08 12:00:00,1.2,1.24,1.17,1.21,52295
ok,2024-02-08 12:30:00,1.2,1.25,1.19,1.2,32587
ok,2024-02-08 13:00:00,1.19,1.22,1.12,1.17,49611
ok,2024-02-08 13:30:00,1.16,1.2,1.13,1.19,60553
ok,2024-02-08 14:00:00,1.15,1.2,1.13,1.18,19005
ok,2024-02-08 14:30:00,1.18,1.2,1.13,1.2,23298
ok,2024-02-08 15:00:00,1.18,1.2,1.14,1.18,70330
ok,2024-02-08 15:30:00,1.15,1.15,1.1,1.15,104552
ok,2024-02-08 16:00:00,1.13,1.13,1.1,1.12,6795
ok,2024-02-08 16:30:00,1.11,1.16,1.1,1.13,12155
ok,2024-02-08 17:00:00,1.1,1.15,1.1,1.12,1366
ok,2024-02-08 17:30:00,1.15,1.15,1.12,1.15,4246
ok,2024-02-08 18:00:00,1.15,1.16,1.1,1.12,4683
ok,2024-02-08 18:30:00,1.12,1.12,1.1,1.1,1811
ok,2024-02-08 19:00:00,1.13,1.16,1.1,1.12,12778
ok,2024-02-08 19:30:00,1.16,1.2,1.12,1.18,19599
ok,2024-02-09 04:00:00,1.21,1.21,1.2,1.21,2358
ok,2024-02-09 04:30:00,1.1,1.11,1.1,1.11,836
ok,2024-02-09 05:00:00,1.11,1.17,1.03,1.17,3734
ok,2024-02-09 05:30:00,1.17,1.17,1.17,1.17,195
