s,t,o,h,l,c,v
ok,2024-01-24 10:00:00,4.38,4.72,4.26,4.36,597026
ok,2024-01-24 10:30:00,4.36,4.46,3.4,3.43,507903
ok,2024-01-24 11:00:00,3.42,4.14,3.4,3.78,204404
ok,2024-01-24 11:30:00,3.77,3.87,3.4,3.5,118469
ok,2024-01-24 12:00:00,3.46,3.65,3.4,3.52,46059
ok,2024-01-24 12:30:00,3.54,3.59,3.5,3.54,19733
ok,2024-01-24 13:00:00,3.6,4.09,3.58,3.91,107444
ok,2024-01-24 13:30:00,3.9,3.94,3.61,3.63,22034
ok,2024-01-24 14:00:00,3.63,3.78,3.63,3.68,10691
ok,2024-01-24 14:30:00,3.71,3.79,3.7,3.74,12028
ok,2024-01-24 15:00:00,3.72,3.92,3.66,3.9,35587
ok,2024-01-24 15:30:00,3.9,4.08,3.65,4.08,74085
ok,2024-01-24 16:00:00,4.04,4.04,3.8,3.8,3770
ok,2024-01-24 16:30:00,3.67,3.67,3.65,3.66,1314
ok,2024-01-24 17:00:00,3.72,3.84,3.72,3.8,2522
ok,2024-01-24 17:30:00,3.73,3.74,3.6,3.73,3033
ok,2024-01-24 18:00:00,3.72,3.72,3.72,3.72,100
ok,2024-01-24 19:00:00,3.73,3.81,3.73,3.81,806
ok,2024-01-24 19:30:00,3.84,3.9,3.76,3.76,6793
ok,2024-01-25 04:00:00,3.67,3.68,3.67,3.68,200
ok,2024-01-25 04:30:00,3.62,3.7,3.57,3.7,479
ok,2024-01-25 05:00:00,3.95,3.96,3.95,3.96,500
ok,2024-01-25 05:30:00,3.64,3.64,3.51,3.51,500
ok,2024-01-25 06:30:00,3.7,3.7,3.7,3.7,560
ok,2024-01-25 07:00:00,3.7,3.7,3.7,3.7,140
ok,2024-01-25 07:30:00,3.7,3.7,3.61,3.7,1411
ok,2024-01-25 08:00:00,3.6,3.74,3.6,3.68,3426
ok,2024-01-25 08:30:00,3.74,3.74,3.69,3.73,2563
ok,2024-01-25 09:00:00,3.68,3.74,3.53,3.64,12904
ok,2024-01-25 09:30:00,3.7,3.99,3.6,3.88,62518
ok,2024-01-25 10:00:00,3.84,3.88,3.63,3.63,12258
ok,2024-01-25 10:30:00,3.64,3.64,3.4,3.47,28294
ok,2024-01-25 11:00:00,3.45,3.65,3.4,3.44,12750
ok,2024-01-25 11:30:00,3.42,3.49,3.4,3.42,8999
ok,2024-01-25 12:00:00,3.42,3.42,3.4,3.4,11905
ok,2024-01-25 12:30:00,3.4,3.49,3.4,3.46,4499
ok,2024-01-25 13:00:00,3.48,3.5,3.4,3.4,5833
ok,2024-01-25 13:30:00,3.42,3.42,3.15,3.32,24168
ok,2024-01-25 14:00:00,3.38,3.38,3.2,3.2,7932
ok,2024-01-25 14:30:00,3.22,3.43,3.22,3.36,11660
ok,2024-01-25 15:00:00,3.24,3.35,3.21,3.26,8264
ok,2024-01-25 15:30:00,3.23,3.32,3.2,3.3,17552
ok,2024-01-25 16:00:00,3.27,3.27,3.03,3.17,787
ok,2024-01-25 16:30:00,3.19,3.2,3.19,3.2,2552
ok,2024-01-25 17:30:00,3.28,3.28,3.28,3.28,260
ok,2024-01-25 18:00:00,3.5,3.5,3.5,3.5,313
ok,2024-01-25 19:00:00,3.28,3.28,3.28,3.28,101
ok,2024-01-25 19:30:00,3.19,3.22,3.19,3.19,441
ok,2024-01-26 04:00:00,3.15,3.15,3.15,3.15,706
ok,2024-01-26 07:00:00,2.99,3.0,2.9,2.99,1029
ok,2024-01-26 08:00:00,2.92,2.92,2.92,2.92,133
ok,2024-01-26 08:30:00,2.99,3.21,2.99,3.21,1017
ok,2024-01-26 09:30:00,3.0,3.4,2.83,3.2,13663
ok,2024-01-26 10:00:00,3.2,3.2,3.1,3.11,6606
ok,2024-01-26 10:30:00,3.2,3.7,3.11,3.58,76078
ok,2024-01-26 11:00:00,3.59,3.65,3.35,3.5,52920
ok,2024-01-26 11:30:00,3.62,3.62,3.17,3.3,23875
ok,2024-01-26 12:00:00,3.3,3.43,3.18,3.4,5859
ok,2024-01-26 12:30:00,3.38,3.45,3.3,3.36,8505
ok,2024-01-26 13:00:00,3.35,3.4,3.31,3.31,8256
ok,2024-01-26 13:30:00,3.33,3.4,3.33,3.4,10605
ok,2024-01-26 14:00:00,3.4,3.62,3.35,3.5,51261
ok,2024-01-26 14:30:00,3.59,3.92,3.55,3.85,149958
ok,2024-01-26 15:00:00,3.78,4.32,3.67,4.12,288658
ok,2024-01-26 15:30:00,4.05,4.15,3.48,3.52,131171
ok,2024-01-26 16:00:00,3.53,4.0,3.53,3.97,20338
ok,2024-01-26 16:30:00,3.99,3.99,3.55,3.55,8206
ok,2024-01-26 17:00:00,3.52,3.52,3.25,3.26,3540
ok,2024-01-26 17:30:00,3.4,3.48,3.4,3.48,795
ok,2024-01-26 18:00:00,3.4,3.4,3.3,3.3,1356
ok,2024-01-26 19:00:00,3.32,3.52,3.31,3.4,1309
ok,2024-01-26 19:30:00,3.37,3.48,3.37,3.48,507
ok,2024-01-29 04:00:00,3.13,3.28,3.13,3.27,2811
ok,2024-01-29 04:30:00,3.24,3.26,3.21,3.21,1384
ok,2024-01-29 05:00:00,3.21,3.27,3.2,3.23,1850
ok,2024-01-29 06:00:00,3.24,3.26,3.22,3.25,1902
ok,2024-01-29 06:30:00,3.25,3.25,3.23,3.23,500
ok,2024-01-29 07:00:00,3.38,3.4,3.26,3.37,3480
ok,2024-01-29 07:30:00,3.49,3.49,3.41,3.49,975
ok,2024-01-29 08:00:00,3.38,3.39,3.38,3.39,649
ok,2024-01-29 08:30:00,3.44,3.47,3.32,3.39,3588
ok,2024-01-29 09:00:00,3.44,3.44,3.33,3.34,1038
ok,2024-01-29 09:30:00,3.44,3.65,3.41,3.54,29116
ok,2024-01-29 10:00:00,3.45,3.58,3.16,3.52,42086
ok,2024-01-29 10:30:00,3.64,3.73,3.56,3.61,18988
ok,2024-01-29 11:00:00,3.58,3.69,3.52,3.68,13815
ok,2024-01-29 11:30:00,3.72,3.93,3.56,3.93,27653
ok,2024-01-29 12:00:00,3.94,4.1,3.67,3.7,116731
ok,2024-01-29 12:30:00,3.71,4.1,3.64,4.01,31197
ok,2024-01-29 13:00:00,4.01,4.01,3.82,3.82,5628
ok,2024-01-29 13:30:00,3.82,3.86,3.8,3.8,5139
ok,2024-01-29 14:00:00,3.72,3.89,3.71,3.89,11267
ok,2024-01-29 14:30:00,3.82,3.84,3.71,3.84,11225
ok,2024-01-29 15:00:00,3.84,4.0,3.84,3.92,23993
ok,2024-01-29 15:30:00,3.92,3.95,3.75,3.93,14906
ok,2024-01-29 16:00:00,3.87,3.89,3.84,3.89,2412
ok,2024-01-29 16:30:00,3.89,3.95,3.76,3.76,952
ok,2024-01-29 19:00:00,3.95,3.95,3.94,3.94,980
ok,2024-01-30 05:00:00,3.78,3.78,3.78,3.78,100
ok,2024-01-30 05:30:00,3.79,3.79,3.79,3.79,229
ok,2024-01-30 06:00:00,3.85,3.85,3.85,3.85,250
ok,2024-01-30 06:30:00,3.81,3.86,3.78,3.85,557
ok,2024-01-30 07:00:00,3.86,3.86,3.86,3.86,123
