s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.39,0.39,0.39,0.39,100
ok,2024-01-02 04:30:00,0.36,0.39,0.36,0.39,900
ok,2024-01-02 05:00:00,0.39,0.39,0.35,0.36,1068
ok,2024-01-02 05:30:00,0.37,0.4,0.36,0.37,5800
ok,2024-01-02 06:00:00,0.4,0.4,0.37,0.37,601
ok,2024-01-02 06:30:00,0.39,0.39,0.39,0.39,100
ok,2024-01-02 07:00:00,0.37,0.38,0.36,0.36,3470
ok,2024-01-02 07:30:00,0.37,0.37,0.37,0.37,789
ok,2024-01-02 08:00:00,0.37,0.38,0.36,0.36,1455
ok,2024-01-02 08:30:00,0.37,0.38,0.36,0.36,400
ok,2024-01-02 09:00:00,0.36,0.38,0.36,0.38,7406
ok,2024-01-02 09:30:00,0.4,0.4,0.36,0.36,19524
ok,2024-01-02 10:00:00,0.36,0.37,0.36,0.36,3399
ok,2024-01-02 10:30:00,0.37,0.38,0.36,0.36,62004
ok,2024-01-02 11:00:00,0.37,0.37,0.36,0.36,5844
ok,2024-01-02 11:30:00,0.36,0.37,0.36,0.36,12099
ok,2024-01-02 12:00:00,0.37,0.37,0.36,0.36,12892
ok,2024-01-02 12:30:00,0.36,0.36,0.36,0.36,13204
ok,2024-01-02 13:00:00,0.36,0.36,0.35,0.35,17289
ok,2024-01-02 13:30:00,0.36,0.36,0.36,0.36,550
ok,2024-01-02 14:00:00,0.36,0.36,0.36,0.36,1200
ok,2024-01-02 14:30:00,0.36,0.36,0.36,0.36,1918
ok,2024-01-02 15:00:00,0.36,0.36,0.35,0.35,4028
ok,2024-01-02 15:30:00,0.36,0.38,0.35,0.38,25926
ok,2024-01-02 16:30:00,0.38,0.38,0.35,0.38,3788
ok,2024-01-02 17:00:00,0.36,0.36,0.36,0.36,500
ok,2024-01-03 04:00:00,0.39,0.39,0.38,0.38,400
ok,2024-01-03 04:30:00,0.38,0.38,0.35,0.38,957
ok,2024-01-03 05:30:00,0.35,0.37,0.34,0.36,12407
ok,2024-01-03 06:00:00,0.36,0.36,0.36,0.36,200
