s,t,o,h,l,c,v
ok,2024-01-02 05:00:00,3.05,3.05,3.05,3.05,399
ok,2024-01-02 06:00:00,3.07,3.08,3.07,3.08,1561
ok,2024-01-02 09:30:00,2.93,2.93,2.93,2.93,111
ok,2024-01-02 10:30:00,2.9,2.94,2.9,2.94,690
ok,2024-01-02 11:00:00,2.91,2.96,2.87,2.87,2340
ok,2024-01-02 12:00:00,2.87,2.87,2.87,2.87,100
ok,2024-01-02 12:30:00,2.87,2.92,2.87,2.92,375
ok,2024-01-02 13:00:00,2.87,2.87,2.87,2.87,638
ok,2024-01-02 14:00:00,2.85,2.86,2.82,2.82,1810
ok,2024-01-02 15:00:00,2.81,2.85,2.8,2.8,1215
ok,2024-01-02 15:30:00,2.81,2.81,2.81,2.81,358
ok,2024-01-03 07:30:00,2.8,2.8,2.8,2.8,370
ok,2024-01-03 08:00:00,2.8,2.8,2.8,2.8,120
ok,2024-01-03 09:00:00,2.81,2.81,2.81,2.81,200
ok,2024-01-03 09:30:00,2.8,2.8,2.7,2.74,5795
ok,2024-01-03 10:00:00,2.83,2.85,2.77,2.77,2000
ok,2024-01-03 10:30:00,2.77,2.77,2.73,2.73,3035
ok,2024-01-03 11:00:00,2.74,2.74,2.7,2.73,7091
ok,2024-01-03 11:30:00,2.68,2.68,2.62,2.62,2349
ok,2024-01-03 12:00:00,2.58,2.63,2.58,2.63,2121
ok,2024-01-03 12:30:00,2.63,2.65,2.63,2.65,5259
ok,2024-01-03 13:00:00,2.61,2.64,2.59,2.59,5719
ok,2024-01-03 13:30:00,2.54,2.54,2.51,2.52,3225
ok,2024-01-03 14:00:00,2.52,2.56,2.52,2.56,524
ok,2024-01-03 14:30:00,2.54,2.56,2.51,2.56,1220
ok,2024-01-03 15:00:00,2.54,2.55,2.54,2.55,500
ok,2024-01-03 15:30:00,2.55,2.67,2.54,2.54,4181
ok,2024-01-04 10:00:00,2.55,2.61,2.5,2.5,11218
ok,2024-01-04 13:00:00,2.59,2.61,2.56,2.56,5784
ok,2024-01-04 13:30:00,2.57,2.57,2.55,2.56,1153
ok,2024-01-04 14:00:00,2.56,2.56,2.51,2.51,501
ok,2024-01-04 15:30:00,2.52,2.52,2.52,2.52,311
ok,2024-01-04 16:30:00,2.51,2.51,2.5,2.5,860
ok,2024-01-05 09:30:00,2.55,2.58,2.55,2.58,356
ok,2024-01-05 10:00:00,2.55,2.55,2.55,2.55,465
ok,2024-01-05 11:00:00,2.54,2.54,2.54,2.54,283
ok,2024-01-05 12:00:00,2.52,2.52,2.52,2.52,100
ok,2024-01-05 12:30:00,2.52,2.52,2.52,2.52,226
ok,2024-01-05 13:00:00,2.51,2.51,2.51,2.51,290
ok,2024-01-05 13:30:00,2.51,2.51,2.51,2.51,700
ok,2024-01-05 14:00:00,2.5,2.5,2.5,2.5,400
ok,2024-01-05 14:30:00,2.5,2.5,2.5,2.5,133
ok,2024-01-05 15:30:00,2.5,2.5,2.5,2.5,352
