s,t,o,h,l,c,v
ok,2024-01-12 11:00:00,3.99,4.0,3.7,3.92,300046
ok,2024-01-12 11:30:00,3.91,3.95,3.75,3.93,66944
ok,2024-01-12 12:00:00,3.93,3.93,3.7,3.71,38886
ok,2024-01-12 12:30:00,3.79,3.85,3.7,3.7,24251
ok,2024-01-12 13:00:00,3.7,3.85,3.68,3.75,48265
ok,2024-01-12 13:30:00,3.76,3.85,3.58,3.61,26336
ok,2024-01-12 14:00:00,3.7,3.85,3.58,3.58,24025
ok,2024-01-12 14:30:00,3.58,3.69,3.55,3.6,24657
ok,2024-01-12 15:00:00,3.68,3.73,3.46,3.46,23585
ok,2024-01-12 15:30:00,3.5,3.5,3.26,3.48,122425
ok,2024-01-12 16:00:00,3.49,3.49,3.49,3.49,900
ok,2024-01-12 16:30:00,3.49,3.61,3.49,3.61,400
ok,2024-01-12 18:30:00,3.5,3.61,3.5,3.61,253
ok,2024-01-12 19:00:00,3.5,3.5,3.5,3.5,100
ok,2024-01-12 19:30:00,3.61,3.61,3.61,3.61,100
ok,2024-01-16 09:30:00,3.49,3.7,3.4,3.66,21552
ok,2024-01-16 10:00:00,3.69,3.8,3.61,3.75,13108
ok,2024-01-16 10:30:00,3.75,3.77,3.65,3.65,5601
ok,2024-01-16 11:00:00,3.67,3.7,3.65,3.66,3053
ok,2024-01-16 11:30:00,3.69,3.74,3.66,3.66,2455
ok,2024-01-16 12:00:00,3.7,3.73,3.66,3.66,4091
ok,2024-01-16 12:30:00,3.71,3.71,3.7,3.7,691
ok,2024-01-16 13:00:00,3.65,3.71,3.65,3.71,1250
ok,2024-01-16 13:30:00,3.71,3.71,3.71,3.71,260
ok,2024-01-16 14:00:00,3.67,3.67,3.67,3.67,500
ok,2024-01-16 14:30:00,3.72,3.73,3.72,3.73,300
ok,2024-01-16 15:00:00,3.65,3.73,3.65,3.73,529
ok,2024-01-16 15:30:00,3.7,3.7,3.65,3.65,656
ok,2024-01-16 18:00:00,3.75,3.75,3.75,3.75,100
ok,2024-01-17 09:00:00,3.51,3.51,3.5,3.5,220
ok,2024-01-17 09:30:00,3.16,3.64,3.16,3.64,12455
ok,2024-01-17 10:00:00,3.64,3.66,3.53,3.64,900
ok,2024-01-17 10:30:00,3.64,3.66,3.58,3.64,2959
ok,2024-01-17 11:00:00,3.6,3.64,3.6,3.64,200
ok,2024-01-17 11:30:00,3.64,3.64,3.5,3.58,2650
ok,2024-01-17 12:00:00,3.58,3.63,3.5,3.63,2310
ok,2024-01-17 12:30:00,3.52,3.64,3.5,3.5,798
ok,2024-01-17 13:00:00,3.51,3.65,3.51,3.58,2028
ok,2024-01-17 13:30:00,3.58,3.63,3.51,3.51,3962
ok,2024-01-17 14:00:00,3.6,3.6,3.58,3.58,457
ok,2024-01-17 14:30:00,3.6,3.7,3.6,3.65,4505
ok,2024-01-17 15:00:00,3.7,3.7,3.67,3.7,3383
ok,2024-01-17 15:30:00,3.69,3.7,3.66,3.69,6270
ok,2024-01-18 08:00:00,3.8,3.84,3.8,3.84,1298
ok,2024-01-18 08:30:00,3.79,3.8,3.79,3.8,702
ok,2024-01-18 09:00:00,3.8,3.86,3.79,3.85,9870
ok,2024-01-18 09:30:00,3.9,3.9,3.6,3.6,20595
ok,2024-01-18 10:00:00,3.61,3.63,3.6,3.6,4489
ok,2024-01-18 10:30:00,3.6,3.6,3.43,3.44,8029
ok,2024-01-18 11:00:00,3.44,3.44,3.44,3.44,345
ok,2024-01-18 11:30:00,3.58,3.64,3.5,3.5,1457
ok,2024-01-18 12:00:00,3.51,3.51,3.43,3.43,11814
ok,2024-01-18 12:30:00,3.5,3.54,3.5,3.54,1000
ok,2024-01-18 13:00:00,3.52,3.54,3.5,3.54,1200
ok,2024-01-18 13:30:00,3.48,3.54,3.48,3.54,11250
ok,2024-01-18 14:00:00,3.5,3.54,3.43,3.54,11214
ok,2024-01-18 14:30:00,3.46,3.46,3.46,3.46,170
ok,2024-01-18 15:00:00,3.5,3.5,3.43,3.43,841
ok,2024-01-18 15:30:00,3.49,3.55,3.49,3.54,2346
ok,2024-01-19 09:00:00,3.54,3.54,3.54,3.54,100
ok,2024-01-19 09:30:00,3.48,3.6,3.48,3.48,2935
ok,2024-01-19 10:30:00,3.44,3.52,3.44,3.52,1774
ok,2024-01-19 11:00:00,3.46,3.54,3.45,3.46,7189
ok,2024-01-19 11:30:00,3.5,3.5,3.38,3.38,1108
ok,2024-01-19 12:00:00,3.38,3.4,3.33,3.35,16940
ok,2024-01-19 12:30:00,3.35,3.35,3.26,3.26,2627
ok,2024-01-19 13:00:00,3.2,3.24,3.07,3.18,6178
ok,2024-01-19 13:30:00,3.25,3.25,3.25,3.25,120
ok,2024-01-19 14:00:00,3.12,3.24,3.11,3.23,7828
ok,2024-01-19 14:30:00,3.22,3.33,3.22,3.28,1130
ok,2024-01-19 15:00:00,3.23,3.23,3.16,3.16,219
ok,2024-01-19 15:30:00,3.11,3.13,3.1,3.1,4523
ok,2024-01-22 09:30:00,2.98,3.0,2.9,2.9,6902
ok,2024-01-22 10:00:00,2.94,2.94,2.94,2.94,131
ok,2024-01-22 10:30:00,2.94,2.94,2.93,2.93,560
ok,2024-01-22 11:00:00,2.92,2.92,2.92,2.92,200
ok,2024-01-22 11:30:00,2.95,2.95,2.95,2.95,103
ok,2024-01-22 12:00:00,2.99,2.99,2.99,2.99,894
ok,2024-01-22 12:30:00,2.98,3.0,2.97,2.97,3544
ok,2024-01-22 13:00:00,3.0,3.0,2.92,2.92,2612
ok,2024-01-22 14:00:00,2.9,2.9,2.9,2.9,300
ok,2024-01-22 15:00:00,2.97,2.97,2.82,2.82,1206
ok,2024-01-23 09:00:00,3.3,3.3,3.3,3.3,500
ok,2024-01-23 09:30:00,3.41,3.41,3.13,3.13,19688
ok,2024-01-23 10:00:00,3.03,3.03,2.97,2.97,6344
ok,2024-01-23 11:00:00,2.96,2.96,2.95,2.95,550
ok,2024-01-23 11:30:00,3.0,3.0,2.98,3.0,33570
ok,2024-01-23 12:00:00,2.95,2.98,2.95,2.95,1600
ok,2024-01-23 12:30:00,2.98,3.0,2.98,3.0,1481
ok,2024-01-23 13:30:00,3.0,3.0,3.0,3.0,557
ok,2024-01-23 15:30:00,2.98,3.0,2.91,2.96,9526
ok,2024-01-24 09:30:00,3.11,3.11,2.96,2.96,1340
ok,2024-01-24 10:00:00,2.99,3.0,2.99,3.0,2700
ok,2024-01-24 11:00:00,2.89,2.89,2.89,2.89,500
ok,2024-01-24 12:00:00,3.0,3.0,3.0,3.0,500
ok,2024-01-24 14:30:00,2.91,2.91,2.88,2.88,1000
ok,2024-01-25 09:30:00,2.94,2.94,2.94,2.94,4406
ok,2024-01-25 10:00:00,3.05,3.05,3.02,3.04,929
ok,2024-01-25 11:00:00,2.98,2.98,2.98,2.98,100
ok,2024-01-25 11:30:00,2.98,2.98,2.98,2.98,790
ok,2024-01-25 12:00:00,2.98,3.0,2.91,3.0,8623
ok,2024-01-25 12:30:00,3.0,3.0,3.0,3.0,250
ok,2024-01-25 13:00:00,2.99,3.0,2.99,3.0,853
ok,2024-01-25 14:00:00,2.99,3.0,2.99,3.0,506
ok,2024-01-25 15:00:00,2.99,3.0,2.99,3.0,1320
ok,2024-01-25 15:30:00,2.99,3.0,2.99,2.99,5698
ok,2024-01-26 08:00:00,3.5,3.5,3.5,3.5,2531
ok,2024-01-26 09:30:00,3.01,3.01,2.97,3.0,17316
ok,2024-01-26 10:00:00,3.0,3.0,3.0,3.0,1780
ok,2024-01-26 11:30:00,3.1,3.1,3.1,3.1,100
ok,2024-01-26 12:00:00,3.1,3.15,3.1,3.15,400
ok,2024-01-26 15:00:00,3.13,3.15,3.0,3.0,4389
ok,2024-01-29 09:30:00,3.2,3.2,3.2,3.2,113
ok,2024-01-29 10:30:00,3.17,3.19,3.17,3.19,694
