s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,1.55,1.55,1.54,1.54,401
ok,2024-01-02 04:30:00,1.59,1.59,1.59,1.59,400
ok,2024-01-02 05:00:00,1.55,1.55,1.47,1.47,2373
ok,2024-01-02 05:30:00,1.61,1.61,1.57,1.57,230
ok,2024-01-02 06:30:00,1.52,1.58,1.46,1.46,1399
ok,2024-01-02 07:00:00,1.49,1.49,1.49,1.49,380
ok,2024-01-02 07:30:00,1.5,1.5,1.5,1.5,100
ok,2024-01-02 08:00:00,1.5,1.67,1.49,1.59,21068
ok,2024-01-02 08:30:00,1.6,1.67,1.53,1.58,25241
ok,2024-01-02 09:00:00,1.55,1.58,1.53,1.54,11992
ok,2024-01-02 09:30:00,1.52,1.52,1.46,1.48,96525
ok,2024-01-02 10:00:00,1.5,1.53,1.46,1.49,101283
ok,2024-01-02 10:30:00,1.48,1.51,1.42,1.46,43700
ok,2024-01-02 11:00:00,1.47,1.57,1.45,1.47,117141
ok,2024-01-02 11:30:00,1.49,1.59,1.46,1.59,227970
ok,2024-01-02 12:00:00,1.58,1.73,1.56,1.7,381779
ok,2024-01-02 12:30:00,1.68,1.87,1.67,1.78,586449
ok,2024-01-02 13:00:00,1.78,1.83,1.71,1.77,189257
ok,2024-01-02 13:30:00,1.79,1.87,1.76,1.81,233745
ok,2024-01-02 14:00:00,1.85,1.97,1.81,1.93,611791
ok,2024-01-02 14:30:00,1.91,1.96,1.81,1.93,286701
ok,2024-01-02 15:00:00,1.93,1.98,1.86,1.96,257592
ok,2024-01-02 15:30:00,1.96,2.01,1.83,1.89,458783
ok,2024-01-02 16:00:00,1.9,1.91,1.84,1.87,31535
ok,2024-01-02 16:30:00,1.86,1.87,1.61,1.76,106037
ok,2024-01-02 17:00:00,1.8,1.89,1.75,1.85,33789
ok,2024-01-02 17:30:00,1.88,1.9,1.76,1.9,26185
ok,2024-01-02 18:00:00,1.9,1.92,1.85,1.92,18199
ok,2024-01-02 18:30:00,1.92,2.0,1.9,1.98,42835
ok,2024-01-02 19:00:00,1.99,2.07,1.96,2.06,73472
ok,2024-01-02 19:30:00,2.07,2.08,1.92,2.01,60075
ok,2024-01-03 04:00:00,1.9,2.09,1.9,2.01,20553
ok,2024-01-03 04:30:00,2.0,2.0,1.9,1.94,8704
ok,2024-01-03 05:00:00,1.99,1.99,1.8,1.86,12474
ok,2024-01-03 05:30:00,1.82,1.87,1.8,1.87,1605
ok,2024-01-03 06:00:00,1.84,1.84,1.82,1.84,4262
ok,2024-01-03 06:30:00,1.84,1.87,1.8,1.86,11723
ok,2024-01-03 07:00:00,1.86,1.87,1.78,1.8,14604
ok,2024-01-03 07:30:00,1.87,1.91,1.81,1.89,14394
ok,2024-01-03 08:00:00,1.83,2.08,1.78,1.98,109069
ok,2024-01-03 08:30:00,1.9,1.98,1.9,1.94,19300
ok,2024-01-03 09:00:00,1.95,1.97,1.84,1.96,44565
ok,2024-01-03 09:30:00,1.97,1.97,1.57,1.66,260522
ok,2024-01-03 10:00:00,1.66,1.66,1.45,1.51,144057
ok,2024-01-03 10:30:00,1.51,1.61,1.48,1.52,99669
ok,2024-01-03 11:00:00,1.54,1.58,1.5,1.52,30597
ok,2024-01-03 11:30:00,1.51,1.53,1.5,1.52,21708
ok,2024-01-03 12:00:00,1.51,1.6,1.51,1.6,34917
ok,2024-01-03 12:30:00,1.58,1.6,1.54,1.6,20390
ok,2024-01-03 13:00:00,1.6,1.61,1.54,1.58,15268
ok,2024-01-03 13:30:00,1.54,1.56,1.53,1.53,21655
ok,2024-01-03 14:00:00,1.53,1.56,1.52,1.56,33905
ok,2024-01-03 14:30:00,1.56,1.63,1.56,1.61,50864
ok,2024-01-03 15:00:00,1.61,1.65,1.53,1.6,43568
ok,2024-01-03 15:30:00,1.56,1.6,1.51,1.55,47162
ok,2024-01-03 16:00:00,1.6,1.62,1.51,1.55,1773
ok,2024-01-03 17:00:00,1.54,1.56,1.54,1.54,902
ok,2024-01-03 17:30:00,1.54,1.6,1.48,1.49,25185
ok,2024-01-03 18:00:00,1.5,1.5,1.47,1.47,8791
ok,2024-01-03 18:30:00,1.47,1.53,1.46,1.47,2591
ok,2024-01-03 19:00:00,1.49,1.49,1.49,1.49,125
ok,2024-01-03 19:30:00,1.47,1.49,1.46,1.49,2184
ok,2024-01-04 04:00:00,1.48,1.49,1.48,1.48,813
ok,2024-01-04 04:30:00,1.47,1.47,1.46,1.46,735
ok,2024-01-04 05:00:00,1.47,1.47,1.47,1.47,1595
ok,2024-01-04 05:30:00,1.46,1.46,1.46,1.46,1261
ok,2024-01-04 06:00:00,1.42,1.42,1.42,1.42,118
ok,2024-01-04 06:30:00,1.45,1.46,1.44,1.44,811
ok,2024-01-04 07:00:00,1.5,1.51,1.48,1.51,771
ok,2024-01-04 07:30:00,1.51,1.51,1.39,1.39,2870
ok,2024-01-04 08:00:00,1.47,1.5,1.39,1.41,8102
ok,2024-01-04 08:30:00,1.41,1.45,1.4,1.42,2976
ok,2024-01-04 09:00:00,1.43,1.43,1.33,1.35,17941
ok,2024-01-04 09:30:00,1.37,1.45,1.32,1.32,99115
ok,2024-01-04 10:00:00,1.32,1.37,1.3,1.31,44108
ok,2024-01-04 10:30:00,1.32,1.38,1.31,1.37,14859
ok,2024-01-04 11:00:00,1.35,1.37,1.31,1.31,9995
ok,2024-01-04 11:30:00,1.35,1.35,1.31,1.34,5657
ok,2024-01-04 12:00:00,1.34,1.34,1.31,1.34,16933
ok,2024-01-04 12:30:00,1.33,1.33,1.3,1.3,14626
ok,2024-01-04 13:00:00,1.3,1.33,1.26,1.28,18766
ok,2024-01-04 13:30:00,1.27,1.29,1.22,1.29,27317
ok,2024-01-04 14:00:00,1.29,1.3,1.28,1.29,5053
ok,2024-01-04 14:30:00,1.3,1.3,1.3,1.3,5568
