s,t,o,h,l,c,v
ok,2024-01-02 05:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-02 06:00:00,0.42,0.42,0.42,0.42,166
ok,2024-01-02 08:30:00,0.41,0.41,0.4,0.4,700
ok,2024-01-02 09:00:00,0.41,0.41,0.41,0.41,350
ok,2024-01-02 09:30:00,0.39,0.39,0.39,0.39,662
ok,2024-01-02 10:30:00,0.39,0.39,0.39,0.39,328
ok,2024-01-02 11:00:00,0.39,0.4,0.39,0.4,1114
ok,2024-01-02 11:30:00,0.4,0.4,0.4,0.4,4142
ok,2024-01-02 12:00:00,0.4,0.4,0.4,0.4,100
ok,2024-01-02 13:00:00,0.4,0.4,0.4,0.4,125
ok,2024-01-02 13:30:00,0.4,0.4,0.4,0.4,783
ok,2024-01-02 14:00:00,0.39,0.39,0.39,0.39,148
ok,2024-01-02 14:30:00,0.39,0.39,0.39,0.39,2333
ok,2024-01-02 15:00:00,0.4,0.4,0.39,0.4,13382
ok,2024-01-02 15:30:00,0.4,0.4,0.39,0.39,7276
ok,2024-01-02 16:00:00,0.4,0.4,0.4,0.4,1000
ok,2024-01-02 19:00:00,0.42,0.42,0.42,0.42,1000
ok,2024-01-03 08:00:00,0.42,0.42,0.42,0.42,102
ok,2024-01-03 08:30:00,0.4,0.4,0.4,0.4,820
ok,2024-01-03 09:30:00,0.39,0.39,0.39,0.39,122
ok,2024-01-03 10:00:00,0.38,0.38,0.38,0.38,1325
ok,2024-01-03 10:30:00,0.39,0.39,0.39,0.39,119
ok,2024-01-03 12:00:00,0.38,0.38,0.38,0.38,448
ok,2024-01-03 15:00:00,0.38,0.38,0.38,0.38,914
ok,2024-01-03 16:00:00,0.4,0.4,0.4,0.4,1300
ok,2024-01-03 18:30:00,0.42,0.42,0.42,0.42,100
ok,2024-01-04 09:30:00,0.38,0.38,0.38,0.38,14573
ok,2024-01-04 10:30:00,0.4,0.4,0.39,0.39,324
ok,2024-01-04 11:00:00,0.38,0.39,0.38,0.39,1969
ok,2024-01-04 11:30:00,0.39,0.39,0.38,0.38,3214
ok,2024-01-04 12:00:00,0.38,0.38,0.38,0.38,5344
ok,2024-01-04 12:30:00,0.38,0.39,0.38,0.38,3904
ok,2024-01-04 13:30:00,0.38,0.39,0.38,0.39,640
ok,2024-01-04 14:00:00,0.39,0.39,0.39,0.39,2000
ok,2024-01-04 14:30:00,0.39,0.39,0.39,0.39,2600
ok,2024-01-04 15:00:00,0.39,0.39,0.38,0.38,1214
ok,2024-01-04 15:30:00,0.39,0.39,0.39,0.39,126
ok,2024-01-05 08:00:00,0.39,0.39,0.39,0.39,100
ok,2024-01-05 09:30:00,0.4,0.41,0.38,0.38,2966
ok,2024-01-05 11:30:00,0.39,0.39,0.39,0.39,3962
ok,2024-01-05 12:00:00,0.39,0.39,0.38,0.38,336
ok,2024-01-05 12:30:00,0.4,0.4,0.4,0.4,1314
ok,2024-01-05 13:00:00,0.4,0.4,0.38,0.38,3100
ok,2024-01-05 13:30:00,0.39,0.39,0.38,0.38,8340
ok,2024-01-05 14:00:00,0.38,0.38,0.38,0.38,1845
ok,2024-01-05 14:30:00,0.38,0.38,0.38,0.38,7600
ok,2024-01-05 15:00:00,0.38,0.4,0.38,0.38,11253
ok,2024-01-05 15:30:00,0.37,0.37,0.36,0.36,1881
ok,2024-01-05 16:00:00,0.39,0.39,0.39,0.39,136
ok,2024-01-08 04:30:00,0.35,0.35,0.35,0.35,100
ok,2024-01-08 05:00:00,0.36,0.39,0.36,0.39,1700
ok,2024-01-08 09:00:00,0.36,0.38,0.36,0.38,3988
ok,2024-01-08 09:30:00,0.41,0.41,0.39,0.4,28787
ok,2024-01-08 10:00:00,0.39,0.39,0.39,0.39,2056
ok,2024-01-08 10:30:00,0.38,0.39,0.36,0.38,24804
ok,2024-01-08 11:00:00,0.39,0.39,0.39,0.39,125
ok,2024-01-08 11:30:00,0.38,0.39,0.38,0.39,5129
ok,2024-01-08 12:00:00,0.37,0.39,0.37,0.39,1418
ok,2024-01-08 12:30:00,0.39,0.39,0.37,0.37,2864
ok,2024-01-08 13:00:00,0.39,0.39,0.38,0.38,3784
ok,2024-01-08 13:30:00,0.38,0.38,0.38,0.38,4506
ok,2024-01-08 14:30:00,0.37,0.37,0.37,0.37,100
ok,2024-01-08 15:30:00,0.39,0.39,0.38,0.38,2398
ok,2024-01-09 04:00:00,0.39,0.39,0.39,0.39,600
ok,2024-01-09 08:30:00,0.37,0.37,0.37,0.37,425
ok,2024-01-09 09:00:00,0.38,0.38,0.36,0.36,8610
ok,2024-01-09 09:30:00,0.39,0.4,0.39,0.4,72865
ok,2024-01-09 10:00:00,0.39,0.4,0.37,0.37,42299
ok,2024-01-09 11:00:00,0.39,0.4,0.39,0.39,3865
ok,2024-01-09 11:30:00,0.38,0.38,0.38,0.38,1133
ok,2024-01-09 12:30:00,0.38,0.38,0.38,0.38,250
ok,2024-01-09 13:00:00,0.39,0.39,0.38,0.38,8264
ok,2024-01-09 14:00:00,0.37,0.37,0.37,0.37,250
ok,2024-01-09 14:30:00,0.39,0.39,0.39,0.39,401
ok,2024-01-09 15:00:00,0.37,0.39,0.37,0.38,8482
ok,2024-01-09 15:30:00,0.38,0.38,0.37,0.37,1317
ok,2024-01-09 17:30:00,0.36,0.36,0.36,0.36,307
ok,2024-01-10 04:00:00,0.36,0.36,0.36,0.36,200
ok,2024-01-10 04:30:00,0.36,0.36,0.33,0.33,600
ok,2024-01-10 06:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-10 07:00:00,0.38,0.38,0.38,0.38,165
ok,2024-01-10 07:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-10 08:00:00,0.37,0.46,0.37,0.46,1136
ok,2024-01-10 08:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-10 09:00:00,0.39,0.39,0.39,0.39,423
ok,2024-01-10 09:30:00,0.4,0.4,0.37,0.37,2028
ok,2024-01-10 10:00:00,0.39,0.39,0.39,0.39,1279
ok,2024-01-10 10:30:00,0.39,0.4,0.39,0.4,3000
ok,2024-01-10 11:00:00,0.37,0.37,0.37,0.37,1000
ok,2024-01-10 12:00:00,0.38,0.38,0.38,0.38,100
