s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,10.13,10.13,8.68,9.44,9819
ok,2024-01-02 10:00:00,9.25,9.25,8.7,8.83,5800
ok,2024-01-02 10:30:00,8.62,9.1,8.54,8.72,18955
ok,2024-01-02 11:00:00,8.85,8.86,8.84,8.86,879
ok,2024-01-02 11:30:00,8.96,8.96,8.68,8.68,3010
ok,2024-01-02 12:00:00,8.67,8.81,8.63,8.79,2112
ok,2024-01-02 12:30:00,8.74,8.86,8.66,8.75,1097
ok,2024-01-02 13:00:00,8.65,8.8,8.61,8.8,2467
ok,2024-01-02 13:30:00,8.63,8.75,8.62,8.75,4206
ok,2024-01-02 14:00:00,8.63,9.0,8.6,8.64,11738
ok,2024-01-02 14:30:00,8.6,8.6,8.5,8.55,2885
ok,2024-01-02 15:00:00,8.65,8.73,8.52,8.52,2921
ok,2024-01-02 15:30:00,8.51,8.75,8.43,8.69,8042
ok,2024-01-02 16:30:00,8.69,8.71,8.69,8.71,361
ok,2024-01-02 17:00:00,8.59,8.59,8.59,8.59,1022
ok,2024-01-02 18:00:00,8.6,8.6,8.6,8.6,450
ok,2024-01-03 08:00:00,8.69,8.69,8.69,8.69,109
ok,2024-01-03 08:30:00,8.71,8.71,8.71,8.71,469
ok,2024-01-03 09:30:00,8.5,8.64,7.87,8.29,9837
ok,2024-01-03 10:00:00,8.05,8.11,7.92,7.97,3719
ok,2024-01-03 10:30:00,7.88,7.88,7.8,7.81,2107
ok,2024-01-03 11:00:00,7.74,7.75,7.7,7.7,951
ok,2024-01-03 11:30:00,7.7,7.78,7.69,7.78,2074
ok,2024-01-03 12:00:00,7.76,7.77,7.76,7.77,689
ok,2024-01-03 12:30:00,7.88,7.88,7.54,7.71,5455
ok,2024-01-03 13:00:00,7.6,7.75,7.6,7.65,2806
ok,2024-01-03 13:30:00,7.75,7.76,7.66,7.73,3606
ok,2024-01-03 14:00:00,7.77,7.77,7.7,7.76,1062
ok,2024-01-03 14:30:00,7.76,7.76,7.65,7.71,6549
ok,2024-01-03 15:00:00,7.72,7.74,7.63,7.64,7523
ok,2024-01-03 15:30:00,7.6,8.35,7.6,8.35,5783
ok,2024-01-04 08:30:00,7.99,7.99,7.99,7.99,114
ok,2024-01-04 09:30:00,7.89,7.96,7.83,7.92,1993
ok,2024-01-04 10:00:00,7.88,7.92,7.66,7.66,5666
ok,2024-01-04 10:30:00,7.83,8.3,7.66,8.3,8458
ok,2024-01-04 11:00:00,7.97,8.29,7.95,8.13,2457
ok,2024-01-04 11:30:00,7.96,8.1,7.96,7.97,3601
ok,2024-01-04 12:00:00,8.08,8.21,8.08,8.08,3827
ok,2024-01-04 12:30:00,8.0,8.0,8.0,8.0,247
ok,2024-01-04 13:00:00,7.95,7.96,7.8,7.81,2145
ok,2024-01-04 13:30:00,7.82,8.01,7.82,8.01,1632
ok,2024-01-04 14:00:00,8.02,8.02,7.98,8.01,360
ok,2024-01-04 15:00:00,7.97,7.97,7.81,7.81,421
ok,2024-01-04 15:30:00,7.88,8.02,7.88,7.91,3519
ok,2024-01-04 17:00:00,8.21,8.21,8.21,8.21,151
ok,2024-01-05 09:30:00,7.74,8.06,7.74,7.85,1110
ok,2024-01-05 10:00:00,7.94,7.94,7.94,7.94,1308
ok,2024-01-05 10:30:00,7.86,8.08,7.86,8.08,2316
ok,2024-01-05 11:00:00,8.08,8.08,7.96,7.96,1080
ok,2024-01-05 11:30:00,7.98,8.08,7.98,8.08,1210
ok,2024-01-05 12:30:00,8.13,8.13,8.06,8.06,816
ok,2024-01-05 13:00:00,8.14,8.26,8.14,8.14,7165
ok,2024-01-05 13:30:00,8.26,8.26,8.08,8.08,1463
ok,2024-01-05 14:30:00,8.03,8.03,8.03,8.03,113
ok,2024-01-05 15:00:00,8.21,8.21,8.13,8.13,1243
ok,2024-01-05 15:30:00,8.15,8.27,8.12,8.15,6170
ok,2024-01-08 09:30:00,8.49,8.49,8.18,8.2,3340
ok,2024-01-08 10:00:00,8.19,8.19,8.1,8.1,1541
ok,2024-01-08 10:30:00,8.07,8.07,7.91,7.91,258
ok,2024-01-08 11:00:00,7.84,8.21,7.83,8.21,2092
ok,2024-01-08 11:30:00,7.86,7.86,7.86,7.86,379
ok,2024-01-08 12:00:00,7.87,7.87,7.87,7.87,106
ok,2024-01-08 12:30:00,8.0,8.0,8.0,8.0,138
ok,2024-01-08 13:00:00,8.07,8.07,8.07,8.07,104
ok,2024-01-08 13:30:00,8.15,8.17,8.15,8.17,769
ok,2024-01-08 14:00:00,8.2,8.2,8.05,8.05,488
ok,2024-01-08 14:30:00,8.04,8.04,8.02,8.03,720
ok,2024-01-08 15:00:00,8.02,8.02,8.01,8.01,1455
ok,2024-01-09 09:00:00,8.02,8.17,8.02,8.17,631
ok,2024-01-09 09:30:00,7.8,8.03,7.8,7.93,1247
ok,2024-01-09 10:00:00,8.15,8.15,8.15,8.15,309
ok,2024-01-09 10:30:00,8.14,8.18,8.14,8.16,1040
ok,2024-01-09 11:00:00,8.1,8.18,8.1,8.18,2927
ok,2024-01-09 11:30:00,8.16,8.25,7.86,8.17,15619
ok,2024-01-09 13:30:00,8.1,8.1,8.05,8.05,3317
ok,2024-01-09 14:00:00,8.23,8.4,8.23,8.32,4536
ok,2024-01-09 15:00:00,8.22,8.22,8.22,8.22,298
ok,2024-01-09 15:30:00,8.24,8.24,8.24,8.24,407
ok,2024-01-10 09:30:00,8.08,8.39,8.08,8.39,814
ok,2024-01-10 10:00:00,8.25,8.44,8.25,8.44,4783
ok,2024-01-10 12:00:00,8.38,8.38,8.25,8.25,311
ok,2024-01-10 12:30:00,8.12,8.12,8.12,8.12,156
ok,2024-01-10 13:00:00,8.13,8.15,8.13,8.15,2000
ok,2024-01-10 14:00:00,8.22,8.45,8.22,8.44,4734
ok,2024-01-11 09:00:00,8.45,8.45,8.45,8.45,200
ok,2024-01-11 09:30:00,8.38,8.38,8.38,8.38,165
ok,2024-01-11 10:00:00,8.33,8.33,8.22,8.22,937
ok,2024-01-11 10:30:00,8.23,8.23,8.23,8.23,171
ok,2024-01-11 11:00:00,8.32,8.32,8.32,8.32,708
ok,2024-01-11 11:30:00,8.13,8.37,8.05,8.05,1442
ok,2024-01-11 12:30:00,8.0,8.2,8.0,8.16,3801
ok,2024-01-11 15:30:00,8.0,8.12,8.0,8.09,704
ok,2024-01-12 09:30:00,8.24,8.26,8.17,8.25,1243
ok,2024-01-12 10:00:00,8.3,8.31,8.25,8.25,465
ok,2024-01-12 10:30:00,8.42,8.43,8.27,8.31,1003
ok,2024-01-12 11:00:00,8.39,8.41,8.39,8.41,200
ok,2024-01-12 11:30:00,8.43,8.49,8.43,8.49,531
ok,2024-01-12 12:00:00,8.47,8.47,8.27,8.27,717
ok,2024-01-12 12:30:00,8.45,8.45,8.45,8.45,115
ok,2024-01-12 13:00:00,8.45,8.45,8.45,8.45,251
ok,2024-01-12 13:30:00,8.49,8.5,8.35,8.5,804
ok,2024-01-12 14:00:00,8.49,8.56,8.49,8.56,456
ok,2024-01-12 14:30:00,8.53,8.89,8.51,8.8,2537
ok,2024-01-12 15:00:00,8.6,8.6,8.43,8.43,206
ok,2024-01-12 15:30:00,8.68,8.78,8.31,8.78,931
ok,2024-01-12 18:00:00,8.7,8.7,8.7,8.7,200
ok,2024-01-16 09:30:00,8.5,8.5,8.11,8.11,844
ok,2024-01-16 10:00:00,8.02,8.02,8.02,8.02,406
ok,2024-01-16 10:30:00,8.2,8.2,8.2,8.2,100
ok,2024-01-16 11:00:00,8.0,8.01,8.0,8.0,1624
ok,2024-01-16 12:30:00,7.9,7.9,7.7,7.7,2703
ok,2024-01-16 13:00:00,7.75,7.9,7.65,7.85,3456
ok,2024-01-16 13:30:00,7.92,7.92,7.68,7.68,5981
ok,2024-01-16 14:00:00,8.09,8.09,8.09,8.09,102
ok,2024-01-16 16:30:00,8.04,8.04,8.04,8.04,145
ok,2024-01-17 06:30:00,7.82,7.82,7.82,7.82,100
ok,2024-01-17 08:00:00,8.0,8.0,8.0,8.0,147
ok,2024-01-17 09:30:00,7.56,7.6,7.39,7.51,4022
ok,2024-01-17 10:00:00,7.4,7.4,7.01,7.01,2162
ok,2024-01-17 10:30:00,7.03,7.46,7.03,7.14,1085
ok,2024-01-17 11:00:00,7.4,7.4,7.4,7.4,212
ok,2024-01-17 11:30:00,7.1,7.38,7.1,7.38,428
ok,2024-01-17 12:00:00,7.06,7.4,7.0,7.4,2512
ok,2024-01-17 12:30:00,7.0,7.24,7.0,7.24,314
ok,2024-01-17 13:00:00,7.04,7.25,7.04,7.25,2649
ok,2024-01-17 13:30:00,7.0,7.14,7.0,7.14,732
ok,2024-01-17 14:00:00,7.29,7.29,6.82,6.82,1672
ok,2024-01-17 14:30:00,6.89,6.89,6.89,6.89,214
ok,2024-01-17 15:00:00,6.97,7.24,6.94,7.24,1687
ok,2024-01-17 15:30:00,7.18,7.18,7.18,7.18,439
ok,2024-01-18 09:30:00,7.0,7.0,7.0,7.0,471
ok,2024-01-18 10:00:00,7.23,7.23,7.23,7.23,178
ok,2024-01-18 11:00:00,7.21,7.21,7.0,7.0,334
ok,2024-01-18 11:30:00,7.0,7.0,7.0,7.0,322
ok,2024-01-18 14:00:00,7.0,7.0,7.0,7.0,302
ok,2024-01-18 14:30:00,6.55,6.55,6.55,6.55,450
ok,2024-01-18 15:00:00,6.96,6.96,6.96,6.96,1015
ok,2024-01-18 15:30:00,6.61,6.88,6.55,6.69,1937
ok,2024-01-19 09:30:00,6.72,6.72,6.38,6.38,1813
ok,2024-01-19 10:00:00,6.48,6.5,6.08,6.08,2402
ok,2024-01-19 10:30:00,6.18,6.25,6.04,6.2,4039
ok,2024-01-19 11:00:00,6.28,6.28,6.28,6.28,684
ok,2024-01-19 11:30:00,6.33,6.33,6.12,6.21,1364
ok,2024-01-19 12:00:00,6.22,6.22,6.11,6.11,622
ok,2024-01-19 12:30:00,6.1,6.16,6.1,6.16,1874
ok,2024-01-19 13:00:00,6.16,6.26,6.16,6.25,8339
ok,2024-01-19 13:30:00,6.36,6.36,6.36,6.36,144
ok,2024-01-19 14:00:00,6.28,6.28,6.28,6.28,164
ok,2024-01-19 14:30:00,6.27,6.27,6.27,6.27,500
ok,2024-01-19 15:00:00,6.25,6.25,6.25,6.25,604
ok,2024-01-19 15:30:00,6.45,6.45,6.45,6.45,533
ok,2024-01-22 09:00:00,7.9,7.9,7.76,7.76,353
ok,2024-01-22 09:30:00,6.35,6.54,6.35,6.5,2057
ok,2024-01-22 10:00:00,6.83,6.83,6.63,6.63,620
ok,2024-01-22 11:00:00,6.52,6.52,6.52,6.52,102
ok,2024-01-22 11:30:00,6.69,6.69,6.69,6.69,100
ok,2024-01-22 12:00:00,6.52,6.52,6.5,6.5,2034
ok,2024-01-22 12:30:00,6.5,6.5,6.4,6.42,742
ok,2024-01-22 13:00:00,6.35,6.35,6.35,6.35,1183
ok,2024-01-22 13:30:00,6.25,6.4,6.25,6.38,1000
ok,2024-01-22 14:00:00,6.31,6.31,6.23,6.23,1114
ok,2024-01-22 14:30:00,6.17,6.3,6.17,6.3,1766
ok,2024-01-22 15:00:00,6.27,6.5,6.27,6.5,382
ok,2024-01-22 18:30:00,6.7,6.7,6.7,6.7,203
ok,2024-01-23 09:30:00,6.75,6.75,6.48,6.71,1009
ok,2024-01-23 10:00:00,6.45,6.45,6.45,6.45,200
ok,2024-01-23 11:00:00,6.55,6.55,6.5,6.5,1214
ok,2024-01-23 14:00:00,6.52,6.52,6.52,6.52,151
ok,2024-01-23 14:30:00,6.45,6.52,6.45,6.51,589
ok,2024-01-23 15:30:00,6.47,6.58,6.47,6.58,661
ok,2024-01-24 09:30:00,6.46,6.64,6.4,6.46,1421
ok,2024-01-24 10:00:00,6.46,6.46,6.2,6.3,1004
ok,2024-01-24 11:00:00,6.2,6.25,6.09,6.09,1584
ok,2024-01-24 11:30:00,6.18,6.18,6.1,6.1,1095
ok,2024-01-24 12:00:00,6.05,6.19,6.05,6.19,2049
ok,2024-01-24 12:30:00,6.17,6.17,6.17,6.17,302
