s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.17,0.17,0.17,0.17,114
ok,2024-01-02 04:30:00,0.17,0.17,0.17,0.17,1312
ok,2024-01-02 05:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-02 05:30:00,0.18,0.21,0.17,0.21,2000
ok,2024-01-02 06:00:00,0.18,0.18,0.17,0.18,3557
ok,2024-01-02 07:00:00,0.18,0.18,0.18,0.18,498
ok,2024-01-02 07:30:00,0.18,0.18,0.18,0.18,1206
ok,2024-01-02 08:00:00,0.18,0.18,0.18,0.18,1337
ok,2024-01-02 08:30:00,0.18,0.18,0.18,0.18,233
ok,2024-01-02 09:00:00,0.18,0.18,0.18,0.18,16426
ok,2024-01-02 09:30:00,0.18,0.18,0.17,0.18,71896
ok,2024-01-02 10:00:00,0.18,0.18,0.18,0.18,45908
ok,2024-01-02 10:30:00,0.18,0.18,0.18,0.18,24516
ok,2024-01-02 11:00:00,0.18,0.18,0.18,0.18,55185
ok,2024-01-02 11:30:00,0.18,0.18,0.18,0.18,31620
ok,2024-01-02 12:00:00,0.18,0.18,0.18,0.18,123671
ok,2024-01-02 12:30:00,0.18,0.18,0.18,0.18,120724
ok,2024-01-02 13:00:00,0.18,0.18,0.18,0.18,8432
ok,2024-01-02 13:30:00,0.18,0.18,0.18,0.18,74230
ok,2024-01-02 14:00:00,0.18,0.18,0.17,0.18,35910
ok,2024-01-02 14:30:00,0.18,0.18,0.17,0.18,26849
ok,2024-01-02 15:00:00,0.18,0.18,0.18,0.18,15379
ok,2024-01-02 15:30:00,0.18,0.18,0.18,0.18,11908
ok,2024-01-02 16:00:00,0.18,0.18,0.18,0.18,500
ok,2024-01-02 16:30:00,0.17,0.17,0.17,0.17,500
ok,2024-01-02 17:30:00,0.18,0.18,0.18,0.18,108232
ok,2024-01-02 18:00:00,0.18,0.18,0.18,0.18,7100
ok,2024-01-02 18:30:00,0.18,0.18,0.18,0.18,5000
ok,2024-01-03 04:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-03 07:00:00,0.18,0.18,0.18,0.18,1055
ok,2024-01-03 07:30:00,0.18,0.18,0.18,0.18,208
ok,2024-01-03 08:00:00,0.18,0.18,0.18,0.18,5843
ok,2024-01-03 08:30:00,0.18,0.18,0.17,0.18,308480
ok,2024-01-03 09:00:00,0.17,0.17,0.17,0.17,6342
ok,2024-01-03 09:30:00,0.17,0.18,0.17,0.17,53350
ok,2024-01-03 10:00:00,0.17,0.18,0.17,0.17,82280
ok,2024-01-03 10:30:00,0.17,0.17,0.17,0.17,50771
ok,2024-01-03 11:00:00,0.17,0.17,0.16,0.17,86131
ok,2024-01-03 11:30:00,0.17,0.17,0.16,0.17,74938
ok,2024-01-03 12:00:00,0.17,0.17,0.16,0.17,45729
ok,2024-01-03 12:30:00,0.16,0.17,0.16,0.17,119638
ok,2024-01-03 13:00:00,0.16,0.17,0.16,0.17,12577
ok,2024-01-03 13:30:00,0.17,0.17,0.16,0.17,58926
ok,2024-01-03 14:00:00,0.17,0.17,0.16,0.17,74069
ok,2024-01-03 14:30:00,0.17,0.17,0.16,0.17,31572
ok,2024-01-03 15:00:00,0.17,0.17,0.16,0.16,28702
ok,2024-01-03 15:30:00,0.16,0.17,0.16,0.17,154036
ok,2024-01-03 16:00:00,0.17,0.17,0.17,0.17,54805
ok,2024-01-03 16:30:00,0.17,0.17,0.17,0.17,4136
ok,2024-01-03 17:30:00,0.17,0.17,0.17,0.17,750
ok,2024-01-03 19:00:00,0.17,0.17,0.17,0.17,2900
ok,2024-01-03 19:30:00,0.17,0.17,0.17,0.17,500
ok,2024-01-04 04:30:00,0.17,0.17,0.17,0.17,591
ok,2024-01-04 06:30:00,0.17,0.17,0.17,0.17,171
ok,2024-01-04 07:00:00,0.17,0.17,0.17,0.17,3600
ok,2024-01-04 07:30:00,0.17,0.17,0.17,0.17,100
ok,2024-01-04 08:00:00,0.17,0.17,0.17,0.17,1592
ok,2024-01-04 08:30:00,0.17,0.17,0.17,0.17,80300
ok,2024-01-04 09:00:00,0.17,0.18,0.16,0.17,4595
ok,2024-01-04 09:30:00,0.17,0.17,0.16,0.17,129417
ok,2024-01-04 10:00:00,0.17,0.17,0.16,0.17,84835
ok,2024-01-04 10:30:00,0.17,0.17,0.16,0.16,31884
ok,2024-01-04 11:00:00,0.16,0.16,0.16,0.16,16012
ok,2024-01-04 11:30:00,0.16,0.17,0.16,0.17,108455
ok,2024-01-04 12:00:00,0.17,0.17,0.16,0.17,18495
ok,2024-01-04 12:30:00,0.16,0.17,0.16,0.16,17776
ok,2024-01-04 13:00:00,0.17,0.17,0.16,0.17,41417
ok,2024-01-04 13:30:00,0.17,0.17,0.16,0.17,59123
ok,2024-01-04 14:00:00,0.17,0.17,0.17,0.17,133053
ok,2024-01-04 14:30:00,0.17,0.17,0.17,0.17,116911
ok,2024-01-04 15:00:00,0.17,0.18,0.17,0.17,65587
ok,2024-01-04 15:30:00,0.17,0.17,0.17,0.17,55521
ok,2024-01-04 16:00:00,0.17,0.17,0.17,0.17,4155
ok,2024-01-04 16:30:00,0.17,0.18,0.17,0.18,1100
ok,2024-01-04 17:00:00,0.18,0.18,0.18,0.18,889
ok,2024-01-04 17:30:00,0.18,0.18,0.17,0.17,535
ok,2024-01-04 18:00:00,0.17,0.17,0.17,0.17,675
ok,2024-01-04 18:30:00,0.17,0.17,0.17,0.17,1000
ok,2024-01-05 04:00:00,0.19,0.19,0.19,0.19,194
ok,2024-01-05 07:00:00,0.16,0.16,0.16,0.16,100
ok,2024-01-05 07:30:00,0.17,0.17,0.17,0.17,300
ok,2024-01-05 08:00:00,0.17,0.17,0.17,0.17,3622
ok,2024-01-05 08:30:00,0.17,0.17,0.17,0.17,902
ok,2024-01-05 09:00:00,0.17,0.17,0.17,0.17,2058
ok,2024-01-05 09:30:00,0.18,0.18,0.17,0.17,19649
ok,2024-01-05 10:00:00,0.17,0.17,0.17,0.17,21450
ok,2024-01-05 10:30:00,0.17,0.18,0.17,0.17,31002
ok,2024-01-05 11:00:00,0.18,0.18,0.17,0.17,2153
ok,2024-01-05 11:30:00,0.17,0.17,0.17,0.17,36026
ok,2024-01-05 12:00:00,0.17,0.17,0.17,0.17,61106
ok,2024-01-05 12:30:00,0.17,0.17,0.17,0.17,6807
ok,2024-01-05 13:00:00,0.17,0.17,0.17,0.17,15261
ok,2024-01-05 13:30:00,0.17,0.17,0.17,0.17,2470
ok,2024-01-05 14:00:00,0.17,0.17,0.17,0.17,56607
ok,2024-01-05 14:30:00,0.17,0.17,0.17,0.17,24140
ok,2024-01-05 15:00:00,0.17,0.17,0.17,0.17,8347
ok,2024-01-05 15:30:00,0.17,0.18,0.17,0.17,19359
ok,2024-01-05 16:00:00,0.17,0.17,0.17,0.17,672
ok,2024-01-05 18:30:00,0.17,0.17,0.16,0.16,5919
ok,2024-01-05 19:00:00,0.17,0.17,0.17,0.17,500
ok,2024-01-05 19:30:00,0.17,0.17,0.17,0.17,2911
ok,2024-01-08 04:30:00,0.17,0.19,0.17,0.18,2131
ok,2024-01-08 05:00:00,0.18,0.18,0.18,0.18,445
ok,2024-01-08 06:00:00,0.18,0.18,0.17,0.17,1498
ok,2024-01-08 06:30:00,0.17,0.18,0.17,0.18,1495
ok,2024-01-08 07:00:00,0.17,0.17,0.17,0.17,377
ok,2024-01-08 07:30:00,0.17,0.17,0.17,0.17,178
ok,2024-01-08 08:00:00,0.18,0.18,0.17,0.17,5153
ok,2024-01-08 08:30:00,0.17,0.17,0.17,0.17,3825
ok,2024-01-08 09:00:00,0.17,0.17,0.17,0.17,2194
ok,2024-01-08 09:30:00,0.17,0.17,0.17,0.17,74683
ok,2024-01-08 10:00:00,0.17,0.17,0.17,0.17,26317
ok,2024-01-08 10:30:00,0.17,0.17,0.17,0.17,6921
ok,2024-01-08 11:00:00,0.17,0.18,0.17,0.17,42017
ok,2024-01-08 11:30:00,0.18,0.18,0.17,0.17,3445
