s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.08,0.08,0.07,0.07,4712
ok,2024-01-02 04:30:00,0.07,0.07,0.07,0.07,65750
ok,2024-01-02 05:00:00,0.07,0.07,0.07,0.07,5644
ok,2024-01-02 05:30:00,0.07,0.07,0.07,0.07,3300
ok,2024-01-02 06:00:00,0.07,0.07,0.07,0.07,500
ok,2024-01-02 06:30:00,0.07,0.07,0.07,0.07,1100
ok,2024-01-02 07:00:00,0.07,0.07,0.07,0.07,2771
ok,2024-01-02 07:30:00,0.07,0.07,0.07,0.07,1000
ok,2024-01-02 08:00:00,0.07,0.07,0.07,0.07,128698
ok,2024-01-02 08:30:00,0.07,0.07,0.07,0.07,28722
ok,2024-01-02 09:00:00,0.07,0.07,0.07,0.07,17296
ok,2024-01-02 09:30:00,0.08,0.08,0.07,0.07,628323
ok,2024-01-02 10:00:00,0.07,0.07,0.07,0.07,321564
ok,2024-01-02 10:30:00,0.07,0.08,0.07,0.07,397167
ok,2024-01-02 11:00:00,0.07,0.07,0.07,0.07,266018
ok,2024-01-02 11:30:00,0.07,0.07,0.07,0.07,41227
ok,2024-01-02 12:00:00,0.07,0.08,0.07,0.07,259278
ok,2024-01-02 12:30:00,0.07,0.08,0.07,0.07,220566
ok,2024-01-02 13:00:00,0.07,0.07,0.07,0.07,80812
ok,2024-01-02 13:30:00,0.07,0.08,0.07,0.08,1176450
ok,2024-01-02 14:00:00,0.08,0.08,0.08,0.08,165279
ok,2024-01-02 14:30:00,0.08,0.08,0.08,0.08,543277
ok,2024-01-02 15:00:00,0.08,0.08,0.08,0.08,200068
ok,2024-01-02 15:30:00,0.08,0.08,0.08,0.08,445264
ok,2024-01-02 16:00:00,0.08,0.09,0.08,0.09,132133
ok,2024-01-02 16:30:00,0.09,0.09,0.08,0.08,38524
ok,2024-01-02 17:00:00,0.08,0.08,0.08,0.08,18391
ok,2024-01-02 17:30:00,0.08,0.09,0.08,0.09,29875
ok,2024-01-02 18:00:00,0.08,0.09,0.08,0.09,24403
ok,2024-01-02 18:30:00,0.09,0.09,0.08,0.08,6088
ok,2024-01-02 19:00:00,0.08,0.09,0.08,0.08,40676
ok,2024-01-02 19:30:00,0.09,0.09,0.08,0.08,18981
ok,2024-01-03 04:30:00,0.08,0.09,0.08,0.09,6230
ok,2024-01-03 05:00:00,0.09,0.09,0.08,0.08,1143
ok,2024-01-03 05:30:00,0.09,0.09,0.09,0.09,1333
ok,2024-01-03 06:00:00,0.09,0.09,0.09,0.09,960
ok,2024-01-03 06:30:00,0.09,0.09,0.09,0.09,389
ok,2024-01-03 07:00:00,0.09,0.09,0.08,0.08,975
ok,2024-01-03 07:30:00,0.09,0.09,0.08,0.09,9271
ok,2024-01-03 08:00:00,0.09,0.09,0.08,0.09,299529
ok,2024-01-03 08:30:00,0.09,0.09,0.09,0.09,4791
ok,2024-01-03 09:00:00,0.09,0.09,0.09,0.09,27690
ok,2024-01-03 09:30:00,0.09,0.09,0.08,0.08,659541
ok,2024-01-03 10:00:00,0.08,0.09,0.08,0.08,426567
ok,2024-01-03 10:30:00,0.08,0.09,0.08,0.08,143667
ok,2024-01-03 11:00:00,0.08,0.08,0.08,0.08,105524
ok,2024-01-03 11:30:00,0.08,0.08,0.08,0.08,310720
ok,2024-01-03 12:00:00,0.08,0.08,0.08,0.08,142454
ok,2024-01-03 12:30:00,0.08,0.08,0.08,0.08,421870
ok,2024-01-03 13:00:00,0.08,0.08,0.08,0.08,112746
ok,2024-01-03 13:30:00,0.08,0.08,0.08,0.08,65764
ok,2024-01-03 14:00:00,0.08,0.08,0.08,0.08,69382
ok,2024-01-03 14:30:00,0.08,0.08,0.08,0.08,81011
ok,2024-01-03 15:00:00,0.08,0.08,0.08,0.08,546142
