s,t,o,h,l,c,v
ok,2024-02-09 10:30:00,7.0,7.03,5.52,5.52,178225
ok,2024-02-09 11:00:00,5.5,5.99,5.03,5.63,18368
ok,2024-02-09 11:30:00,5.79,5.79,5.51,5.6,13838
ok,2024-02-09 12:00:00,5.6,5.93,5.54,5.6,43536
ok,2024-02-09 12:30:00,5.55,5.56,4.77,5.0,15700
ok,2024-02-09 13:00:00,4.96,5.49,4.78,5.3,10375
ok,2024-02-09 13:30:00,5.43,5.71,5.4,5.71,7306
ok,2024-02-09 14:00:00,5.49,5.62,5.25,5.31,22661
ok,2024-02-09 14:30:00,5.25,5.25,5.0,5.1,4899
ok,2024-02-09 15:00:00,5.26,5.26,5.02,5.1,2140
ok,2024-02-09 15:30:00,5.22,5.44,5.0,5.0,12867
ok,2024-02-09 16:00:00,5.0,5.0,5.0,5.0,806
ok,2024-02-09 16:30:00,4.99,4.99,4.99,4.99,106
ok,2024-02-09 18:00:00,5.49,5.49,5.4,5.4,402
ok,2024-02-09 19:30:00,5.07,5.07,4.9,4.9,471
ok,2024-02-12 07:30:00,4.99,4.99,4.99,4.99,200
ok,2024-02-12 09:00:00,4.95,4.97,4.95,4.97,263
ok,2024-02-12 09:30:00,5.17,5.36,5.01,5.15,4511
ok,2024-02-12 10:00:00,5.02,5.28,5.02,5.25,2210
ok,2024-02-12 11:30:00,5.13,5.45,5.02,5.41,6227
ok,2024-02-12 12:00:00,5.14,5.45,5.14,5.4,1089
ok,2024-02-12 12:30:00,5.36,5.44,5.36,5.44,2041
ok,2024-02-12 13:00:00,5.3,6.55,5.3,6.25,8760
ok,2024-02-12 13:30:00,6.25,6.8,6.0,6.26,16776
ok,2024-02-12 14:00:00,6.28,7.0,6.28,6.74,13614
ok,2024-02-12 14:30:00,7.0,7.0,6.52,6.85,1586
ok,2024-02-12 15:00:00,6.55,6.68,6.25,6.45,11104
ok,2024-02-12 15:30:00,6.52,6.57,6.22,6.22,6335
ok,2024-02-12 17:00:00,6.42,6.42,6.42,6.42,422
ok,2024-02-12 17:30:00,6.1,6.1,6.1,6.1,149
ok,2024-02-12 18:30:00,6.01,6.01,6.01,6.01,1000
ok,2024-02-13 04:00:00,5.61,5.61,5.56,5.56,229
ok,2024-02-13 08:30:00,5.99,5.99,5.99,5.99,100
ok,2024-02-13 09:00:00,6.27,6.27,6.27,6.27,505
ok,2024-02-13 09:30:00,6.3,6.3,5.78,5.92,4315
ok,2024-02-13 10:00:00,5.91,6.16,5.91,6.16,1366
ok,2024-02-13 10:30:00,6.23,6.23,6.22,6.22,501
ok,2024-02-13 11:00:00,6.36,6.69,6.36,6.69,1457
ok,2024-02-13 11:30:00,6.69,6.69,6.52,6.52,300
ok,2024-02-13 12:00:00,6.53,6.53,6.11,6.11,1082
ok,2024-02-13 12:30:00,6.08,6.5,6.08,6.35,1130
ok,2024-02-13 13:00:00,6.3,6.5,6.11,6.11,3658
ok,2024-02-13 13:30:00,6.49,6.5,6.3,6.5,4314
ok,2024-02-13 14:00:00,6.47,6.6,6.45,6.6,2802
ok,2024-02-13 14:30:00,6.75,6.75,6.4,6.71,3883
ok,2024-02-13 15:00:00,6.75,7.1,6.71,6.98,6794
ok,2024-02-13 15:30:00,6.95,7.1,6.75,6.79,5601
ok,2024-02-14 09:30:00,7.5,7.5,7.03,7.34,6414
ok,2024-02-14 10:00:00,7.03,7.05,7.02,7.02,2300
ok,2024-02-14 10:30:00,7.18,7.3,7.12,7.3,3730
ok,2024-02-14 11:00:00,7.1,7.61,7.1,7.5,16105
ok,2024-02-14 11:30:00,7.78,7.96,7.57,7.85,19572
ok,2024-02-14 12:00:00,7.78,9.45,7.78,8.59,25470
ok,2024-02-14 12:30:00,8.5,11.17,8.5,10.75,27434
ok,2024-02-14 13:00:00,11.0,11.2,10.02,10.49,18427
ok,2024-02-14 13:30:00,10.38,13.0,10.38,12.8,22315
ok,2024-02-14 14:00:00,15.0,20.72,15.0,20.72,27926
ok,2024-02-14 15:00:00,15.0,18.0,13.03,14.42,377698
ok,2024-02-14 15:30:00,13.08,14.0,11.58,11.95,74631
ok,2024-02-14 16:00:00,11.9,11.9,10.8,10.8,14327
ok,2024-02-14 16:30:00,10.5,11.26,10.02,11.26,2972
ok,2024-02-14 17:30:00,11.2,11.2,10.56,10.6,1511
ok,2024-02-14 18:00:00,10.5,11.25,10.5,10.6,2632
ok,2024-02-14 18:30:00,10.37,10.75,10.37,10.55,1189
ok,2024-02-14 19:30:00,10.64,10.64,10.58,10.58,367
ok,2024-02-15 04:00:00,9.7,9.71,9.5,9.5,1116
ok,2024-02-15 04:30:00,10.04,10.05,10.04,10.05,398
ok,2024-02-15 05:00:00,10.12,10.12,10.0,10.0,274
ok,2024-02-15 05:30:00,10.22,10.22,10.01,10.01,450
ok,2024-02-15 06:00:00,9.85,9.85,9.85,9.85,100
ok,2024-02-15 06:30:00,9.9,9.9,9.65,9.65,895
ok,2024-02-15 07:30:00,9.62,9.62,9.62,9.62,194
ok,2024-02-15 08:00:00,10.0,10.0,9.3,9.7,7481
ok,2024-02-15 08:30:00,9.56,9.56,9.56,9.56,341
ok,2024-02-15 09:00:00,9.5,9.5,9.01,9.01,775
ok,2024-02-15 09:30:00,9.34,9.85,8.4,8.81,23051
ok,2024-02-15 10:00:00,8.84,8.84,8.0,8.25,12257
ok,2024-02-15 10:30:00,8.48,8.69,8.31,8.34,4225
ok,2024-02-15 11:00:00,8.38,8.38,8.25,8.25,939
ok,2024-02-15 11:30:00,8.75,8.75,8.11,8.31,1508
ok,2024-02-15 12:00:00,8.35,8.75,8.35,8.55,847
ok,2024-02-15 12:30:00,8.64,8.64,8.41,8.56,807
ok,2024-02-15 13:00:00,8.4,8.58,8.4,8.58,475
ok,2024-02-15 13:30:00,8.28,8.45,8.25,8.25,4259
ok,2024-02-15 14:00:00,8.45,8.45,8.25,8.25,2301
ok,2024-02-15 14:30:00,8.36,8.42,8.16,8.16,1893
ok,2024-02-15 15:00:00,8.02,8.31,7.53,8.15,3064
ok,2024-02-15 15:30:00,8.07,8.19,8.06,8.06,1798
ok,2024-02-15 16:00:00,8.0,8.01,8.0,8.01,200
ok,2024-02-15 18:30:00,8.3,8.3,8.3,8.3,100
ok,2024-02-15 19:00:00,8.3,8.3,8.3,8.3,240
ok,2024-02-15 19:30:00,8.45,8.45,8.45,8.45,560
ok,2024-02-16 09:00:00,7.99,7.99,7.99,7.99,212
ok,2024-02-16 09:30:00,7.9,8.0,7.46,7.69,4484
ok,2024-02-16 10:00:00,7.76,9.0,7.76,9.0,8677
ok,2024-02-16 10:30:00,8.75,9.19,8.6,9.15,71032
ok,2024-02-16 11:00:00,9.12,9.28,8.88,8.88,32514
ok,2024-02-16 11:30:00,8.89,9.12,8.85,8.85,3479
ok,2024-02-16 12:00:00,8.99,8.99,8.89,8.98,834
ok,2024-02-16 12:30:00,9.1,9.1,9.1,9.1,350
ok,2024-02-16 13:00:00,8.99,9.1,8.8,8.8,1124
ok,2024-02-16 13:30:00,9.0,9.0,8.71,8.71,1604
ok,2024-02-16 14:00:00,8.8,8.98,8.8,8.98,597
ok,2024-02-16 14:30:00,8.81,8.91,8.8,8.91,2582
ok,2024-02-16 15:00:00,8.92,8.96,8.82,8.94,1421
ok,2024-02-16 15:30:00,8.96,9.1,8.75,9.02,6984
ok,2024-02-16 16:30:00,9.0,9.0,9.0,9.0,238
ok,2024-02-20 07:30:00,8.65,8.65,8.65,8.65,150
ok,2024-02-20 08:00:00,8.21,8.8,8.21,8.8,1498
ok,2024-02-20 09:00:00,8.99,9.0,8.99,9.0,10000
ok,2024-02-20 09:30:00,8.95,8.99,8.73,8.73,5266
ok,2024-02-20 10:00:00,8.96,11.2,8.96,9.82,13244
ok,2024-02-20 10:30:00,9.6,9.6,8.75,9.06,20894
ok,2024-02-20 11:00:00,8.81,9.07,8.81,8.91,3605
ok,2024-02-20 11:30:00,8.9,8.9,8.75,8.75,1644
ok,2024-02-20 12:00:00,8.88,8.88,8.5,8.64,3039
ok,2024-02-20 12:30:00,8.67,8.94,8.53,8.9,1200
ok,2024-02-20 13:00:00,8.55,9.0,8.47,8.99,1841
ok,2024-02-20 13:30:00,9.0,9.0,8.85,9.0,1367
ok,2024-02-20 14:00:00,9.0,9.0,8.81,9.0,1400
ok,2024-02-20 14:30:00,9.0,9.0,8.9,9.0,1255
ok,2024-02-20 15:00:00,9.0,9.0,8.65,8.7,2456
ok,2024-02-20 15:30:00,8.94,9.0,8.7,9.0,10847
ok,2024-02-21 08:30:00,8.58,8.58,8.58,8.58,150
ok,2024-02-21 09:30:00,9.0,9.0,8.08,8.08,2026
ok,2024-02-21 10:00:00,8.4,8.41,8.22,8.41,1017
ok,2024-02-21 10:30:00,8.15,8.17,8.15,8.15,1654
ok,2024-02-21 11:00:00,8.32,8.32,7.79,8.0,4133
ok,2024-02-21 11:30:00,8.29,8.3,8.29,8.3,210
ok,2024-02-21 12:30:00,8.55,8.55,8.55,8.55,222
ok,2024-02-21 14:30:00,8.55,8.55,8.3,8.3,922
ok,2024-02-21 15:00:00,8.51,8.53,8.36,8.36,3725
